Date,600000.SS,600004.SS,600005.SS,600006.SS,600008.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600017.SS,600018.SS,600019.SS,600022.SS,600026.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600033.SS,600036.SS,600037.SS,600048.SS,600050.SS,600058.SS,600062.SS,600066.SS,600068.SS,600085.SS,600087.SS,600089.SS,600096.SS,600100.SS,600102.SS,600104.SS,600108.SS,600109.SS,600111.SS,600118.SS,600123.SS,600125.SS,600132.SS,600143.SS,600150.SS,600151.SS,600153.SS,600161.SS,600166.SS,600169.SS,600170.SS,600177.SS,600183.SS,600188.SS,600196.SS,600208.SS,600210.SS,600216.SS,600219.SS,600220.SS,600221.SS,600236.SS,600239.SS,600246.SS,600251.SS,600256.SS,600266.SS,600269.SS,600271.SS,600282.SS,600300.SS,600307.SS,600309.SS,600316.SS,600320.SS,600325.SS,600331.SS,600348.SS,600350.SS,600352.SS,600362.SS,600369.SS,600376.SS,600380.SS,600383.SS,600395.SS,600415.SS,600418.SS,600426.SS,600428.SS,600432.SS,600456.SS,600489.SS,600497.SS,600500.SS,600508.SS,600516.SS,600517.SS,600518.SS,600519.SS,600528.SS,600547.SS,600549.SS,600550.SS,600569.SS,600583.SS,600585.SS,600588.SS,600595.SS,600596.SS,600597.SS,600598.SS,600600.SS,600601.SS,600611.SS,600631.SS,600635.SS,600642.SS,600643.SS,600649.SS,600655.SS,600657.SS,600660.SS,600663.SS,600664.SS,600674.SS,600675.SS,600688.SS,600690.SS,600694.SS,600717.SS,600718.SS,600737.SS,600739.SS,600741.SS,600748.SS,600779.SS,600795.SS,600804.SS,600808.SS,600809.SS,600811.SS,600812.SS,600820.SS,600832.SS,600835.SS,600837.SS,600839.SS,600863.SS,600875.SS,600879.SS,600881.SS,600886.SS,600895.SS,600900.SS,600970.SS,600997.SS,600999.SS,601001.SS,601003.SS,601006.SS,601009.SS,601088.SS,601099.SS,601107.SS,601111.SS,601117.SS,601139.SS,601166.SS,601168.SS,601169.SS,601179.SS,601186.SS,601727.SS,601766.SS,601788.SS,601801.SS,601808.SS,601857.SS,601866.SS,601872.SS,601877.SS,601888.SS,601898.SS,601899.SS,601918.SS,601919.SS,601939.SS,601958.SS,601988.SS,601989.SS,601991.SS,601998.SS,000001.SZ,000002.SZ,000009.SZ,000012.SZ,000021.SZ,000024.SZ,000027.SZ,000031.SZ,000039.SZ,000046.SZ,000059.SZ,000060.SZ,000061.SZ,000063.SZ,000069.SZ,000089.SZ,000100.SZ,000157.SZ,000338.SZ,000401.SZ,000402.SZ,000422.SZ,000423.SZ,000425.SZ,000488.SZ,000527.SZ,000528.SZ,000538.SZ,000562.SZ,000568.SZ,000612.SZ,000623.SZ,000625.SZ,000630.SZ,000631.SZ,000651.SZ,000652.SZ,000667.SZ,000680.SZ,000685.SZ,000686.SZ,000690.SZ,000709.SZ,000717.SZ,000718.SZ,000725.SZ,000728.SZ,000729.SZ,000758.SZ,000768.SZ,000778.SZ,000780.SZ,000783.SZ,000792.SZ,000800.SZ,000807.SZ,000825.SZ,000839.SZ,000858.SZ,000876.SZ,000878.SZ,000895.SZ,000897.SZ,000898.SZ,000900.SZ,000927.SZ,000932.SZ,000933.SZ,000937.SZ,000951.SZ,000959.SZ,000960.SZ,000961.SZ,000968.SZ,000969.SZ,000983.SZ,000999.SZ,002001.SZ,002007.SZ,002024.SZ,002028.SZ,002122.SZ,002128.SZ,002142.SZ,002155.SZ,002202.SZ,002242.SZ,002244.SZ,002304.SZ
2010-01-28,72.2,13.81,25.74,17.57,20.36,45.66,10.93,23.01,18.07,76.52,14.25,5.82,11.63,5.27,19.63,6.64,15.87,9.15,79.46,255.67,22.12,46.66,75.83,100.49,11.28,17.26,113.36,150.93,41.55,80.83,62.44,513.06,42.37,181.23,13.07,93.02,60.02,83.42,95.24,130.16,118.1,137.27,87.92,93.24,107.13,41.68,63.58,111.45,17.9,49.43,26.37,140.72,49.47,44.21,136.18,28.61,37.24,88.44,23.63,44.37,10.31,21.09,152.79,77.05,95.52,177.4,33.36,71.13,162.2,20.21,45.72,20.72,373.61,81.88,97.75,54.07,128.32,101.33,8.07,89.07,43.05,32.83,54.74,68.64,71.69,52.27,192.66,45.75,63.52,54.21,110.75,54.23,141.4,145.41,53.88,54.85,39.71,162.93,178.13,737.13,39.48,336.11,111.17,207.99,10.93,147.65,42.31,253.82,82.16,121.45,19.19,25.23,42.95,36334.92,1325.91,111.74,1149.14,27.63,60.45,42.85,2139.17,113.29,462.66,75.69,86.51,66.51,240.78,11.23,140.44,209.69,215.21,283.28,169.55,662.65,278.78,61.98,110.71,727.12,104.96,7.07,63.11,102.55,35.74,126.94,127.93,38.75,317.98,84.96,49.66,57.7,215.23,498.95,128.04,208.91,17.05,90.94,65.55,28.57,37.58,27.06,10.85,16.83,30.23,16.67,8.11,10.4,5.21,14.46,33.36,13.21,15.87,7.79,8.61,9.3,5.44,26.64,14.96,15.43,13.68,4.67,5.92,23.56,18.77,12.26,8.55,15.42,13.66,5.89,20.61,4.38,7.65,17.69,7.16,1153.42,954.42,55.84,171.2,104.91,91.68,62.33,101.04,253.17,196.84,16.8,344.34,187.55,285.83,223.37,46.36,5.3,327.12,106.81,50.61,214.52,207.9,270.29,204.07,32.78,472.75,87.4,429.3,21.45,723.21,125.99,480.64,40.17,111.3,59.71,770.0,215.83,86.2,41.64,150.38,230.49,223.17,39.35,25.13,43.06,18.95,25.45,85.58,78.72,115.5,55.21,72.39,38.4,218.44,44.19,48.52,44.18,119.31,402.02,88.33,66.87,212.81,30.88,17.03,70.58,15.09,8.79,133.49,70.03,47.34,9.29,67.27,24.76,31.82,82.29,125.16,36.13,197.19,397.85,971.02,269.3,113.12,41.36,15.56,29.48,86.96,50.73,33.06,108.35
2010-01-29,71.92,13.81,25.65,17.7,20.3,45.66,10.81,23.19,17.96,76.32,14.59,5.76,11.66,5.27,19.38,6.63,15.75,9.14,78.95,253.64,22.26,46.78,76.3,99.81,11.32,66.82,114.31,149.99,43.29,81.09,61.55,516.21,42.5,181.43,13.07,90.91,5.83,83.38,94.54,135.05,117.66,136.41,87.81,92.01,106.67,42.41,63.43,114.39,99.19,49.7,26.33,144.0,52.38,43.87,137.5,28.14,37.19,90.15,23.47,5.32,10.42,21.09,152.29,76.57,96.6,177.13,33.57,69.94,164.66,20.14,46.8,20.5,377.15,82.08,94.63,53.59,127.68,99.56,8.05,90.74,43.1,32.91,54.08,71.83,71.58,51.97,195.48,44.7,64.63,54.07,112.08,52.89,140.59,144.3,53.68,54.61,38.69,162.65,183.03,734.34,39.28,330.96,110.7,208.93,10.91,147.23,42.86,255.48,81.38,122.3,19.42,25.7,43.62,36075.94,1323.87,114.43,1126.54,27.54,60.86,42.3,2153.95,112.75,461.27,75.49,88.62,68.68,240.96,11.15,136.56,206.42,215.03,284.67,171.28,675.26,278.78,60.87,114.95,727.12,104.96,7.03,63.99,107.26,37.47,125.36,129.4,38.86,321.32,85.26,50.25,58.38,221.45,509.75,128.51,208.08,16.9,35.02,64.82,28.5,37.1,26.88,10.65,16.86,30.09,16.55,8.06,10.31,5.16,14.33,33.19,13.06,15.87,7.82,8.62,9.22,5.48,26.63,15.0,15.2,13.64,4.62,6.01,23.41,18.76,12.17,8.49,15.39,13.52,5.91,20.7,4.37,7.55,17.59,7.07,1150.7,947.48,55.52,173.1,106.72,94.73,62.5,101.61,256.31,196.84,16.88,344.04,191.45,287.32,219.74,45.99,6.91,329.18,104.94,52.39,212.81,214.95,29.1,200.95,32.67,465.67,87.65,435.72,87.28,733.08,125.39,494.94,40.36,109.99,58.6,755.58,213.9,86.2,40.91,153.71,231.12,225.09,38.91,25.35,42.53,18.72,25.29,85.33,77.69,116.79,54.73,71.47,38.42,220.25,44.57,48.05,44.07,117.56,407.3,89.66,66.33,220.06,30.41,16.93,71.04,15.16,8.72,133.45,70.05,46.68,9.24,65.2,24.44,31.5,82.32,124.39,37.97,200.47,56.0,991.54,275.09,114.0,41.39,15.4,29.35,88.58,51.26,33.13,108.03
2010-02-01,70.5,14.09,24.96,17.3,21.34,43.71,10.65,22.73,17.71,75.09,14.37,5.62,11.55,5.27,18.51,6.48,15.39,9.3,73.98,244.33,21.91,47.14,69.03,101.99,10.83,64.26,116.5,144.1,43.22,81.22,60.2,494.89,40.81,178.3,13.07,87.93,60.34,79.22,89.26,137.29,112.43,138.25,88.69,87.28,105.14,42.22,62.16,113.22,97.56,14.71,25.63,146.83,50.91,41.09,138.15,27.87,36.2,90.13,22.53,43.46,10.55,20.64,153.87,78.81,24.89,175.52,33.53,65.14,161.69,19.75,45.54,19.62,369.11,84.17,91.12,54.25,121.84,95.14,7.92,89.22,41.6,31.47,54.02,71.89,73.33,49.44,189.75,45.07,62.38,51.56,107.73,51.62,136.39,137.34,52.73,51.97,36.75,154.21,181.84,735.82,37.49,318.76,105.6,205.16,10.65,148.07,42.54,262.41,76.88,118.19,19.81,25.38,43.27,35212.7,1338.14,113.75,1080.15,27.45,62.24,41.78,2158.61,113.02,443.17,75.65,90.69,67.21,239.52,11.08,137.48,199.32,207.64,281.78,164.14,665.66,266.21,60.92,116.76,709.52,103.81,6.86,64.44,108.07,37.65,119.59,126.35,37.46,313.15,86.57,49.99,57.47,222.84,511.1,125.51,203.89,16.8,89.02,62.55,28.31,35.0,26.2,10.34,16.63,29.16,15.73,7.6,10.56,5.17,13.44,32.54,12.6,15.55,7.72,8.61,9.02,5.56,26.77,15.19,14.79,13.39,4.53,5.82,22.06,19.42,11.65,8.23,14.66,12.94,5.85,19.77,4.3,7.27,17.27,6.84,1125.66,954.42,55.68,165.96,101.9,97.74,61.9,103.09,251.36,200.31,16.91,346.28,186.25,278.68,226.58,45.21,6.87,318.73,97.59,52.99,214.33,208.62,274.87,201.61,31.7,473.89,85.85,443.47,83.17,743.16,118.44,508.84,38.41,17.99,57.42,769.39,208.09,86.96,39.79,154.15,220.71,219.96,37.7,25.17,44.02,17.76,24.08,83.32,78.95,116.71,53.25,67.72,36.56,214.91,43.99,45.97,42.83,113.89,415.07,87.41,63.65,218.03,30.7,16.13,70.07,15.14,8.5,122.36,66.87,44.43,9.07,60.47,25.09,29.93,78.47,120.13,38.65,195.41,406.87,978.04,275.79,109.6,39.47,14.86,27.94,87.1,51.0,32.85,108.31
2010-02-02,70.57,13.86,25.08,17.22,20.75,42.64,10.65,22.73,17.85,75.19,14.47,5.62,11.53,5.27,18.63,6.49,15.33,9.15,72.96,247.16,22.28,48.14,67.13,101.42,10.72,65.01,117.4,140.83,42.48,78.42,60.56,492.96,40.34,179.57,13.07,89.55,60.97,78.7,90.12,132.87,112.84,136.17,87.46,86.9,105.29,40.34,61.5,113.04,97.4,48.24,25.4,143.64,49.74,41.15,137.56,27.56,36.01,87.87,22.73,43.05,10.38,20.39,152.29,76.65,24.89,179.02,33.03,65.93,157.5,19.75,45.14,19.45,363.97,82.53,90.73,53.55,124.16,97.02,8.17,89.94,42.52,31.23,52.74,70.99,73.1,49.74,191.36,45.34,60.95,51.98,109.01,51.89,140.75,21.05,52.34,51.24,36.39,150.37,181.84,725.8,37.39,334.91,106.81,197.44,10.67,146.52,42.34,254.08,79.15,116.56,19.56,24.96,42.69,35299.03,1294.31,107.93,1073.01,27.41,10.89,40.88,2128.27,113.43,440.74,74.73,88.97,66.73,235.2,10.97,138.67,197.71,205.57,279.32,163.34,665.85,265.59,59.24,114.85,700.72,98.51,6.86,64.37,109.04,36.8,116.65,124.14,37.27,313.52,90.38,50.7,55.31,203.82,506.37,125.36,199.71,16.77,88.77,63.2,28.36,34.99,25.84,10.23,16.68,29.15,15.71,7.64,10.3,5.14,13.14,33.16,12.8,15.52,7.34,8.56,8.88,5.53,26.16,14.97,14.73,13.38,4.54,5.79,23.05,18.78,11.68,8.7,15.02,12.89,5.86,20.13,4.35,7.1,17.21,6.83,1132.73,941.54,54.72,163.16,100.39,95.84,62.5,100.35,262.24,196.51,16.89,348.81,190.41,273.48,222.81,45.09,6.96,329.03,98.38,52.55,212.05,211.32,276.25,202.81,31.77,484.85,86.39,431.73,81.8,736.11,119.99,501.79,38.03,110.36,56.98,771.23,205.6,88.6,39.07,152.81,218.75,219.31,37.64,25.08,43.18,17.83,23.72,82.46,79.29,113.96,52.53,68.95,36.0,216.21,44.03,46.85,42.73,112.94,403.96,87.13,64.39,209.04,30.47,16.12,69.43,14.88,8.56,120.28,67.59,43.7,9.04,60.44,25.6,30.13,77.57,30.0,38.95,187.43,414.63,962.38,276.99,107.8,39.91,14.85,30.05,84.41,51.17,32.48,107.98
2010-02-03,72.88,14.32,25.65,17.57,22.51,43.73,10.88,23.17,18.26,76.93,14.55,5.77,11.73,5.27,19.54,6.59,15.65,9.26,75.9,259.23,22.82,49.2,66.0,104.13,10.85,67.19,121.53,143.88,42.66,76.73,61.91,507.73,41.33,177.52,13.07,92.41,59.81,81.22,93.76,134.81,120.04,139.22,89.41,88.98,107.7,40.95,63.68,111.45,101.26,49.16,25.94,145.82,49.74,44.25,134.0,28.0,36.84,87.35,23.63,43.88,10.94,20.69,155.87,79.29,24.89,181.51,33.78,67.19,156.55,20.14,45.83,20.35,369.59,80.67,92.29,55.86,129.2,105.41,8.46,90.31,44.99,32.39,53.74,70.04,74.91,54.51,191.62,47.2,61.37,53.4,114.82,53.12,143.94,147.38,53.56,54.75,37.54,152.15,180.16,723.31,38.08,344.11,110.63,195.82,10.93,10.18,42.48,251.45,86.58,118.35,19.45,24.46,42.66,36075.94,1320.81,108.55,1103.94,27.87,62.9,42.54,2131.39,120.84,455.7,75.85,87.54,67.12,242.04,11.03,140.31,201.18,210.73,280.07,164.95,649.67,273.87,61.78,114.95,6.67,96.9,7.0,63.56,110.34,37.8,118.8,124.87,37.98,325.21,90.96,52.39,54.48,203.48,511.77,125.83,203.69,16.98,88.59,67.45,29.53,37.91,26.74,10.49,17.18,30.45,16.14,8.01,10.51,5.12,13.33,34.7,13.24,16.07,7.48,8.79,9.02,5.44,27.45,14.85,15.57,13.6,4.7,5.89,23.38,19.41,12.3,8.85,16.17,13.19,5.99,20.99,4.44,7.15,17.35,7.1,1198.62,958.38,56.7,171.29,101.37,100.26,63.61,102.41,266.2,200.8,16.95,364.61,192.49,279.33,230.76,46.05,6.96,344.49,103.75,51.57,217.18,209.66,269.65,216.72,32.45,485.54,88.53,424.65,85.44,729.66,128.19,493.67,38.89,115.04,58.83,790.56,208.92,90.01,39.94,151.13,226.76,240.93,38.63,25.62,43.7,17.99,24.26,83.61,81.74,114.99,52.65,73.93,37.44,225.26,45.95,49.1,43.85,115.17,405.77,87.13,67.53,208.19,31.23,17.05,71.45,9.7,8.91,26.98,74.03,44.68,9.18,62.95,26.74,32.46,79.93,131.65,38.53,188.77,416.11,975.34,275.99,109.64,42.85,15.43,30.87,87.74,51.61,32.95,104.9
2010-02-04,72.06,14.53,25.47,17.65,24.46,46.17,10.83,23.12,18.07,76.52,14.79,5.76,11.68,5.27,19.23,6.59,15.46,9.29,75.17,254.78,22.8,48.79,67.3,103.97,10.68,66.35,118.07,141.85,45.08,77.7,61.73,507.25,41.11,184.07,13.07,92.36,65.91,80.86,92.04,135.82,118.02,140.44,90.67,89.27,106.51,40.84,64.34,113.55,99.68,48.99,26.19,145.28,49.97,43.17,135.39,29.01,36.99,87.46,23.31,44.21,12.0,20.84,156.3,81.36,24.89,182.25,34.34,67.58,158.87,20.08,45.49,20.2,365.58,81.02,91.51,56.87,127.52,103.46,8.43,90.31,43.77,32.37,55.02,69.09,74.91,52.95,189.32,46.92,59.72,53.07,112.35,52.17,141.12,144.36,54.4,53.33,37.46,152.81,177.96,734.6,38.35,335.86,110.63,192.26,10.95,151.47,42.91,253.64,84.06,116.67,19.69,24.36,42.77,36334.92,1362.6,110.55,1108.7,27.89,63.32,42.23,2162.5,118.68,446.65,76.51,87.83,66.12,244.38,11.04,139.13,201.99,207.98,285.64,168.29,647.6,272.95,63.41,115.36,716.12,103.04,6.98,63.48,112.12,37.91,120.49,134.14,38.45,323.17,91.26,52.07,53.78,202.44,517.17,125.83,205.15,17.01,88.39,65.55,29.9,36.6,26.74,10.45,17.01,29.86,16.14,7.97,10.55,5.12,13.47,34.59,13.07,16.12,7.58,8.71,9.08,5.46,27.29,15.34,15.39,13.47,4.73,5.87,23.55,19.91,12.08,8.68,15.72,13.02,5.93,20.57,4.42,7.18,17.25,7.01,1177.93,954.42,62.42,170.75,102.27,98.44,63.18,103.89,264.39,200.64,17.0,354.47,199.52,284.53,229.51,46.48,6.92,339.93,102.14,52.93,216.8,206.65,268.45,212.71,32.71,471.84,20.4,429.44,84.89,726.44,124.74,492.69,38.67,112.36,62.08,768.16,209.47,90.77,40.52,149.79,224.44,241.57,38.14,25.4,44.47,17.99,24.02,85.66,80.77,113.96,53.21,72.21,37.23,221.0,46.26,48.49,43.53,116.44,408.96,86.15,66.0,208.23,31.7,16.65,71.02,15.61,8.86,123.81,73.25,44.6,9.17,61.22,27.07,31.68,79.93,131.07,38.63,188.32,413.36,964.54,285.78,109.12,41.78,15.22,30.15,86.68,51.23,32.74,104.31
2010-02-05,71.21,14.09,24.99,17.27,24.65,44.87,10.72,22.73,17.76,75.29,14.51,5.67,11.36,5.27,18.6,6.66,15.13,9.42,73.55,245.95,22.01,47.7,64.4,99.86,10.4,64.5,118.35,139.89,45.08,80.6,60.29,514.52,40.28,189.54,13.07,91.0,65.7,78.7,89.18,140.12,114.14,142.64,88.19,87.66,103.62,39.61,64.69,109.2,97.29,47.15,25.49,144.73,45.3,41.67,132.16,28.03,36.3,83.96,22.65,43.71,11.07,21.17,147.29,76.97,24.89,176.32,33.34,66.48,157.71,19.62,44.0,19.4,365.74,79.78,89.75,54.95,122.72,98.5,8.21,88.63,42.28,31.51,52.49,67.36,71.75,50.26,189.32,46.15,57.69,51.32,108.56,49.67,136.14,139.64,53.29,51.73,36.48,149.43,174.59,745.8,37.82,322.41,107.28,188.23,10.75,150.2,41.14,246.9,80.04,112.45,20.08,23.94,42.41,35212.7,1342.21,107.93,1081.34,27.37,60.86,41.26,2104.93,112.62,433.08,74.1,85.03,64.73,237.0,10.71,135.31,196.7,214.52,280.39,170.59,631.42,264.67,60.87,114.54,702.92,100.74,6.86,62.11,108.72,38.17,113.59,131.19,37.65,315.38,87.3,50.31,53.15,201.75,500.97,123.15,196.79,16.91,85.89,63.01,29.75,35.01,26.92,10.26,16.79,28.94,15.64,8.07,10.75,5.04,12.92,34.55,12.71,15.93,7.38,8.61,8.89,5.45,26.91,15.78,15.43,13.27,4.55,5.74,22.68,19.01,11.72,8.48,15.12,12.76,5.81,19.8,4.4,7.02,16.97,6.87,1167.04,933.61,59.53,166.14,100.61,91.76,61.99,100.58,254.99,192.88,16.92,336.74,192.49,282.58,220.44,45.57,6.66,326.68,100.14,50.52,210.91,193.48,268.36,35.85,32.07,456.76,86.81,429.44,83.29,711.73,119.39,490.43,37.81,107.93,59.71,750.98,227.45,87.94,38.75,147.11,219.59,236.22,37.31,24.72,42.17,17.6,23.41,84.84,79.17,110.87,52.77,67.84,36.51,224.34,46.21,47.32,41.87,113.02,402.72,83.83,63.72,209.38,34.88,15.97,70.58,15.34,8.61,118.66,69.17,43.55,9.07,57.97,25.76,30.58,77.64,124.51,38.0,184.27,401.52,952.66,290.87,105.8,40.3,15.35,28.88,89.11,49.67,31.57,103.0
2010-02-08,70.5,14.02,25.14,17.3,24.83,45.08,10.79,22.75,17.53,74.99,14.47,5.65,11.3,5.27,18.71,6.7,14.98,9.41,75.01,246.76,22.09,46.66,64.84,97.63,10.22,65.05,122.25,139.6,46.0,79.82,60.02,515.49,40.26,184.17,13.07,90.91,63.8,80.1,91.26,138.23,116.43,141.3,91.9,8.93,104.59,39.32,64.04,108.31,95.44,46.87,25.79,147.01,43.59,42.29,130.78,27.9,36.84,81.15,22.71,44.13,11.58,20.99,145.72,76.33,94.02,179.82,33.07,67.11,157.5,19.79,44.23,19.56,370.56,81.32,89.95,53.02,122.32,101.07,8.26,84.78,42.57,32.73,52.83,68.98,70.64,51.64,190.84,45.97,58.25,51.65,108.65,50.6,136.9,139.77,54.08,52.16,36.39,153.28,174.76,745.72,38.08,324.81,107.75,185.14,10.95,152.46,41.17,241.99,80.67,110.08,20.05,23.78,41.89,35212.7,1361.58,107.8,1087.29,27.45,61.16,41.22,2092.49,110.6,434.12,74.4,83.75,64.99,238.62,10.72,134.0,195.94,211.42,273.96,164.49,643.09,264.06,62.6,115.26,696.32,97.89,6.87,61.26,116.51,38.75,113.82,132.03,37.82,319.09,87.01,47.91,52.27,201.58,507.05,123.94,197.41,16.82,86.02,63.29,30.08,35.37,26.7,10.12,16.72,28.86,15.89,7.89,10.92,5.05,13.14,33.97,12.75,15.75,7.43,8.58,8.9,5.37,27.29,15.33,15.54,13.26,4.68,5.76,22.71,18.87,11.67,8.48,15.1,12.82,5.81,19.91,4.4,7.03,16.95,6.83,1143.08,925.68,57.5,165.06,101.29,92.21,62.16,100.47,252.02,12.05,17.22,340.17,187.68,284.53,214.58,45.81,6.68,331.98,99.34,50.61,209.0,191.72,268.54,208.21,32.34,454.93,85.6,426.71,84.46,714.95,118.79,507.18,37.61,108.55,57.86,746.07,223.85,87.94,38.46,150.23,222.82,234.08,37.64,24.95,41.89,17.68,23.76,84.23,78.89,109.58,52.41,68.15,37.35,222.93,46.56,47.21,41.87,112.62,403.69,84.18,63.9,216.73,36.82,16.12,71.63,15.31,8.7,121.55,71.05,44.53,9.14,57.3,24.75,31.43,76.31,127.62,38.48,184.27,395.1,980.2,286.47,106.28,40.69,15.2,29.62,88.1,49.1,31.55,101.96
2010-02-09,71.21,14.4,25.2,17.41,23.55,45.43,10.81,22.93,17.79,75.81,14.69,5.72,11.34,5.27,18.87,6.68,15.05,9.42,75.12,247.73,22.85,47.19,66.22,97.63,10.25,65.47,122.25,142.14,44.7,80.24,60.38,511.37,40.81,175.18,13.07,90.3,62.65,80.54,100.15,142.42,117.96,140.08,91.74,88.7,104.6,39.68,63.38,108.92,96.42,47.59,25.77,146.65,44.18,42.61,129.66,28.24,37.04,81.0,23.09,44.96,10.89,21.09,146.72,76.25,91.24,179.02,32.95,69.0,159.52,20.08,44.29,19.93,378.12,81.35,91.02,51.75,125.12,101.33,8.8,83.39,43.39,33.35,52.93,69.37,70.81,52.5,191.14,47.2,58.46,51.84,110.71,53.28,138.28,145.54,54.83,52.65,38.43,151.68,173.07,745.21,38.61,332.36,111.91,186.95,11.01,152.18,41.08,244.1,82.75,110.66,19.78,23.86,41.6,35730.65,1373.81,109.3,1092.04,27.91,61.28,41.74,26.94,110.06,435.51,74.69,82.72,65.25,239.16,10.74,135.77,197.51,210.39,270.64,161.96,660.39,270.19,62.21,114.95,699.62,96.13,6.88,60.99,113.58,38.64,114.61,131.93,37.38,322.06,91.26,48.04,52.73,201.23,504.35,123.62,202.01,16.86,85.87,63.78,29.3,35.54,27.06,10.31,16.88,29.17,15.95,8.14,10.88,5.08,12.99,34.33,13.0,15.89,7.38,8.7,9.04,5.37,27.33,14.9,15.43,13.32,4.69,5.84,22.26,18.6,11.74,8.57,15.09,12.89,5.81,20.32,4.37,6.96,17.05,6.87,1167.04,922.71,56.0,166.87,101.82,91.18,63.14,100.35,253.5,190.41,16.92,347.32,177.02,280.69,211.23,47.2,6.77,334.78,98.7,50.42,208.81,195.76,271.11,208.21,32.75,445.11,85.89,420.59,84.82,34.09,121.79,515.89,38.41,110.99,57.49,730.72,224.68,86.96,38.78,153.06,223.81,250.99,37.81,25.08,41.85,18.68,23.91,83.49,79.86,109.93,52.69,68.77,37.58,223.59,45.18,48.16,42.35,113.18,402.02,83.62,65.69,219.39,35.06,16.36,73.61,15.04,8.75,123.13,72.61,44.86,9.2,58.92,25.79,31.65,77.5,128.61,38.16,185.89,392.42,978.58,282.68,106.92,40.82,15.53,30.54,87.66,49.25,31.57,106.2
2010-02-10,72.13,14.51,25.47,17.59,23.66,45.73,10.88,22.99,18.01,76.32,14.93,5.72,11.45,5.27,19.21,6.68,15.25,9.59,76.17,251.21,22.69,47.84,68.6,99.76,10.4,66.59,123.53,143.81,44.78,80.34,60.92,514.76,40.91,176.84,13.07,93.28,62.33,82.34,98.59,158.62,118.63,141.67,91.13,91.44,105.45,40.3,63.38,111.16,99.24,48.51,26.03,148.29,44.1,43.29,132.29,29.35,37.38,84.16,23.35,44.71,10.72,21.09,151.94,76.49,91.82,183.8,33.28,68.06,163.14,20.21,44.97,20.7,383.91,83.01,91.41,52.93,125.12,103.02,8.71,84.48,43.86,33.87,53.8,69.59,72.04,53.01,191.4,47.56,59.66,52.65,111.16,53.39,139.18,150.2,54.91,53.19,38.47,153.56,174.59,748.25,38.55,331.86,111.5,187.83,11.13,151.47,42.21,254.96,86.51,113.14,20.17,24.02,42.53,35903.29,1373.81,109.43,1099.18,28.04,62.06,42.13,2104.93,112.48,438.65,75.52,84.84,65.6,242.4,10.92,138.93,201.53,210.9,273.96,163.68,710.43,275.71,62.31,116.76,702.92,97.05,6.95,61.4,113.42,38.31,115.74,133.4,37.46,331.52,91.26,48.62,53.35,210.39,509.75,124.09,202.22,16.85,86.64,64.69,29.55,36.01,27.28,10.31,17.08,29.64,16.19,8.18,11.2,5.1,13.16,34.92,13.14,16.1,7.43,8.71,9.05,5.48,27.79,15.0,15.47,13.4,4.78,5.89,22.39,18.86,11.88,8.61,15.3,13.06,5.84,20.97,4.39,7.01,17.25,6.95,1182.28,934.6,56.7,168.95,102.2,93.66,63.31,101.61,259.93,192.88,17.21,350.45,178.32,287.52,216.11,47.08,6.78,337.72,102.54,51.37,212.43,200.74,266.62,206.29,33.2,451.05,87.19,423.54,87.4,725.03,124.44,553.19,39.63,112.48,58.46,752.2,223.3,89.36,39.54,166.45,236.18,246.06,38.14,25.4,43.26,18.72,24.5,83.28,80.54,113.27,53.97,70.24,38.79,225.08,44.81,48.59,43.05,113.97,405.77,84.67,67.2,220.43,34.29,16.81,73.91,15.17,8.82,127.78,75.19,45.81,9.28,59.9,26.19,31.99,78.63,131.84,39.07,189.13,397.14,988.84,286.77,108.24,41.36,15.77,30.4,87.4,49.95,31.96,106.8
