Date,600000.SS,600008.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600048.SS,600050.SS,600058.SS,600060.SS,600062.SS,600066.SS,600068.SS,600079.SS,600085.SS,600089.SS,600096.SS,600100.SS,600104.SS,600108.SS,600109.SS,600111.SS,600115.SS,600118.SS,600123.SS,600143.SS,600150.SS,600153.SS,600157.SS,600160.SS,600166.SS,600170.SS,600177.SS,600188.SS,600196.SS,600208.SS,600216.SS,600219.SS,600221.SS,600252.SS,600256.SS,600259.SS,600266.SS,600267.SS,600271.SS,600276.SS,600309.SS,600315.SS,600316.SS,600332.SS,600340.SS,600348.SS,600352.SS,600362.SS,600369.SS,600372.SS,600376.SS,600383.SS,600395.SS,600403.SS,600406.SS,600415.SS,600436.SS,600489.SS,600497.SS,600498.SS,600516.SS,600518.SS,600519.SS,600528.SS,600535.SS,600546.SS,600547.SS,600549.SS,600582.SS,600583.SS,600585.SS,600588.SS,600597.SS,600598.SS,600600.SS,600637.SS,600642.SS,600648.SS,600649.SS,600655.SS,600660.SS,600663.SS,600664.SS,600674.SS,600688.SS,600690.SS,600694.SS,600703.SS,600705.SS,600718.SS,600739.SS,600741.SS,600783.SS,600795.SS,600804.SS,600809.SS,600811.SS,600827.SS,600832.SS,600837.SS,600839.SS,600859.SS,600863.SS,600873.SS,600875.SS,600886.SS,600887.SS,600893.SS,600895.SS,600900.SS,600970.SS,600971.SS,600997.SS,600999.SS,601001.SS,601006.SS,601009.SS,601018.SS,601088.SS,601098.SS,601099.SS,601101.SS,601106.SS,601111.SS,601117.SS,601118.SS,601139.SS,601158.SS,601166.SS,601168.SS,601169.SS,601186.SS,601231.SS,601238.SS,601258.SS,601766.SS,601800.SS,601808.SS,601818.SS,601857.SS,601866.SS,601888.SS,601898.SS,601899.SS,601901.SS,601918.SS,601928.SS,601933.SS,601939.SS,601958.SS,601988.SS,601989.SS,601991.SS,601992.SS,601998.SS,603000.SS,603993.SS,000001.SZ,000002.SZ,000009.SZ,000012.SZ,000024.SZ,000039.SZ,000046.SZ,000060.SZ,000061.SZ,000063.SZ,000069.SZ,000100.SZ,000156.SZ,000157.SZ,000338.SZ,000400.SZ,000401.SZ,000402.SZ,000423.SZ,000425.SZ,000528.SZ,000536.SZ,000538.SZ,000562.SZ,000568.SZ,000581.SZ,000596.SZ,000598.SZ,000623.SZ,000625.SZ,000629.SZ,000630.SZ,000651.SZ,000656.SZ,000686.SZ,000703.SZ,000709.SZ,000718.SZ,000725.SZ,000728.SZ,000729.SZ,000750.SZ,000758.SZ,000768.SZ,000776.SZ,000778.SZ,000783.SZ,000792.SZ,000793.SZ,000800.SZ,000826.SZ,000831.SZ,000839.SZ,000858.SZ,000869.SZ,000876.SZ,000878.SZ,000895.SZ,000933.SZ,000937.SZ,000960.SZ,000961.SZ,000963.SZ,000970.SZ,000983.SZ,000999.SZ,002001.SZ,002007.SZ,002024.SZ,002038.SZ,002051.SZ,002065.SZ,002069.SZ,002081.SZ,002106.SZ,002129.SZ,002142.SZ,002146.SZ,002155.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002269.SZ,002294.SZ,002299.SZ,002304.SZ,002310.SZ,002344.SZ,002353.SZ,002375.SZ,002385.SZ,002399.SZ,002415.SZ,002422.SZ,002431.SZ,002450.SZ,002456.SZ,002500.SZ,002570.SZ,002594.SZ,002603.SZ,002653.SZ,002673.SZ
2013-02-08,73.37,15.88,35.66,13.67,22.91,20.51,138.85,3.53,9.58,5.84,11.06,6.51,70.49,500.05,48.47,141.96,6.03,72.95,58.58,123.9,279.47,29.88,199.48,178.66,256.41,28.17,139.91,110.97,72.21,77.34,422.93,4.9,220.08,141.78,103.58,78.29,75.83,241.64,58.96,87.02,30.81,107.15,44.43,118.69,25.55,67.02,16.43,6.87,124.98,416.21,58.11,37.34,101.84,128.61,384.18,414.95,193.67,72.38,36.26,128.6,113.05,68.54,35.9,22.01,52.21,49.98,87.86,60.4,59.27,293.28,124.71,156.18,168.39,144.5,35.76,48.24,342.11,928.79,27.06,195.71,83.72,390.16,289.2,207.05,116.17,68.15,164.45,24.22,16.48,44.41,37.59,20.8,26.38,29.32,1092.32,368.34,44.05,46.96,70.46,7.02,192.53,184.62,105.8,83.6,135.45,480.08,351.56,72.62,635.61,51.9,113.21,99.14,62.71,65.91,261.55,45.31,73.41,49.99,29.02,39.99,128.68,589.54,14.23,120.9,16.52,87.66,75.27,10.8,18.68,23.32,9.22,15.3,2.75,27.66,9.53,7.08,41.61,2.99,6.41,8.53,6.5,15.09,6.21,41.59,9.24,12.64,6.51,12.53,7.24,13.1,5.37,5.65,18.1,3.81,10.85,2.7,29.88,8.97,6.41,6.33,12.0,7.93,26.7,5.91,16.78,3.9,8.62,9.81,9.06,5.7,39.88,10.12,1104.42,1243.78,50.79,150.22,115.44,282.36,178.7,349.31,140.71,136.36,239.53,6.38,23.41,516.2,112.14,106.62,51.12,188.62,465.21,161.18,75.79,35.1,755.76,89.47,731.67,98.38,92.62,97.78,350.5,56.25,19.53,122.33,1440.65,25.05,142.73,54.04,23.95,33.81,11.01,17.58,49.89,108.59,140.84,98.17,82.88,43.2,24.97,131.52,6.63,22.46,117.3,79.95,56.07,374.96,166.76,116.1,43.37,287.88,89.94,75.77,73.39,25.88,117.35,266.92,80.28,51.71,168.86,286.03,619.21,372.38,76.3,114.35,108.02,319.8,69.76,25.39,12.79,57.94,40.89,30.69,118.98,410.59,231.62,24.5,191.76,24.41,203.38,461.28,66.7,258.76,80.4,48.53,42.8,126.38,137.6,91.25,89.47,94.88,8.6,32.79,25.43,32.09,36.25,16.0
2013-02-18,72.89,16.12,35.94,13.58,22.7,19.99,137.62,3.56,9.52,5.87,11.22,6.42,68.38,491.63,48.17,140.27,5.95,71.6,57.56,123.09,272.51,29.83,197.29,178.66,254.84,27.91,140.3,112.34,72.63,74.5,422.68,4.88,227.44,138.31,103.58,78.08,76.01,245.07,58.35,89.19,30.63,104.96,43.29,118.69,25.13,68.19,16.17,6.8,125.29,415.26,57.59,37.12,103.16,130.93,378.63,407.64,190.87,72.17,37.52,127.89,111.1,66.72,34.65,21.79,53.39,49.53,83.55,59.77,58.15,288.31,123.67,155.54,161.87,139.12,35.79,48.81,345.17,890.79,27.19,193.33,82.29,373.16,282.63,204.43,117.19,68.33,164.72,24.61,16.61,44.63,37.2,20.74,26.06,29.32,1061.52,366.25,44.25,47.08,70.62,6.94,192.01,37.1,110.93,80.8,136.42,467.66,353.09,71.77,633.41,52.82,109.95,98.82,61.68,66.12,249.12,45.03,71.79,49.4,28.97,40.8,127.74,574.39,14.23,121.73,16.48,86.43,73.17,10.8,17.97,22.7,9.86,15.1,2.74,27.04,9.5,6.99,40.52,2.97,6.38,8.49,6.5,15.11,6.23,41.81,8.99,12.7,6.38,12.64,7.1,13.28,5.36,5.57,18.5,3.76,10.92,2.7,29.86,8.85,6.26,6.14,11.76,7.88,26.78,5.89,16.59,3.89,8.78,9.77,8.87,5.65,41.09,9.88,1112.59,1211.08,51.06,155.14,113.83,280.88,176.72,334.59,142.35,138.46,235.28,6.33,25.74,505.68,109.42,106.04,50.55,187.0,465.21,159.38,75.03,34.95,741.46,86.06,710.93,102.95,87.97,101.9,333.54,56.31,19.21,117.78,1419.93,24.61,138.09,55.06,23.57,33.23,11.06,17.12,49.72,103.73,137.96,99.29,79.84,42.99,23.96,132.11,6.63,22.77,118.9,75.96,55.99,365.1,165.38,114.4,42.47,284.63,88.22,75.41,68.32,25.75,116.61,262.66,79.38,50.56,168.39,294.15,599.77,369.82,76.81,114.35,109.82,316.91,69.63,25.91,12.79,56.36,38.82,30.96,119.31,410.83,222.08,25.13,197.75,24.91,194.57,469.66,65.66,255.2,80.61,48.61,42.46,128.82,134.9,89.97,89.47,96.96,8.34,33.34,27.17,32.3,37.6,15.45
2013-02-19,71.93,16.07,35.77,13.39,22.34,19.77,139.1,3.52,9.42,5.82,11.22,6.3,66.52,470.58,47.77,133.41,5.85,71.28,54.47,121.0,267.33,29.05,203.38,178.42,254.84,27.59,136.97,107.54,71.37,73.9,409.3,4.79,225.29,132.44,101.61,75.36,72.81,220.68,57.13,85.39,29.88,101.95,42.15,119.87,24.15,66.27,15.99,6.69,126.88,413.13,56.02,36.01,101.53,126.95,386.73,399.9,188.63,69.35,36.62,119.52,104.08,68.1,33.62,21.33,52.46,47.47,77.33,57.87,52.53,280.03,121.59,157.7,159.89,138.1,34.92,47.18,337.95,882.56,26.86,192.43,78.46,367.46,272.97,194.95,113.62,63.47,161.44,24.79,16.62,45.32,37.33,20.58,25.24,6.1,1048.91,362.77,42.39,48.3,68.74,7.13,187.4,37.1,108.72,81.41,133.36,455.53,341.75,68.72,620.21,52.28,109.67,95.73,60.35,65.28,241.32,44.21,70.55,47.85,28.41,41.06,124.89,560.25,14.23,119.64,16.22,83.64,71.41,10.8,18.12,22.3,7.92,15.43,2.71,26.75,9.28,6.93,39.2,2.9,6.29,8.31,6.29,14.73,6.19,41.5,8.89,12.64,6.28,12.42,6.83,13.3,5.37,5.43,18.54,3.7,10.8,2.71,29.48,8.69,6.21,6.0,11.25,7.56,26.61,5.85,16.13,3.86,8.52,9.63,8.24,5.57,39.97,9.57,1107.69,1161.53,49.08,158.06,108.26,275.6,170.45,332.49,138.61,134.95,226.47,6.23,26.92,488.93,103.89,103.58,45.94,180.5,456.4,151.94,72.65,34.36,740.5,84.89,711.33,96.63,87.95,99.24,324.84,53.2,18.68,116.04,1385.87,23.33,133.1,53.99,23.29,31.77,11.19,17.05,50.54,101.53,135.16,97.83,78.23,42.06,23.41,128.47,6.63,21.86,116.25,77.1,54.24,359.69,172.2,112.16,41.32,287.18,84.68,69.21,66.42,24.56,113.93,254.07,76.93,49.02,164.75,287.39,581.14,362.4,74.73,109.57,108.14,307.27,68.09,26.42,12.8,54.36,38.21,30.28,115.6,402.35,225.56,24.66,194.8,24.99,195.77,446.32,66.24,248.72,76.44,47.97,42.98,125.78,133.22,85.2,87.42,96.58,8.28,32.58,26.15,32.56,37.46,15.42
2013-02-20,70.19,17.26,35.54,13.55,22.65,19.46,137.26,3.51,9.42,6.03,11.38,6.29,67.2,471.34,47.81,135.21,5.88,72.86,55.91,132.74,267.05,29.27,213.21,187.53,252.63,27.73,140.49,108.63,72.31,73.98,411.51,4.79,229.89,135.79,102.97,77.29,73.09,12.14,57.46,87.56,30.09,102.95,42.57,125.31,24.34,68.89,16.13,6.7,131.41,414.55,56.26,36.09,104.85,129.55,400.72,402.2,189.11,69.75,38.28,118.95,105.9,69.34,34.26,21.83,50.71,47.79,79.33,59.13,53.02,287.81,122.11,164.18,160.29,139.38,35.3,48.33,358.75,882.46,26.89,197.54,78.86,370.86,273.84,196.58,114.98,63.68,163.22,25.74,16.98,45.93,38.91,20.64,25.32,6.1,1051.71,365.56,42.43,49.58,70.07,7.23,188.32,37.1,110.46,80.9,135.87,463.15,340.83,70.06,624.61,54.35,111.64,96.06,61.14,65.49,242.62,44.48,70.62,48.24,28.51,41.01,128.92,583.88,14.23,120.48,16.38,84.22,72.36,10.8,18.13,22.44,7.92,15.15,2.72,26.83,9.54,7.1,39.7,2.93,6.13,8.62,6.34,15.42,6.37,40.55,8.95,12.45,6.36,12.83,6.88,14.63,5.35,5.44,18.65,3.67,10.82,2.76,30.36,8.7,6.23,6.07,11.49,7.71,27.43,5.82,16.24,3.85,8.59,9.69,8.33,5.49,41.52,9.7,1079.92,1185.31,49.78,158.06,111.76,282.69,170.45,333.09,139.07,136.71,229.73,6.31,26.8,494.19,104.46,105.64,46.67,180.96,479.79,152.9,72.27,34.42,769.29,85.51,715.36,99.23,86.69,106.37,330.95,52.97,18.72,117.16,1394.62,24.19,135.49,54.66,23.35,32.93,11.29,17.14,50.87,102.75,136.11,97.49,76.71,42.27,23.68,129.51,6.63,22.09,123.04,73.23,54.79,359.14,174.9,112.85,41.47,294.94,85.64,70.45,66.36,24.81,119.12,256.09,77.83,53.55,169.26,304.76,601.39,378.16,75.06,113.01,108.56,315.47,72.06,27.34,12.6,56.52,38.62,30.96,117.15,409.23,227.96,25.29,200.32,24.99,195.91,458.77,69.36,256.84,77.04,49.41,43.62,129.18,141.5,87.09,88.0,99.36,8.39,34.22,26.5,33.51,39.22,15.61
2013-02-21,66.65,17.24,34.94,13.21,22.1,18.7,129.63,3.46,9.3,5.97,11.12,6.05,64.05,447.23,46.28,134.26,5.75,67.05,53.65,132.02,254.72,27.88,212.15,181.35,244.13,27.02,134.43,103.43,72.0,69.54,398.49,4.61,218.55,128.44,97.97,75.42,71.45,12.14,55.07,82.67,29.38,100.4,41.13,124.62,24.46,67.72,15.65,6.59,126.03,413.61,54.14,34.79,104.25,126.66,392.28,394.05,190.12,67.5,37.32,119.61,100.5,66.87,32.4,20.65,48.53,47.02,78.7,55.93,51.73,279.53,118.99,161.17,152.77,131.79,35.3,47.62,354.15,892.32,25.9,198.72,73.96,354.76,261.29,188.08,109.38,60.47,159.53,25.3,16.82,44.92,37.79,20.35,25.29,6.1,1023.71,356.51,41.57,48.24,68.35,7.04,182.8,37.1,106.67,80.65,130.86,447.63,330.71,67.19,607.01,53.28,115.03,90.38,59.57,63.39,228.7,43.11,69.58,47.13,27.33,39.1,126.55,580.05,14.23,115.67,15.98,83.12,69.66,10.8,17.0,21.24,9.56,14.46,2.66,25.75,9.52,6.81,37.4,2.83,5.9,8.62,6.01,15.39,6.22,38.2,8.57,12.04,6.09,12.94,6.57,15.43,5.18,5.26,18.01,3.51,10.57,2.66,29.82,8.44,6.06,5.74,10.91,7.52,27.14,5.67,15.59,3.77,8.31,9.47,7.91,5.26,41.88,9.16,1041.81,1172.43,49.25,154.22,111.64,267.02,168.81,308.47,134.86,135.65,222.88,6.13,27.86,471.7,99.05,101.52,44.45,176.55,465.67,147.14,69.94,34.02,758.73,80.47,729.05,96.65,88.51,103.83,313.38,50.9,18.03,111.42,1361.94,23.91,128.53,52.48,22.69,32.6,10.92,16.34,49.39,95.77,130.36,92.94,74.14,41.49,22.52,124.8,6.63,21.26,123.09,72.99,52.72,363.99,178.07,107.75,39.43,291.83,82.3,65.65,63.19,24.76,114.75,240.78,74.24,52.91,165.62,302.39,591.67,368.89,75.64,111.96,104.96,319.11,69.82,27.17,12.04,56.86,36.66,29.97,117.63,412.59,224.9,24.59,200.63,24.77,198.46,444.53,68.6,251.44,75.48,48.57,42.14,130.3,140.4,84.85,86.88,96.82,7.94,33.79,25.33,33.61,38.0,15.05
2013-02-22,66.17,17.39,34.64,13.3,22.05,18.6,126.31,3.45,9.3,5.81,10.99,6.0,63.24,444.55,45.25,135.31,5.7,68.03,52.72,131.31,254.72,27.76,209.15,179.4,244.13,26.98,133.65,100.29,74.73,68.74,417.03,4.57,220.39,127.68,95.7,78.35,71.9,12.14,55.52,81.04,29.41,99.49,41.27,124.42,24.09,67.18,15.59,6.59,121.29,427.55,58.8,34.71,102.92,124.92,392.16,390.5,188.0,68.02,36.67,121.99,100.76,65.99,32.36,20.81,49.03,47.3,77.23,55.93,51.38,278.04,118.64,156.93,153.86,132.13,35.76,46.65,347.36,918.23,25.73,197.26,72.61,358.26,266.19,185.46,108.7,59.75,159.67,24.63,17.2,45.17,39.15,20.32,26.64,6.1,1033.51,351.63,42.06,47.47,69.21,7.03,179.9,37.1,104.93,75.66,132.11,442.55,319.66,66.52,602.62,53.2,125.04,88.76,59.15,63.39,228.7,42.84,69.51,47.39,27.28,38.57,130.58,569.34,14.23,115.67,15.91,82.41,69.56,10.8,17.28,21.02,9.65,14.43,2.65,25.57,10.19,6.74,37.03,2.82,5.82,8.41,5.95,15.26,6.17,37.34,8.62,12.12,6.07,12.65,6.56,15.08,5.16,5.23,17.81,3.51,10.5,2.56,30.38,8.43,6.08,5.69,11.02,7.87,28.29,5.62,15.63,3.77,8.43,9.43,7.84,5.23,42.67,9.23,1015.67,1173.42,48.76,149.76,110.77,261.91,168.48,309.97,135.33,130.86,220.27,6.08,26.26,9.19,98.17,102.28,44.23,175.63,454.66,145.7,69.38,33.97,756.81,79.68,760.08,94.31,97.05,8.81,306.51,48.72,17.95,111.42,1341.68,24.23,125.3,53.41,22.47,32.26,10.96,16.22,49.31,94.17,132.08,93.28,74.32,41.38,22.38,124.54,6.63,20.54,122.19,75.19,52.72,373.01,184.18,106.75,39.35,282.45,81.72,65.85,63.19,25.3,114.55,244.14,73.44,51.68,163.17,296.18,590.05,388.85,77.72,117.16,104.78,312.2,69.6,26.81,11.84,56.44,36.91,29.75,113.58,413.47,232.1,24.14,191.8,24.65,208.8,445.13,71.02,258.44,74.91,49.73,41.82,130.34,138.1,83.22,85.69,97.54,7.88,33.6,25.15,33.07,37.54,14.69
2013-02-25,67.25,18.72,34.89,13.25,22.49,18.93,127.54,3.42,9.29,5.86,11.23,5.97,63.76,452.21,45.15,132.57,5.73,67.05,53.65,132.74,258.39,27.82,210.12,180.94,243.82,26.89,134.63,100.64,75.15,69.82,412.86,4.59,222.38,128.33,94.49,78.17,71.9,12.14,55.24,81.58,29.45,99.49,41.25,122.24,23.97,67.36,15.57,6.49,122.45,424.24,58.04,34.26,103.22,124.49,393.9,393.21,189.55,66.69,36.87,120.76,102.06,68.47,32.2,20.99,47.95,46.29,75.65,55.62,51.29,278.87,118.82,158.63,153.76,131.19,36.75,46.43,356.34,897.3,25.93,200.91,72.61,357.76,264.72,185.46,109.89,60.2,161.03,26.05,17.32,45.17,40.07,20.38,27.96,6.1,1041.91,349.55,42.33,47.79,69.6,7.01,180.83,37.1,107.22,76.01,130.02,443.11,320.28,67.19,618.01,52.59,122.02,90.05,59.27,63.28,230.74,42.84,69.92,47.85,27.9,38.95,131.76,561.06,14.23,116.51,15.87,83.83,69.56,10.8,17.44,21.1,9.77,14.52,2.65,25.49,10.28,6.84,37.14,2.84,5.86,8.39,6.0,15.87,6.62,38.25,8.54,12.06,6.09,13.56,6.54,14.38,5.2,5.25,17.84,3.54,10.53,2.57,30.23,8.4,6.06,6.02,11.02,8.0,28.05,5.62,15.56,3.78,8.62,9.53,7.91,5.35,42.49,9.25,1064.13,1142.7,48.92,150.53,109.83,266.2,168.15,307.27,136.27,128.17,218.31,6.18,25.6,9.19,98.51,103.08,44.29,174.46,454.48,147.62,70.13,33.79,752.78,80.7,744.97,94.44,96.35,8.81,312.93,49.01,17.83,110.86,1362.4,24.19,127.19,56.67,22.36,32.55,10.92,16.31,49.64,97.28,131.32,93.37,75.33,41.38,22.59,125.69,6.63,20.52,131.87,78.97,52.96,364.96,178.61,109.61,39.43,280.93,81.05,65.49,63.19,25.1,115.58,242.05,73.59,51.9,163.57,296.41,581.95,392.06,76.96,124.04,104.42,305.29,69.29,26.83,12.12,56.19,36.78,29.97,113.14,431.15,231.62,23.82,191.92,25.65,202.78,452.6,73.06,265.16,74.19,52.75,42.08,130.94,141.2,85.49,90.69,101.14,7.99,34.1,25.2,32.8,38.7,14.98
2013-02-26,67.31,18.28,34.71,13.02,21.97,18.79,128.28,3.41,9.2,5.73,11.18,5.84,62.55,444.17,44.05,130.25,5.61,65.89,55.24,131.88,250.11,27.1,210.44,179.72,237.52,26.5,130.33,98.58,73.26,68.66,404.51,4.47,223.45,124.98,93.43,77.89,71.9,12.14,53.97,79.95,29.59,97.85,40.05,122.34,23.55,66.68,15.29,6.36,122.24,424.0,58.16,33.99,104.13,123.25,388.0,388.2,186.57,67.21,35.33,116.24,99.66,67.08,31.44,20.39,48.73,45.23,75.12,54.41,49.46,274.39,115.52,162.23,151.98,128.54,37.07,45.72,348.9,880.0,25.43,204.94,71.99,353.66,260.15,184.48,107.01,58.55,153.65,25.67,16.75,44.18,38.61,20.28,27.22,6.1,1039.11,343.63,41.3,46.89,69.84,6.84,178.06,37.1,105.64,76.06,134.75,434.93,318.13,64.93,611.41,52.2,119.62,88.43,58.6,62.12,227.77,42.01,68.8,46.61,27.28,38.14,132.47,550.76,14.23,113.58,15.66,81.83,67.86,10.8,17.51,20.76,9.56,14.51,2.61,25.1,10.16,6.68,36.21,2.78,5.76,8.12,5.87,15.54,6.46,38.72,8.37,11.97,5.89,13.4,6.45,14.0,5.03,5.1,17.29,3.52,10.41,2.5,29.42,8.15,6.0,5.9,10.72,8.15,27.53,5.57,15.29,3.76,8.54,9.41,7.57,5.34,41.12,8.91,1109.87,1123.87,47.27,147.0,108.79,257.13,161.88,303.96,131.82,123.49,215.7,6.23,25.46,466.92,97.17,99.02,42.76,171.91,446.86,143.18,68.31,33.46,740.69,79.72,728.65,91.82,99.48,8.81,306.21,49.87,17.26,108.24,1341.22,24.1,126.91,56.31,22.03,31.87,10.78,16.02,48.74,97.06,128.04,94.65,74.5,41.64,22.31,122.54,6.63,20.75,126.28,82.92,51.93,357.05,173.07,107.91,38.86,273.84,79.43,64.21,62.36,25.32,115.61,238.91,71.24,53.92,162.15,291.67,560.08,382.08,76.4,122.07,100.28,300.96,70.06,25.86,12.02,56.44,35.74,29.43,112.5,444.27,236.3,23.31,192.49,25.05,197.38,439.14,71.56,265.48,72.39,52.57,41.14,133.5,137.56,82.38,89.76,98.26,7.83,31.3,24.81,34.06,37.2,14.71
2013-02-27,67.67,18.51,34.48,12.97,22.05,18.91,130.37,3.39,9.35,5.65,11.13,5.87,64.21,451.44,44.48,135.1,5.66,66.4,54.88,129.7,248.13,27.21,205.98,177.2,235.31,26.63,130.53,99.15,72.0,70.54,403.65,4.47,232.8,126.56,94.04,78.77,73.45,12.14,53.35,80.17,29.56,98.39,40.29,120.56,24.03,65.54,15.35,6.33,120.55,433.69,58.17,35.04,103.35,124.34,383.03,399.69,186.99,68.87,35.32,118.95,101.93,69.05,31.73,20.89,50.02,45.96,77.97,55.08,49.51,277.04,115.52,158.77,153.17,130.85,37.15,46.07,334.01,877.21,25.57,207.17,72.61,357.16,261.7,186.44,107.85,59.03,151.74,24.51,16.48,43.26,38.58,20.35,29.84,6.1,1046.11,345.02,43.12,46.51,71.48,7.12,178.33,37.1,103.83,79.07,130.86,446.21,320.28,65.85,609.21,51.9,118.82,90.7,58.67,62.12,235.2,42.29,67.66,46.48,27.28,38.29,135.55,550.15,14.23,115.25,15.56,82.15,68.21,10.8,18.9,21.0,9.53,14.81,2.62,25.33,10.08,6.86,37.25,2.79,5.71,8.18,5.93,15.53,6.53,40.12,8.5,12.06,5.95,13.3,6.58,14.0,4.98,5.05,17.64,3.56,10.48,2.53,29.23,8.21,6.05,6.22,10.8,8.19,27.68,5.63,15.44,3.78,8.63,9.43,7.69,5.33,40.19,9.01,1119.12,1173.42,47.48,147.0,114.45,260.59,167.82,313.27,131.12,122.55,222.22,6.36,25.63,466.44,98.59,98.66,43.15,172.84,441.36,144.74,68.69,33.57,735.7,82.15,732.28,91.68,98.22,8.81,312.93,50.33,17.42,109.05,1358.72,25.27,132.05,54.57,22.14,32.6,10.6,16.34,48.65,100.4,129.0,96.8,76.67,41.64,22.85,122.28,6.63,21.08,127.13,87.08,52.17,355.94,171.79,109.22,39.2,276.42,80.2,65.41,63.22,26.39,111.33,240.03,71.94,52.57,160.02,282.31,560.08,376.02,75.24,120.6,99.92,301.72,69.05,25.99,12.24,59.64,36.07,29.34,111.82,437.07,233.12,23.39,191.42,25.13,197.04,442.43,71.3,258.6,72.51,52.85,41.38,132.58,135.58,80.4,89.98,100.36,8.03,31.58,24.9,33.76,36.22,15.03
2013-02-28,71.69,18.51,35.01,13.18,22.44,19.6,136.89,3.45,9.38,5.74,11.31,6.0,67.04,470.96,46.01,139.74,5.73,68.17,57.3,130.69,258.39,27.88,199.08,179.15,245.71,26.93,133.46,101.72,73.58,72.7,411.38,4.57,239.24,130.62,99.64,79.62,75.37,12.14,54.58,82.89,30.06,100.67,41.09,122.34,24.64,66.24,15.59,6.44,123.08,445.51,60.92,35.66,103.83,126.37,386.15,404.71,190.09,71.73,37.5,123.37,104.86,70.0,32.81,21.55,50.02,47.79,80.7,56.6,51.03,281.68,117.78,160.71,154.26,134.35,37.69,47.05,341.01,868.98,25.96,204.72,75.06,359.16,266.66,190.37,109.89,62.48,153.79,25.99,16.8,44.34,39.6,20.51,31.61,6.1,1061.52,348.85,44.44,47.6,72.03,7.41,182.01,37.1,108.25,81.06,131.69,455.53,327.33,67.37,624.61,52.74,117.86,93.95,59.45,63.17,247.45,42.84,68.83,47.26,27.79,39.15,135.78,564.69,14.23,117.97,15.85,83.83,70.01,10.8,19.57,21.5,9.79,15.35,2.65,25.77,10.36,7.12,38.2,2.84,5.9,8.43,6.05,15.75,6.54,42.17,8.71,12.49,6.11,13.34,6.66,14.08,5.08,5.17,17.9,3.66,10.57,2.57,29.46,8.36,6.09,6.84,11.2,8.34,28.5,5.71,15.89,3.82,8.83,9.59,8.01,5.5,41.27,9.38,1226.93,1240.81,48.76,152.07,118.7,268.34,174.08,319.88,133.46,126.76,226.79,6.38,26.46,480.79,101.78,100.25,45.43,176.55,448.7,149.06,70.19,33.62,740.02,85.4,731.27,97.39,96.46,8.81,325.6,52.11,17.79,111.73,1410.27,26.25,135.7,55.15,22.47,33.18,10.6,16.79,49.72,104.42,131.32,96.97,79.93,41.9,23.75,124.91,96.75,21.55,130.62,91.44,53.2,354.56,173.28,111.0,39.91,284.92,83.35,68.97,64.93,26.89,112.58,247.2,74.99,52.77,161.12,287.39,566.56,394.48,76.1,123.4,101.36,308.48,67.82,26.79,12.7,60.93,36.76,30.78,115.13,447.23,228.5,23.82,194.3,12.02,193.92,452.01,71.14,264.44,75.03,51.75,41.76,133.62,138.98,84.88,89.98,100.0,8.36,32.09,25.22,33.73,36.22,15.51
