Date,600000.SS,600008.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600023.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600038.SS,600048.SS,600050.SS,600058.SS,600060.SS,600066.SS,600068.SS,600079.SS,600085.SS,600089.SS,600100.SS,600104.SS,600108.SS,600109.SS,600111.SS,600115.SS,600118.SS,600143.SS,600150.SS,600153.SS,600157.SS,600166.SS,600170.SS,600177.SS,600188.SS,600196.SS,600208.SS,600221.SS,600252.SS,600256.SS,600267.SS,600271.SS,600276.SS,600277.SS,600309.SS,600315.SS,600316.SS,600332.SS,600340.SS,600348.SS,600352.SS,600362.SS,600369.SS,600372.SS,600373.SS,600383.SS,600395.SS,600398.SS,600406.SS,600415.SS,600436.SS,600485.SS,600489.SS,600497.SS,600498.SS,600516.SS,600518.SS,600519.SS,600535.SS,600547.SS,600549.SS,600570.SS,600578.SS,600583.SS,600585.SS,600588.SS,600597.SS,600600.SS,600633.SS,600637.SS,600642.SS,600648.SS,600649.SS,600655.SS,600660.SS,600663.SS,600664.SS,600674.SS,600688.SS,600690.SS,600703.SS,600705.SS,600718.SS,600739.SS,600741.SS,600783.SS,600795.SS,600804.SS,600809.SS,600827.SS,600832.SS,600837.SS,600839.SS,600863.SS,600867.SS,600873.SS,600875.SS,600880.SS,600886.SS,600887.SS,600893.SS,600900.SS,600998.SS,600999.SS,601006.SS,601009.SS,601018.SS,601088.SS,601098.SS,601111.SS,601117.SS,601118.SS,601158.SS,601166.SS,601168.SS,601169.SS,601179.SS,601186.SS,601216.SS,601225.SS,601231.SS,601258.SS,601727.SS,601766.SS,601800.SS,601808.SS,601818.SS,601857.SS,601866.SS,601888.SS,601898.SS,601899.SS,601901.SS,601928.SS,601929.SS,601933.SS,601939.SS,601958.SS,601988.SS,601989.SS,601992.SS,601998.SS,603000.SS,603288.SS,603699.SS,603993.SS,000001.SZ,000002.SZ,000009.SZ,000024.SZ,000027.SZ,000039.SZ,000060.SZ,000061.SZ,000063.SZ,000069.SZ,000100.SZ,000156.SZ,000157.SZ,000333.SZ,000338.SZ,000400.SZ,000401.SZ,000402.SZ,000413.SZ,000423.SZ,000425.SZ,000503.SZ,000536.SZ,000538.SZ,000559.SZ,000562.SZ,000568.SZ,000581.SZ,000598.SZ,000623.SZ,000625.SZ,000629.SZ,000630.SZ,000651.SZ,000686.SZ,000709.SZ,000725.SZ,000728.SZ,000729.SZ,000750.SZ,000768.SZ,000776.SZ,000778.SZ,000783.SZ,000792.SZ,000793.SZ,000800.SZ,000825.SZ,000826.SZ,000831.SZ,000839.SZ,000858.SZ,000869.SZ,000876.SZ,000878.SZ,000883.SZ,000895.SZ,000898.SZ,000917.SZ,000937.SZ,000960.SZ,000963.SZ,000970.SZ,000983.SZ,000999.SZ,002001.SZ,002007.SZ,002008.SZ,002024.SZ,002038.SZ,002051.SZ,002065.SZ,002081.SZ,002129.SZ,002142.SZ,002146.SZ,002153.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002292.SZ,002294.SZ,002304.SZ,002310.SZ,002344.SZ,002353.SZ,002375.SZ,002385.SZ,002399.SZ,002400.SZ,002410.SZ,002415.SZ,002416.SZ,002422.SZ,002429.SZ,002450.SZ,002456.SZ,002465.SZ,002470.SZ,002475.SZ,002500.SZ,002570.SZ,002594.SZ,002603.SZ,002653.SZ,002673.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300058.SZ,300070.SZ,300124.SZ,300133.SZ,300146.SZ,300251.SZ
2014-02-11,65.87,22.93,37.28,11.16,18.67,19.9,107.11,5.99,8.12,6.37,4.37,10.02,4.43,57.28,268.5,39.74,75.17,91.78,5.0,48.7,59.77,332.21,19.54,205.98,169.22,352.92,211.43,86.2,80.98,100.66,277.9,3.52,368.42,93.58,78.05,66.25,95.62,65.17,28.69,6.64,21.81,196.46,19.17,6.1,152.6,282.82,102.8,173.28,490.56,28.05,475.78,165.62,79.71,39.23,151.6,52.89,93.58,20.29,20.57,72.42,53.16,70.49,28.72,55.42,360.41,103.73,136.11,63.2,86.16,85.86,48.49,41.21,380.21,708.32,286.36,180.26,162.82,277.7,13.9,152.49,55.7,305.49,37.27,54.79,108.96,92.88,20.87,99.61,39.52,1148.76,354.07,63.55,41.52,85.1,8.3,294.61,207.27,91.5,222.61,456.94,314.14,104.24,565.22,125.16,58.83,64.27,116.75,215.15,90.3,33.66,268.37,31.0,32.52,365.86,148.76,782.04,74.59,14.35,19.55,17.07,9.71,12.59,2.58,18.04,12.87,4.25,6.72,7.67,6.5,32.15,6.36,10.16,3.39,4.82,30.64,4.29,24.36,13.05,4.02,4.85,4.29,22.21,2.87,9.4,2.31,38.38,5.48,4.16,6.0,11.46,12.42,29.62,5.24,9.48,3.5,9.28,6.35,4.99,89.39,66.41,19.97,6.32,1029.28,817.67,65.38,81.73,39.51,309.73,184.9,199.46,174.39,175.22,7.03,40.69,292.74,45.95,74.74,182.33,26.02,143.82,31.96,364.03,89.07,256.27,40.54,881.85,139.71,8.22,461.34,97.87,153.74,272.3,65.79,10.94,59.05,1496.34,116.37,18.13,10.27,14.86,61.06,93.92,83.41,61.29,37.85,22.5,83.17,184.46,26.34,18.01,161.01,83.66,58.62,233.95,109.16,100.33,21.91,14.05,364.57,3.8,122.94,35.17,31.4,148.99,225.62,41.07,45.24,167.28,350.33,191.15,865.45,469.04,53.05,258.96,226.24,36.37,10.36,44.54,326.72,52.03,184.28,612.91,342.32,154.4,162.4,193.64,112.37,350.66,66.4,419.0,78.36,59.52,46.4,208.1,229.24,176.22,48.6,94.48,35.6,110.67,188.18,50.86,22.7,109.23,7.34,45.8,44.29,47.68,61.91,13.16,116.97,233.73,279.1,209.43,283.15,241.82,249.36,384.72,76.3,224.24
2014-02-12,65.63,23.06,37.03,11.23,18.64,19.71,108.71,5.95,8.12,6.49,4.34,9.98,4.41,57.2,266.2,39.51,75.62,91.46,5.01,48.52,59.46,326.11,19.54,207.2,169.39,346.86,209.67,85.4,87.18,103.62,279.37,3.53,367.24,95.25,77.95,66.52,95.08,64.41,28.77,6.64,21.57,197.95,19.23,6.1,153.23,298.77,103.71,171.76,489.42,28.16,477.66,174.49,80.16,38.92,156.45,51.72,95.91,20.17,20.73,72.7,53.28,70.7,28.59,57.13,358.32,105.11,135.39,63.0,86.75,85.21,48.58,42.01,391.82,708.84,280.92,180.16,162.02,290.15,13.87,153.0,55.7,309.59,37.41,53.57,105.03,93.33,21.19,97.1,39.74,1169.76,353.37,63.19,41.84,85.42,8.32,294.22,204.04,91.8,225.95,459.2,315.98,105.28,563.02,124.54,58.52,65.06,115.27,214.59,88.93,33.56,268.99,30.7,32.7,363.88,148.01,770.12,75.8,14.28,19.3,17.07,9.71,12.61,2.57,17.96,13.09,4.24,6.79,8.42,6.55,31.99,6.33,10.18,3.39,4.83,30.28,4.41,25.11,13.03,4.02,4.87,4.32,22.36,2.85,9.37,2.36,38.73,5.46,4.13,6.01,11.53,13.66,29.56,5.22,9.5,3.49,9.22,6.39,5.4,88.04,73.05,21.38,6.33,1024.06,814.7,66.0,81.69,40.12,319.63,184.6,201.34,175.91,174.24,6.95,40.37,291.78,46.75,74.97,180.45,26.12,143.59,30.76,368.07,88.83,251.61,40.04,896.05,142.76,8.22,459.93,100.4,155.3,272.91,67.05,10.9,58.61,1549.74,115.52,18.13,10.27,14.88,60.73,93.92,83.07,61.62,38.57,22.59,83.88,179.87,26.69,18.01,165.6,83.37,59.49,234.78,108.89,101.88,21.83,13.88,362.65,3.8,124.87,34.85,31.08,145.05,229.2,40.57,45.49,170.76,347.74,192.24,895.42,460.49,52.52,284.44,239.0,37.99,10.39,43.38,322.25,51.94,188.16,604.11,350.53,168.11,156.45,194.45,113.06,357.24,67.96,413.7,81.51,60.2,46.72,195.14,230.5,173.5,46.5,95.46,34.61,110.72,193.26,51.84,24.93,113.8,7.34,45.55,45.26,47.29,61.78,13.16,121.61,232.37,282.73,210.65,277.71,256.05,250.08,375.03,76.3,229.09
2014-02-13,66.23,22.83,37.05,11.07,18.54,19.94,112.52,5.95,8.1,6.29,4.28,9.95,4.43,57.0,263.14,39.59,73.77,89.78,4.98,48.89,58.12,334.92,19.43,199.73,166.94,347.24,199.7,85.57,83.93,98.14,279.62,3.56,348.46,94.04,75.57,67.25,94.72,64.3,28.77,6.64,21.67,199.23,19.05,6.01,149.65,290.26,100.51,165.02,477.46,27.9,465.75,168.98,77.38,37.62,150.75,51.85,99.04,20.1,20.29,70.51,48.71,69.02,28.4,56.94,357.63,102.34,133.02,60.09,87.84,85.21,47.04,40.95,384.37,715.91,271.69,180.66,161.88,276.67,13.64,149.26,54.89,286.63,38.13,53.07,98.47,87.24,21.19,98.29,38.93,1182.37,349.2,64.08,41.46,83.23,8.18,287.11,202.77,90.89,217.87,444.8,311.69,103.69,558.62,127.38,58.65,66.5,124.43,213.48,87.01,33.56,265.47,29.63,32.7,352.14,146.11,762.24,73.06,14.19,18.84,16.75,9.79,12.67,2.56,17.82,13.05,4.24,6.67,8.11,6.44,32.77,6.32,10.29,3.35,4.79,28.92,4.26,23.77,12.98,4.03,4.74,4.26,21.61,2.87,9.36,2.3,38.51,5.41,4.31,5.91,11.06,12.8,28.62,5.23,9.44,3.5,8.96,6.18,5.92,86.29,71.92,20.42,6.29,1048.45,803.8,67.04,79.96,39.77,314.52,184.6,191.51,170.87,172.93,6.95,40.17,287.96,46.15,74.4,179.88,26.08,142.2,30.55,360.82,87.51,272.08,41.9,880.12,138.18,8.22,460.33,97.84,150.92,269.09,66.08,10.9,58.36,1580.12,114.33,18.02,10.27,14.72,60.16,92.84,80.67,61.02,38.26,22.43,83.24,182.79,27.37,17.95,162.81,83.86,58.7,234.92,109.77,100.95,21.81,13.8,358.29,3.74,120.27,34.37,30.64,140.28,226.21,40.37,44.81,169.57,332.96,192.35,863.83,442.52,51.61,39.93,231.59,36.9,10.49,42.84,317.89,50.42,181.31,597.55,347.83,168.53,150.11,195.83,119.88,349.34,66.8,402.41,81.21,59.76,45.3,41.47,219.34,173.34,44.3,93.3,34.2,111.2,191.94,50.42,24.25,112.26,7.25,45.46,49.0,45.42,61.75,13.15,119.43,216.85,266.76,199.78,261.55,247.09,253.86,355.85,76.3,214.86
2014-02-14,66.17,23.01,37.21,11.33,18.59,19.87,111.54,5.97,8.13,6.37,4.3,10.0,4.46,57.0,265.05,39.55,74.58,89.14,5.0,49.45,58.17,337.29,19.54,202.24,167.6,350.65,202.24,86.08,84.77,98.62,281.83,3.58,351.62,94.64,76.26,67.16,95.26,64.84,29.89,6.64,21.71,208.22,19.29,6.1,151.97,294.87,103.41,166.76,491.58,27.98,467.84,169.88,77.86,38.13,148.61,52.24,101.52,20.23,20.39,70.85,49.07,69.12,28.59,60.25,356.7,108.58,134.27,60.9,88.33,85.86,47.87,41.48,395.54,749.53,275.71,181.56,162.89,280.01,13.74,150.96,54.5,290.73,38.27,52.91,101.07,95.9,21.23,99.43,39.34,1190.77,351.98,64.87,41.78,85.5,8.63,288.82,204.35,90.99,220.1,450.45,311.69,107.54,560.82,127.69,60.59,68.25,129.38,214.04,87.56,34.25,277.51,30.09,33.16,368.61,150.28,760.63,73.87,14.23,18.66,16.9,10.1,12.64,2.57,17.86,13.57,4.29,6.74,8.29,6.53,32.51,6.31,10.26,3.36,4.87,29.62,4.34,24.16,13.03,4.07,4.82,4.3,21.66,2.85,9.37,2.33,38.76,5.44,4.31,5.95,11.29,13.01,29.0,5.24,9.54,3.49,8.96,6.16,5.81,86.83,73.58,21.29,6.37,1036.25,799.83,67.66,79.3,40.07,315.67,185.5,192.68,170.06,173.26,6.98,40.56,290.83,46.29,74.59,184.78,26.15,142.89,31.76,364.12,88.47,276.86,41.77,878.21,138.02,8.22,482.69,98.63,152.8,272.91,65.56,10.98,59.05,1575.05,115.03,18.07,10.32,14.77,59.42,93.03,81.27,61.25,38.31,22.59,83.84,183.9,27.04,18.01,163.1,88.1,59.02,241.86,113.14,101.03,21.88,13.8,355.92,3.77,121.83,34.57,31.08,147.54,226.51,40.47,46.22,169.26,338.15,195.09,867.88,448.6,53.49,39.93,233.76,37.33,10.42,42.42,330.31,51.54,181.89,596.27,345.02,172.7,148.69,197.96,129.41,356.76,66.56,402.36,83.07,59.88,45.7,41.47,239.66,173.74,44.68,94.72,34.88,114.99,207.14,49.94,24.34,115.75,7.3,45.85,48.43,45.95,61.02,13.23,119.46,213.31,284.91,201.22,264.66,250.73,273.98,364.52,76.3,218.97
2014-02-17,65.75,23.14,37.1,11.37,18.64,19.79,109.82,5.94,8.14,6.61,4.3,10.07,4.44,57.16,264.67,39.51,77.18,88.09,5.11,49.86,60.69,340.51,20.21,205.09,167.84,354.05,207.32,87.23,85.5,108.34,283.18,3.61,367.24,95.25,78.05,68.44,96.35,70.71,30.19,6.64,21.91,20.08,19.23,6.1,158.4,295.58,104.61,174.0,490.56,27.98,467.42,168.89,80.68,38.37,147.39,53.09,105.3,20.38,20.59,72.84,50.78,69.75,28.59,60.32,378.5,108.41,134.84,65.69,89.91,86.73,50.53,41.58,394.44,782.46,272.99,185.86,164.77,285.14,13.87,151.3,54.8,294.55,37.73,52.55,101.91,93.59,21.1,99.56,39.43,1192.17,355.81,64.51,42.16,85.57,8.52,289.48,203.01,91.65,228.32,448.47,317.21,107.42,560.82,132.84,62.31,69.7,128.64,214.59,93.32,34.44,279.79,30.75,34.15,368.91,150.28,760.83,81.22,14.25,18.27,16.94,9.9,12.63,2.57,18.07,13.65,4.3,6.77,8.36,6.58,32.18,6.37,10.23,3.38,4.87,30.78,4.68,25.2,13.28,4.18,4.82,4.31,22.01,2.84,9.41,2.34,38.34,5.59,4.34,5.98,11.54,12.98,29.2,5.25,9.64,3.5,9.26,6.21,5.75,87.56,72.42,22.15,6.42,1026.67,799.83,67.66,78.68,40.59,316.33,187.01,193.38,180.0,173.59,7.05,40.53,291.31,46.5,75.28,191.27,26.34,143.36,33.01,367.06,89.31,280.73,41.67,868.42,150.1,8.22,489.34,99.61,155.62,274.74,64.58,11.02,59.55,1571.83,115.1,18.18,10.55,14.84,58.84,95.09,83.84,61.29,39.25,22.66,84.58,194.76,27.18,18.06,162.06,88.3,60.61,251.02,117.29,100.25,22.04,13.95,351.64,3.8,122.86,34.89,31.55,150.16,230.69,40.82,46.84,173.52,339.28,194.65,893.8,453.56,55.92,39.93,246.63,36.96,10.38,42.71,330.48,51.99,186.64,587.95,336.06,171.53,150.84,196.98,136.42,362.62,67.0,399.76,91.29,59.56,48.24,41.47,255.46,176.3,46.12,99.2,35.21,114.65,207.42,52.02,24.78,114.18,7.34,45.98,50.15,45.78,61.67,13.28,121.06,224.16,291.01,205.04,272.67,250.49,287.52,370.13,76.3,225.72
2014-02-18,64.19,23.03,36.77,11.21,18.49,19.25,108.46,5.85,8.09,6.78,4.24,10.0,4.37,55.5,260.84,38.77,76.57,86.4,5.0,48.52,59.92,330.0,20.44,203.22,163.93,371.45,202.24,85.86,86.24,106.26,276.92,3.58,367.83,96.76,77.86,74.0,96.17,70.93,29.81,6.64,21.49,225.42,19.05,6.04,155.55,283.88,105.52,176.53,473.26,27.79,457.59,167.5,81.81,37.45,147.68,52.05,102.83,19.98,20.03,72.84,49.15,70.49,27.93,62.03,381.05,109.97,132.08,63.62,87.44,84.23,50.12,42.7,399.26,768.65,273.92,180.46,161.55,280.91,13.68,152.49,53.51,304.53,36.93,51.41,102.85,96.26,20.97,96.39,38.57,1165.56,352.33,62.86,42.16,86.43,8.57,296.85,210.43,89.72,228.04,445.09,334.39,104.98,556.42,130.84,60.74,68.19,141.06,207.36,93.6,33.76,277.71,30.55,34.4,379.43,148.76,751.34,81.22,14.11,20.09,16.25,9.77,12.42,2.55,17.84,13.62,4.24,6.55,8.42,6.42,31.25,6.26,10.05,3.39,4.82,29.54,4.95,25.73,13.85,4.18,4.74,4.26,21.9,2.79,9.37,2.35,38.62,5.54,4.25,5.78,11.68,13.27,29.42,5.2,9.68,3.49,9.2,6.08,5.61,86.76,74.77,22.91,6.33,999.66,789.92,70.3,77.03,40.18,309.4,183.4,194.55,178.6,170.65,6.9,39.17,287.96,45.99,74.36,185.91,26.62,142.2,32.73,378.98,88.59,280.16,42.67,851.91,163.4,8.22,478.87,96.82,157.81,268.02,62.63,10.9,58.36,1562.16,110.81,18.29,10.37,14.4,58.43,91.76,83.07,59.45,39.72,21.71,83.28,194.62,26.56,17.95,158.02,87.49,60.77,249.08,115.17,98.48,21.7,14.31,342.77,3.77,123.46,34.25,30.76,150.74,224.72,39.82,46.89,176.44,335.89,189.95,892.18,444.23,55.94,39.93,256.2,35.61,10.22,42.3,323.36,50.69,185.19,592.91,330.76,166.64,146.39,193.36,135.84,369.56,65.36,390.66,91.41,57.4,48.54,41.47,250.09,179.18,45.04,98.0,34.0,113.93,198.42,50.04,25.11,111.31,7.08,47.98,47.94,46.74,63.32,12.89,124.01,224.58,281.91,200.21,263.17,241.11,286.91,358.4,76.3,217.96
2014-02-19,65.57,23.11,36.89,11.56,18.59,19.81,111.66,5.87,8.12,6.7,4.29,10.28,4.46,55.46,262.76,39.51,75.14,87.35,5.06,48.15,60.49,324.41,20.55,209.15,163.04,368.43,210.45,86.77,86.97,102.14,277.16,3.68,358.34,97.07,75.66,77.1,96.35,69.95,29.85,6.64,21.63,225.03,19.96,6.3,156.61,292.74,105.46,179.0,471.99,27.68,461.57,166.56,80.24,38.19,147.61,52.83,105.96,20.09,20.01,71.58,48.01,71.65,27.99,62.23,386.62,112.4,134.42,63.28,87.64,85.1,49.85,42.27,391.6,780.37,289.46,182.56,161.61,278.21,13.93,148.58,53.87,302.07,37.46,51.39,101.81,44.33,21.36,96.31,38.3,1183.77,354.42,63.26,42.36,86.59,9.29,300.27,203.88,89.46,218.43,453.27,339.91,105.1,558.62,129.07,61.42,67.65,143.27,208.84,93.6,33.95,276.26,30.19,34.35,362.51,148.76,748.91,80.03,14.16,19.86,16.21,9.74,13.01,2.56,18.04,13.23,4.31,6.57,8.56,6.61,32.15,6.36,10.92,3.49,4.86,28.42,4.78,25.0,13.58,4.16,4.77,4.3,22.42,2.86,9.44,2.37,38.48,5.55,4.26,5.82,11.36,13.14,29.0,5.26,9.64,3.59,9.22,6.26,6.17,85.68,71.82,22.58,6.33,1029.28,799.83,69.19,77.98,40.23,304.79,184.6,191.51,178.83,173.59,6.8,39.65,290.35,46.08,73.78,182.66,26.88,143.59,30.96,377.79,88.59,279.71,43.38,867.84,178.08,8.22,483.5,95.77,157.5,271.23,63.09,10.94,58.73,1589.78,111.3,18.29,10.69,14.45,58.68,91.86,82.47,59.82,39.72,21.85,83.69,196.02,26.62,18.06,156.57,88.18,59.89,249.49,119.86,97.94,21.81,14.29,346.68,3.79,120.64,34.33,31.14,145.17,226.96,40.02,47.7,175.97,343.11,188.09,954.55,450.14,55.11,39.93,257.91,35.91,10.81,42.75,322.58,49.62,180.23,592.43,331.41,159.02,142.01,192.66,140.4,360.71,67.48,406.21,88.38,57.56,47.6,41.47,261.46,186.46,43.54,98.28,34.99,111.1,194.5,48.84,24.38,107.82,7.08,47.92,48.06,45.76,62.72,12.95,120.29,227.4,279.39,203.09,261.96,239.91,280.68,352.28,76.3,218.79
2014-02-20,64.97,22.9,37.24,11.51,18.67,19.43,109.2,5.9,8.13,6.74,4.3,11.07,4.41,54.08,263.52,38.89,74.13,86.61,5.1,48.1,61.16,317.46,20.66,205.82,164.83,364.64,203.02,86.88,85.61,97.7,276.18,3.6,346.68,94.64,74.45,76.65,99.42,67.78,29.51,98.67,21.67,226.71,19.78,6.21,152.49,299.12,103.65,175.3,471.1,27.2,457.59,170.01,77.54,37.41,146.39,51.98,106.83,20.03,19.49,69.36,48.73,71.23,27.99,62.42,384.53,108.24,138.99,64.1,86.45,84.12,48.94,41.32,392.69,777.86,289.09,179.46,163.16,269.22,14.16,148.58,52.94,302.34,36.93,52.38,97.01,44.33,22.01,96.26,38.97,1179.57,355.11,63.16,41.91,87.06,10.07,297.37,194.57,88.24,211.89,449.6,346.04,101.8,565.22,125.0,59.94,68.73,138.96,205.13,93.05,33.76,269.2,29.73,33.57,350.92,151.03,761.03,78.94,14.32,18.4,15.74,9.69,12.69,2.54,18.1,13.35,4.26,6.53,8.43,6.52,31.44,6.32,11.18,3.53,4.84,26.9,4.75,25.43,13.15,4.13,4.82,4.29,22.64,2.83,9.8,2.38,37.79,5.52,4.28,5.66,10.93,13.13,28.18,5.23,9.58,3.57,8.94,6.11,6.07,81.4,72.06,21.82,6.28,1008.38,794.88,67.53,77.15,40.18,305.12,184.6,191.97,174.85,174.89,6.75,37.72,291.78,44.91,73.48,179.98,26.62,142.89,29.66,368.16,89.67,271.74,42.79,854.41,10.54,8.22,475.64,95.87,152.17,267.11,62.11,10.98,58.55,1543.75,108.14,18.24,11.19,14.07,61.06,89.51,80.84,58.81,39.77,21.26,83.91,189.19,26.25,18.12,152.68,90.01,58.78,245.74,117.63,97.24,21.88,14.22,355.55,3.77,116.85,34.69,30.83,141.31,224.12,40.12,46.25,171.63,338.15,181.97,926.2,450.31,57.16,39.93,248.11,33.62,10.49,41.3,307.13,48.09,192.01,582.51,323.74,155.9,36.69,188.34,138.5,352.93,66.0,402.1,85.83,57.16,47.82,41.47,247.25,181.9,41.78,96.08,33.98,109.23,191.82,48.18,23.72,107.22,6.95,46.48,47.99,44.34,62.02,12.74,116.33,223.48,281.43,200.36,258.85,233.27,274.56,358.71,76.3,210.15
2014-02-21,64.37,22.41,36.8,11.3,18.44,19.33,107.6,5.76,8.09,6.57,4.3,10.8,4.35,53.39,258.55,38.77,74.13,85.03,5.1,47.96,59.97,318.14,20.21,202.97,162.79,361.24,199.11,86.43,85.5,95.98,272.25,3.53,342.92,94.19,74.6,74.27,97.25,68.97,28.77,99.67,21.35,222.46,19.29,6.15,152.18,289.55,103.77,183.34,477.84,26.94,455.09,169.29,78.54,37.05,139.04,51.2,104.43,19.88,19.07,69.31,49.32,72.6,27.33,61.02,382.44,107.37,141.35,66.5,86.95,84.99,48.76,41.53,388.31,778.28,294.23,176.56,162.95,263.7,14.09,145.7,52.16,301.25,36.3,51.7,97.7,93.05,21.39,92.93,39.2,1180.97,354.42,61.27,41.46,87.68,9.24,285.8,192.28,84.47,216.62,440.85,336.84,98.87,558.62,124.0,59.45,65.72,139.8,201.97,91.95,33.37,264.84,29.12,33.11,344.97,150.28,752.75,79.22,14.18,18.28,15.31,9.5,12.53,2.51,18.17,13.6,4.23,6.4,8.51,6.37,31.18,6.3,10.8,3.46,4.81,27.54,4.48,24.36,13.48,4.05,4.78,4.26,21.75,2.81,9.49,2.32,37.43,5.43,4.25,5.54,11.0,13.42,27.5,5.2,9.5,3.54,8.82,5.93,6.18,81.77,70.85,21.05,6.25,994.44,779.02,67.66,74.76,39.61,302.81,187.91,190.1,173.45,172.28,6.85,38.34,287.0,44.7,72.9,181.48,25.93,141.73,29.8,362.93,87.99,272.65,42.4,856.13,10.54,8.22,469.6,96.14,151.55,260.85,62.28,10.86,58.36,1523.04,105.4,18.13,10.96,13.71,60.57,86.38,81.27,57.61,39.61,20.4,82.76,186.97,26.95,17.9,154.62,87.65,59.02,247.83,114.93,95.62,22.14,14.05,355.33,3.7,116.78,33.73,33.52,144.08,216.65,39.47,45.96,170.28,338.6,183.72,900.28,452.62,55.39,303.4,242.07,33.49,10.25,38.88,304.53,48.32,187.86,593.39,319.42,157.46,36.69,189.73,132.48,350.9,66.0,391.39,86.79,56.28,47.04,183.11,241.98,190.78,41.8,96.64,34.04,109.57,193.02,48.54,22.99,106.4,6.79,46.07,46.7,43.38,60.94,12.4,116.01,226.96,283.94,196.32,258.45,232.74,280.32,365.34,76.3,211.17
2014-02-24,62.7,22.49,35.8,11.65,18.2,18.9,104.53,5.6,7.99,6.45,4.19,10.48,4.29,52.22,252.04,37.84,73.13,78.39,4.98,45.73,57.97,302.22,19.77,196.72,161.41,367.67,202.05,84.03,84.56,98.58,264.39,3.47,345.89,93.13,71.25,71.08,93.46,66.58,28.26,95.29,20.59,243.7,18.62,6.07,145.85,287.78,102.02,190.14,497.05,27.24,435.23,164.73,77.13,35.98,125.42,48.21,105.16,19.38,18.67,69.67,51.61,67.44,26.22,61.02,396.13,104.94,135.87,65.41,85.86,81.84,47.69,40.52,381.96,771.49,292.93,173.96,155.98,266.01,13.77,141.29,49.79,312.05,34.95,50.38,99.19,90.61,21.1,86.16,36.0,1145.96,350.94,57.87,41.33,85.73,8.84,258.57,193.7,81.97,222.89,425.61,326.11,98.99,552.02,125.16,58.77,63.73,140.85,196.59,93.05,32.01,267.96,29.22,32.32,345.43,145.73,733.36,77.95,14.07,18.08,15.04,9.38,12.25,2.45,17.83,14.86,4.15,6.2,8.62,6.29,30.05,6.11,10.4,3.42,4.7,27.84,4.46,23.3,12.98,4.0,4.6,4.17,21.47,2.77,9.32,2.26,39.05,5.27,4.19,5.43,11.3,13.48,27.34,5.12,9.22,3.48,8.56,5.43,6.18,85.25,72.65,21.32,6.08,956.11,732.45,65.2,69.07,39.51,295.55,182.2,188.46,170.17,163.47,6.98,39.48,281.74,41.92,70.98,181.77,24.4,136.86,29.73,358.9,85.59,270.26,40.74,835.02,10.54,8.22,483.1,92.76,147.79,255.5,60.04,10.7,56.62,1425.0,104.76,17.91,11.75,13.63,59.0,87.26,79.12,56.0,39.09,20.29,80.5,190.87,26.19,17.63,155.82,83.62,57.98,245.19,114.32,92.99,21.5,14.05,343.51,3.58,117.52,32.57,35.64,145.88,213.07,37.87,46.54,173.05,338.15,190.82,872.74,442.69,53.76,318.14,223.62,33.11,10.02,36.89,312.92,47.29,184.82,572.75,327.09,156.23,36.69,189.38,133.66,335.82,63.4,391.6,78.18,55.36,46.64,194.95,231.4,191.9,41.46,99.98,32.87,106.45,48.11,47.52,22.3,111.25,6.82,45.98,48.71,44.08,60.1,12.27,124.2,226.1,278.72,196.18,271.23,235.31,263.76,365.75,76.3,219.53
