Date,600000.SS,600005.SS,600008.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600021.SS,600023.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600038.SS,600048.SS,600050.SS,600060.SS,600066.SS,600068.SS,600085.SS,600089.SS,600100.SS,600104.SS,600109.SS,600111.SS,600115.SS,600118.SS,600150.SS,600153.SS,600157.SS,600166.SS,600170.SS,600177.SS,600188.SS,600196.SS,600208.SS,600221.SS,600252.SS,600256.SS,600271.SS,600276.SS,600309.SS,600315.SS,600317.SS,600332.SS,600340.SS,600350.SS,600352.SS,600362.SS,600369.SS,600372.SS,600373.SS,600383.SS,600398.SS,600406.SS,600415.SS,600485.SS,600489.SS,600518.SS,600519.SS,600535.SS,600547.SS,600549.SS,600570.SS,600578.SS,600583.SS,600585.SS,600588.SS,600600.SS,600633.SS,600637.SS,600642.SS,600648.SS,600649.SS,600660.SS,600663.SS,600674.SS,600688.SS,600690.SS,600703.SS,600705.SS,600717.SS,600718.SS,600739.SS,600741.SS,600783.SS,600795.SS,600804.SS,600820.SS,600827.SS,600837.SS,600839.SS,600863.SS,600867.SS,600873.SS,600875.SS,600886.SS,600887.SS,600893.SS,600895.SS,600900.SS,600958.SS,600959.SS,600998.SS,600999.SS,601006.SS,601009.SS,601016.SS,601018.SS,601021.SS,601088.SS,601098.SS,601099.SS,601106.SS,601111.SS,601117.SS,601118.SS,601158.SS,601166.SS,601169.SS,601179.SS,601186.SS,601198.SS,601211.SS,601216.SS,601225.SS,601231.SS,601238.SS,601258.SS,601718.SS,601727.SS,601766.SS,601788.SS,601800.SS,601808.SS,601818.SS,601857.SS,601866.SS,601872.SS,601888.SS,601898.SS,601899.SS,601901.SS,601919.SS,601928.SS,601933.SS,601939.SS,601958.SS,601969.SS,601985.SS,601988.SS,601989.SS,601991.SS,601992.SS,601998.SS,603000.SS,603288.SS,603885.SS,603993.SS,000001.SZ,000002.SZ,000009.SZ,000027.SZ,000039.SZ,000046.SZ,000060.SZ,000061.SZ,000063.SZ,000069.SZ,000100.SZ,000156.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000400.SZ,000402.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000539.SZ,000540.SZ,000559.SZ,000568.SZ,000581.SZ,000598.SZ,000623.SZ,000625.SZ,000629.SZ,000630.SZ,000651.SZ,000686.SZ,000709.SZ,000712.SZ,000725.SZ,000728.SZ,000729.SZ,000738.SZ,000750.SZ,000768.SZ,000776.SZ,000778.SZ,000783.SZ,000792.SZ,000793.SZ,000800.SZ,000825.SZ,000826.SZ,000831.SZ,000858.SZ,000876.SZ,000883.SZ,000895.SZ,000898.SZ,000917.SZ,000937.SZ,000963.SZ,000983.SZ,000999.SZ,002007.SZ,002008.SZ,002024.SZ,002038.SZ,002065.SZ,002081.SZ,002129.SZ,002142.SZ,002146.SZ,002153.SZ,002195.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002292.SZ,002294.SZ,002304.SZ,002353.SZ,002375.SZ,002385.SZ,002399.SZ,002410.SZ,002415.SZ,002422.SZ,002450.SZ,002456.SZ,002465.SZ,002470.SZ,002475.SZ,002500.SZ,002594.SZ,002673.SZ,002736.SZ,002739.SZ,300002.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300058.SZ,300059.SZ,300070.SZ,300104.SZ,300124.SZ,300133.SZ,300144.SZ,300146.SZ,300251.SZ,300315.SZ
2015-06-26,112.22,28.25,45.19,72.79,26.32,39.73,32.19,149.6,9.3,13.74,36.7,13.12,14.44,14.14,21.05,114.95,419.6,68.67,162.31,180.87,11.64,130.9,500.96,64.09,295.93,502.84,423.45,135.79,205.98,340.96,15.46,1102.81,170.07,202.64,342.84,108.62,74.61,202.38,34.09,288.97,48.48,17.89,251.28,362.21,498.09,737.11,556.25,202.26,48.63,45.1,394.75,13.11,213.41,31.2,41.03,103.73,89.84,133.99,106.96,508.85,579.13,127.18,135.32,755.54,1345.65,292.99,267.76,234.23,1464.93,30.59,272.98,68.9,947.53,56.52,102.85,97.64,40.23,98.32,38.93,592.49,178.2,210.21,26.48,377.22,334.03,248.05,291.59,327.31,724.45,679.73,249.52,1539.68,243.42,294.98,133.25,414.67,266.18,118.87,515.75,58.33,57.65,14.87,1121.59,181.3,587.52,14.73,28.92,28.57,23.57,35.33,15.72,32.8,33.82,9.52,126.09,25.22,23.86,21.18,12.37,14.42,9.76,10.32,12.13,56.71,19.91,10.49,15.72,29.87,28.38,77.34,8.46,34.14,15.58,28.13,15.12,15.9,18.73,29.7,16.29,27.69,5.69,12.66,8.85,11.49,60.31,12.33,8.37,11.88,12.72,18.72,48.6,8.2,15.68,19.1,13.95,5.9,25.72,16.67,11.4,8.88,106.25,108.08,68.96,13.36,1743.42,1440.98,124.54,117.38,551.31,531.31,608.0,502.11,288.94,421.68,15.23,58.75,429.59,16.14,90.53,117.48,181.58,346.47,44.19,204.73,500.06,169.58,579.27,1176.32,11.94,596.1,523.09,777.6,107.23,284.97,522.78,115.05,24.75,8.44,2808.17,277.04,43.8,434.97,23.06,47.42,89.73,65.66,154.98,359.56,112.38,12.96,65.66,129.11,20.75,52.8,42.19,240.45,109.88,454.76,155.43,41.37,269.95,9.85,42.89,47.31,71.48,54.2,54.62,526.08,331.99,1338.49,477.25,433.34,503.09,92.42,20.34,95.46,739.79,209.53,84.92,306.94,517.03,370.94,377.47,37.85,266.8,240.3,44.35,29.21,82.21,76.02,280.0,333.02,121.91,221.53,273.96,102.77,44.26,212.07,18.78,55.84,54.05,25.15,244.09,242.99,85.13,214.31,352.17,833.03,288.7,300.09,772.11,368.87,818.67,366.44,429.55,76.47,497.64,305.49,170.76
2015-06-29,112.58,28.33,41.18,72.97,23.91,41.97,32.4,154.47,8.48,13.74,33.18,12.64,15.78,14.28,21.98,109.16,382.86,68.79,147.77,181.03,11.04,118.3,519.26,59.58,275.26,477.49,380.07,135.62,185.58,318.3,16.14,998.83,153.7,17.51,313.71,98.52,67.7,192.62,32.11,272.46,45.01,18.46,236.42,355.83,450.75,756.94,553.75,195.05,46.18,42.5,404.6,12.1,198.42,28.49,37.77,93.43,81.19,127.98,110.14,459.45,526.75,114.5,124.84,692.91,1367.09,306.24,242.16,219.32,1319.43,30.56,299.28,67.31,856.41,56.29,92.85,87.98,37.44,89.78,42.4,580.31,160.95,189.57,28.32,385.77,344.92,223.39,264.74,295.84,652.77,648.76,224.62,1548.48,219.23,263.77,125.59,387.58,238.19,120.04,504.95,52.82,52.23,14.87,1107.66,163.25,543.62,14.73,26.36,25.71,21.23,33.14,16.43,35.3,30.44,8.6,126.09,25.23,21.69,19.71,11.14,15.82,9.26,9.31,11.22,56.13,19.72,9.6,15.06,27.58,31.22,24.07,7.93,31.6,15.23,25.33,15.12,14.36,17.16,26.93,17.86,29.08,5.69,13.08,9.09,12.62,61.22,12.12,7.94,10.96,12.51,16.91,43.84,8.35,14.63,17.23,13.23,5.93,23.18,16.77,11.24,8.99,95.83,107.75,68.96,12.06,1717.08,1466.74,112.15,107.1,601.11,479.53,548.54,451.79,265.77,424.94,13.78,52.9,411.41,15.1,90.25,116.68,165.21,353.2,39.81,184.32,493.73,153.14,521.13,1167.97,11.94,538.65,473.11,837.03,101.48,254.59,481.85,117.23,23.3,8.44,2888.27,251.72,46.72,396.28,22.33,48.2,82.91,59.06,138.44,350.3,104.93,12.96,60.17,124.29,20.75,51.73,40.68,221.83,98.89,467.25,145.54,37.42,268.4,9.71,42.89,46.74,71.48,54.3,49.78,476.45,300.06,1208.08,449.37,390.8,453.71,83.18,21.05,98.21,666.42,188.71,84.16,276.56,471.59,363.92,372.76,37.85,253.43,237.65,44.35,29.21,75.61,68.98,253.03,334.62,114.08,203.25,246.68,92.72,40.32,206.45,16.94,50.26,52.31,23.01,244.09,219.2,76.81,213.45,317.12,749.98,260.19,270.42,695.06,332.21,823.21,330.98,387.02,76.47,449.76,275.22,153.78
2015-06-30,118.88,30.49,42.56,79.47,25.72,43.27,34.53,162.29,8.91,14.44,34.89,13.42,15.49,14.79,22.25,118.52,406.58,73.8,159.85,194.16,12.16,129.51,553.06,64.31,301.22,528.57,399.61,144.86,197.02,343.17,16.32,1088.57,161.98,17.51,332.5,102.97,72.72,207.76,33.99,298.46,48.6,19.18,254.87,372.49,493.31,818.79,584.47,205.53,49.06,46.08,444.13,13.13,217.2,30.19,41.35,98.76,89.08,140.09,120.13,493.08,539.23,123.09,132.16,763.42,1423.42,323.27,256.76,231.97,1448.75,32.14,291.98,72.41,938.48,59.07,100.08,91.73,39.68,94.99,46.24,616.5,170.03,199.26,25.67,418.52,378.65,236.94,279.2,315.06,696.23,701.2,229.32,1610.07,231.82,286.84,135.84,424.33,256.85,123.25,554.93,55.68,55.38,14.87,1199.16,166.2,586.69,14.35,28.77,27.29,22.56,36.12,17.28,37.11,28.91,9.19,126.09,26.28,23.74,21.49,12.14,15.36,10.03,10.01,12.03,59.69,20.77,10.49,16.48,30.07,34.34,24.07,8.33,34.62,15.83,27.38,15.12,15.39,18.83,28.93,18.28,29.92,6.0,13.46,9.54,13.51,67.25,12.45,8.49,12.0,13.04,17.7,47.36,8.9,15.66,18.38,13.07,6.29,24.01,17.59,12.29,9.53,105.31,117.18,68.96,12.71,1840.02,1548.99,120.7,109.25,586.77,495.03,571.97,475.19,291.05,438.32,14.83,55.25,436.77,16.25,97.7,127.43,179.32,366.9,42.52,195.66,524.83,164.06,555.6,1262.11,11.94,590.17,505.26,810.03,108.28,280.27,521.86,126.03,24.55,8.44,3129.46,276.47,7.0,428.42,24.08,51.42,88.66,62.17,150.67,375.18,112.52,12.96,66.08,130.9,20.75,54.76,42.94,240.58,103.9,484.46,154.58,39.03,283.37,10.47,42.89,49.75,71.48,56.74,54.45,521.91,327.18,1276.93,493.42,411.29,490.45,81.82,22.8,107.61,723.78,203.88,92.09,303.93,517.99,393.08,404.64,37.85,277.39,252.27,44.35,29.21,82.99,73.58,268.84,366.7,122.12,221.53,271.24,98.87,44.12,225.04,18.42,55.28,57.47,25.29,244.09,225.26,83.15,234.51,348.66,824.73,277.83,288.04,764.49,352.15,905.51,356.24,416.54,76.47,488.76,302.36,163.78
2015-07-01,115.04,30.03,38.84,73.16,24.05,39.63,33.66,156.68,8.22,13.97,31.56,13.01,14.05,14.31,20.07,112.36,374.44,71.81,145.54,182.14,11.96,118.35,536.03,58.63,277.78,518.73,369.12,139.27,177.5,323.09,14.7,1004.95,146.42,17.51,307.13,93.41,67.26,204.57,31.25,286.2,43.92,17.69,260.14,355.48,505.47,822.79,557.3,197.6,46.97,45.56,431.0,13.15,218.22,27.57,39.69,90.62,92.92,133.99,118.22,449.94,540.62,112.79,121.98,786.64,1422.6,317.63,235.06,211.3,1304.92,29.27,290.29,69.05,944.58,57.29,90.78,82.65,38.31,85.82,50.48,596.32,155.63,186.75,26.05,391.95,361.84,213.4,257.17,286.24,627.38,653.97,206.43,1484.69,208.86,271.23,127.95,402.98,241.48,111.27,546.14,50.38,51.4,14.87,1144.62,149.67,549.89,14.35,26.36,24.57,20.98,33.87,16.59,33.43,27.19,8.44,126.09,25.2,23.12,20.61,11.25,15.36,9.27,9.25,11.16,57.59,19.75,9.82,15.43,27.31,34.82,24.07,7.63,31.22,15.41,24.98,15.12,14.57,17.56,26.5,16.56,28.91,5.79,12.87,9.36,13.03,68.81,11.31,8.06,11.28,12.34,16.04,43.96,8.48,14.48,16.91,13.32,6.14,21.64,16.41,11.58,9.13,99.93,111.21,68.96,11.52,1762.24,1522.24,108.68,99.8,562.69,446.87,516.11,427.68,286.01,396.54,13.8,51.83,411.89,15.09,93.5,121.05,169.87,336.03,39.6,184.12,503.73,151.1,500.08,1186.1,11.94,532.72,458.14,772.97,103.85,259.91,484.44,122.35,22.73,8.44,2987.23,255.52,7.0,386.81,22.83,46.5,80.45,55.91,134.23,367.63,105.57,12.96,63.19,125.81,20.75,49.63,41.11,228.32,93.47,470.03,147.47,35.33,271.62,9.98,42.89,46.74,71.48,53.55,52.39,524.27,316.03,1265.59,478.36,376.9,443.29,78.97,22.04,107.61,652.07,183.6,90.43,304.71,533.67,385.63,410.52,37.85,273.71,243.97,44.35,29.21,80.77,69.74,265.41,350.54,116.6,210.31,278.92,98.75,40.9,220.01,16.61,53.04,57.93,24.5,244.09,203.34,76.77,234.37,355.68,854.97,256.66,270.78,715.14,347.92,958.62,337.29,437.66,76.47,445.68,296.96,147.52
2015-07-02,115.34,27.67,35.49,70.3,22.37,36.35,34.16,156.68,7.51,13.08,28.55,11.77,12.75,14.93,18.11,112.81,344.2,73.52,132.4,175.18,11.81,108.58,538.57,54.73,251.58,513.43,331.21,136.59,159.9,300.8,13.23,900.78,132.44,17.51,277.53,84.82,62.46,204.57,29.05,269.7,39.72,15.99,253.18,334.92,494.25,811.33,529.5,182.37,44.09,42.65,389.05,12.33,216.62,25.2,39.91,81.72,94.18,136.62,114.91,406.33,487.55,102.12,110.31,794.96,1436.98,298.75,212.56,192.29,1175.47,26.7,262.11,68.12,921.36,53.36,84.09,77.81,36.26,77.47,55.13,584.13,140.63,171.11,23.6,365.64,336.04,192.21,240.83,268.56,565.3,615.63,185.86,1343.91,188.2,251.55,122.52,410.59,222.83,100.46,506.7,45.58,46.6,14.87,1126.44,134.79,508.29,14.35,26.07,22.18,18.9,34.11,15.26,30.47,24.48,7.63,126.09,24.07,21.93,20.27,10.13,15.36,8.77,8.41,11.06,57.1,19.22,9.07,15.37,26.63,31.42,69.63,7.0,28.16,15.62,22.93,13.73,13.16,18.0,25.84,14.98,26.22,5.76,13.81,8.43,11.76,64.89,10.28,7.55,11.29,11.16,14.5,40.0,8.75,13.19,15.5,11.99,6.42,19.51,14.95,10.91,10.02,94.85,113.01,68.96,10.4,1740.91,1518.27,97.84,91.28,511.9,432.03,465.97,384.61,275.72,358.35,14.4,47.5,387.01,14.72,94.48,112.64,157.31,306.31,36.55,165.77,472.55,137.06,449.91,1107.08,11.94,481.19,414.77,710.93,96.33,235.48,471.16,121.14,20.74,8.44,2880.44,255.94,7.0,350.06,20.95,42.08,73.05,50.3,124.74,330.99,105.16,12.96,63.1,115.79,20.75,45.01,37.46,205.68,84.11,427.42,135.65,32.02,266.41,9.14,42.89,42.94,71.48,49.52,49.31,512.99,303.78,1172.44,462.2,339.97,440.55,71.1,21.01,97.21,587.49,165.41,88.68,309.27,551.27,358.3,418.35,37.85,270.21,226.19,44.35,29.21,78.07,64.22,256.9,342.7,106.97,201.96,34.7,94.97,41.3,217.69,16.31,49.32,60.53,24.56,244.09,183.58,79.03,228.11,360.46,862.42,261.05,250.27,688.29,331.63,1005.8,304.85,394.21,76.47,402.84,286.39,137.53
2015-07-03,112.34,25.24,32.47,68.59,20.38,33.39,33.27,152.4,6.91,12.15,25.84,10.65,11.58,14.28,16.34,110.66,313.97,72.09,124.32,162.2,11.34,103.08,525.1,49.16,227.33,513.43,297.02,131.51,144.14,275.38,11.91,806.88,119.84,17.51,250.75,77.76,56.92,195.9,26.79,262.38,35.89,14.47,251.71,301.96,497.66,766.22,524.69,181.39,40.13,41.43,351.09,11.64,212.98,24.94,37.95,73.6,96.28,134.09,113.07,367.14,439.68,91.93,99.84,762.55,1383.31,286.61,195.36,179.12,1058.87,24.38,236.83,66.23,935.13,49.91,83.3,72.66,33.43,69.97,59.73,574.39,128.47,161.26,21.39,351.31,312.96,173.06,218.97,242.94,510.84,574.23,167.3,1216.32,169.62,226.45,114.14,402.24,199.23,90.82,510.97,41.25,42.28,14.87,1087.66,121.38,455.19,14.35,24.45,20.6,19.78,33.3,14.06,27.45,22.04,6.9,126.09,22.53,22.28,18.88,9.13,15.36,7.92,7.59,10.08,54.84,18.24,8.22,14.54,24.22,29.6,62.69,6.32,27.02,15.49,20.68,12.37,11.91,17.6,24.34,13.55,23.8,5.42,13.96,7.59,10.61,62.04,9.36,6.93,10.8,10.1,13.11,37.76,8.32,12.03,13.97,10.79,6.03,17.59,13.61,9.85,9.43,93.55,108.94,68.96,11.41,1655.61,1467.73,88.11,83.6,466.06,406.63,420.62,345.99,261.68,324.07,13.9,46.04,353.03,13.63,87.75,101.97,149.12,279.62,36.38,149.28,439.34,11.02,404.74,1099.88,11.94,434.68,375.8,655.13,89.34,210.11,450.69,112.06,18.96,8.44,2625.9,250.18,7.0,315.37,18.88,38.09,68.04,45.23,113.1,298.04,99.77,12.96,59.47,106.78,20.75,40.87,34.18,201.4,75.68,392.17,123.98,29.0,259.64,8.17,42.89,39.46,71.48,45.58,47.87,508.48,293.61,1065.52,436.54,306.7,437.65,17.19,19.16,87.89,585.83,148.98,84.6,322.18,540.07,349.66,422.7,37.85,280.53,224.01,44.35,29.21,76.81,61.5,260.99,314.7,106.1,202.03,34.7,88.1,20.3,214.25,15.18,49.6,62.93,23.25,220.48,179.98,81.83,232.57,390.36,904.05,274.66,238.76,674.13,324.89,1033.58,306.0,430.16,76.47,375.24,292.76,127.06
2015-07-06,120.44,23.38,29.77,70.28,21.82,34.19,35.28,161.11,7.5,12.55,28.28,10.6,10.84,15.26,16.43,117.55,317.03,76.79,122.69,175.18,12.09,105.03,542.38,50.05,235.22,543.32,266.53,140.87,149.18,288.46,11.73,730.57,121.11,17.51,243.7,79.17,58.89,202.1,26.17,271.57,32.66,14.78,250.86,303.02,488.46,800.6,526.16,191.46,41.29,42.69,352.09,12.14,221.28,24.52,40.79,66.3,94.8,146.73,17.02,377.8,396.67,88.62,103.29,809.85,1404.95,298.93,202.76,185.4,953.95,23.48,214.09,70.37,902.46,50.17,85.88,77.75,34.08,63.26,54.54,593.88,134.05,168.92,19.41,371.17,319.12,169.59,231.19,220.24,502.65,588.64,150.63,1242.72,153.72,209.49,117.57,427.48,183.87,83.23,20.18,38.24,42.53,14.87,1155.53,109.33,432.61,14.35,26.37,22.66,21.09,35.6,14.61,28.9,21.48,7.07,126.09,23.75,23.71,19.62,9.48,15.36,8.22,6.88,10.58,58.72,19.43,8.32,15.62,25.49,31.95,56.45,6.06,27.7,15.66,20.83,12.59,12.2,18.51,25.77,14.28,21.62,5.85,15.14,6.84,9.58,58.52,8.53,7.23,11.63,9.15,13.31,40.52,8.86,12.12,14.13,10.12,6.51,17.18,13.95,9.47,10.2,93.53,116.07,68.96,12.52,1757.22,1584.67,79.33,79.76,424.83,422.13,380.09,329.37,271.39,312.32,14.45,44.38,356.86,14.4,92.0,100.32,151.45,285.89,36.6,152.79,454.2,11.02,35.74,1114.27,11.94,450.19,340.57,644.65,90.75,208.86,469.32,115.28,18.92,8.44,2554.09,263.4,7.0,297.18,18.79,37.01,70.34,40.67,125.82,268.36,105.29,12.96,63.1,98.65,20.75,37.42,33.11,208.86,68.1,399.8,130.39,28.03,263.97,8.2,42.89,38.16,71.48,44.48,47.2,520.1,284.32,1093.87,436.54,306.7,449.61,17.19,20.27,81.48,527.87,146.06,87.2,319.94,580.87,350.96,428.21,37.85,284.4,234.86,44.35,29.21,79.63,59.04,260.1,295.5,106.07,221.89,34.7,82.55,20.3,203.14,15.93,50.8,67.47,24.63,198.51,187.04,82.97,229.77,367.94,933.76,275.67,223.12,619.46,292.61,930.32,313.9,411.95,76.47,356.4,275.94,119.84
2015-07-07,122.54,21.41,27.35,67.82,22.89,35.83,36.96,175.56,8.15,12.92,28.87,10.87,10.32,15.48,15.15,114.95,292.15,82.18,110.67,176.92,12.07,94.85,536.28,45.03,212.92,485.82,238.78,147.6,134.46,274.65,11.16,653.87,109.64,17.51,236.18,72.0,61.15,186.05,28.13,252.6,29.87,14.53,227.03,273.25,442.13,765.86,507.55,40.26,42.58,38.76,340.39,11.11,200.31,22.5,37.19,59.73,85.6,156.1,17.02,341.39,357.82,88.88,98.55,727.51,1354.5,279.61,186.56,170.49,73.52,22.74,193.55,69.35,44.05,50.84,77.66,71.99,32.23,57.18,53.05,597.01,131.18,158.45,17.66,353.54,287.99,152.78,229.3,199.5,452.99,585.27,135.62,1163.53,19.69,186.87,106.96,412.08,164.11,75.34,20.18,36.61,38.65,14.87,1114.93,98.47,387.24,14.35,25.82,20.39,20.66,33.52,14.33,28.53,19.34,6.98,126.09,25.5,21.44,17.68,8.54,15.36,8.27,6.23,10.78,59.53,19.74,7.76,17.1,22.96,28.76,50.85,6.4,27.98,14.15,19.23,11.34,12.0,18.26,24.3,15.64,20.44,6.34,15.69,6.22,8.66,55.06,8.7,6.96,10.89,8.45,12.05,36.6,9.58,11.5,15.53,9.11,7.05,15.5,14.61,8.68,11.19,84.29,120.89,68.96,11.69,1853.82,1550.97,10.7,74.31,387.73,412.24,343.45,297.07,246.0,284.25,13.18,42.37,335.33,14.4,90.08,93.37,136.77,261.98,8.4,7.38,423.47,11.02,35.74,1046.91,11.94,454.75,308.86,596.31,85.18,186.0,423.2,109.65,17.46,8.44,2334.99,237.94,7.0,267.7,16.94,33.54,66.48,36.58,126.21,241.67,101.7,12.96,57.51,91.34,20.75,34.02,30.8,187.06,61.26,382.59,122.82,25.65,269.51,8.44,42.89,36.39,71.48,41.78,44.41,470.81,257.2,988.57,393.77,276.79,406.21,17.19,20.11,73.66,475.71,131.58,79.32,288.27,523.59,316.4,437.08,37.85,262.19,241.78,44.35,29.21,80.11,26.72,235.11,274.22,96.05,199.87,34.7,74.54,20.3,185.28,14.58,47.04,60.79,23.9,178.74,168.88,75.01,207.06,331.32,840.59,248.45,201.17,557.65,263.55,837.36,284.18,26.7,76.47,323.04,22.7,107.92
2015-07-08,112.82,19.59,25.5,61.62,22.75,32.92,35.3,167.6,8.59,12.01,26.16,9.83,9.39,14.23,13.68,104.42,266.51,75.19,99.84,161.89,10.97,85.69,485.71,40.46,192.5,433.99,213.77,147.09,16.58,248.49,10.05,584.69,99.31,17.51,213.63,65.47,55.47,171.55,25.97,228.58,4.64,13.15,20.36,7.6,400.44,690.18,464.7,40.26,38.69,35.02,23.18,10.19,181.38,20.65,33.67,53.83,77.35,141.36,17.02,312.17,10.05,88.68,89.16,653.5,1317.05,253.3,168.86,154.62,73.52,20.82,175.06,63.5,44.05,46.17,70.19,64.89,29.72,51.69,50.7,549.33,118.62,142.97,16.04,342.23,23.64,137.6,208.48,180.84,15.83,531.29,122.13,1057.95,19.69,166.52,97.32,373.28,146.28,68.18,20.18,33.2,35.12,14.87,1052.51,88.98,346.27,14.35,23.33,18.35,20.46,30.41,13.32,25.7,17.41,6.32,126.09,24.27,19.38,15.93,7.69,15.31,7.47,6.0,9.83,54.12,18.02,7.01,16.75,20.68,25.88,45.79,5.78,25.24,12.79,3.83,10.22,10.85,16.56,22.07,16.21,18.59,6.12,14.46,5.6,7.82,49.65,7.94,6.35,9.81,7.66,10.94,33.04,8.91,10.5,14.46,8.2,7.27,13.98,13.31,7.85,11.55,75.97,109.01,68.96,10.56,1670.66,1424.13,10.7,68.33,354.42,374.63,10.98,267.11,222.59,8.19,11.93,39.02,306.62,12.96,81.53,84.61,123.3,239.69,8.4,7.38,383.66,11.02,35.74,944.42,11.94,448.82,280.46,551.99,23.95,165.33,381.81,99.42,16.01,8.44,2134.31,214.46,7.0,21.85,3.64,30.41,61.39,32.89,112.22,217.65,92.36,12.96,51.88,17.72,20.75,30.97,28.22,30.64,55.11,348.73,111.0,23.35,250.0,7.54,42.89,33.58,71.48,38.54,41.25,39.76,232.81,11.74,45.0,19.17,23.26,17.19,19.81,8.42,458.82,26.73,72.06,33.12,32.27,28.8,437.57,37.85,260.99,235.13,44.35,29.21,76.57,26.72,20.35,267.42,31.35,27.59,34.7,24.08,20.3,199.9,13.16,44.73,54.79,21.53,177.94,11.33,36.5,28.44,44.1,834.74,34.06,10.98,45.99,36.44,47.86,298.82,26.7,76.47,25.47,22.7,117.43
2015-07-09,118.82,21.22,27.53,67.19,24.88,35.54,36.76,173.5,9.35,12.84,28.63,10.77,10.23,14.93,15.0,113.9,289.47,77.48,109.55,176.76,12.07,16.07,531.2,44.59,210.89,12.31,236.24,159.87,16.58,272.44,11.06,646.95,108.61,17.51,4.35,71.34,60.56,184.59,27.91,250.23,4.64,4.29,20.36,7.6,51.88,758.4,503.37,40.26,42.22,38.4,23.18,11.02,198.42,22.32,36.83,59.14,84.81,154.62,17.02,342.09,10.05,31.6,97.56,15.22,1424.9,277.14,184.76,168.92,73.52,22.55,191.69,69.05,44.05,50.38,76.92,71.28,32.0,56.63,55.35,592.49,129.92,156.88,17.5,374.46,23.64,151.25,227.23,197.69,15.83,579.75,134.28,1152.53,19.69,184.84,106.0,408.18,162.19,74.61,20.18,36.26,38.29,14.87,1152.5,97.78,383.06,14.35,25.65,20.19,20.46,33.29,14.33,28.22,17.36,6.92,126.09,26.15,21.24,17.51,8.46,15.31,8.19,6.0,10.68,59.14,19.43,7.69,18.34,22.73,28.47,50.34,6.34,27.7,14.02,3.83,11.23,11.88,18.17,24.07,17.76,20.25,6.35,15.1,6.16,8.57,54.52,8.63,6.89,10.78,8.37,10.34,36.24,9.12,11.4,15.89,9.02,7.28,15.34,14.47,8.6,12.02,83.47,119.7,68.96,11.58,1804.89,1551.97,10.7,73.7,384.43,410.92,10.98,294.03,17.96,8.19,13.05,42.9,332.46,14.26,89.23,92.48,135.43,259.89,8.4,7.38,419.53,11.02,35.74,1036.83,11.94,9.5,306.22,591.87,23.95,183.81,419.07,108.9,17.34,8.44,2314.74,235.69,7.0,21.85,3.64,32.95,67.22,36.2,124.84,239.27,100.78,12.96,56.95,17.72,20.75,33.71,30.58,30.64,13.6,379.12,121.66,25.48,270.29,8.36,42.89,36.13,71.48,41.43,45.07,39.76,254.79,11.74,45.0,19.17,23.26,17.19,21.5,8.42,504.08,26.73,78.6,33.12,32.27,28.8,480.9,37.85,285.69,256.73,44.35,29.21,84.07,26.72,20.35,32.39,31.35,27.59,34.7,24.08,20.3,219.74,14.44,49.2,60.19,23.66,177.94,11.33,36.5,28.44,44.1,918.0,34.06,10.98,613.29,36.44,921.06,327.53,26.7,76.47,25.47,22.7,129.11
