Date,600000.SS,600005.SS,600008.SS,600009.SS,600010.SS,600015.SS,600016.SS,600018.SS,600019.SS,600021.SS,600023.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600037.SS,600038.SS,600048.SS,600050.SS,600060.SS,600061.SS,600066.SS,600068.SS,600074.SS,600085.SS,600089.SS,600100.SS,600104.SS,600109.SS,600111.SS,600115.SS,600118.SS,600150.SS,600153.SS,600157.SS,600170.SS,600177.SS,600188.SS,600196.SS,600208.SS,600221.SS,600252.SS,600256.SS,600271.SS,600276.SS,600297.SS,600309.SS,600332.SS,600340.SS,600352.SS,600362.SS,600369.SS,600372.SS,600373.SS,600376.SS,600383.SS,600406.SS,600415.SS,600446.SS,600482.SS,600485.SS,600489.SS,600498.SS,600518.SS,600519.SS,600535.SS,600547.SS,600570.SS,600582.SS,600583.SS,600585.SS,600588.SS,600606.SS,600637.SS,600648.SS,600649.SS,600654.SS,600660.SS,600663.SS,600666.SS,600674.SS,600685.SS,600688.SS,600690.SS,600703.SS,600704.SS,600705.SS,600718.SS,600737.SS,600739.SS,600741.SS,600754.SS,600783.SS,600795.SS,600804.SS,600816.SS,600820.SS,600827.SS,600837.SS,600839.SS,600867.SS,600871.SS,600873.SS,600875.SS,600886.SS,600887.SS,600893.SS,600895.SS,600900.SS,600958.SS,600959.SS,600999.SS,601006.SS,601009.SS,601018.SS,601021.SS,601088.SS,601099.SS,601111.SS,601118.SS,601127.SS,601155.SS,601166.SS,601169.SS,601186.SS,601198.SS,601211.SS,601216.SS,601225.SS,601258.SS,601718.SS,601727.SS,601766.SS,601788.SS,601800.SS,601818.SS,601857.SS,601866.SS,601872.SS,601877.SS,601888.SS,601899.SS,601901.SS,601919.SS,601928.SS,601933.SS,601939.SS,601958.SS,601985.SS,601988.SS,601989.SS,601998.SS,603000.SS,603885.SS,603993.SS,000001.SZ,000002.SZ,000008.SZ,000009.SZ,000027.SZ,000039.SZ,000060.SZ,000061.SZ,000063.SZ,000069.SZ,000100.SZ,000156.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000540.SZ,000555.SZ,000559.SZ,000568.SZ,000623.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000671.SZ,000686.SZ,000709.SZ,000712.SZ,000718.SZ,000725.SZ,000728.SZ,000738.SZ,000750.SZ,000768.SZ,000776.SZ,000778.SZ,000783.SZ,000792.SZ,000793.SZ,000800.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000917.SZ,000938.SZ,000963.SZ,000977.SZ,000983.SZ,001979.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002049.SZ,002065.SZ,002074.SZ,002081.SZ,002085.SZ,002129.SZ,002131.SZ,002142.SZ,002146.SZ,002152.SZ,002153.SZ,002174.SZ,002183.SZ,002195.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002292.SZ,002299.SZ,002304.SZ,002310.SZ,002385.SZ,002415.SZ,002424.SZ,002426.SZ,002450.SZ,002456.SZ,002465.SZ,002466.SZ,002470.SZ,002475.SZ,002500.SZ,002568.SZ,002594.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002797.SZ,300002.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300033.SZ,300058.SZ,300059.SZ,300070.SZ,300072.SZ,300085.SZ,300104.SZ,300124.SZ,300133.SZ,300144.SZ,300146.SZ,300168.SZ,300182.SZ,300251.SZ,300315.SZ
2016-06-15,123.55,14.26,25.61,69.35,15.0,28.88,151.88,6.11,10.03,18.08,7.48,11.08,11.07,75.15,227.09,71.23,71.24,100.12,149.15,6.53,89.45,92.84,568.81,31.66,151.06,231.48,288.72,283.92,139.44,102.62,269.12,9.35,595.56,72.91,164.6,195.31,38.46,175.74,24.47,200.32,26.09,9.96,154.34,151.68,359.25,848.99,42.93,449.65,32.89,372.92,138.28,20.18,33.49,51.81,76.3,72.06,122.82,324.46,227.39,504.17,94.56,49.05,118.56,74.24,670.58,1683.64,234.1,369.06,848.52,159.95,130.93,51.17,402.21,883.64,52.44,51.77,71.82,18.54,631.47,160.39,32.41,134.99,42.84,14.64,263.86,238.75,97.29,117.9,254.53,131.32,441.14,519.94,88.21,126.58,752.19,140.44,184.75,175.56,88.09,302.76,111.71,617.67,9.18,35.03,28.26,255.74,1064.63,106.42,362.16,26.66,17.55,13.96,22.84,9.62,28.89,5.45,103.44,18.95,11.2,7.61,5.55,8.37,12.07,55.58,19.87,10.41,23.21,18.04,41.92,4.64,13.68,7.8,8.12,9.82,18.71,11.31,4.3,9.54,4.16,5.54,29.34,46.68,5.67,7.28,5.76,11.21,34.88,6.84,11.22,6.75,4.77,6.17,7.01,66.17,53.78,13.85,1325.69,24.43,385.67,99.54,63.8,289.29,322.73,282.56,203.92,227.77,9.18,28.11,251.59,8.14,92.93,66.41,261.51,35.39,6.82,494.01,116.07,452.75,932.47,312.02,101.0,378.66,719.39,386.54,86.14,220.35,81.49,19.22,189.22,184.68,22.96,232.16,13.09,10.92,16.72,47.45,7.12,149.18,80.72,48.01,50.99,98.36,132.18,26.11,180.58,148.14,479.61,139.13,303.32,114.33,142.18,197.6,119.34,44.48,13.98,569.35,264.74,943.21,103.36,173.15,25.1,154.52,269.27,81.28,8.29,198.73,19.46,59.35,17.12,425.37,87.35,191.85,116.91,73.27,288.78,532.47,316.72,459.6,224.53,50.87,269.33,398.37,74.8,267.34,162.96,50.14,243.45,227.64,12.44,254.22,31.34,193.58,15.61,89.9,59.19,48.35,102.86,16.61,155.04,38.3,138.88,243.64,521.83,600.25,200.42,632.92,172.76,465.67,261.47,270.85,298.31,837.73,279.72,378.66,193.28,348.84,25.92,336.75,275.22,124.29
2016-06-16,123.91,14.19,25.24,68.24,14.77,28.73,151.44,6.03,9.93,18.18,7.64,11.0,10.88,74.02,226.32,71.27,70.11,100.5,147.89,6.46,87.65,91.28,578.22,31.1,149.26,229.12,290.61,280.21,138.19,100.62,265.25,9.18,597.34,72.13,148.42,192.96,38.37,173.83,24.17,197.95,26.03,9.87,150.54,149.9,352.3,859.76,39.91,444.43,32.47,365.93,136.54,20.43,33.01,51.14,74.78,72.92,123.56,327.01,224.61,501.61,91.15,49.08,125.4,74.04,665.32,1669.74,232.06,396.46,831.57,157.33,129.41,50.75,401.62,867.97,51.51,51.13,71.73,18.54,625.55,152.24,205.04,134.05,42.19,14.44,259.65,235.2,97.68,117.49,249.59,131.44,435.21,517.79,83.91,125.79,747.79,137.6,187.76,176.24,86.4,302.01,111.16,611.04,9.07,34.42,28.51,252.71,1066.45,105.74,354.84,26.41,17.49,13.81,22.68,9.59,28.54,5.39,103.28,18.82,10.99,7.49,5.51,9.21,11.9,55.61,19.77,10.33,22.85,17.68,41.57,4.55,13.53,7.69,8.29,9.69,18.42,11.21,4.27,9.49,4.12,5.51,30.07,46.08,6.15,7.15,5.71,11.07,34.48,6.83,11.33,6.91,4.75,6.17,6.96,65.17,53.88,14.45,1325.31,24.43,380.22,101.24,63.11,289.29,324.83,278.11,201.67,225.16,9.08,27.74,248.72,8.02,91.35,65.57,258.73,34.84,6.82,491.72,114.63,475.62,921.1,307.91,101.09,379.32,719.39,381.66,85.28,218.22,83.05,19.22,184.73,181.31,22.85,227.07,13.09,10.78,16.72,47.05,7.12,151.84,79.24,47.62,49.69,99.06,128.01,25.74,179.67,146.71,476.97,137.58,298.89,112.17,139.81,194.34,118.54,43.83,14.08,561.77,261.9,927.01,102.27,172.3,25.1,156.39,264.91,80.21,8.29,194.41,19.22,59.77,17.12,416.42,87.56,191.98,114.47,72.33,288.01,518.87,314.24,457.64,221.15,49.41,269.27,394.96,74.35,264.46,160.56,51.02,245.75,226.76,12.44,261.85,30.98,189.71,15.27,87.66,59.47,47.61,102.72,16.28,152.26,37.55,135.28,241.27,503.22,591.11,196.24,621.4,167.36,455.44,255.63,263.4,293.94,822.01,288.47,374.74,189.47,343.56,25.85,326.42,272.58,121.64
2016-06-17,123.73,14.3,25.3,68.4,14.9,28.73,152.33,6.03,9.96,18.13,7.66,11.02,11.18,74.14,227.85,71.66,70.72,101.47,150.1,6.46,96.13,93.54,581.78,31.44,143.96,229.77,290.99,281.77,138.47,101.82,267.09,9.34,597.93,72.13,137.09,196.25,38.72,174.47,25.05,199.63,26.15,9.96,151.18,150.97,356.21,869.14,41.17,459.89,32.56,367.93,137.26,20.46,33.13,51.25,74.85,75.23,123.03,325.15,225.66,504.17,91.12,50.73,120.19,73.65,665.76,1693.6,232.99,381.96,847.49,157.99,129.24,51.26,402.99,871.7,51.73,50.95,68.84,18.54,629.38,148.85,198.37,134.83,42.41,14.48,260.44,235.44,98.91,123.2,252.1,129.94,437.75,524.85,82.32,127.44,752.19,137.6,188.53,174.43,85.74,303.87,109.78,611.64,9.12,34.73,28.36,254.6,1070.09,106.48,355.47,26.46,17.49,13.85,22.84,9.6,28.69,5.4,105.22,18.99,11.03,7.6,5.72,10.13,12.03,55.77,19.77,10.37,22.96,17.92,41.92,4.75,13.68,7.7,8.2,9.69,18.57,11.22,4.28,9.52,4.13,5.61,30.04,46.24,6.06,7.2,5.75,11.12,34.48,6.84,11.36,6.87,4.76,6.17,6.95,67.01,54.42,14.03,1326.82,24.43,380.54,101.16,64.33,292.09,331.44,279.98,207.85,226.79,9.1,27.94,248.72,8.07,91.61,65.8,261.05,35.22,6.82,496.03,114.99,473.8,926.86,308.82,99.86,375.35,748.59,384.25,85.28,225.82,83.05,19.22,188.02,184.51,23.02,229.25,13.09,10.83,16.72,47.35,7.12,152.61,79.93,47.7,50.9,99.58,129.26,26.5,180.77,147.9,498.48,139.13,304.1,113.51,141.39,194.63,118.8,45.83,14.34,566.82,266.6,928.63,102.76,170.56,25.1,154.15,271.06,79.53,8.29,196.09,19.26,60.77,17.12,422.72,87.71,192.25,115.83,72.73,283.19,520.87,318.34,459.23,221.38,52.59,281.3,394.6,75.61,267.34,162.77,49.68,243.01,225.32,12.44,257.18,32.1,191.4,15.62,88.66,59.26,48.07,103.0,16.51,152.82,38.68,135.42,252.41,499.18,591.34,198.4,626.84,170.78,460.01,258.81,267.32,289.99,832.49,287.47,376.21,191.77,344.76,25.85,330.12,274.26,122.24
2016-06-20,124.21,14.22,25.19,67.68,14.86,28.8,151.88,6.02,9.96,18.07,7.65,11.02,11.43,74.1,226.7,71.7,70.24,102.0,154.06,6.46,95.0,94.29,581.78,31.83,147.37,234.25,289.47,278.45,139.1,101.5,263.04,9.26,592.59,71.43,132.81,192.49,38.64,174.65,24.93,200.71,26.03,9.87,150.54,150.61,359.25,865.43,43.86,453.21,32.73,365.5,136.83,20.22,33.05,51.22,76.37,75.78,122.93,330.49,224.96,498.6,88.41,49.75,118.22,73.3,665.76,1681.5,232.25,373.86,857.64,157.66,129.24,51.71,401.42,876.18,52.39,50.63,14.36,18.54,629.03,145.7,197.51,136.4,42.05,14.39,260.17,238.04,99.12,123.81,254.6,130.75,437.47,526.99,79.89,126.28,749.99,137.9,186.53,175.34,84.89,304.05,110.88,608.32,9.07,34.42,28.38,255.36,1070.69,106.11,352.54,26.67,17.27,13.8,22.9,9.6,28.6,5.39,103.3,18.94,11.03,7.6,5.68,11.14,11.99,55.97,19.79,10.33,23.08,17.95,41.98,4.78,13.83,7.68,8.12,9.68,18.54,11.26,4.26,9.53,4.1,5.57,29.94,46.52,6.0,7.25,5.69,11.22,34.32,6.86,11.15,6.86,4.77,6.17,6.94,66.81,54.36,13.82,1329.83,24.43,362.24,101.53,64.1,294.73,323.93,285.13,206.73,229.08,9.3,27.78,246.8,8.09,93.6,7.63,261.98,37.2,6.82,513.0,114.63,473.69,931.61,307.91,99.71,381.74,750.41,382.88,84.7,222.17,81.49,19.22,188.62,186.53,23.02,227.31,13.09,10.92,16.72,47.13,7.12,153.47,80.81,47.54,50.9,101.14,129.96,26.21,180.97,144.72,490.71,140.21,302.66,113.73,142.83,194.88,121.62,45.98,14.72,556.72,269.12,927.82,104.24,182.06,25.1,157.68,279.52,79.19,8.29,194.53,19.28,61.18,17.12,422.05,85.07,190.23,116.81,72.96,279.32,529.27,319.1,457.64,224.53,52.97,274.51,396.75,75.88,269.98,163.83,51.56,245.89,235.8,12.44,259.69,33.14,191.7,15.88,88.1,59.65,47.77,102.6,17.0,150.76,38.88,136.87,252.05,503.97,589.0,196.24,621.88,170.24,456.96,259.17,267.32,285.83,852.41,285.74,369.6,190.26,341.4,25.85,332.07,270.41,121.76
2016-06-21,123.79,14.11,25.35,67.17,14.72,28.83,152.33,6.02,9.92,18.07,7.66,11.02,11.31,74.83,225.94,71.81,69.68,102.41,153.11,6.43,92.99,93.21,579.49,31.71,140.36,231.23,289.1,276.89,139.1,102.54,262.12,9.17,587.45,71.1,134.78,192.02,38.46,174.74,25.09,200.62,26.15,9.87,149.28,150.26,373.0,866.09,46.19,453.83,32.56,366.36,136.68,20.04,33.13,51.76,75.54,79.12,121.03,328.4,224.27,492.43,87.45,48.18,115.55,74.1,657.0,1668.56,233.79,366.36,836.19,157.33,129.07,52.07,394.14,867.97,51.79,52.11,14.36,18.54,632.86,145.46,200.03,136.08,42.54,14.46,258.07,244.32,96.52,123.5,252.65,125.91,440.29,528.84,79.87,126.46,752.19,136.37,188.09,174.88,84.71,306.1,108.96,600.49,9.03,34.22,28.26,255.36,1069.48,105.64,356.93,26.62,17.34,13.72,23.23,9.59,28.95,5.36,100.32,18.89,11.14,7.54,5.57,12.25,11.93,55.81,19.82,10.37,23.27,18.03,42.15,4.9,13.83,7.63,8.06,9.68,18.72,11.19,4.28,9.51,4.06,5.54,29.51,46.22,5.84,7.3,5.66,11.18,34.24,6.88,11.0,6.76,4.8,6.17,6.96,65.93,53.24,13.43,1331.33,24.43,332.07,102.05,63.41,291.1,317.03,280.45,204.62,227.77,9.15,27.63,245.85,8.18,92.7,7.63,260.58,35.95,6.82,503.0,114.63,478.58,924.41,307.0,93.24,374.47,740.13,383.64,84.93,218.83,80.87,19.22,186.23,186.36,22.91,228.52,13.09,10.83,16.72,46.73,7.12,153.38,81.55,47.31,53.51,98.25,128.56,25.8,181.42,156.51,485.57,142.76,299.0,117.74,141.32,194.4,119.55,46.13,14.45,552.75,262.99,921.34,102.69,179.11,25.1,151.07,271.06,78.37,8.29,192.97,19.4,62.1,163.25,413.94,83.45,186.04,114.47,72.46,275.01,521.67,314.46,461.56,220.77,52.43,270.48,394.06,75.25,267.94,161.62,48.88,253.94,229.96,12.44,257.07,32.94,191.99,16.21,87.38,59.44,48.15,100.72,17.3,150.8,39.11,136.14,250.54,493.13,586.42,194.23,627.24,170.24,460.66,260.58,265.81,290.1,810.65,283.16,361.53,23.62,341.16,25.85,327.2,266.57,121.28
2016-06-22,124.45,14.22,25.97,67.36,14.81,28.9,152.33,6.06,9.96,18.15,7.69,11.08,11.36,75.72,226.7,71.66,70.63,102.13,154.85,6.45,94.18,94.5,577.2,32.05,143.2,235.3,290.99,282.56,139.67,104.86,265.62,9.13,601.29,71.79,134.66,195.31,38.55,175.01,26.95,202.49,26.28,9.9,150.86,152.03,371.7,878.53,44.79,462.82,32.94,369.5,137.85,20.33,7.58,52.06,76.55,77.3,120.51,329.79,225.66,541.34,88.14,49.02,116.59,74.66,657.88,1694.62,234.91,361.56,873.43,158.97,129.92,52.13,406.14,873.94,52.09,52.03,14.36,18.54,636.69,145.94,198.31,138.9,43.09,14.6,259.65,244.67,97.82,124.52,258.08,127.52,444.8,534.05,80.01,132.32,754.39,138.98,189.65,176.02,85.08,309.44,111.43,602.6,9.05,34.37,28.56,259.53,1070.09,107.45,358.6,26.66,17.5,13.9,23.58,9.61,29.06,5.37,100.4,19.2,11.33,7.55,5.64,13.48,12.04,55.9,19.84,10.39,23.8,18.26,42.5,5.26,13.98,7.71,8.1,9.7,19.06,11.27,4.31,9.54,4.07,5.57,29.89,46.7,5.84,7.45,5.68,11.27,34.32,6.92,11.19,6.81,4.82,6.17,7.0,67.17,54.2,13.61,1349.4,24.43,331.43,103.82,64.18,293.74,323.33,282.32,207.15,229.41,9.23,28.14,247.28,8.26,93.6,67.41,261.05,36.77,6.82,520.79,115.35,468.34,942.4,308.82,95.74,378.88,747.18,387.92,85.91,229.17,81.49,19.22,186.53,194.1,23.13,234.83,13.09,10.92,16.72,47.33,7.12,154.76,83.29,47.62,55.0,105.52,130.23,25.8,182.78,157.54,488.35,144.07,299.11,117.74,144.99,198.4,122.1,49.02,14.59,558.7,265.51,925.39,105.85,179.59,25.1,154.44,273.11,78.52,8.29,194.41,19.67,62.51,165.23,425.53,85.04,192.93,116.91,75.11,282.76,526.47,316.72,460.21,223.46,53.01,270.88,397.65,75.52,269.74,163.35,48.18,260.7,236.04,12.44,254.79,33.3,189.51,16.75,89.54,60.97,49.37,100.9,18.19,151.2,38.27,143.93,252.48,500.15,594.39,197.54,638.84,173.3,477.21,264.12,272.35,299.77,822.88,292.06,368.87,195.9,345.96,25.85,332.85,271.37,122.72
2016-06-23,123.96,14.19,26.39,67.45,14.72,28.78,152.48,6.02,9.92,18.04,7.55,11.03,11.15,75.31,225.17,70.73,70.24,102.87,152.79,6.46,92.48,93.16,575.68,31.94,142.16,234.33,289.47,283.14,138.76,108.54,256.96,8.98,615.33,71.85,132.7,197.66,38.37,174.01,27.93,202.39,26.22,9.84,149.91,150.97,379.95,880.93,44.61,459.68,33.42,366.36,137.12,20.21,7.58,52.68,76.59,75.05,119.87,324.92,223.57,541.79,88.81,48.46,116.48,76.37,656.56,1683.36,235.16,363.36,859.82,158.64,129.58,51.98,411.46,865.73,51.77,53.22,14.36,18.54,632.17,146.3,200.84,137.18,43.33,14.46,257.54,244.32,96.42,124.57,263.1,126.14,441.42,522.39,79.44,130.25,752.19,140.13,186.64,176.02,84.83,309.99,109.24,611.64,9.03,33.96,28.41,256.88,1057.36,110.1,359.86,26.5,17.31,13.73,23.4,9.59,28.95,5.32,99.06,19.36,11.18,7.45,5.58,14.83,12.55,55.51,19.84,10.34,23.51,18.1,42.15,5.22,13.78,7.75,8.07,9.67,19.14,11.31,4.31,9.5,4.02,5.53,29.46,46.71,5.84,7.4,5.65,11.15,34.4,6.96,11.09,6.83,4.83,6.17,7.05,66.49,54.6,13.28,1338.86,24.43,327.26,101.24,64.18,291.26,317.63,283.26,210.38,228.43,9.13,28.14,246.33,8.21,92.63,66.72,259.66,36.17,6.82,517.03,114.63,465.04,938.23,306.09,97.28,370.95,746.38,384.71,86.48,226.13,80.87,19.22,185.03,193.59,23.29,237.01,13.09,10.78,16.72,48.33,7.12,160.08,82.93,47.39,54.49,104.48,129.12,25.63,185.83,156.98,488.07,142.22,296.56,116.18,144.73,199.71,123.43,49.52,14.48,566.1,262.56,912.43,106.52,174.6,25.1,154.81,270.29,80.31,8.29,198.37,19.66,62.51,165.32,424.04,84.53,190.5,118.66,74.17,279.58,534.07,318.45,458.01,227.45,51.35,267.55,406.63,73.72,267.94,162.58,48.18,254.52,230.28,12.44,249.66,33.14,189.61,16.74,91.26,60.08,48.99,98.76,17.94,149.06,36.87,143.07,246.73,491.19,586.66,195.09,625.72,175.81,472.64,263.76,269.94,295.92,821.13,288.04,364.46,193.84,344.28,25.85,332.07,270.89,123.69
2016-06-24,121.05,13.99,25.76,67.1,14.53,28.53,151.15,5.97,9.82,17.81,7.43,10.95,11.03,74.22,223.26,70.69,69.03,100.66,152.79,6.43,91.66,91.6,569.83,31.55,141.4,230.83,286.45,274.74,137.73,105.66,250.88,8.84,597.34,70.62,130.16,193.43,37.85,172.0,27.55,200.91,25.91,9.76,148.01,148.13,367.5,870.02,42.93,450.28,32.64,360.94,134.79,20.06,31.61,51.48,74.67,73.53,116.93,318.89,220.45,543.14,85.72,47.4,128.65,74.18,643.86,1668.33,231.57,398.66,853.66,154.72,127.88,51.29,405.55,850.05,50.65,52.11,14.36,18.54,624.51,141.24,200.61,135.62,41.98,14.19,253.07,239.7,96.42,119.27,255.58,121.65,434.64,510.43,76.95,126.83,745.59,137.98,182.64,173.53,83.63,302.76,106.77,611.34,8.91,33.1,28.05,252.71,1039.18,107.33,349.61,26.48,17.05,13.48,23.24,9.55,28.71,5.18,99.42,19.13,10.95,7.3,5.51,16.31,12.09,55.19,19.85,10.21,23.23,17.82,41.57,5.17,13.58,7.53,7.79,9.51,18.8,11.04,4.28,9.44,3.93,5.42,28.92,45.85,6.2,7.34,5.55,10.98,34.48,6.9,10.92,6.7,4.79,6.17,6.99,65.81,53.84,12.95,1325.31,24.43,319.55,98.36,63.87,287.47,310.72,280.22,206.17,225.82,9.03,27.83,244.89,8.07,93.11,65.95,255.01,35.57,6.82,505.57,113.19,444.33,929.59,303.81,93.92,363.47,744.77,378.45,85.16,222.78,80.25,19.22,184.13,190.23,23.02,238.71,13.09,10.73,16.72,46.84,94.4,157.42,81.87,46.37,53.65,104.48,127.03,25.47,182.26,165.03,477.66,140.6,291.9,118.11,140.79,200.77,119.97,49.77,14.22,568.09,257.42,899.47,111.36,173.91,25.1,152.64,267.22,79.78,8.29,196.81,19.37,61.43,160.98,419.07,85.58,188.74,115.54,72.51,273.55,523.27,310.57,459.72,220.77,50.05,264.56,404.65,72.91,265.9,160.18,46.93,248.62,225.8,12.44,243.78,32.74,187.93,16.7,88.22,59.16,48.63,97.3,17.46,144.4,37.41,151.14,246.3,488.79,576.35,192.79,619.8,172.04,464.8,259.52,269.84,299.14,808.9,286.03,361.77,194.23,340.92,25.85,327.98,273.06,121.52
2016-06-27,121.25,2.76,25.92,67.38,14.81,28.66,151.59,6.02,4.9,17.99,7.47,11.0,11.16,75.23,225.17,70.81,70.42,106.55,154.53,6.48,93.41,93.54,571.86,31.94,144.24,233.51,291.37,284.7,138.3,108.7,255.12,8.93,636.48,72.07,132.81,195.78,38.2,173.65,29.03,203.28,27.68,9.84,150.23,149.9,376.91,891.63,42.47,456.34,33.23,363.65,136.54,20.35,31.57,53.1,75.9,74.56,117.35,323.3,223.23,562.11,87.35,48.66,127.72,75.66,649.56,1746.62,233.92,405.26,871.63,156.68,129.07,51.59,424.44,861.25,51.4,54.09,14.36,18.54,627.29,143.2,202.51,136.55,42.79,14.35,257.54,246.8,97.22,121.11,273.96,128.1,440.57,514.42,77.29,129.64,749.99,142.36,185.31,175.79,84.53,308.32,108.41,620.08,8.91,33.71,28.44,254.23,1067.66,110.13,356.72,26.6,17.3,13.71,23.68,9.59,28.86,5.21,100.18,19.54,11.2,7.41,5.64,17.94,12.22,55.19,19.84,10.27,23.68,17.87,42.38,5.56,13.73,7.74,7.98,9.55,19.1,11.15,4.33,9.46,3.98,5.48,29.35,45.81,6.09,7.67,5.61,11.21,34.64,6.94,11.14,6.79,4.81,6.17,7.0,66.97,54.06,13.16,1331.33,24.43,324.37,101.31,64.64,290.93,317.63,283.96,213.89,227.77,9.08,28.82,246.8,8.16,96.15,66.26,257.57,36.64,6.82,516.85,114.27,453.32,945.72,306.54,99.52,369.85,777.4,383.79,85.97,225.82,80.87,19.22,184.13,196.28,23.57,258.48,13.09,10.83,16.72,48.56,95.73,165.14,83.94,47.0,55.79,105.48,129.12,25.9,184.86,171.72,491.96,142.84,296.12,120.34,146.22,206.54,126.52,51.47,14.42,577.29,264.09,910.81,114.35,183.22,25.1,155.73,270.29,81.66,8.29,199.09,19.62,61.6,167.78,436.63,87.89,195.9,120.51,73.85,279.32,528.47,322.23,458.87,224.68,50.53,272.22,426.73,73.54,268.54,162.68,48.48,252.94,234.6,12.44,246.69,33.26,196.96,17.0,90.02,59.72,50.23,98.58,18.0,146.5,37.93,150.85,249.82,504.34,592.05,195.67,630.2,176.17,476.99,263.59,271.95,313.39,823.75,299.52,371.32,197.25,345.24,205.96,332.07,277.38,124.17
2016-06-28,121.05,2.76,26.08,67.24,14.77,28.61,151.15,6.08,4.9,18.1,7.48,11.0,11.09,76.24,225.56,70.84,71.67,106.07,154.06,6.48,94.54,96.12,572.37,32.05,144.72,255.81,294.39,284.31,137.9,111.82,256.23,8.85,630.55,73.61,133.16,195.78,38.46,173.65,29.03,204.86,27.49,9.84,154.02,150.61,375.46,895.56,41.96,450.07,33.9,363.93,139.59,20.56,31.85,53.75,78.72,74.56,117.35,325.62,224.27,552.47,88.49,49.78,126.79,76.4,654.37,1749.6,236.64,405.56,866.63,157.0,129.58,51.56,426.61,872.45,52.42,54.54,14.36,18.54,626.6,142.85,202.45,136.08,43.7,14.78,257.28,247.39,98.22,122.74,271.59,129.71,445.09,514.11,78.15,133.24,749.99,143.2,186.53,175.56,84.71,309.62,108.96,640.57,9.14,34.88,28.51,253.47,1068.27,110.41,360.27,26.57,17.43,13.96,23.97,9.6,28.66,5.43,99.36,19.53,11.35,7.41,5.66,19.73,12.22,55.19,19.87,10.29,24.51,17.92,43.53,5.47,13.78,7.79,7.95,9.59,19.47,11.23,4.35,9.51,3.98,5.53,29.37,46.02,6.03,7.83,5.64,11.33,35.44,6.95,11.15,6.79,4.8,6.17,7.0,67.85,53.74,13.13,1334.34,24.43,327.58,101.6,64.87,292.75,320.63,286.07,217.26,227.77,9.1,28.86,247.28,8.24,95.06,68.02,258.5,36.64,6.82,520.43,114.99,463.9,960.54,308.82,101.46,371.39,780.02,389.14,85.56,227.34,81.18,19.22,184.13,199.48,23.57,262.85,13.09,10.92,16.72,49.52,97.34,164.97,85.32,46.92,57.56,104.63,133.58,26.04,186.48,169.97,492.37,140.29,292.13,120.79,146.91,207.25,126.36,51.37,14.66,594.44,265.07,914.05,125.75,184.32,25.1,151.65,269.78,83.26,8.29,210.25,19.61,61.51,166.08,443.75,96.62,201.57,122.56,74.97,286.29,529.67,320.18,467.56,228.68,50.63,271.01,428.34,73.54,268.78,173.52,48.28,249.92,240.44,12.44,243.39,33.14,198.84,17.49,92.18,60.35,53.17,100.84,18.33,151.22,41.72,157.2,255.21,505.83,599.07,197.54,648.92,179.41,483.31,266.06,281.41,312.98,845.59,296.22,377.44,203.29,351.48,204.76,340.85,280.26,126.82
