Date,600000.SS,600008.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600021.SS,600023.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600038.SS,600048.SS,600050.SS,600061.SS,600066.SS,600068.SS,600074.SS,600085.SS,600089.SS,600100.SS,600104.SS,600109.SS,600111.SS,600115.SS,600118.SS,600153.SS,600157.SS,600170.SS,600177.SS,600188.SS,600196.SS,600208.SS,600219.SS,600221.SS,600233.SS,600271.SS,600276.SS,600297.SS,600309.SS,600332.SS,600340.SS,600352.SS,600362.SS,600369.SS,600372.SS,600373.SS,600376.SS,600383.SS,600390.SS,600406.SS,600415.SS,600436.SS,600482.SS,600485.SS,600489.SS,600498.SS,600518.SS,600519.SS,600522.SS,600535.SS,600547.SS,600570.SS,600583.SS,600585.SS,600588.SS,600606.SS,600637.SS,600649.SS,600660.SS,600663.SS,600674.SS,600682.SS,600685.SS,600688.SS,600690.SS,600703.SS,600704.SS,600705.SS,600739.SS,600741.SS,600795.SS,600804.SS,600816.SS,600820.SS,600827.SS,600837.SS,600871.SS,600886.SS,600887.SS,600893.SS,600895.SS,600900.SS,600909.SS,600919.SS,600926.SS,600958.SS,600959.SS,600977.SS,600999.SS,601006.SS,601009.SS,601012.SS,601018.SS,601021.SS,601088.SS,601099.SS,601111.SS,601117.SS,601118.SS,601155.SS,601163.SS,601166.SS,601169.SS,601186.SS,601198.SS,601211.SS,601212.SS,601216.SS,601225.SS,601228.SS,601229.SS,601718.SS,601727.SS,601766.SS,601788.SS,601800.SS,601818.SS,601857.SS,601866.SS,601872.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601919.SS,601933.SS,601939.SS,601958.SS,601966.SS,601985.SS,601988.SS,601989.SS,601991.SS,601992.SS,601997.SS,601998.SS,603160.SS,603799.SS,603833.SS,603858.SS,603993.SS,000001.SZ,000002.SZ,000008.SZ,000060.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000540.SZ,000559.SZ,000568.SZ,000623.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000671.SZ,000686.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000738.SZ,000750.SZ,000768.SZ,000776.SZ,000783.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000938.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001979.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002044.SZ,002065.SZ,002074.SZ,002081.SZ,002142.SZ,002146.SZ,002153.SZ,002174.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002292.SZ,002294.SZ,002304.SZ,002310.SZ,002352.SZ,002385.SZ,002411.SZ,002415.SZ,002424.SZ,002426.SZ,002450.SZ,002456.SZ,002460.SZ,002465.SZ,002466.SZ,002468.SZ,002470.SZ,002475.SZ,002500.SZ,002508.SZ,002555.SZ,002558.SZ,002572.SZ,002594.SZ,002601.SZ,002602.SZ,002608.SZ,002624.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002797.SZ,002831.SZ,002839.SZ,002841.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300033.SZ,300059.SZ,300070.SZ,300072.SZ,300122.SZ,300124.SZ,300136.SZ,300144.SZ,300251.SZ,300315.SZ
2017-06-26,129.97,42.04,95.41,15.86,29.1,32.19,142.22,7.46,12.14,22.07,8.31,13.41,14.19,82.6,353.39,98.72,118.37,185.93,7.47,84.67,651.16,63.2,123.88,299.02,390.69,14.12,218.14,98.54,220.31,9.26,518.86,150.96,176.51,46.17,184.85,31.17,330.28,30.41,19.46,10.28,81.44,326.09,1351.63,46.99,793.25,39.58,526.18,155.46,24.37,25.49,47.09,87.41,80.89,141.36,56.36,429.76,266.24,340.05,69.79,14.59,110.68,80.67,954.81,2890.01,94.3,276.95,302.86,591.68,119.9,76.01,373.67,673.92,49.05,52.87,1096.47,150.72,161.42,398.13,47.46,16.53,431.49,397.28,119.14,122.33,513.37,834.31,3.6,142.74,343.24,216.05,105.94,309.25,8.06,318.22,1384.59,89.3,341.25,31.66,10.41,9.44,21.29,14.6,10.57,19.19,25.31,11.98,33.95,92.79,6.12,68.6,22.29,11.39,10.64,7.1,5.83,23.85,26.59,60.79,21.21,12.97,17.73,21.51,8.06,56.9,6.91,8.64,25.45,8.59,7.57,10.8,17.72,16.09,4.82,10.11,3.66,5.16,32.68,12.17,12.09,60.31,6.85,6.08,10.1,5.35,60.0,8.64,10.05,22.8,7.97,5.34,6.21,11.61,13.55,16.15,8.03,100.35,58.37,112.25,72.62,15.32,1435.2,2855.07,233.85,345.25,353.18,346.92,3.43,275.04,7.89,177.19,108.73,336.49,49.38,136.92,708.74,138.92,24.93,1424.33,341.65,300.36,1256.22,471.74,95.46,245.44,88.98,4205.62,181.44,151.72,31.98,51.82,19.43,28.09,37.08,70.77,162.57,91.81,48.29,85.62,214.31,188.84,855.59,138.43,341.24,7.79,145.02,11.71,36.84,305.86,51.43,22.25,705.08,397.39,950.5,94.58,98.62,304.17,119.01,299.25,24.73,93.46,390.76,93.8,79.54,318.13,939.27,438.98,20.24,136.6,357.76,328.6,788.66,157.16,58.88,119.34,597.64,183.99,7.68,326.37,347.96,283.56,68.6,319.94,53.54,30.94,299.65,10.27,261.07,275.67,175.3,673.44,51.94,111.72,105.84,32.63,70.0,33.73,107.44,14.4,109.96,15.08,73.34,15.85,72.92,88.76,251.0,274.4,459.93,122.4,508.84,317.75,334.23,557.7,75.47,385.15,520.75,170.96,203.63,105.23
2017-06-27,130.49,41.94,95.95,15.8,29.15,32.51,143.11,7.46,12.17,21.93,8.26,13.24,13.82,81.99,354.53,103.85,117.79,184.82,7.47,84.19,649.63,63.09,121.33,301.14,394.6,14.12,219.05,97.98,219.94,9.17,517.28,150.15,179.8,45.96,183.95,31.11,327.22,30.11,19.36,10.28,81.75,325.22,1351.89,46.87,790.74,39.71,522.61,155.32,24.33,25.45,49.12,89.91,80.1,143.78,56.0,429.06,266.24,338.29,70.24,14.59,110.8,80.19,955.25,2886.75,94.38,276.4,303.46,596.82,120.41,75.59,373.67,670.19,48.92,52.55,1091.95,149.95,161.42,396.21,47.59,16.55,432.55,394.06,118.54,121.92,510.84,832.16,3.6,141.67,339.82,215.14,110.22,307.95,8.04,318.6,1408.22,90.04,339.58,31.76,10.33,9.52,21.26,14.56,10.57,19.07,25.25,12.09,34.07,93.92,6.16,68.62,22.29,11.36,10.45,7.09,5.84,24.61,26.55,61.11,21.21,13.16,17.74,21.47,8.26,56.67,7.18,8.81,25.67,8.74,7.57,10.79,17.63,16.77,4.85,10.08,3.66,5.16,32.17,13.39,12.08,61.61,6.88,6.06,10.13,5.35,59.84,8.69,10.07,22.23,7.94,5.34,6.21,11.59,13.45,16.31,8.07,103.53,59.95,110.82,72.71,15.47,1444.23,2761.92,231.93,348.26,354.86,351.49,3.43,274.08,7.87,176.25,109.8,333.71,48.14,137.74,704.62,139.28,24.93,1422.32,346.21,316.48,1248.17,468.76,95.12,243.62,88.66,4278.35,182.04,151.21,31.87,53.2,19.38,27.96,37.52,70.48,163.42,91.39,47.92,85.0,218.39,189.04,861.42,138.12,343.24,7.82,143.89,11.65,36.73,301.92,52.13,22.34,700.2,396.62,948.07,97.46,99.2,302.62,116.07,296.43,25.37,93.55,383.97,95.87,79.41,315.98,952.47,428.18,20.24,136.67,356.56,328.84,781.48,156.41,58.88,119.38,591.34,186.2,7.68,324.65,353.96,278.58,68.24,313.15,53.37,30.86,296.18,10.28,257.8,288.42,176.53,673.6,51.89,114.94,110.58,32.33,71.86,33.6,106.16,14.31,108.0,14.97,73.8,15.98,74.4,88.4,257.79,273.95,460.86,122.11,509.08,326.11,333.35,563.89,74.79,385.29,504.75,171.2,204.35,104.75
2017-06-28,131.26,40.9,94.32,15.93,29.28,33.07,144.43,7.41,12.28,21.68,8.22,13.26,13.56,81.91,347.64,101.68,116.08,182.45,7.47,85.0,642.01,63.04,119.53,295.85,396.34,14.12,216.09,97.18,219.75,9.06,511.74,151.43,177.92,45.96,182.8,31.17,322.77,29.68,19.41,10.22,80.29,322.91,1325.7,46.39,820.59,38.93,511.05,154.74,24.64,25.25,49.73,89.22,79.85,142.41,55.51,428.6,265.55,330.9,68.99,14.59,111.15,79.16,955.25,2837.23,94.15,277.01,303.66,589.88,120.07,75.65,366.19,670.19,48.19,51.74,1068.98,150.13,160.79,398.34,47.31,16.55,426.23,388.76,117.33,120.29,503.22,817.75,3.6,138.36,346.42,216.27,108.11,307.4,8.1,315.19,1377.32,87.46,336.23,31.75,10.12,9.57,21.37,14.5,10.57,18.66,25.21,12.05,34.65,93.65,6.13,68.16,22.29,11.3,10.26,7.39,5.85,24.55,26.08,62.25,21.5,13.11,17.78,21.48,8.1,56.9,7.19,8.65,25.37,8.66,7.57,10.79,17.59,17.04,4.87,10.07,3.62,5.16,32.06,14.73,11.83,61.35,6.89,6.08,10.33,5.35,59.12,8.73,10.05,21.7,7.85,5.35,6.21,11.47,13.23,16.19,8.1,99.24,58.11,108.58,71.34,15.23,1454.77,2708.41,230.0,351.26,352.9,349.86,3.43,274.56,7.83,171.68,110.11,329.06,48.52,136.92,692.23,137.48,24.93,1383.45,338.46,316.22,1223.99,465.18,94.77,237.84,89.29,4179.84,179.65,150.2,32.04,52.21,19.34,27.49,36.69,69.89,160.16,90.98,47.36,84.0,215.41,197.41,840.32,138.12,344.01,7.98,142.4,11.81,36.17,297.06,51.63,21.9,698.22,383.94,933.49,96.76,99.37,312.73,114.68,294.9,26.22,93.55,383.8,94.4,78.6,330.27,922.47,415.0,20.24,134.21,355.27,325.98,774.3,154.4,58.7,117.56,583.6,181.88,7.68,319.47,345.96,282.06,68.0,310.59,53.12,30.3,288.74,10.22,257.92,280.53,183.42,659.84,50.98,116.27,109.2,32.33,70.62,33.28,105.24,14.2,106.5,14.73,74.15,16.17,73.14,87.52,255.85,270.82,454.77,120.96,495.88,325.06,332.29,559.06,75.51,373.66,505.01,171.27,202.43,100.54
2017-06-29,131.0,40.95,94.09,15.99,29.07,33.05,144.14,7.42,12.29,21.62,8.23,13.28,13.61,81.91,348.79,103.03,119.84,183.24,7.47,84.3,649.89,63.82,120.76,295.85,398.08,14.12,215.91,97.02,220.12,9.06,520.64,153.27,180.27,46.27,182.68,31.27,321.98,29.5,19.56,10.19,80.41,332.03,1339.32,46.27,815.07,38.83,511.91,155.9,24.81,25.29,49.51,88.07,80.4,142.73,55.01,427.21,265.55,333.93,69.5,14.59,111.38,81.32,952.84,2824.34,95.31,276.95,302.76,618.52,120.92,78.89,376.23,663.47,48.49,51.65,1075.94,149.41,161.89,403.77,47.51,16.58,427.29,393.49,119.89,119.88,509.42,822.66,3.6,140.28,350.58,216.05,108.77,308.32,8.04,314.06,1419.13,88.08,336.65,32.08,10.16,9.54,21.27,14.53,10.57,18.65,25.06,12.24,34.68,92.19,6.1,68.58,22.29,11.3,10.34,7.36,5.94,24.47,26.51,62.47,21.5,13.09,17.67,21.4,8.07,57.01,7.28,8.67,25.63,8.69,7.57,10.79,17.51,17.04,4.88,10.07,3.64,5.16,32.16,16.2,11.83,62.39,6.94,6.11,10.23,5.35,59.36,8.77,10.11,23.25,7.88,5.36,6.21,11.39,13.43,16.18,8.09,99.39,57.25,108.43,71.28,15.62,1454.77,2724.26,229.36,350.36,354.86,346.92,3.43,275.04,7.82,173.1,110.65,329.99,49.12,137.54,700.95,140.36,24.93,1380.57,338.01,313.57,1223.39,469.15,94.54,240.57,90.53,4192.73,180.25,150.2,32.15,52.74,19.75,27.32,36.99,69.45,161.71,91.3,47.41,83.33,216.19,196.41,837.27,137.81,348.12,7.97,148.38,11.77,36.12,298.32,53.48,21.86,695.69,398.04,965.08,96.13,99.37,314.14,114.35,296.69,26.4,92.55,387.61,96.74,78.29,349.63,932.87,421.48,20.24,135.29,355.82,322.25,772.51,155.42,58.79,117.35,606.1,187.25,7.68,329.25,356.96,279.3,68.06,308.88,53.31,30.66,286.75,10.3,256.45,276.32,183.3,659.68,50.73,117.18,109.74,32.3,70.02,33.28,106.6,14.22,105.3,14.89,74.5,15.96,72.61,90.76,255.42,274.85,463.21,121.11,512.92,324.8,332.46,560.27,76.79,383.57,498.22,169.61,202.43,101.02
2017-06-30,130.06,40.27,94.3,15.86,28.84,32.81,143.7,7.49,12.29,21.69,8.27,13.29,13.67,81.63,347.26,102.1,120.3,181.66,7.47,84.78,652.68,63.93,121.04,297.15,397.64,14.12,217.68,96.62,218.47,9.1,517.08,153.16,178.86,46.37,182.29,30.99,324.65,29.32,19.56,10.22,81.4,331.01,1338.53,47.11,812.06,39.79,505.91,154.74,24.88,25.25,49.73,88.72,80.28,140.83,55.1,435.79,264.16,341.82,68.91,14.59,110.68,79.84,956.35,2817.81,95.0,278.44,301.06,613.9,121.09,79.04,378.0,654.51,48.19,51.47,1078.02,150.31,161.42,397.38,47.69,16.62,427.55,388.0,119.89,119.48,515.07,830.63,3.6,140.05,344.46,218.08,109.86,308.32,8.04,316.33,1425.8,87.12,338.53,32.41,10.09,9.47,21.09,14.51,10.57,18.72,25.29,12.33,34.33,93.6,6.15,68.24,22.29,11.23,10.37,7.43,5.91,24.64,26.3,62.37,21.4,13.03,17.8,21.52,8.14,56.9,7.22,8.62,25.54,9.0,7.57,10.86,17.51,17.0,4.88,10.07,3.64,5.16,31.93,17.01,11.86,63.19,6.93,6.17,10.13,5.35,59.68,8.76,10.13,22.6,7.9,5.38,6.21,11.27,13.31,16.07,8.08,100.7,60.88,109.86,71.64,15.89,1448.75,2705.44,230.32,351.26,351.63,350.84,3.43,273.12,7.85,172.65,110.11,329.53,49.29,139.39,699.02,140.36,24.93,1387.05,341.65,312.25,1223.59,472.33,94.71,241.18,90.53,4254.41,180.25,150.03,31.87,52.67,19.43,26.89,36.67,69.45,160.76,91.35,47.55,83.95,218.39,206.97,840.6,137.81,347.34,8.07,148.69,11.79,36.73,299.29,53.28,21.62,692.8,396.29,959.41,97.67,100.24,315.68,118.16,297.46,25.8,91.13,383.97,95.87,78.11,348.34,926.87,424.51,20.24,132.22,354.44,324.0,755.91,163.04,59.51,118.08,602.5,187.25,7.68,326.66,366.96,279.48,68.24,311.67,53.56,31.02,292.11,10.25,261.31,279.24,184.29,673.6,50.37,120.26,109.68,32.3,69.26,33.6,109.88,14.25,103.54,14.86,75.0,15.82,74.64,91.16,256.82,275.3,459.93,120.82,512.36,317.49,333.52,563.89,77.83,385.86,513.46,169.21,202.18,99.09
2017-07-03,129.29,40.58,96.25,16.19,28.39,32.67,143.84,7.5,12.63,21.81,8.25,13.31,13.53,81.18,344.97,100.59,120.68,184.98,7.47,84.62,655.22,64.37,124.83,293.65,393.3,14.12,216.14,95.82,221.6,9.1,512.53,152.12,180.74,46.37,182.55,31.55,327.71,29.5,19.71,10.25,81.2,336.66,1325.17,47.29,803.28,40.1,507.63,156.34,24.97,25.37,49.54,87.34,80.22,142.83,55.33,433.01,264.16,333.49,68.17,14.59,110.68,79.84,960.29,2753.2,94.3,277.32,299.86,616.46,122.45,78.95,376.23,659.74,48.6,51.65,1059.93,150.36,160.48,396.85,47.71,16.64,414.66,365.46,119.74,119.88,518.17,811.0,3.6,139.82,344.71,217.63,110.16,306.47,8.04,316.33,1410.04,86.93,338.53,32.34,10.12,9.48,21.13,14.5,10.57,18.92,25.19,12.33,34.24,96.35,6.15,69.06,22.29,11.23,10.24,7.52,6.07,24.54,26.39,62.44,21.36,13.05,17.79,21.29,8.17,58.97,7.62,8.55,25.44,9.04,8.4,10.84,17.42,17.03,4.87,10.12,3.65,5.16,31.73,16.86,11.93,62.47,7.03,6.18,10.02,5.35,60.48,8.75,10.22,22.62,7.89,5.37,6.21,11.27,13.47,16.12,8.04,104.58,61.62,110.87,72.69,15.92,1450.26,2665.8,230.32,356.96,335.63,343.98,3.43,274.56,7.89,168.0,108.57,332.78,48.74,140.22,681.87,142.16,24.93,1349.05,339.83,311.2,1190.15,469.95,94.08,240.88,91.47,4191.81,179.65,149.36,32.64,52.8,19.25,26.91,36.71,69.3,161.36,90.8,47.08,85.23,224.3,208.96,817.98,139.2,346.79,8.39,147.42,12.34,37.24,300.6,54.63,21.52,688.47,385.9,963.46,97.67,101.34,317.23,121.91,298.49,25.86,92.38,388.6,100.73,78.78,378.89,905.27,402.26,20.24,133.29,347.25,318.42,762.19,162.53,61.67,119.5,583.42,186.0,7.68,320.48,363.56,282.18,68.36,312.24,53.1,31.02,282.29,10.31,256.16,272.86,184.05,663.2,50.45,120.19,111.09,32.3,67.36,33.5,109.12,14.26,105.68,14.87,75.18,15.9,74.43,92.32,254.45,280.89,471.4,122.4,522.2,326.11,345.02,580.64,83.23,371.8,500.27,173.42,205.55,98.49
2017-07-04,129.2,40.53,96.11,16.06,28.47,32.73,142.96,7.54,12.45,21.9,8.22,13.49,13.52,80.46,346.11,98.57,120.17,180.4,7.47,84.94,652.68,62.09,124.45,290.56,392.0,14.12,216.14,91.26,221.04,9.16,514.71,147.84,180.27,46.58,181.78,31.09,327.31,29.26,19.76,10.22,81.51,337.09,1301.6,46.87,799.27,39.74,495.93,154.01,24.42,25.25,49.4,85.46,80.04,139.67,55.06,434.63,264.16,324.22,68.33,14.59,110.57,79.63,963.79,2705.65,94.54,273.55,300.76,597.72,121.43,78.98,373.08,649.29,48.25,51.29,1037.65,151.32,160.48,398.44,47.66,16.69,406.24,371.15,118.09,119.68,512.25,813.76,3.49,138.75,348.13,216.27,109.01,305.73,8.04,317.47,1385.2,87.71,340.41,32.46,10.04,9.37,20.95,14.46,10.57,18.73,24.92,12.18,33.86,96.46,6.09,68.9,22.29,11.17,10.27,7.38,5.96,24.13,26.29,61.89,21.15,12.82,17.81,21.28,8.2,58.39,7.52,8.43,25.04,8.91,8.44,10.8,17.41,16.69,4.86,10.21,3.64,5.16,31.9,17.2,11.89,61.27,6.88,6.2,9.95,5.35,59.04,8.72,10.17,22.31,7.93,5.36,6.21,11.31,13.45,15.86,7.97,105.05,58.06,110.02,73.14,15.26,1441.22,2595.44,232.89,350.06,336.19,336.8,3.43,273.6,7.87,166.88,110.11,324.42,51.18,141.04,670.49,142.16,24.93,1325.3,333.9,311.99,1168.6,465.98,93.22,233.88,90.85,4134.74,179.65,147.01,32.48,52.41,19.38,26.62,37.01,68.42,164.8,90.2,46.15,84.17,220.21,210.15,797.43,137.04,342.24,8.18,144.44,12.23,37.68,298.43,54.43,20.66,670.42,409.2,946.45,95.15,98.79,314.14,122.24,301.3,25.58,92.96,391.75,96.29,77.3,380.61,880.87,403.77,20.24,130.68,344.49,315.1,768.92,159.53,61.58,118.73,564.88,183.7,7.68,320.62,375.56,278.52,68.78,309.28,53.0,30.66,284.87,10.23,245.28,259.36,182.98,651.2,50.92,119.35,112.92,31.94,67.12,33.48,111.88,14.3,52.04,14.73,74.49,16.22,75.08,89.96,250.78,277.09,466.72,121.68,521.24,324.54,342.72,573.4,82.79,374.09,506.16,171.91,203.87,100.54
2017-07-05,129.8,40.38,96.11,16.12,28.5,32.84,143.4,7.44,12.55,21.81,8.23,13.49,13.59,81.02,349.94,102.06,119.97,182.93,7.47,84.4,647.35,63.09,126.35,294.55,393.73,14.12,219.57,92.38,225.1,9.16,517.87,150.27,182.15,46.58,183.19,31.67,328.11,29.38,19.91,10.22,82.11,324.06,1316.53,47.42,810.81,39.86,494.93,155.17,24.94,25.25,48.92,86.87,80.4,142.94,55.46,447.16,265.2,327.03,67.45,14.59,111.09,79.9,961.16,2751.85,94.54,274.79,300.86,599.64,121.77,78.92,374.65,651.53,48.36,51.74,1052.62,150.36,162.04,400.68,47.61,16.8,409.4,373.23,118.99,120.09,514.5,823.27,3.49,138.82,362.07,215.82,108.89,306.84,8.04,318.22,1396.71,87.83,339.58,32.08,10.28,9.41,20.96,14.53,10.57,19.02,25.0,12.27,34.3,96.14,6.1,69.04,22.29,11.17,10.38,7.41,5.98,23.89,26.5,62.54,21.32,12.9,17.79,21.16,8.39,59.08,7.77,8.47,25.39,8.92,8.4,10.79,17.51,17.05,4.88,10.19,3.65,5.16,31.94,18.92,12.08,61.93,6.96,6.23,10.02,5.35,59.6,8.7,10.37,22.45,7.95,5.36,6.21,11.35,13.45,16.01,8.03,104.39,62.69,111.5,72.96,16.28,1445.74,2662.82,232.25,356.06,348.55,340.07,3.43,274.08,7.9,172.28,110.72,325.58,52.17,142.07,677.1,142.88,24.93,1351.78,338.46,311.99,1187.73,467.37,93.91,249.09,92.09,4244.28,179.35,149.7,32.59,52.48,19.43,27.18,36.93,69.16,164.45,90.75,46.38,84.61,222.16,212.74,809.51,137.66,342.9,8.22,144.54,12.2,37.85,301.86,54.48,20.84,606.71,421.88,953.74,96.41,100.99,316.8,123.53,300.79,26.66,92.63,388.77,96.32,77.48,380.44,926.47,411.76,20.24,131.07,352.23,317.92,773.85,160.22,61.67,118.85,574.6,186.39,7.68,320.91,375.96,294.18,70.88,322.27,53.0,30.78,289.73,10.3,250.78,264.66,182.43,653.92,51.6,120.54,111.66,31.92,67.66,33.78,111.96,14.35,52.04,14.92,74.8,16.27,75.12,91.16,253.48,278.43,477.5,122.26,513.08,326.11,345.19,575.06,82.71,371.37,515.5,173.18,205.07,100.18
2017-07-06,130.15,39.86,96.34,16.51,28.76,32.93,143.77,7.45,12.66,21.85,8.23,13.51,13.58,80.46,341.14,102.3,119.49,179.76,7.47,84.08,652.17,63.93,125.02,290.89,387.65,13.87,224.87,91.98,233.39,9.14,516.29,151.08,183.09,46.48,184.46,32.51,316.74,29.62,19.86,10.25,81.63,314.36,1303.96,49.29,812.06,38.97,491.36,155.46,25.11,25.13,48.47,85.49,79.67,143.46,56.32,446.0,264.51,323.84,68.33,14.59,112.71,77.91,959.41,2728.5,96.39,267.79,306.66,592.45,121.26,78.77,378.79,646.3,48.19,51.29,1044.96,150.6,162.51,398.44,48.95,16.85,405.71,380.61,118.69,119.68,515.35,840.75,3.49,140.36,360.11,214.92,106.72,305.73,7.97,322.77,1377.93,86.93,337.28,32.18,10.15,9.37,20.87,14.48,10.57,18.91,24.95,12.3,34.21,99.97,6.13,68.8,22.29,11.07,10.43,7.39,5.96,24.09,26.35,63.18,21.4,12.95,17.75,21.12,8.31,58.62,8.23,8.55,25.2,8.98,8.25,10.78,17.44,16.89,4.9,10.21,3.67,5.16,31.78,18.71,12.15,60.95,7.03,6.26,9.9,5.35,59.44,8.7,10.64,21.63,7.93,5.35,6.21,11.35,13.28,15.85,7.99,104.28,62.69,111.95,72.58,17.84,1450.26,2631.11,235.13,358.77,344.75,338.11,3.43,273.6,7.91,171.0,115.33,323.03,51.82,142.69,668.66,141.44,24.93,1340.27,337.55,312.52,1188.14,467.76,93.74,254.26,93.96,4238.76,177.55,148.86,32.64,52.93,19.34,26.91,36.86,68.86,163.85,91.12,46.2,85.89,221.7,210.35,803.54,138.74,343.68,8.34,143.6,12.15,37.57,300.43,54.83,20.61,594.8,423.74,938.35,94.85,17.13,315.68,126.65,294.38,26.66,92.3,384.46,92.18,77.44,371.15,939.27,410.47,20.24,131.14,345.32,318.93,788.66,160.37,61.85,115.9,576.4,182.93,7.68,318.75,372.36,296.34,71.6,329.8,52.71,30.38,292.26,10.22,250.6,261.2,182.75,651.52,51.27,123.9,110.91,31.82,66.34,33.6,113.64,14.52,52.04,14.78,74.21,16.26,79.04,90.08,251.43,272.83,485.46,122.4,509.8,319.05,347.84,569.17,82.83,376.39,512.56,169.77,202.43,98.97
2017-07-07,129.63,39.44,96.57,17.09,28.78,32.87,143.33,7.55,12.67,21.82,8.25,13.48,13.49,81.35,341.9,99.58,119.44,185.77,7.47,84.94,654.97,63.2,124.36,288.04,389.82,13.87,223.39,93.1,255.67,9.14,520.04,151.77,186.38,46.58,183.95,33.01,313.68,29.93,20.16,10.25,81.08,315.96,1292.17,49.35,812.56,38.93,493.07,157.07,25.77,25.57,48.55,84.95,80.34,152.2,57.08,447.16,265.55,323.89,67.64,14.59,114.1,78.03,952.4,2710.36,95.46,264.88,310.46,589.37,121.43,80.87,375.64,646.3,47.8,51.52,1027.9,150.84,164.86,395.68,49.79,16.87,404.66,378.91,117.33,119.88,520.71,840.44,3.49,139.29,355.96,215.59,106.84,307.77,7.95,323.15,1354.29,87.49,336.86,32.34,10.33,9.36,20.94,14.64,10.57,18.91,25.35,12.8,34.1,100.13,6.12,68.1,22.29,11.2,10.26,7.36,6.04,23.51,26.48,63.12,21.4,12.89,18.32,21.32,9.14,58.16,8.63,8.51,25.23,8.92,8.28,10.82,17.57,16.9,4.88,10.18,3.7,5.16,31.84,18.56,12.31,59.39,7.06,6.29,9.83,5.35,59.28,8.72,10.8,21.03,7.97,5.37,6.21,11.25,13.3,15.9,7.98,106.4,65.18,113.5,73.44,18.62,1460.79,2674.72,235.46,363.57,343.91,339.09,3.43,274.08,8.03,167.36,114.33,326.74,53.71,145.37,666.0,143.96,24.93,1337.82,339.37,312.25,1176.65,468.36,93.22,251.53,95.52,4166.04,178.75,151.72,32.81,52.41,19.34,27.63,37.06,70.62,164.2,91.72,47.04,87.17,220.99,213.34,787.03,138.74,339.8,8.39,143.7,12.27,37.32,294.89,55.23,20.79,593.17,424.29,935.11,92.69,17.13,317.37,127.16,292.59,26.48,91.72,378.17,92.87,77.3,376.31,942.07,408.96,20.24,130.07,340.34,316.71,791.35,158.63,61.49,116.02,563.44,181.68,7.68,317.31,367.16,307.38,72.86,336.75,52.29,30.74,293.01,10.87,246.8,266.92,183.06,640.96,51.09,133.63,110.97,32.04,67.82,35.03,115.36,14.67,52.04,15.0,74.4,16.45,78.92,88.88,249.7,269.25,487.33,121.97,508.12,319.84,344.84,569.93,82.55,371.08,522.8,168.41,203.87,99.45
