Date,600000.SS,600004.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600023.SS,600025.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600038.SS,600048.SS,600050.SS,600061.SS,600066.SS,600068.SS,600085.SS,600089.SS,600100.SS,600104.SS,600109.SS,600111.SS,600115.SS,600118.SS,600153.SS,600170.SS,600176.SS,600177.SS,600188.SS,600196.SS,600208.SS,600233.SS,600271.SS,600276.SS,600297.SS,600332.SS,600339.SS,600340.SS,600346.SS,600352.SS,600362.SS,600369.SS,600372.SS,600383.SS,600390.SS,600398.SS,600406.SS,600415.SS,600436.SS,600438.SS,600487.SS,600498.SS,600516.SS,600518.SS,600519.SS,600522.SS,600535.SS,600547.SS,600566.SS,600570.SS,600583.SS,600585.SS,600588.SS,600606.SS,600637.SS,600660.SS,600674.SS,600688.SS,600690.SS,600703.SS,600704.SS,600705.SS,600739.SS,600741.SS,600760.SS,600795.SS,600809.SS,600816.SS,600837.SS,600867.SS,600886.SS,600887.SS,600893.SS,600900.SS,600909.SS,600919.SS,600926.SS,600958.SS,600977.SS,600998.SS,600999.SS,601006.SS,601009.SS,601012.SS,601018.SS,601021.SS,601066.SS,601088.SS,601108.SS,601111.SS,601117.SS,601138.SS,601155.SS,601166.SS,601169.SS,601186.SS,601198.SS,601211.SS,601212.SS,601216.SS,601225.SS,601228.SS,601229.SS,601238.SS,601766.SS,601788.SS,601800.SS,601808.SS,601818.SS,601828.SS,601838.SS,601857.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601919.SS,601933.SS,601939.SS,601985.SS,601988.SS,601989.SS,601991.SS,601992.SS,601997.SS,601998.SS,603156.SS,603160.SS,603259.SS,603260.SS,603288.SS,603799.SS,603833.SS,603858.SS,603993.SS,000001.SZ,000002.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000338.SZ,000402.SZ,000413.SZ,000423.SZ,000425.SZ,000503.SZ,000553.SZ,000568.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000661.SZ,000671.SZ,000709.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001965.SZ,001979.SZ,002001.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002032.SZ,002044.SZ,002050.SZ,002065.SZ,002081.SZ,002085.SZ,002120.SZ,002142.SZ,002146.SZ,002153.SZ,002179.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002271.SZ,002294.SZ,002304.SZ,002311.SZ,002352.SZ,002415.SZ,002422.SZ,002456.SZ,002460.SZ,002468.SZ,002475.SZ,002493.SZ,002508.SZ,002555.SZ,002572.SZ,002594.SZ,002601.SZ,002625.SZ,002673.SZ,002714.SZ,002736.SZ,002773.SZ,002797.SZ,002925.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300033.SZ,300059.SZ,300070.SZ,300122.SZ,300124.SZ,300136.SZ,300142.SZ,300144.SZ,300251.SZ,300296.SZ,300408.SZ,300433.SZ
2018-06-20,106.39,29.98,139.52,11.44,26.21,28.49,134.33,7.49,15.22,7.32,3.06,6.67,15.19,16.55,83.29,359.13,119.96,99.79,254.11,8.47,51.2,628.28,44.15,318.39,242.97,161.79,245.53,59.1,219.2,10.61,330.47,122.87,39.67,137.19,162.12,36.09,446.5,25.79,58.15,372.57,2704.91,39.5,54.86,16.38,443.27,92.91,186.62,24.83,18.05,35.41,136.83,34.99,92.96,413.99,164.6,604.82,67.48,201.72,75.07,141.24,1024.67,4559.75,68.67,245.97,260.46,89.7,656.92,101.41,118.13,597.92,587.34,33.64,1115.27,153.29,15.34,578.56,383.64,90.92,99.75,415.74,891.66,177.68,732.4,203.49,237.11,209.77,1076.61,307.7,1917.86,71.11,37.48,5.7,6.75,15.71,10.0,16.35,17.39,20.46,12.89,34.65,123.64,4.85,76.15,7.8,29.74,11.6,12.14,7.83,19.86,45.47,59.33,17.91,9.68,14.44,16.2,4.1,39.04,9.02,5.56,20.81,18.54,8.81,13.49,13.17,11.41,4.78,15.72,9.18,9.87,36.14,8.76,8.1,133.81,5.89,6.89,6.41,6.08,68.46,9.78,5.98,5.6,6.68,8.39,6.88,13.2,8.29,87.57,66.11,100.99,68.03,286.35,92.44,142.2,46.0,19.43,1550.81,2980.92,279.68,8.58,258.77,6.24,149.2,258.73,27.84,551.89,154.4,349.9,71.57,1553.75,63.62,206.51,71.83,5037.83,891.31,195.8,25.6,16.99,17.24,127.43,75.47,28.46,203.82,87.01,152.37,108.8,1207.0,118.18,391.25,9.03,8.53,41.62,430.76,47.94,7.19,23.33,378.9,627.11,605.81,1148.14,126.5,365.87,158.92,128.28,250.54,295.15,61.34,148.63,30.06,88.14,455.51,226.4,91.18,418.91,894.47,226.44,398.95,390.11,522.95,146.53,139.31,710.86,189.99,351.36,330.33,46.69,363.41,93.51,215.21,124.69,604.16,45.99,99.13,81.03,15.76,191.37,10.09,75.85,10.87,53.35,141.88,527.9,226.04,400.66,331.16,393.99,253.44,186.79,500.12,375.47,294.01,183.51,235.1,237.44,94.32,72.33
2018-06-21,105.87,29.72,141.08,12.09,25.82,28.37,133.59,7.27,15.25,7.16,3.03,6.61,15.21,15.92,80.05,367.16,120.51,96.85,254.58,8.24,48.89,619.9,43.65,317.33,237.32,157.49,244.9,56.38,219.2,10.32,322.36,121.14,39.36,136.38,158.92,36.43,444.82,25.73,56.05,372.86,2679.37,37.44,51.8,16.13,439.56,90.12,188.95,24.58,17.65,35.44,137.88,34.81,90.73,409.35,159.75,617.12,66.93,192.46,72.47,139.91,1007.59,4535.72,66.43,249.52,252.56,89.67,623.27,99.03,120.35,562.1,597.79,32.67,1111.09,153.91,15.14,583.3,368.12,90.32,98.94,416.3,868.66,169.27,732.4,203.93,242.68,206.8,1078.78,306.56,1937.86,66.97,37.63,5.51,6.69,15.7,9.68,15.88,17.27,20.2,13.13,34.81,122.66,4.66,75.01,8.58,29.91,10.82,11.73,7.74,18.17,45.8,59.2,17.88,9.7,13.39,15.8,3.94,38.35,9.08,5.5,20.87,18.68,8.53,13.33,13.18,11.22,4.76,15.37,8.92,9.78,35.76,8.34,7.72,138.37,5.9,6.78,6.33,5.99,67.02,9.73,5.89,5.61,6.57,8.25,6.88,13.35,8.25,87.62,64.84,91.39,67.08,278.75,89.3,137.46,44.58,19.01,1543.29,3057.22,280.33,8.28,258.29,6.1,150.28,258.26,26.9,550.06,155.12,341.37,71.57,1526.35,63.44,202.25,71.52,5035.99,900.39,195.8,25.82,16.16,16.74,124.0,73.86,27.76,207.2,85.28,141.39,101.23,1190.63,116.79,392.47,9.05,8.61,42.4,431.62,48.04,7.21,23.5,406.89,611.58,582.62,1159.48,123.94,367.95,157.46,126.32,247.73,289.77,60.12,143.46,30.17,88.64,443.42,222.46,91.29,399.68,881.67,220.39,403.64,390.84,512.77,142.41,138.77,695.92,190.23,324.56,311.52,42.15,341.82,91.62,212.58,122.85,603.04,46.37,98.08,78.3,15.09,184.05,9.74,75.4,10.47,53.86,141.92,530.81,216.63,387.07,307.72,376.74,243.89,183.95,496.25,360.37,295.27,177.55,227.65,227.54,92.8,67.54
2018-06-22,105.27,28.68,140.03,12.03,25.85,28.49,133.44,7.33,15.25,7.17,3.04,6.72,14.97,15.86,81.1,380.56,120.39,98.5,252.84,8.32,50.3,615.32,43.92,318.31,240.36,158.66,241.71,57.42,220.31,10.21,327.9,122.29,39.77,139.4,158.03,36.67,455.6,25.73,55.81,383.13,2705.93,38.17,52.19,16.46,446.84,92.22,192.59,24.45,17.97,37.63,139.46,34.99,90.8,404.48,160.79,624.74,68.03,196.96,73.92,141.45,1008.9,4576.3,68.28,250.74,256.76,90.34,637.4,100.05,121.52,585.64,606.0,33.49,1108.65,153.6,15.14,582.51,370.2,91.22,100.36,420.54,872.03,169.37,734.6,201.06,240.04,209.58,1096.58,307.32,1957.25,68.5,37.0,5.59,6.71,15.76,9.77,16.1,17.36,20.46,13.16,35.14,124.85,4.66,78.15,9.44,29.75,11.02,11.6,7.35,18.72,46.43,58.94,17.96,9.75,13.43,16.03,4.0,39.04,9.06,5.62,20.87,18.45,8.55,13.48,13.29,11.36,4.75,15.59,9.1,9.81,35.68,8.56,7.87,137.87,6.0,6.81,6.49,6.0,68.62,9.73,5.93,5.61,6.69,8.29,6.98,13.54,8.28,87.51,64.38,89.9,69.5,278.75,94.28,138.98,45.35,19.61,1541.78,3093.89,281.64,8.35,261.16,6.16,153.65,260.35,26.99,551.16,159.44,348.2,73.21,1535.22,63.67,204.68,72.14,5054.4,897.25,197.3,26.1,16.35,17.03,127.69,74.0,28.08,212.1,85.78,148.47,101.83,1180.91,117.57,397.57,9.24,8.76,42.68,434.45,48.59,7.36,24.08,412.12,613.03,591.81,1195.93,122.86,367.04,158.71,128.96,252.22,301.82,60.06,143.33,30.2,89.39,462.46,223.71,93.68,404.07,900.87,225.14,400.17,395.54,509.61,144.25,140.09,700.6,192.75,326.16,335.64,38.07,342.12,93.78,212.93,126.74,598.24,47.45,99.06,78.63,15.97,184.25,9.86,78.85,10.63,55.4,142.75,534.36,226.04,394.1,313.72,385.84,246.01,183.87,507.44,372.53,292.89,185.5,242.55,229.7,92.76,70.1
2018-06-25,103.56,28.67,144.49,11.64,26.0,28.29,131.53,7.38,14.97,7.16,3.06,6.72,14.89,14.39,79.56,375.58,116.7,98.75,237.18,8.12,50.19,615.32,42.74,317.01,241.23,159.25,241.08,56.78,216.81,9.21,326.91,120.68,39.67,136.96,157.65,35.73,459.25,25.49,55.93,383.86,2728.07,38.29,51.43,16.85,436.28,92.47,190.84,24.14,18.05,36.99,133.04,34.45,94.17,399.14,161.48,630.58,67.39,196.96,73.44,138.8,1001.02,4570.84,67.51,243.8,255.46,91.51,634.57,101.07,118.49,596.39,582.12,33.75,1101.0,152.82,15.07,598.55,360.35,91.37,100.36,416.58,880.62,170.69,728.0,204.51,240.92,206.24,1079.65,308.07,1904.53,68.0,36.76,5.57,6.62,15.56,9.68,15.79,17.4,20.33,13.19,34.65,123.34,4.65,73.95,10.38,29.17,10.91,10.51,7.29,18.21,43.44,57.97,17.83,9.66,13.37,15.68,3.98,38.81,8.79,5.61,20.74,18.16,8.48,13.34,12.91,11.47,4.7,15.59,8.94,9.82,36.31,8.39,7.79,142.67,6.0,6.71,6.42,5.91,68.3,9.56,5.8,5.57,6.66,8.25,6.98,13.17,8.14,90.93,64.1,93.02,68.67,286.96,95.2,137.04,44.94,19.55,1483.07,2934.35,277.72,8.28,261.16,6.14,148.89,258.96,26.51,550.97,156.92,348.08,72.27,1544.28,63.21,204.99,71.83,5026.78,908.39,191.61,26.1,16.16,16.91,127.6,73.68,27.99,206.93,85.34,147.38,101.23,1207.7,116.95,394.69,8.95,8.56,41.11,445.33,47.59,7.66,22.56,402.46,615.37,583.5,1199.17,120.31,364.56,160.03,130.44,240.15,293.36,60.81,142.08,29.64,86.39,463.95,227.82,90.71,398.26,912.07,222.98,395.69,391.58,516.33,140.56,138.95,694.84,192.03,315.16,343.02,36.53,330.07,93.87,207.9,125.55,585.12,46.66,101.44,78.43,15.92,178.65,9.82,77.29,10.68,54.52,147.43,546.49,221.56,392.93,316.52,380.82,243.36,183.11,498.11,376.62,289.24,179.93,241.82,211.16,91.24,70.46
2018-06-26,102.87,28.44,139.83,11.7,26.18,27.88,130.49,7.36,14.52,7.09,3.07,6.7,14.69,13.94,80.37,375.2,113.71,103.53,227.69,8.17,50.89,611.51,42.35,312.61,242.53,165.5,241.08,58.54,218.65,9.13,334.82,114.43,39.46,133.48,156.75,34.53,451.64,24.94,56.25,393.85,2732.5,38.23,51.09,16.92,416.44,92.66,192.74,23.91,18.17,37.58,128.72,34.94,93.47,391.95,162.18,627.71,68.03,201.72,75.28,140.44,991.38,4510.28,68.98,247.44,253.26,91.48,659.49,102.25,114.14,640.64,559.73,34.4,1086.73,149.22,15.02,581.72,365.28,91.22,100.57,415.17,861.3,172.71,725.8,205.22,236.81,207.54,1061.42,303.53,1916.04,70.43,36.34,5.63,6.56,15.45,9.73,15.95,17.68,20.64,12.94,34.37,122.96,4.66,74.41,11.42,28.74,11.12,10.04,7.25,18.53,40.2,57.04,17.76,9.69,13.33,15.78,4.02,39.16,8.48,5.69,20.6,18.06,8.52,13.37,12.74,11.56,4.63,15.74,8.99,9.84,35.93,8.45,7.91,137.81,5.95,6.6,6.43,5.52,67.98,9.38,5.79,5.51,6.82,8.25,7.0,12.91,8.13,91.43,64.92,95.7,69.01,281.7,96.91,131.99,45.04,19.84,1468.02,2840.21,264.66,8.45,260.68,6.16,145.51,254.08,26.77,530.33,156.56,348.54,73.21,1507.82,63.1,204.99,71.52,4984.43,892.44,186.83,25.88,16.58,17.12,132.84,73.63,28.27,189.83,85.78,149.29,102.03,1198.95,115.87,394.46,8.56,8.43,37.1,448.33,47.24,7.73,21.56,416.15,615.37,589.95,1195.12,120.5,366.52,157.33,130.31,250.26,290.8,60.46,141.76,28.8,82.23,479.19,228.62,86.46,409.87,925.67,227.3,365.09,393.05,505.68,138.96,139.7,705.1,189.75,317.16,346.98,36.28,325.75,95.49,203.45,126.74,570.4,46.98,103.54,77.59,16.44,173.69,9.86,77.8,10.81,54.7,146.03,541.32,232.75,401.36,328.44,394.93,246.72,179.47,506.58,380.46,284.04,181.05,247.11,221.06,91.44,72.36
2018-06-27,101.93,27.63,137.09,11.51,26.26,27.7,128.28,7.37,14.08,7.13,3.07,6.68,15.01,13.46,79.08,374.82,111.5,102.82,218.83,8.12,50.62,602.11,41.91,301.14,242.1,166.68,241.59,58.38,220.58,9.08,333.63,111.78,39.56,129.53,156.37,33.89,426.74,24.88,55.66,392.26,2620.12,37.44,49.89,18.26,401.03,93.61,189.53,23.91,18.05,37.69,126.19,34.45,92.77,392.88,161.14,592.08,69.78,199.9,74.18,138.96,990.94,4328.17,68.59,241.81,254.16,88.4,656.4,103.27,111.92,632.46,557.49,34.57,1087.42,147.34,15.14,544.88,362.25,89.57,99.96,414.89,862.22,173.37,725.8,200.14,235.93,206.43,1018.02,300.5,1826.35,70.68,36.32,5.63,6.52,15.49,9.68,15.96,17.28,20.15,12.8,33.84,127.88,4.69,70.45,11.8,28.66,11.08,9.66,7.25,18.27,38.07,56.26,17.61,9.69,13.3,15.7,4.12,39.16,8.43,5.7,20.62,17.47,8.56,13.43,12.44,11.69,4.57,15.48,8.99,10.02,34.71,8.31,7.87,129.99,5.89,6.6,6.37,5.49,67.42,9.21,5.77,5.48,6.77,8.21,6.92,12.72,8.14,88.97,64.3,93.27,68.36,269.5,96.53,126.94,44.48,19.39,1427.37,2709.4,254.87,8.4,260.2,6.1,146.59,252.46,26.99,534.65,156.2,341.48,72.93,1466.73,62.64,205.29,70.89,4815.97,876.45,184.73,25.66,16.21,17.1,133.44,73.72,28.08,186.09,85.11,149.2,102.23,1130.53,115.56,381.16,8.31,8.25,34.25,430.76,47.19,7.81,20.3,424.01,607.07,568.63,1131.94,114.21,361.3,152.47,127.06,247.73,283.11,60.23,136.83,28.49,79.82,464.61,222.46,83.9,403.03,886.47,223.41,360.6,376.0,477.92,139.21,138.89,693.4,184.83,305.16,343.56,37.47,311.61,95.04,195.32,126.52,549.6,47.7,101.79,76.81,16.42,178.57,9.73,76.63,10.76,54.74,141.55,522.88,232.98,396.21,322.84,393.67,248.67,172.95,498.83,370.86,266.21,177.55,243.03,222.14,92.6,70.6
2018-06-28,103.04,25.87,135.93,11.51,26.29,27.82,128.87,7.35,14.0,7.16,3.04,6.61,15.27,13.13,79.56,364.87,109.64,101.88,215.83,8.19,50.68,573.64,42.3,294.95,244.27,163.55,234.23,59.26,216.9,8.8,333.83,110.16,39.36,124.19,155.09,33.25,412.8,24.76,55.1,388.64,2497.53,37.08,49.13,18.01,397.32,91.2,183.71,23.61,18.33,36.87,123.03,34.45,91.88,393.11,160.09,608.24,68.68,197.55,75.75,138.43,990.94,4263.39,68.59,237.99,249.16,86.83,654.86,102.25,111.68,627.85,552.26,33.88,1083.59,147.19,15.02,527.78,360.54,90.02,99.75,434.36,830.94,171.24,730.2,197.89,235.64,207.91,1016.29,297.09,1796.66,70.09,36.16,5.68,6.53,15.52,9.77,16.03,17.19,20.41,12.5,33.47,126.36,4.74,70.01,11.05,28.4,11.1,9.43,7.2,17.89,38.26,55.97,17.78,9.64,13.42,15.87,4.04,38.69,8.25,5.72,20.73,16.72,8.56,13.54,12.4,11.57,4.55,14.88,8.9,10.22,35.35,8.27,8.06,131.07,5.85,6.57,6.77,5.38,64.7,9.05,5.77,5.41,6.74,8.21,6.84,12.41,8.14,86.22,63.33,86.32,67.04,267.41,92.64,125.81,43.49,19.21,1401.78,2675.71,248.67,8.4,258.77,6.13,142.75,248.75,26.64,531.8,153.68,326.81,72.23,1398.84,62.64,203.46,70.58,4789.27,869.46,183.54,25.38,16.35,17.18,131.81,73.63,28.22,171.84,84.56,145.75,101.23,1090.28,114.78,377.5,8.12,8.14,34.03,417.74,46.69,7.68,19.68,410.51,597.87,573.55,1131.94,110.58,343.03,152.68,125.98,240.43,273.63,59.42,138.87,28.24,78.99,458.49,221.95,83.49,397.87,871.67,222.98,360.39,364.95,471.64,135.15,136.61,673.24,184.95,302.56,345.0,36.24,319.5,95.22,185.32,130.3,534.72,46.61,100.95,76.29,16.69,177.33,9.86,76.51,10.78,52.28,142.11,520.46,234.77,392.93,321.56,394.3,241.95,173.91,487.2,378.93,268.04,186.13,238.7,224.3,95.04,70.71
2018-06-29,103.56,26.73,137.48,11.7,26.55,28.08,129.9,7.44,14.16,7.23,3.1,6.7,15.34,13.44,81.23,380.56,111.93,105.61,223.26,8.39,51.37,582.03,42.97,301.71,249.92,170.0,240.17,60.14,220.03,8.93,344.31,112.24,39.67,127.56,156.5,33.79,430.89,25.18,56.53,404.13,2596.62,37.92,51.87,18.29,407.03,94.37,193.61,23.83,18.61,37.94,127.35,35.48,94.1,401.23,162.52,624.9,69.78,206.03,79.36,141.72,1006.27,4378.93,70.75,247.53,252.16,89.83,698.14,105.31,114.89,671.09,558.98,34.66,1092.64,148.91,15.11,553.83,383.64,91.97,101.18,434.64,845.35,180.22,734.6,204.67,236.81,212.55,1062.72,300.12,1850.59,72.02,36.18,5.78,6.59,15.83,9.88,16.25,17.39,20.93,12.62,33.96,128.41,4.79,71.41,10.76,28.66,11.28,9.62,7.37,18.44,41.85,56.52,17.91,9.78,13.6,16.15,4.1,39.62,8.48,5.83,20.99,17.24,8.65,13.76,12.5,11.7,4.59,15.6,9.03,10.22,35.74,8.4,8.29,132.77,5.92,6.66,6.89,5.48,65.34,9.19,5.85,5.47,6.85,8.29,7.02,12.62,8.24,89.48,65.29,94.95,71.01,274.97,97.57,127.53,44.4,19.81,1427.37,2747.06,258.46,8.6,262.12,6.25,147.36,251.3,27.16,541.43,159.44,359.69,74.42,1430.67,63.56,209.24,71.52,4970.63,959.9,186.23,25.6,16.94,17.53,137.47,74.64,28.74,179.33,86.01,151.92,103.22,1122.9,116.48,389.03,8.29,8.22,35.64,432.91,46.99,8.14,20.43,430.45,619.89,601.32,1188.64,117.79,358.04,159.06,135.45,253.34,278.75,59.59,142.27,28.47,81.65,489.45,225.88,83.31,419.81,924.47,230.32,357.54,375.73,483.06,138.1,139.22,698.44,197.01,326.16,352.2,36.84,338.25,96.48,190.46,134.3,539.68,48.28,103.4,76.55,17.07,181.61,10.25,78.86,10.95,56.18,149.95,531.45,245.51,411.9,332.84,417.19,250.08,184.87,494.67,395.18,282.08,191.06,254.8,235.1,96.8,76.83
2018-07-02,101.24,26.23,137.11,11.51,26.94,27.62,127.1,7.37,13.61,7.22,3.05,6.7,15.04,13.26,79.08,368.31,108.04,105.05,204.44,8.19,49.33,545.18,42.41,300.33,247.31,167.65,231.32,58.14,216.16,8.86,339.56,106.23,39.15,123.15,154.96,32.31,422.29,24.39,55.5,403.55,2584.36,36.47,50.37,17.64,378.49,93.87,192.45,22.88,18.17,37.63,120.61,34.54,92.83,396.82,161.14,635.71,64.63,200.27,80.02,138.48,1002.77,4266.88,68.44,245.53,246.26,89.65,696.34,102.59,110.48,654.97,531.36,34.14,1068.28,145.78,14.82,540.94,373.61,90.32,98.73,429.28,814.68,182.7,736.8,210.3,234.76,208.1,1093.1,301.64,1795.45,72.3,35.67,5.66,6.45,15.59,9.67,15.82,17.35,20.41,12.27,32.74,122.58,4.8,71.33,10.29,27.77,10.85,9.39,7.3,17.59,40.17,54.64,17.68,9.44,13.29,15.82,4.05,38.81,8.14,5.54,20.42,17.05,8.42,13.52,12.16,11.45,4.44,15.28,8.7,10.02,35.13,7.9,8.07,132.63,5.79,6.47,6.88,5.38,62.14,8.84,5.76,5.32,6.69,8.25,7.02,12.2,8.2,89.53,65.45,96.42,69.91,276.27,96.42,121.79,43.64,19.36,1355.12,2568.68,243.12,8.4,259.72,6.2,144.59,240.85,26.6,527.58,155.84,353.77,77.14,1405.49,63.1,206.51,70.58,4804.92,969.95,181.14,25.16,16.48,17.2,136.27,74.55,28.13,173.72,84.22,150.1,101.23,1099.03,115.25,375.06,7.95,8.01,34.81,432.48,45.09,8.05,19.03,422.39,616.64,576.17,1162.72,116.73,354.06,158.99,128.48,258.12,275.42,56.75,137.89,28.1,77.24,481.17,225.94,82.44,417.36,906.47,223.2,322.86,376.93,487.67,133.67,139.1,685.3,197.07,316.36,343.2,35.7,322.92,96.48,184.44,133.44,520.48,46.58,101.3,75.5,16.37,180.69,10.04,80.53,10.58,56.43,149.87,531.62,241.71,403.47,325.8,411.54,243.72,191.11,477.15,377.65,275.2,194.95,250.71,238.7,95.92,75.35
2018-07-03,101.76,27.23,132.01,11.57,27.8,27.62,127.99,7.42,13.5,7.35,3.07,6.87,14.97,12.36,80.21,369.84,107.19,107.54,206.65,8.34,50.84,541.37,41.8,295.04,251.66,172.34,227.84,60.38,216.16,8.3,351.03,110.85,39.46,120.95,154.71,32.15,409.94,24.39,55.1,417.59,2485.95,36.47,50.75,18.08,378.63,95.77,195.8,22.79,18.45,40.36,121.67,34.94,90.03,391.95,164.6,631.3,65.0,206.12,82.44,139.81,1004.52,4173.29,71.06,240.77,247.36,88.26,725.62,105.82,109.43,679.53,533.6,34.27,1081.51,146.25,14.69,531.99,378.34,90.92,100.57,431.26,826.64,195.43,739.0,199.8,234.47,210.33,1065.33,302.77,1765.76,76.94,35.69,5.71,6.5,15.77,9.71,15.72,17.22,20.58,12.38,32.98,123.11,4.83,68.53,10.37,27.5,11.03,8.82,7.37,17.9,40.3,55.0,17.83,9.48,13.46,15.94,4.09,39.27,8.03,5.49,20.43,16.87,8.51,13.72,12.27,11.65,4.46,15.41,8.78,10.04,35.45,8.05,8.19,126.57,5.82,6.45,6.95,5.29,62.3,8.94,5.78,5.36,6.89,8.33,7.08,12.32,7.98,91.16,70.0,96.16,72.67,272.13,95.85,119.55,45.05,19.39,1364.15,2630.12,243.77,8.43,261.16,6.24,142.6,239.46,26.9,534.46,162.68,356.62,76.81,1362.38,63.62,207.11,70.89,4735.88,947.23,181.14,25.22,16.71,17.43,140.81,74.96,28.46,176.12,87.29,150.65,104.62,1072.66,115.87,380.05,8.01,7.99,35.31,418.77,44.24,8.09,19.17,415.55,628.19,560.65,1121.41,117.55,357.25,158.99,122.94,278.62,279.52,56.63,131.53,28.39,78.07,504.36,231.7,84.42,429.88,903.67,226.44,332.04,366.88,461.22,133.8,138.92,668.2,191.61,323.56,337.26,36.64,322.92,95.85,184.32,134.19,503.84,45.95,102.07,73.81,17.07,174.79,10.19,80.29,10.76,58.15,146.07,515.28,249.54,412.61,331.08,418.13,246.72,189.91,472.85,388.91,274.64,188.83,258.88,242.3,98.36,76.11
