Date,600000.SS,600004.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600025.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600048.SS,600050.SS,600061.SS,600066.SS,600085.SS,600104.SS,600111.SS,600115.SS,600118.SS,600150.SS,600161.SS,600177.SS,600183.SS,600196.SS,600208.SS,600233.SS,600271.SS,600276.SS,600297.SS,600299.SS,600309.SS,600332.SS,600340.SS,600346.SS,600352.SS,600362.SS,600369.SS,600383.SS,600390.SS,600406.SS,600436.SS,600438.SS,600482.SS,600487.SS,600489.SS,600498.SS,600519.SS,600522.SS,600547.SS,600570.SS,600584.SS,600585.SS,600588.SS,600600.SS,600637.SS,600655.SS,600660.SS,600690.SS,600703.SS,600705.SS,600741.SS,600760.SS,600763.SS,600795.SS,600809.SS,600837.SS,600845.SS,600848.SS,600872.SS,600886.SS,600887.SS,600893.SS,600900.SS,600918.SS,600926.SS,600958.SS,600989.SS,600998.SS,601006.SS,601009.SS,601012.SS,601021.SS,601066.SS,601077.SS,601088.SS,601100.SS,601108.SS,601111.SS,601117.SS,601138.SS,601155.SS,601166.SS,601169.SS,601186.SS,601198.SS,601211.SS,601216.SS,601225.SS,601229.SS,601231.SS,601236.SS,601238.SS,601727.SS,601766.SS,601788.SS,601800.SS,601808.SS,601816.SS,601818.SS,601838.SS,601857.SS,601872.SS,601877.SS,601878.SS,601881.SS,601888.SS,601899.SS,601901.SS,601916.SS,601919.SS,601933.SS,601939.SS,601985.SS,601988.SS,601989.SS,601990.SS,601998.SS,603019.SS,603087.SS,603156.SS,603160.SS,603195.SS,603259.SS,603288.SS,603369.SS,603392.SS,603501.SS,603658.SS,603799.SS,603833.SS,603899.SS,603986.SS,603993.SS,688008.SS,688009.SS,688012.SS,688036.SS,000001.SZ,000002.SZ,000063.SZ,000066.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000627.SZ,000651.SZ,000656.SZ,000661.SZ,000671.SZ,000703.SZ,000708.SZ,000723.SZ,000725.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000858.SZ,000860.SZ,000876.SZ,000895.SZ,000938.SZ,000961.SZ,000963.SZ,002001.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002032.SZ,002044.SZ,002049.SZ,002050.SZ,002120.SZ,002129.SZ,002142.SZ,002146.SZ,002153.SZ,002157.SZ,002179.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002384.SZ,002410.SZ,002414.SZ,002415.SZ,002422.SZ,002456.SZ,002460.SZ,002463.SZ,002475.SZ,002493.SZ,002508.SZ,002555.SZ,002558.SZ,002594.SZ,002600.SZ,002601.SZ,002602.SZ,002607.SZ,002624.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002773.SZ,002812.SZ,002821.SZ,002841.SZ,002916.SZ,002938.SZ,002939.SZ,002945.SZ,002958.SZ,003816.SZ,300003.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300136.SZ,300142.SZ,300144.SZ,300347.SZ,300408.SZ,300413.SZ,300433.SZ,300498.SZ,300529.SZ,300601.SZ,300628.SZ,300676.SZ
2020-06-29,116.08,30.89,175.17,8.66,21.17,25.41,134.27,5.78,11.17,4.14,6.1,12.28,8.67,112.33,766.67,146.8,281.0,8.43,68.28,454.7,240.67,160.73,181.16,5.79,578.56,59.28,436.51,174.32,234.1,363.59,20.65,62.51,278.02,4556.3,21.75,34.77,1447.67,44.54,375.63,127.2,203.66,21.27,21.85,170.73,39.79,514.42,928.78,169.57,43.96,155.41,101.24,92.45,8674.46,90.2,528.04,2283.22,146.74,183.8,1904.22,92.07,30.49,1463.73,963.17,528.34,470.75,87.71,803.33,163.69,380.14,589.42,460.64,271.2,297.12,47.75,691.54,336.16,2122.68,76.32,42.34,12.49,18.67,10.42,8.94,18.91,11.89,36.93,390.33,71.01,38.06,4.93,26.16,159.81,10.34,7.5,6.22,15.35,43.53,63.25,16.42,9.91,11.48,18.63,36.16,8.16,21.39,43.74,19.25,15.04,5.69,6.81,17.68,9.14,15.26,6.2,5.07,8.53,7.0,6.86,42.46,9.98,11.65,285.11,7.95,7.16,3.93,3.97,81.57,9.54,4.52,5.71,6.84,17.0,7.67,150.25,91.18,60.37,223.8,160.89,191.11,555.77,101.5,166.65,200.06,171.83,69.94,116.25,108.46,919.6,12.25,100.58,6.35,218.5,71.07,2060.98,3070.61,568.71,122.32,248.99,17.24,383.41,6.91,251.4,233.68,219.9,1501.49,2091.8,435.15,78.81,159.05,6131.48,47.92,3678.0,207.0,80.49,52.29,42.26,22.1,155.83,80.21,35.53,208.29,2465.0,138.01,472.24,634.08,201.03,50.72,278.15,651.97,1816.18,405.01,774.67,70.01,502.58,119.99,295.71,257.65,148.6,88.17,45.48,82.9,657.37,254.1,281.69,73.95,475.58,793.77,591.18,192.85,850.3,412.8,300.2,169.76,779.85,208.1,781.34,142.88,583.06,133.57,348.48,489.09,61.14,1578.18,114.21,197.72,487.98,70.95,71.54,42.74,155.62,116.95,210.9,112.3,18.5,965.57,12.56,47.15,90.26,226.98,478.22,155.6,280.53,50.81,12.38,13.61,4.69,2.95,147.2,816.15,1193.57,1046.28,840.95,398.63,558.4,620.46,742.59,257.87,1234.86,106.56,107.86,142.01,42.78,125.06,234.73,834.92,152.11
2020-06-30,116.16,31.15,178.86,8.73,21.24,25.44,134.45,5.83,11.17,4.15,6.16,12.26,8.75,114.8,771.26,147.11,284.95,8.44,71.13,455.21,243.52,160.1,183.01,5.83,580.53,59.49,438.13,174.68,235.93,363.29,20.77,63.1,279.76,4559.73,21.88,34.72,1467.98,45.48,382.91,131.79,209.34,21.4,22.21,176.21,40.44,513.03,954.43,169.38,43.96,156.6,101.35,93.39,8672.83,92.67,526.64,2368.51,149.26,184.25,1961.16,97.45,30.74,1484.74,964.21,522.02,498.78,89.34,819.9,164.65,400.63,591.62,464.43,277.33,302.85,48.82,715.61,337.3,2137.83,76.07,42.27,12.84,18.69,10.69,8.98,19.15,11.93,36.93,394.55,72.23,39.98,4.95,26.13,170.33,10.5,7.55,6.24,15.48,44.14,63.22,16.47,9.93,11.72,18.95,36.28,8.21,21.61,45.76,19.5,15.05,5.71,6.82,19.14,9.15,15.53,6.23,5.07,8.59,7.02,7.12,42.66,10.17,11.84,313.11,8.0,7.31,3.94,4.03,81.17,9.57,4.52,5.72,6.82,17.22,7.56,151.78,100.3,61.29,225.2,164.45,190.39,554.69,103.23,165.0,202.18,165.87,71.47,117.65,112.6,927.95,12.41,101.68,6.41,219.31,71.68,2060.98,3092.41,581.77,126.53,249.64,17.34,393.94,7.24,250.8,236.9,221.7,1491.55,2096.63,435.82,77.72,159.05,6141.61,48.6,3776.74,206.4,83.09,53.0,42.33,22.28,157.37,81.32,36.33,209.09,2515.24,145.16,484.14,634.41,205.4,50.88,285.35,658.82,1821.1,414.96,776.29,71.77,505.26,122.49,297.77,261.3,147.38,93.37,45.29,83.65,657.87,256.4,309.35,73.88,491.59,800.17,648.63,192.19,851.53,414.95,305.06,169.76,801.7,216.74,792.39,151.14,599.8,135.43,372.28,489.81,62.26,1686.74,116.28,200.94,517.14,72.1,72.74,43.22,159.19,118.55,209.95,116.64,18.9,1014.53,12.77,47.81,98.53,226.74,489.0,162.32,284.07,51.06,12.52,13.85,4.73,2.96,150.76,821.27,1203.14,1097.16,917.7,404.51,571.75,682.16,737.11,254.29,1233.43,115.4,111.11,153.67,43.13,134.1,243.38,836.12,156.51
2020-07-01,117.54,31.44,180.95,8.73,21.32,25.67,135.86,5.85,11.26,4.14,6.23,12.3,8.79,117.27,794.99,151.26,302.67,8.54,71.77,458.01,246.86,161.59,185.77,5.87,583.5,59.98,420.85,176.47,234.69,356.67,21.2,65.6,280.78,4498.44,22.0,34.98,1519.65,46.49,396.04,137.88,210.94,21.98,22.49,190.64,40.76,513.26,973.13,176.65,44.09,157.06,103.79,93.48,8849.48,90.82,531.82,2352.89,147.47,191.69,2094.87,102.0,30.74,1516.95,967.69,528.6,493.29,89.96,856.7,169.62,396.94,593.82,483.71,283.27,293.53,48.51,727.88,339.95,2183.88,77.35,43.17,12.95,19.09,10.88,9.01,19.5,11.91,37.38,403.38,74.83,40.02,4.99,26.51,168.67,11.05,7.59,6.39,15.75,46.66,64.41,16.67,10.23,11.97,19.21,36.62,8.31,21.77,45.38,19.46,15.04,5.66,6.9,20.46,9.37,15.59,6.3,5.33,8.71,7.08,7.14,42.33,11.16,12.32,339.61,8.28,7.42,3.98,4.07,80.93,9.62,4.58,5.74,6.85,17.4,7.75,152.13,110.33,64.16,226.83,164.49,186.8,557.28,110.38,169.06,207.91,157.83,74.03,122.74,117.04,932.69,12.65,100.03,6.41,226.71,68.23,2109.15,3285.65,576.44,131.39,264.01,17.04,416.43,7.32,260.74,240.74,230.7,1480.47,2280.14,472.11,78.07,159.05,6218.94,52.93,3711.9,225.25,82.44,53.05,42.46,22.19,162.26,83.57,36.98,220.58,2665.96,149.4,507.32,650.6,208.65,54.51,291.31,653.99,1745.79,423.16,781.15,74.37,512.63,123.32,327.26,261.76,149.88,94.07,46.72,87.81,633.69,266.34,306.53,74.16,488.88,834.97,640.86,189.55,891.1,434.37,306.53,171.2,814.99,215.59,825.56,151.6,631.66,142.21,382.68,499.89,61.99,1698.18,116.28,206.38,507.53,71.46,73.41,42.14,158.35,118.63,209.95,114.72,19.15,1030.19,12.89,48.86,92.84,232.79,477.8,163.21,286.54,50.28,12.66,13.95,4.83,2.97,149.8,812.73,1203.41,1088.52,919.51,393.71,580.22,690.35,728.97,259.16,1187.02,111.68,106.53,161.6,44.01,130.79,240.78,826.64,155.0
2020-07-02,120.2,32.24,187.74,8.92,21.66,26.17,137.81,6.02,11.35,4.24,6.33,12.43,9.09,122.7,827.14,153.24,310.11,8.73,75.65,458.01,246.37,165.07,188.9,6.09,591.8,60.88,422.66,179.69,238.65,369.42,22.11,65.12,304.37,4505.79,22.42,35.23,1575.09,47.1,409.88,138.85,218.22,22.44,23.81,203.27,42.71,519.75,959.95,184.65,44.78,160.9,102.28,96.06,9129.35,92.44,525.24,2293.64,162.41,195.29,2043.11,100.18,31.44,1535.15,988.23,533.07,501.24,94.85,853.33,168.56,390.41,600.42,484.57,300.34,289.25,50.39,694.43,346.39,2186.91,78.31,42.64,14.25,19.89,11.6,9.24,19.53,11.97,38.23,396.61,75.75,43.96,5.17,26.88,159.9,11.75,7.85,6.53,15.94,47.97,65.71,16.92,10.42,12.71,20.15,38.0,8.74,22.25,47.24,20.81,15.4,5.77,7.05,22.2,9.63,16.07,6.45,5.41,8.96,7.15,7.27,42.68,12.25,12.87,337.33,8.33,7.9,4.09,4.21,81.17,9.75,4.65,5.83,6.98,19.13,7.97,167.22,121.36,63.71,226.33,167.24,183.33,552.96,109.65,165.14,214.96,154.98,73.05,120.95,115.6,937.51,13.01,101.21,6.53,227.99,68.56,2155.82,3315.38,586.97,131.75,272.17,17.64,429.35,7.71,262.65,252.41,235.74,1495.73,2428.81,494.79,78.87,170.92,6292.58,57.68,3556.45,236.62,83.49,53.11,43.37,23.2,164.07,87.76,39.03,236.25,2770.2,150.92,494.18,644.61,215.61,58.31,289.25,656.0,1729.24,423.71,796.54,74.13,536.9,122.4,359.66,257.88,152.5,93.91,47.82,92.63,630.87,267.49,303.49,75.54,498.95,826.97,633.08,193.51,934.15,471.63,305.8,172.22,803.53,215.44,763.65,154.66,648.94,145.15,380.28,511.68,62.98,1684.78,117.63,208.48,491.22,74.67,73.08,45.34,166.75,117.87,210.32,111.84,20.53,1008.41,13.52,52.04,94.83,235.07,468.74,158.83,282.54,50.41,13.52,14.81,5.28,3.01,152.2,792.41,1171.71,1194.12,994.46,387.19,569.02,683.44,744.55,260.01,1164.11,112.84,104.66,161.65,44.2,127.07,231.24,844.64,152.4
2020-07-03,121.4,31.81,186.35,8.99,21.89,26.57,139.23,6.11,11.47,4.22,6.4,12.54,9.12,133.27,835.18,158.83,309.79,8.84,79.63,470.71,250.52,169.58,192.95,6.12,592.39,61.27,425.41,181.47,246.42,368.92,22.29,65.6,308.57,4539.14,22.84,35.26,1558.53,47.34,410.17,139.56,219.24,22.65,25.17,202.75,44.92,529.26,964.47,184.38,45.37,162.54,104.25,97.04,9116.91,92.75,525.52,2330.53,162.94,195.83,2043.97,99.85,31.78,1518.35,1003.89,529.39,504.08,99.74,876.64,176.82,382.92,609.21,472.28,318.72,287.85,50.24,688.18,349.42,2165.7,78.93,42.54,15.68,20.03,12.36,9.44,20.68,12.08,39.05,404.07,76.47,48.3,5.42,27.65,161.77,12.48,7.9,6.59,16.24,48.29,67.07,17.07,10.53,13.5,21.27,38.92,8.99,23.03,46.96,22.67,15.85,6.02,7.13,24.11,9.79,16.22,6.54,5.51,9.15,7.25,7.49,42.3,13.45,14.12,370.55,8.52,8.41,4.21,4.57,81.41,9.96,4.76,5.89,7.16,20.54,8.09,162.95,133.5,63.59,229.52,168.96,188.96,554.48,107.83,160.1,208.62,157.02,73.14,121.05,112.6,922.07,13.61,101.8,6.57,227.8,70.58,2279.26,3341.14,613.79,133.04,281.96,17.29,431.74,8.44,260.55,259.33,235.38,1631.18,2478.96,473.95,84.91,176.7,6313.76,56.2,3555.22,239.91,85.52,55.35,44.36,22.88,163.38,92.55,41.82,233.93,2759.51,146.66,492.33,635.19,213.96,58.81,286.37,643.32,1725.02,419.01,809.5,73.07,534.42,126.57,395.3,260.16,151.8,99.72,48.46,93.71,626.9,275.12,301.19,76.23,500.63,831.77,635.03,196.16,920.27,478.76,303.64,174.35,844.99,211.77,766.96,153.03,654.34,142.03,389.28,520.59,64.26,1662.21,124.56,213.69,494.35,81.84,80.29,44.82,168.22,120.3,209.22,111.16,22.03,1024.19,14.32,52.55,92.58,237.45,474.34,160.85,286.59,50.0,14.31,15.73,5.78,3.05,166.96,808.8,1197.67,1296.6,1035.09,393.39,568.59,684.34,745.68,275.74,1169.63,111.4,104.99,154.36,44.72,128.5,237.15,851.72,165.01
2020-07-06,130.06,33.08,190.6,9.44,22.69,28.41,148.08,6.37,11.89,4.34,6.61,12.86,9.54,144.89,860.82,173.09,335.73,9.33,85.34,479.1,256.46,175.91,206.03,6.46,636.28,63.75,414.3,189.16,252.29,377.92,23.81,66.86,320.88,4600.43,24.11,36.09,1609.95,48.56,445.41,143.7,228.41,24.23,27.29,215.49,48.43,542.25,966.12,189.81,47.36,169.39,108.31,103.61,9444.5,97.46,541.34,2496.78,179.44,200.78,2138.44,98.34,33.18,1546.35,1038.35,551.49,543.28,106.26,910.68,194.67,367.34,631.21,470.9,346.19,296.47,52.26,683.96,361.54,2299.63,84.51,42.92,17.25,21.91,13.48,9.77,20.38,12.38,42.22,431.17,79.51,53.0,5.94,28.67,165.34,13.55,8.37,6.94,16.82,52.41,72.44,18.24,11.19,14.77,23.2,41.11,9.45,24.78,48.88,24.74,16.42,6.49,7.49,26.21,10.56,17.07,6.88,5.91,10.0,7.55,7.78,43.51,14.77,15.5,407.11,9.06,9.21,4.63,4.93,84.13,10.57,4.96,6.15,7.54,22.14,8.74,171.54,146.85,65.76,247.55,169.8,185.29,554.86,107.0,164.79,229.03,158.15,79.18,125.65,114.1,1013.95,14.45,114.79,7.38,266.08,72.96,2494.52,3576.0,645.1,141.65,305.14,18.11,438.92,9.24,266.7,264.4,243.3,1665.73,2506.56,479.33,86.63,194.03,6573.36,59.48,3531.28,253.67,89.41,56.85,46.58,23.94,179.17,100.14,45.5,243.64,2816.41,150.32,511.34,644.83,222.52,63.44,291.72,661.24,1690.53,437.16,843.45,77.44,544.93,126.57,434.5,270.19,154.31,108.84,52.87,99.12,668.96,296.72,310.98,80.04,517.02,848.57,645.83,203.21,971.27,508.56,304.38,176.0,929.33,220.41,768.07,155.73,689.98,144.25,400.1,538.68,66.18,1731.21,131.22,228.61,493.49,87.74,81.84,46.66,180.19,124.57,208.35,112.42,24.39,1087.72,15.61,54.8,93.01,242.72,452.58,160.33,298.29,50.77,15.5,17.1,6.33,3.23,169.6,836.12,1204.5,1423.0,1125.39,385.95,583.37,699.7,731.08,272.03,1163.63,114.32,103.24,158.85,46.57,129.35,236.58,875.84,162.7
2020-07-07,129.29,32.63,187.77,9.38,22.82,27.83,149.49,6.3,11.96,4.26,6.57,12.79,9.39,143.23,851.25,175.61,330.51,9.18,81.41,476.31,253.7,172.71,203.82,6.34,637.66,63.69,417.82,189.34,254.34,379.89,23.2,68.6,316.83,4804.43,24.78,36.24,1598.42,48.17,446.12,145.03,226.52,23.76,27.09,210.01,46.81,545.96,1000.05,189.81,47.73,169.57,111.67,103.58,9939.75,99.85,551.98,2570.35,183.45,199.52,2258.78,101.14,33.13,1676.59,1024.42,545.44,543.28,103.2,913.75,214.29,372.36,631.21,486.14,336.72,307.88,57.36,688.54,356.61,2287.51,87.68,42.94,18.98,21.65,13.2,9.69,20.29,12.34,41.12,428.62,78.77,50.76,6.21,28.71,172.83,12.91,8.25,6.79,16.71,52.67,71.53,17.91,11.05,14.25,22.51,40.54,9.2,24.35,48.86,23.31,16.06,6.41,7.48,27.9,10.38,16.79,6.72,5.93,9.73,7.53,8.48,43.13,16.22,15.92,389.85,9.09,8.76,4.77,4.73,83.81,10.57,4.9,6.1,7.46,20.8,8.46,178.04,161.54,71.26,259.41,175.28,188.66,570.46,111.5,171.5,230.16,157.19,80.27,125.75,119.96,1046.37,14.33,110.68,7.35,258.5,77.04,2464.42,3504.65,655.07,146.5,330.6,18.86,453.75,9.01,268.01,261.94,241.86,1706.32,2574.65,493.64,88.93,185.82,6464.73,57.73,3887.11,244.1,89.98,56.2,46.39,24.77,191.44,96.37,44.61,240.97,2942.3,150.82,518.91,647.61,234.66,60.99,297.68,664.06,1713.76,437.16,844.26,76.24,555.82,125.23,477.63,289.11,158.62,107.68,53.54,96.54,685.69,286.64,313.72,80.25,529.93,840.57,681.03,201.44,957.2,514.94,312.5,189.74,951.09,225.81,784.65,166.85,690.7,144.25,403.3,591.78,65.84,1796.28,136.17,232.0,506.34,85.8,83.94,48.34,185.02,131.88,228.43,114.78,23.56,1075.73,15.3,56.03,93.85,263.42,454.0,163.25,306.17,52.9,14.8,16.17,6.93,3.2,173.0,919.26,1228.55,1348.92,1070.3,402.51,599.59,721.33,734.16,273.03,1179.1,117.04,107.37,165.06,46.15,131.57,241.2,881.0,168.21
2020-07-08,129.54,32.51,185.47,9.77,22.97,28.06,149.49,6.37,12.09,4.42,6.64,12.76,9.62,152.83,843.22,173.43,332.57,9.29,84.9,475.29,252.31,172.6,223.16,6.52,704.28,69.37,418.86,191.13,259.11,379.99,23.81,68.05,322.18,4793.15,25.08,36.45,1594.65,47.99,448.55,146.35,229.72,24.61,28.37,206.75,47.94,558.72,1011.13,191.74,52.12,172.77,115.26,105.38,9902.27,100.7,565.14,2646.31,199.31,199.37,2285.09,99.67,33.46,1708.79,1032.43,545.7,558.43,107.68,899.94,235.89,371.9,637.81,479.12,354.35,337.82,59.51,708.03,358.13,2362.65,96.15,42.69,20.79,22.53,14.27,9.73,19.92,12.31,41.49,447.56,79.75,54.42,6.21,28.62,171.93,14.18,8.45,7.0,16.73,52.49,72.44,18.06,11.2,15.22,23.22,42.27,9.37,24.4,50.28,24.55,15.95,6.65,7.55,30.38,10.5,17.2,6.77,5.96,10.14,7.5,8.42,43.44,17.82,17.07,396.77,9.77,9.37,5.12,4.84,83.41,10.55,4.98,6.1,8.17,21.48,8.56,183.14,177.69,71.64,260.39,176.18,191.02,569.25,112.18,173.0,231.74,155.24,81.18,121.85,121.2,1055.7,14.72,113.28,7.37,260.0,83.73,2506.57,3514.56,664.9,152.73,324.4,19.01,451.36,9.47,266.51,264.7,243.3,1694.37,2575.45,490.33,88.87,192.51,6410.42,58.47,3848.4,245.9,89.74,56.55,47.89,25.18,209.28,100.0,47.04,240.88,2962.7,154.29,510.88,646.94,236.87,61.6,300.77,660.84,1701.44,449.19,849.12,76.83,551.06,128.23,491.56,291.62,156.99,110.74,54.03,96.62,687.18,283.48,328.4,81.01,536.77,846.97,711.92,204.09,971.27,509.23,316.13,190.43,993.91,228.55,791.95,175.06,691.6,144.25,414.1,588.81,66.27,1832.25,143.55,232.64,513.14,91.5,83.69,53.1,188.66,133.17,221.12,116.9,25.81,1086.13,15.97,57.65,94.28,261.42,448.92,167.09,311.07,53.5,15.49,16.89,7.46,3.24,178.64,954.94,1237.85,1461.4,1176.85,401.55,656.87,726.83,722.23,270.45,1195.17,120.04,108.91,181.2,46.24,130.97,242.05,912.44,176.12
2020-07-09,128.26,32.74,187.56,9.96,23.05,27.89,148.08,6.46,12.23,4.42,6.66,12.79,9.66,151.13,855.46,171.14,337.95,9.31,87.43,487.49,255.16,173.4,238.08,6.54,706.46,73.2,436.7,190.41,272.67,384.54,23.93,67.93,329.71,4864.25,25.08,37.44,1593.65,49.86,456.97,149.35,234.52,25.11,27.89,206.85,47.73,564.75,1013.4,195.14,52.73,181.08,123.49,108.34,10041.05,110.35,595.66,2624.17,207.58,203.24,2329.95,99.21,33.55,1855.83,1017.46,546.49,565.06,115.22,912.21,259.66,383.45,637.81,483.52,346.37,348.79,58.52,730.89,362.29,2373.56,105.45,42.43,20.31,22.14,14.35,9.89,20.13,12.36,41.29,449.72,80.49,53.9,6.08,28.81,176.28,14.68,8.49,7.03,17.05,53.04,71.53,18.01,11.23,15.6,22.88,42.84,9.6,24.07,52.02,23.83,16.1,6.61,7.6,33.11,10.58,17.91,6.9,5.88,10.32,7.57,8.57,44.07,19.58,16.47,392.63,10.61,9.2,5.04,4.89,86.13,10.48,5.08,6.04,8.5,20.88,8.48,201.33,195.46,70.95,272.21,178.0,199.62,573.01,114.2,190.3,241.07,158.43,82.49,123.52,122.4,1088.67,14.96,116.6,7.67,264.89,82.73,2471.94,3537.35,679.92,167.48,326.68,19.01,454.71,9.22,270.26,267.47,247.98,1718.12,2668.32,501.65,88.82,195.25,6440.8,58.68,3945.22,245.6,91.12,59.62,50.58,25.36,209.71,101.24,50.48,238.92,2967.69,155.21,524.79,655.59,246.7,61.6,318.24,672.92,1750.71,468.87,926.88,78.72,550.28,134.14,540.41,294.47,157.1,111.48,54.7,96.46,693.64,290.1,330.48,84.19,555.75,928.57,710.19,223.92,1016.15,511.95,335.26,190.46,994.0,234.6,840.27,185.72,743.98,148.27,423.7,589.8,69.68,1848.27,145.53,230.6,545.11,91.7,85.4,52.82,186.84,132.64,220.54,121.54,25.86,1121.63,16.28,58.61,98.67,261.01,459.4,169.28,328.73,55.29,15.38,16.69,7.74,3.29,181.08,1028.7,1282.39,1452.6,1231.94,421.03,719.88,729.26,767.02,276.74,1263.64,120.12,114.03,182.61,48.05,139.17,266.2,923.0,182.36
2020-07-10,124.91,33.45,186.93,9.64,22.82,27.3,145.07,6.43,12.01,4.3,6.59,12.63,9.42,145.82,835.56,165.47,327.03,9.03,95.94,495.88,252.31,171.17,244.16,6.37,678.78,69.04,449.99,189.34,264.02,379.99,23.75,67.58,322.91,4905.44,25.32,36.45,1563.3,49.35,453.57,146.09,227.81,24.15,27.85,199.69,48.48,560.34,1021.78,191.46,50.66,175.97,115.96,105.09,10085.23,106.96,564.16,2572.52,228.52,197.06,2305.36,99.51,34.05,1906.24,1000.06,529.13,560.89,110.54,892.89,285.83,383.18,629.01,493.37,333.38,367.27,58.87,769.39,353.96,2345.68,103.21,42.19,19.72,21.1,13.87,9.69,19.81,12.23,40.06,448.35,80.83,51.1,5.79,28.23,183.4,14.04,8.25,6.97,16.36,51.54,69.11,17.72,10.93,15.52,22.31,42.27,9.22,23.52,51.18,24.39,15.95,6.45,7.43,31.35,10.25,17.29,6.66,5.65,10.16,7.43,8.26,43.07,20.49,15.4,412.03,9.89,9.19,4.75,4.76,86.21,10.17,4.96,5.93,8.12,21.23,8.24,199.17,215.01,70.06,261.77,171.17,199.62,579.92,117.9,202.0,244.23,163.43,80.75,122.15,121.74,1076.47,14.27,117.5,7.41,269.18,82.82,2371.08,3392.67,649.31,158.5,316.56,18.36,455.67,8.75,264.34,261.63,238.98,1685.88,2708.61,525.42,89.33,186.13,6364.39,56.84,3948.89,238.42,91.77,56.91,48.22,24.26,201.9,97.56,47.83,239.1,3013.22,162.79,517.99,668.45,239.65,60.32,321.12,684.4,1769.37,465.59,980.34,77.89,542.64,134.97,525.58,290.93,155.59,107.31,52.95,93.96,669.13,279.01,326.77,81.84,539.36,891.77,712.35,229.2,999.63,512.09,332.31,200.21,1037.53,232.58,851.55,183.78,718.78,146.89,419.3,585.39,67.72,1844.35,148.68,223.69,540.79,88.14,89.94,51.1,180.4,132.33,224.26,121.32,25.24,1105.22,15.92,60.56,97.17,254.96,470.28,173.49,318.56,53.25,15.71,17.29,7.23,3.23,184.2,971.85,1270.92,1409.96,1162.86,451.07,724.04,727.47,816.16,277.6,1286.55,117.76,124.11,192.11,47.43,142.82,283.98,910.4,196.7
