Date,600000.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600025.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600048.SS,600050.SS,600061.SS,600079.SS,600085.SS,600104.SS,600109.SS,600111.SS,600115.SS,600132.SS,600143.SS,600150.SS,600161.SS,600176.SS,600183.SS,600196.SS,600276.SS,600309.SS,600332.SS,600346.SS,600352.SS,600362.SS,600383.SS,600406.SS,600426.SS,600436.SS,600438.SS,600489.SS,600519.SS,600547.SS,600570.SS,600584.SS,600585.SS,600588.SS,600600.SS,600606.SS,600655.SS,600660.SS,600690.SS,600741.SS,600745.SS,600760.SS,600763.SS,600795.SS,600809.SS,600837.SS,600845.SS,600848.SS,600872.SS,600886.SS,600887.SS,600893.SS,600900.SS,600905.SS,600918.SS,600919.SS,600926.SS,600958.SS,600989.SS,600999.SS,601006.SS,601009.SS,601012.SS,601021.SS,601066.SS,601088.SS,601100.SS,601108.SS,601111.SS,601138.SS,601155.SS,601162.SS,601166.SS,601169.SS,601186.SS,601211.SS,601216.SS,601225.SS,601229.SS,601231.SS,601236.SS,601238.SS,601766.SS,601788.SS,601799.SS,601800.SS,601808.SS,601816.SS,601818.SS,601838.SS,601857.SS,601865.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601916.SS,601919.SS,601933.SS,601939.SS,601966.SS,601985.SS,601988.SS,601989.SS,601990.SS,601995.SS,601998.SS,603019.SS,603087.SS,603160.SS,603195.SS,603233.SS,603259.SS,603260.SS,603288.SS,603338.SS,603369.SS,603392.SS,603486.SS,603501.SS,603517.SS,603658.SS,603659.SS,603799.SS,603806.SS,603833.SS,603882.SS,603899.SS,603939.SS,603986.SS,603993.SS,605499.SS,688008.SS,688009.SS,688012.SS,688036.SS,688111.SS,688126.SS,688169.SS,688363.SS,688396.SS,688561.SS,688599.SS,688981.SS,000001.SZ,000002.SZ,000063.SZ,000066.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000651.SZ,000661.SZ,000703.SZ,000708.SZ,000725.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000800.SZ,000858.SZ,000876.SZ,000895.SZ,000938.SZ,000963.SZ,000977.SZ,001979.SZ,002001.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002032.SZ,002044.SZ,002049.SZ,002050.SZ,002064.SZ,002120.SZ,002129.SZ,002142.SZ,002157.SZ,002179.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002410.SZ,002414.SZ,002415.SZ,002459.SZ,002460.SZ,002466.SZ,002475.SZ,002493.SZ,002555.SZ,002568.SZ,002594.SZ,002600.SZ,002601.SZ,002602.SZ,002607.SZ,002624.SZ,002709.SZ,002714.SZ,002736.SZ,002791.SZ,002812.SZ,002821.SZ,002841.SZ,002916.SZ,002938.SZ,003816.SZ,300003.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300142.SZ,300144.SZ,300274.SZ,300316.SZ,300347.SZ,300408.SZ,300413.SZ,300433.SZ,300450.SZ,300498.SZ,300529.SZ,300558.SZ,300595.SZ,300601.SZ,300628.SZ,300676.SZ,300677.SZ,300750.SZ,300759.SZ,300760.SZ,300782.SZ,300866.SZ,300888.SZ,300896.SZ,300999.SZ
2021-06-10,118.31,48.85,12.17,21.34,26.02,123.29,6.51,15.29,5.95,13.49,10.46,123.1,1191.37,239.64,257.59,7.7,78.07,443.89,328.97,176.99,108.14,406.07,7.26,690.26,343.39,58.59,381.47,229.99,190.83,680.93,4339.07,3110.17,43.68,255.31,227.81,34.65,151.04,755.87,351.24,2259.69,339.22,101.58,13037.72,407.56,1961.8,170.3,170.81,1590.17,136.43,578.38,1986.06,2220.34,809.45,979.38,217.88,401.88,928.18,734.6,1518.48,269.9,335.86,51.3,567.61,414.38,2639.58,177.71,45.88,3.82,10.36,9.53,32.26,10.92,15.05,35.12,12.11,51.32,1014.04,126.51,32.74,32.2,250.35,11.47,9.4,12.89,64.6,5.27,85.91,17.28,9.3,19.39,76.48,13.64,22.88,34.88,13.0,18.83,7.55,20.77,216.14,8.48,17.95,5.84,5.31,14.58,7.83,31.45,49.02,13.39,11.27,633.41,8.88,18.15,9.86,4.23,25.59,49.33,10.42,45.51,5.63,5.73,7.0,11.15,60.25,7.98,114.54,178.89,129.56,205.78,109.69,354.09,91.73,786.41,421.0,141.5,339.75,266.19,285.47,116.96,105.82,166.95,183.1,189.09,217.31,143.97,171.9,224.51,782.47,17.75,172.81,59.34,5.83,137.6,170.18,410.07,28.98,1328.89,228.47,72.04,92.23,19.88,56.86,3804.18,3144.6,486.01,147.85,327.73,20.88,570.03,6.86,315.23,297.82,1818.87,5665.75,674.41,148.37,6088.61,3575.32,115.62,72.59,28.68,239.91,89.78,39.87,434.49,26.57,4346.3,242.87,524.42,151.84,500.52,210.62,14.17,844.5,1404.75,446.17,588.3,121.65,499.34,93.53,580.31,265.28,140.79,85.92,125.01,69.22,187.65,585.45,89.86,803.48,898.49,833.66,170.38,1860.81,850.44,484.01,219.94,1069.82,824.89,190.15,1177.06,46.72,1123.14,451.62,1328.03,247.91,296.49,458.49,215.11,33.18,286.31,65.77,196.23,68.09,687.41,1123.89,12.45,287.75,613.9,791.0,209.66,160.06,32.28,2.81,128.12,1763.07,2393.61,946.28,1703.64,737.91,1384.18,907.0,251.43,619.29,384.48,2265.3,155.0,121.53,149.77,1133.8,30.79,176.45,113.62,1308.5,246.27,1001.6,123.93,311.05,434.99,193.67,491.1,1503.92,148.45,129.01,1163.47,94.91
2021-06-11,117.79,48.85,12.17,21.44,25.99,123.29,6.48,15.39,6.13,13.63,10.4,120.19,1151.95,239.56,257.91,7.96,75.65,436.9,308.06,176.77,104.7,395.39,7.24,680.25,337.93,57.26,375.2,224.02,189.0,703.46,4336.71,3126.23,43.09,241.89,230.14,35.13,150.52,729.2,351.33,2245.96,345.2,103.55,12701.91,413.63,1936.63,161.88,169.79,1603.97,134.09,564.2,1948.25,2282.3,798.66,983.98,217.12,381.29,928.03,741.19,1465.95,270.28,340.71,49.57,554.74,415.89,2619.59,165.04,46.53,4.2,10.3,9.51,31.98,10.71,14.79,34.09,11.83,50.18,1071.48,124.27,31.51,32.35,244.72,11.32,9.35,12.83,64.24,5.27,84.39,17.38,9.32,18.87,74.06,13.65,22.43,33.58,12.88,19.55,7.56,20.35,217.14,8.49,17.84,5.84,5.32,14.53,8.11,32.78,48.62,13.09,11.02,628.49,8.92,18.05,9.8,4.24,26.44,48.69,10.39,46.76,5.65,5.71,6.97,11.38,61.0,7.95,112.27,176.55,124.18,201.14,103.51,345.2,93.41,778.1,409.48,140.98,353.19,270.87,289.77,111.25,105.55,169.29,179.63,207.52,215.47,144.6,168.9,212.6,779.18,17.75,190.09,58.3,5.81,129.18,167.04,421.07,28.0,1424.89,241.35,75.17,91.22,20.78,55.62,3679.24,3108.92,476.74,141.62,325.44,21.25,559.5,6.81,309.98,294.75,1776.98,5495.33,661.95,148.37,6052.71,3536.26,113.67,72.42,29.5,228.33,88.63,39.21,427.99,26.28,4325.75,238.54,527.08,147.23,519.84,204.79,14.17,830.73,1359.7,438.84,572.91,120.94,493.08,90.37,572.58,262.77,136.63,85.92,123.15,67.97,186.21,562.02,88.34,755.85,892.09,832.58,171.92,1821.64,771.58,491.76,219.73,1027.14,829.2,183.73,1183.9,50.97,1130.07,434.43,1282.91,244.4,293.15,461.96,228.02,33.26,289.81,64.67,195.79,65.87,675.85,1104.87,12.31,274.82,653.71,797.0,206.62,156.51,30.9,2.81,128.4,1861.58,2363.0,915.96,1707.98,779.11,1347.58,898.71,250.0,637.83,380.54,2221.77,153.44,119.34,149.72,1228.5,30.63,172.31,107.89,1313.15,252.58,990.8,120.26,312.55,452.34,198.64,475.0,1549.28,155.71,134.39,1180.7,91.88
2021-06-15,116.59,48.85,11.91,21.26,25.73,122.23,6.41,15.1,6.2,13.66,10.26,118.73,1144.68,233.62,251.74,7.84,74.2,433.01,304.48,183.56,102.86,379.36,7.11,678.64,337.63,57.74,380.44,217.52,187.17,658.79,4273.16,3124.22,43.14,234.04,224.9,33.27,149.04,717.6,340.19,2218.21,340.6,100.19,12781.77,402.85,1997.4,161.98,167.03,1541.43,134.78,551.52,1955.26,2270.81,773.14,1010.36,223.46,381.7,909.94,728.0,1514.45,266.19,336.7,49.35,545.71,411.35,2588.08,164.14,46.07,4.62,10.1,9.25,31.22,10.6,14.55,33.62,11.88,49.49,1037.21,122.29,31.28,32.07,239.1,10.92,9.2,12.88,62.61,5.24,82.31,17.21,9.16,18.87,71.76,13.61,22.51,33.98,12.62,19.52,7.46,19.94,220.12,8.42,17.78,5.73,5.28,14.29,8.15,32.93,48.01,12.46,10.87,601.85,8.84,17.25,9.6,4.25,26.66,47.49,10.33,46.07,5.56,5.7,6.95,11.8,60.83,7.89,109.72,170.99,119.38,196.36,106.43,340.36,92.53,759.96,394.66,139.5,352.2,272.38,301.3,111.95,101.13,166.23,180.74,209.29,215.43,143.96,168.2,220.1,762.0,16.91,209.1,57.15,5.77,134.21,178.77,418.1,26.96,1443.02,236.07,75.93,90.6,21.25,55.0,3656.66,3056.4,473.93,136.4,315.98,21.0,546.58,6.71,307.13,290.6,1740.13,5326.32,676.42,150.03,6121.75,3549.19,111.16,72.5,29.46,225.67,87.11,38.61,424.69,26.17,4293.69,232.36,521.87,149.21,494.55,195.27,13.92,815.02,1362.51,432.06,522.69,117.52,484.27,84.29,574.32,249.09,131.22,84.34,122.99,67.86,177.42,545.19,87.09,779.73,901.69,876.22,168.17,1817.36,747.12,499.2,215.17,1115.83,852.2,188.51,1160.86,49.54,1107.12,393.02,1309.39,237.24,301.35,479.09,233.32,34.06,288.76,62.49,189.15,65.93,668.3,1087.73,12.09,271.51,651.23,803.5,207.6,158.66,30.63,2.78,128.56,1856.97,2335.95,898.68,1679.8,744.71,1402.49,874.14,244.43,639.32,381.74,2235.92,154.04,125.61,154.85,1230.6,29.75,168.03,104.52,1277.51,224.72,990.68,118.11,307.75,445.36,197.66,471.15,1553.49,159.03,129.91,1175.07,92.3
2021-06-16,116.77,48.85,11.91,21.28,25.76,122.76,6.42,14.99,6.19,13.69,10.2,119.01,1122.33,236.73,255.06,7.89,74.63,428.95,297.56,180.02,102.94,364.44,7.06,671.15,327.79,57.5,383.17,213.67,183.94,636.95,4210.2,3006.08,42.7,231.04,226.07,32.24,149.57,706.93,336.44,2219.53,320.45,98.91,12584.8,401.87,1952.9,160.24,166.76,1490.1,131.05,550.02,2001.47,2151.77,779.19,996.25,216.14,379.37,861.77,736.8,1498.99,266.38,335.34,49.75,548.72,411.73,2634.13,160.41,46.02,4.95,10.13,9.44,31.16,10.56,14.26,33.47,11.91,50.71,984.39,119.97,30.71,32.24,233.22,10.93,9.08,12.65,62.95,5.26,82.22,17.23,9.28,18.89,72.45,13.35,22.84,33.62,12.72,18.79,7.67,19.78,214.48,8.51,18.43,5.69,5.29,14.28,8.23,30.04,47.67,12.67,10.88,585.89,9.01,16.46,9.77,4.26,25.31,47.25,10.35,43.54,5.57,5.72,6.95,12.32,59.18,7.89,107.95,172.04,117.94,199.39,104.28,321.64,89.25,773.72,381.83,138.5,348.65,264.58,280.2,109.68,96.58,157.55,162.77,199.4,211.61,138.82,165.4,213.59,747.74,16.55,230.01,55.4,5.77,131.95,174.29,387.93,27.5,1395.0,224.36,73.07,89.0,20.27,55.05,3662.68,3076.22,470.0,134.38,321.2,20.33,537.97,6.75,313.73,287.53,1746.18,5179.67,666.82,136.47,6104.26,3478.5,109.94,69.93,29.23,221.38,87.21,38.7,414.36,25.74,4197.37,233.44,520.87,146.77,460.94,191.59,14.01,807.04,1351.96,418.51,5.59,116.34,484.27,81.63,539.0,243.62,127.89,82.94,119.56,68.35,179.15,542.82,85.5,767.21,887.69,838.42,165.09,1776.05,747.12,488.68,210.7,1073.52,817.81,182.37,1124.14,47.07,1007.04,374.99,1245.96,232.38,292.28,471.03,212.0,33.42,287.22,61.76,184.77,63.53,601.73,1063.91,12.11,262.7,190.48,730.98,204.43,159.08,30.28,2.78,127.16,1680.1,2231.28,897.24,1570.37,725.91,1351.67,849.71,251.15,602.9,361.66,2149.82,154.92,119.49,148.91,1145.3,29.89,162.79,101.55,1202.44,221.37,958.16,116.21,302.95,420.54,187.0,447.57,1481.24,159.75,125.07,1108.7,86.86
2021-06-17,116.68,48.85,11.78,21.23,25.76,122.41,6.41,14.57,6.14,13.56,10.17,118.57,1128.45,234.86,255.06,7.91,73.66,446.65,298.37,178.82,103.18,365.55,7.15,718.24,330.51,58.25,376.68,211.02,188.12,647.82,4230.2,2950.89,42.9,226.19,226.79,32.24,149.15,696.72,334.47,2261.73,328.92,98.1,12578.66,397.17,1951.82,171.12,163.55,1503.9,134.44,547.04,2046.28,2175.09,764.72,969.26,231.9,383.58,884.81,730.2,1548.97,263.96,338.84,49.37,543.19,412.48,2615.95,161.59,46.02,5.45,10.12,9.4,30.63,10.69,14.04,33.52,11.92,51.32,1003.93,121.37,30.14,32.09,239.66,10.96,9.16,12.78,62.33,5.25,81.93,17.21,9.18,18.85,72.1,13.33,22.72,34.26,12.78,18.89,7.61,19.88,210.83,8.43,18.09,5.65,5.29,14.2,8.15,30.03,47.38,12.64,10.85,578.49,9.05,16.35,10.04,4.24,27.69,46.29,10.35,43.66,5.53,5.71,6.95,12.69,60.34,7.86,112.93,169.63,123.69,192.21,101.53,321.64,95.37,760.63,376.76,143.65,338.24,269.9,296.65,109.68,97.23,173.09,162.54,202.35,216.48,140.78,165.8,217.95,821.99,16.55,241.5,59.68,5.83,153.68,176.19,393.16,30.14,1438.15,233.37,87.04,91.43,20.74,59.17,3638.6,3080.19,481.66,139.42,318.59,20.05,533.19,6.77,307.95,288.45,1740.85,5177.05,681.27,138.36,6060.08,3421.61,107.91,68.87,29.23,219.49,87.11,38.65,418.28,25.74,4223.74,231.89,515.1,153.09,464.33,199.26,14.06,795.68,1348.79,434.58,5.59,114.22,482.77,79.05,573.39,244.42,127.99,81.66,128.64,67.64,184.33,545.12,85.71,818.84,894.89,860.23,166.19,1793.49,749.67,487.94,207.64,1180.69,832.52,190.72,1132.42,49.66,1039.89,383.46,1293.37,226.31,282.67,496.1,233.1,34.02,286.8,61.21,167.25,62.67,619.41,1032.9,12.17,275.75,190.48,757.0,204.69,165.94,32.3,2.77,128.44,1732.51,2269.81,906.52,1615.87,721.51,1367.39,835.53,248.86,615.02,377.88,2237.0,161.2,120.1,148.96,1149.13,29.74,162.51,100.02,1206.85,210.8,977.48,116.68,305.02,434.87,188.88,461.6,1594.02,169.75,125.38,1136.83,88.63
2021-06-18,117.19,48.85,11.78,21.21,25.67,122.76,6.41,14.51,5.98,13.36,10.38,119.01,1139.55,233.2,253.16,7.93,74.84,446.81,302.28,186.98,103.9,370.71,7.23,731.05,340.96,57.92,376.11,208.1,184.89,652.27,4247.27,2860.35,42.57,220.54,225.48,32.27,147.78,714.81,325.3,2249.27,331.86,97.98,12207.4,395.41,1888.88,171.41,160.25,1469.4,135.8,548.53,1998.62,2212.68,758.41,998.4,236.74,396.05,924.41,725.8,1523.87,263.22,338.51,49.31,536.93,408.32,2586.86,171.49,45.46,6.0,10.21,9.34,30.41,10.9,14.77,33.43,11.88,50.54,1042.32,121.83,31.49,31.61,236.05,11.0,9.32,12.82,62.26,5.29,79.86,17.16,9.17,18.89,71.99,13.06,22.48,33.98,12.79,19.57,7.68,20.3,223.24,8.45,17.24,5.61,5.3,14.09,8.07,33.02,47.54,12.81,10.98,581.45,8.75,16.2,10.09,4.24,28.13,44.93,10.3,44.37,5.52,5.69,6.95,12.58,62.9,7.82,113.48,159.96,124.05,188.16,97.73,331.04,97.46,749.01,389.52,142.5,354.38,271.31,273.45,111.15,98.01,186.03,178.68,210.3,210.88,143.79,165.52,209.04,872.48,16.97,265.65,62.15,5.79,160.76,173.76,389.09,29.82,1424.94,245.67,89.84,89.72,22.4,58.57,3570.85,3037.57,500.61,137.96,314.34,21.13,536.54,6.78,309.23,293.98,1735.96,4982.66,675.95,150.67,5966.18,3439.44,106.53,68.05,30.33,223.53,87.44,38.84,410.26,25.99,4179.05,235.76,496.36,149.8,470.7,201.1,13.84,788.92,1329.43,448.25,5.59,113.63,480.22,76.8,579.1,248.3,128.2,81.37,125.96,66.65,182.03,557.06,85.43,862.74,917.69,890.04,165.53,1760.75,733.14,497.66,209.95,1220.56,797.14,204.43,1147.0,52.57,1091.73,416.31,1307.76,227.93,283.97,513.29,246.0,34.58,274.13,61.94,167.98,64.88,681.09,1008.05,12.24,282.14,190.48,771.16,201.28,162.49,31.44,2.75,129.24,1805.07,2311.35,917.32,1646.76,724.71,1472.25,830.62,252.72,648.32,384.05,2234.0,157.24,116.82,151.5,1181.15,29.84,164.86,102.43,1242.97,210.38,951.56,119.66,307.54,450.36,196.09,460.99,1604.91,169.75,126.04,1189.7,87.61
2021-06-21,116.68,48.85,11.85,21.18,25.67,122.76,6.38,14.67,6.29,13.23,10.2,118.4,1126.92,229.31,249.21,7.78,72.72,459.32,307.49,184.47,103.18,373.65,7.14,721.42,338.09,58.59,381.92,206.11,183.28,655.23,4133.7,2880.41,43.25,219.31,222.57,32.04,145.99,707.62,329.84,2245.07,338.58,97.52,12155.06,398.74,1922.74,168.55,154.64,1503.04,132.58,549.28,1951.01,2314.66,737.36,993.18,230.5,428.7,935.74,721.4,1469.19,264.71,338.58,50.57,513.23,405.29,2560.2,178.74,45.22,6.6,10.15,9.02,30.53,10.82,14.4,33.5,11.87,49.81,1067.06,116.79,32.18,31.23,234.09,11.0,9.18,12.71,61.21,5.26,78.98,17.16,9.18,18.95,71.76,12.95,22.32,35.06,13.45,19.36,7.64,20.14,240.51,8.5,17.06,5.53,5.28,13.61,8.03,35.07,47.72,12.73,10.97,570.45,8.68,16.19,9.67,4.23,27.71,45.01,10.27,44.65,5.47,5.7,7.0,12.45,62.08,7.8,114.74,161.36,125.87,187.49,99.56,345.16,96.78,750.35,404.06,143.13,349.69,286.03,266.26,109.39,100.01,181.58,175.28,223.4,204.8,141.97,167.42,207.69,877.31,16.7,257.56,62.88,5.8,161.6,183.76,399.08,30.02,1490.99,259.16,89.16,94.5,25.38,57.67,3497.09,3000.91,490.36,145.38,311.08,20.98,528.88,6.77,302.48,287.83,1738.12,5057.2,662.23,150.32,5729.59,3344.19,104.83,69.82,29.96,233.74,87.11,38.7,400.74,25.72,4260.52,231.74,491.04,149.08,489.31,199.65,14.0,784.33,1380.46,446.28,5.59,111.74,470.17,78.22,606.19,254.56,128.2,82.42,136.35,66.04,170.37,582.26,88.75,864.16,906.49,933.02,167.73,1803.59,718.9,479.64,220.42,1181.06,781.77,209.79,1142.86,56.24,1084.53,445.69,1384.27,222.26,299.73,509.09,243.58,35.14,269.44,62.67,157.17,71.15,679.73,954.07,12.29,280.55,190.48,783.6,205.26,160.54,31.67,2.75,128.08,1777.75,2279.92,926.52,1667.34,731.71,1498.3,840.45,248.43,669.77,432.87,2324.9,160.32,119.66,159.49,1182.1,29.67,165.66,103.93,1267.22,206.44,951.2,120.13,324.94,453.16,208.23,454.92,1581.68,165.78,128.55,1247.3,86.41
2021-06-22,116.34,48.85,11.91,21.23,25.7,122.76,6.41,14.69,6.28,13.46,10.22,119.05,1172.85,236.19,245.73,7.74,71.82,459.48,309.77,189.26,103.26,388.57,7.12,720.12,337.63,59.49,388.75,207.83,185.41,697.04,4190.78,2923.81,43.8,223.01,221.84,32.73,146.2,702.06,319.58,2388.38,338.3,97.98,12117.52,396.58,1962.24,166.14,156.05,1483.2,134.94,549.28,1967.81,2310.14,746.83,989.81,224.48,420.03,972.38,721.4,1477.5,263.04,330.22,50.89,512.39,401.5,2544.45,174.69,45.58,7.26,10.16,9.28,30.75,10.84,14.78,33.43,11.86,51.07,1073.44,116.93,31.79,31.19,251.71,10.98,9.18,12.64,62.63,5.24,79.4,17.21,9.28,18.9,72.22,13.07,22.34,34.4,13.27,20.4,7.58,20.19,233.67,8.51,17.54,5.44,5.28,14.26,8.3,38.56,47.25,12.67,10.96,581.47,8.82,16.22,9.5,4.24,28.55,44.77,10.29,47.85,5.5,5.7,7.0,12.2,61.61,7.81,112.97,163.46,122.81,189.3,98.94,358.94,93.73,756.98,403.03,141.33,357.95,308.6,271.22,105.9,99.91,181.13,172.15,231.02,209.84,149.67,172.0,206.12,912.32,16.76,259.3,61.66,5.89,157.5,185.76,393.53,29.97,1451.0,264.66,88.91,94.0,25.11,57.08,3619.03,3003.88,480.39,143.64,311.41,21.5,538.45,6.78,299.78,291.67,1802.03,4966.95,669.79,153.14,5610.83,3443.28,105.15,68.7,30.52,232.71,87.34,38.79,399.84,25.95,4302.44,242.71,497.25,148.55,501.75,196.5,13.99,791.33,1371.31,441.8,5.59,112.33,469.07,78.05,597.69,255.82,128.72,82.25,137.88,67.47,173.39,582.86,88.75,866.87,933.69,922.87,167.51,1785.23,731.33,478.47,217.09,1179.8,772.04,208.0,1146.82,57.34,1070.13,458.9,1375.77,224.96,292.17,527.28,238.88,34.62,272.94,62.21,161.62,71.54,723.52,960.93,12.27,281.27,190.48,792.96,204.61,162.46,32.08,2.75,131.88,1737.63,2401.54,938.12,1664.63,691.07,1487.75,865.3,245.86,665.17,414.0,2383.65,164.64,116.09,161.87,1160.63,30.0,165.47,106.41,1332.38,213.09,930.8,118.79,317.95,450.59,211.26,482.1,1567.1,164.95,125.25,1252.7,88.27
2021-06-23,116.25,48.85,11.85,21.31,25.76,122.59,6.45,15.1,6.35,13.48,10.23,119.46,1167.49,233.7,247.62,7.74,71.98,452.33,317.01,188.98,102.38,383.23,7.19,710.94,331.88,58.74,384.31,212.48,190.69,708.7,4230.2,2877.65,43.82,222.84,224.03,32.95,147.57,710.55,317.41,2378.12,341.98,98.33,11909.47,394.82,1928.6,177.02,157.52,1511.67,134.22,549.28,1931.4,2350.86,763.93,1022.32,224.25,425.86,962.76,723.6,1354.45,264.15,331.06,50.17,521.17,403.77,2555.35,173.39,45.79,7.99,10.31,9.18,30.96,10.83,15.14,33.52,11.87,50.42,1095.45,116.33,32.06,31.64,237.7,10.99,9.26,12.89,61.43,5.2,80.05,17.16,9.28,18.99,72.33,13.37,22.29,36.66,13.26,20.53,7.62,20.01,232.43,8.5,17.36,5.41,5.27,14.17,8.3,38.18,46.89,12.78,11.0,602.29,9.31,16.22,9.56,4.23,27.56,43.89,10.24,49.84,5.67,5.7,6.97,12.4,59.93,7.8,114.38,161.82,131.48,195.1,98.7,362.21,92.78,752.77,403.37,139.75,362.15,308.69,293.29,106.1,104.97,181.34,181.63,223.2,217.73,141.93,173.8,203.14,955.62,16.97,254.6,63.89,5.88,164.18,183.76,384.4,30.55,1256.11,264.18,93.22,94.2,25.73,58.54,3644.62,3030.64,484.47,152.71,314.02,21.43,533.19,6.79,306.86,294.13,1786.91,4845.28,634.73,166.99,5785.74,3414.1,105.8,68.95,30.61,233.99,87.57,38.79,398.51,26.17,4178.22,246.73,501.02,151.45,498.98,200.03,13.92,793.99,1358.64,449.45,5.59,116.93,474.35,76.55,609.92,265.05,131.32,81.37,149.47,65.96,174.25,584.56,89.44,851.25,924.89,950.3,166.85,1738.11,716.27,479.82,213.55,1264.04,791.72,208.65,1146.1,60.1,1119.45,507.0,1448.04,223.61,293.36,503.1,244.3,37.94,274.9,62.21,161.62,75.5,725.49,1005.48,12.27,280.78,716.0,783.84,204.69,167.5,35.14,2.78,131.28,1794.82,2361.36,929.64,1685.76,715.87,1475.69,860.38,254.29,667.83,416.57,2349.6,167.28,113.37,167.0,1143.19,30.36,161.67,105.9,1318.3,217.64,1039.88,118.89,312.16,468.81,213.58,473.44,1604.04,162.38,123.3,1265.3,88.92
2021-06-24,116.51,48.85,11.78,21.36,25.79,122.99,6.52,15.29,6.31,13.44,10.29,120.43,1171.7,234.4,247.31,7.74,72.88,452.33,311.72,188.64,103.26,387.65,7.19,712.85,350.8,58.5,384.54,218.31,194.43,706.72,4044.85,2880.16,43.86,222.66,222.86,32.71,148.52,719.45,328.55,2378.95,374.64,97.64,12078.58,394.82,1900.17,172.42,156.35,1479.75,131.4,549.28,1925.8,2292.39,755.25,1013.73,217.12,419.25,943.44,723.6,1383.89,265.08,329.57,49.66,536.69,414.76,2551.72,166.94,46.02,7.32,10.7,9.32,32.08,10.97,15.08,33.5,11.9,50.26,1155.51,115.97,32.77,31.74,235.34,11.02,9.19,13.0,61.85,5.18,80.76,17.21,9.28,19.04,71.64,13.44,22.39,36.74,13.53,20.82,7.57,20.1,233.19,8.5,17.26,5.42,5.28,14.52,8.31,38.79,50.74,12.86,11.06,596.85,9.37,16.14,9.55,4.23,27.25,44.45,10.29,49.7,5.69,5.7,6.97,12.86,59.41,7.81,111.91,157.94,131.8,195.87,98.96,358.33,86.28,751.87,403.79,137.23,353.05,302.52,289.27,106.07,105.71,180.82,180.92,224.84,216.37,141.83,170.48,201.03,954.47,16.88,235.14,63.55,5.85,158.0,197.68,370.9,28.87,1224.99,250.55,88.17,93.54,26.14,57.7,3635.58,3013.79,474.07,150.69,311.41,21.68,529.84,6.83,306.98,291.83,1752.66,4946.4,628.68,165.21,5760.89,3381.33,105.88,68.24,30.75,229.83,87.85,38.79,397.17,26.26,4202.65,240.55,502.68,142.95,489.41,193.43,13.9,800.76,1343.51,445.3,5.59,112.45,482.64,76.22,602.14,276.56,135.79,80.44,149.43,66.86,174.25,588.05,91.66,828.14,929.69,950.95,166.41,1788.29,743.99,479.82,216.7,1208.96,777.46,206.65,1209.1,57.9,1083.36,510.3,1506.57,228.2,288.18,498.68,245.89,39.34,276.02,61.3,165.42,73.76,701.69,991.43,12.29,279.19,710.73,749.02,203.89,183.83,37.29,2.78,129.44,1761.02,2318.38,937.56,1660.84,718.39,1418.63,841.57,249.57,696.41,410.14,2272.37,167.44,113.11,167.05,1085.87,30.08,161.16,103.13,1259.26,215.8,1055.6,117.17,317.08,467.66,209.12,466.92,1591.4,164.18,120.59,1245.79,86.6
