Date,600000.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600025.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600039.SS,600048.SS,600050.SS,600061.SS,600085.SS,600089.SS,600104.SS,600111.SS,600115.SS,600132.SS,600150.SS,600176.SS,600183.SS,600188.SS,600196.SS,600219.SS,600233.SS,600276.SS,600309.SS,600332.SS,600346.SS,600362.SS,600383.SS,600406.SS,600426.SS,600436.SS,600438.SS,600460.SS,600519.SS,600547.SS,600570.SS,600584.SS,600585.SS,600588.SS,600600.SS,600606.SS,600660.SS,600674.SS,600690.SS,600741.SS,600745.SS,600760.SS,600763.SS,600795.SS,600803.SS,600809.SS,600837.SS,600845.SS,600884.SS,600886.SS,600887.SS,600893.SS,600900.SS,600905.SS,600918.SS,600919.SS,600926.SS,600941.SS,600958.SS,600989.SS,600999.SS,601006.SS,601009.SS,601012.SS,601021.SS,601066.SS,601088.SS,601100.SS,601111.SS,601117.SS,601138.SS,601155.SS,601166.SS,601169.SS,601186.SS,601211.SS,601216.SS,601225.SS,601229.SS,601236.SS,601238.SS,601728.SS,601766.SS,601788.SS,601799.SS,601800.SS,601808.SS,601816.SS,601818.SS,601838.SS,601857.SS,601865.SS,601868.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601919.SS,601939.SS,601966.SS,601985.SS,601988.SS,601989.SS,601995.SS,601998.SS,603019.SS,603185.SS,603195.SS,603259.SS,603260.SS,603288.SS,603290.SS,603369.SS,603392.SS,603486.SS,603501.SS,603659.SS,603799.SS,603806.SS,603833.SS,603882.SS,603899.SS,603986.SS,603993.SS,605117.SS,605499.SS,688005.SS,688008.SS,688012.SS,688036.SS,688065.SS,688111.SS,688126.SS,688169.SS,688187.SS,688303.SS,688363.SS,688396.SS,688561.SS,688599.SS,688981.SS,000001.SZ,000002.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000301.SZ,000333.SZ,000338.SZ,000408.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000651.SZ,000661.SZ,000708.SZ,000723.SZ,000725.SZ,000733.SZ,000768.SZ,000776.SZ,000786.SZ,000792.SZ,000800.SZ,000858.SZ,000876.SZ,000877.SZ,000895.SZ,000938.SZ,000963.SZ,000977.SZ,001289.SZ,001979.SZ,002001.SZ,002007.SZ,002008.SZ,002027.SZ,002032.SZ,002049.SZ,002050.SZ,002064.SZ,002074.SZ,002120.SZ,002129.SZ,002142.SZ,002179.SZ,002180.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002410.SZ,002414.SZ,002415.SZ,002459.SZ,002460.SZ,002466.SZ,002475.SZ,002493.SZ,002555.SZ,002594.SZ,002600.SZ,002601.SZ,002602.SZ,002648.SZ,002709.SZ,002714.SZ,002736.SZ,002756.SZ,002812.SZ,002821.SZ,002841.SZ,002916.SZ,002920.SZ,002938.SZ,003816.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300142.SZ,300207.SZ,300223.SZ,300274.SZ,300316.SZ,300347.SZ,300408.SZ,300413.SZ,300433.SZ,300450.SZ,300454.SZ,300496.SZ,300498.SZ,300529.SZ,300595.SZ,300601.SZ,300628.SZ,300661.SZ,300750.SZ,300751.SZ,300759.SZ,300760.SZ,300763.SZ,300769.SZ,300782.SZ,300896.SZ,300919.SZ,300957.SZ,300979.SZ,300999.SZ
2022-01-24,109.22,134.88,18.02,33.22,25.18,114.5,7.69,15.61,6.71,13.48,11.72,25.7,962.73,227.03,82.08,315.64,7.19,68.05,410.35,835.39,178.02,769.32,7.69,547.99,73.22,239.41,182.47,64.39,508.07,31.46,68.6,2590.8,2590.2,45.2,224.86,31.75,186.21,1120.25,317.21,2095.42,387.43,746.11,11523.93,401.87,1893.43,133.93,157.61,1757.52,120.57,513.86,1996.89,213.42,850.57,1117.7,280.0,381.77,388.44,828.37,118.01,1202.99,279.74,413.71,733.94,447.33,2688.67,159.94,51.54,6.91,9.27,8.84,31.14,58.19,14.8,17.21,31.22,12.42,49.4,1050.92,116.33,28.86,37.7,256.62,10.68,12.11,12.07,54.54,88.6,17.13,10.39,21.0,68.07,15.43,20.94,12.83,23.37,4.28,7.65,17.78,189.31,11.55,17.36,5.06,5.11,15.92,8.43,51.59,2.71,72.12,13.38,11.7,423.09,8.13,17.16,8.02,22.17,10.01,34.35,8.22,5.75,6.95,47.23,7.65,126.69,248.53,164.84,264.95,159.35,601.92,340.57,138.18,336.56,188.71,289.62,207.21,196.75,274.16,202.05,84.56,116.44,858.76,18.48,272.17,173.59,129.43,76.74,121.0,145.72,161.8,272.89,26.45,890.07,66.93,53.33,128.58,59.32,88.25,70.71,51.35,2750.43,2877.04,471.55,327.73,17.13,467.63,7.41,33.38,321.53,287.8,209.21,227.46,1572.72,5025.99,629.35,125.21,4857.31,1476.26,71.57,93.46,24.21,274.13,247.42,122.42,326.82,191.91,24.96,3161.03,273.47,98.98,498.14,161.85,410.25,257.26,24.79,17.54,869.15,1005.99,558.69,107.51,411.91,920.03,270.18,110.63,195.78,124.48,173.07,70.9,648.33,238.82,110.54,633.72,846.49,1101.29,160.35,1595.51,633.65,464.0,202.63,1406.35,728.48,167.66,949.72,125.01,1226.91,724.03,1622.98,262.49,317.42,252.55,27.66,220.72,74.61,251.28,689.45,950.99,13.19,219.41,912.35,688.2,125.61,198.07,149.32,40.12,3.12,1711.85,1240.81,1079.8,1774.07,430.11,1464.06,741.47,257.08,288.02,856.2,532.7,1414.74,161.88,66.98,107.06,1435.15,176.54,588.36,39.64,98.76,530.8,128.71,1015.4,1108.76,581.59,962.42,131.36,342.48,720.84,1052.47,898.82,855.42,136.35,163.55,85.84,61.15
2022-01-25,108.1,134.12,17.37,31.5,24.88,113.43,7.6,15.21,6.55,13.33,11.84,25.7,926.76,223.34,78.69,308.52,6.94,65.35,390.49,802.8,175.4,755.13,7.9,537.02,70.65,234.23,179.39,62.57,481.59,30.68,68.45,2563.15,2519.22,43.79,220.98,30.47,182.32,1061.24,315.54,2056.81,369.12,746.67,11483.41,411.67,1815.05,133.2,154.4,1698.0,118.96,500.54,1981.92,209.82,844.0,1090.1,274.01,377.3,374.78,782.17,114.85,1175.31,274.54,406.26,718.43,442.02,2643.83,156.36,50.82,6.59,9.03,8.64,30.32,57.59,14.46,16.47,30.81,12.37,49.2,1022.19,117.07,27.57,36.98,253.8,10.98,11.69,11.89,53.29,86.53,16.93,10.17,20.58,66.46,15.02,20.71,12.1,22.36,4.2,7.48,17.3,184.23,11.18,16.44,5.03,5.05,15.67,8.27,51.52,2.63,70.5,12.97,11.27,421.75,7.78,16.89,7.8,21.79,9.93,33.38,7.86,5.72,6.84,46.2,7.56,120.58,240.14,160.9,259.78,155.63,588.5,327.77,138.3,336.25,190.93,279.21,203.89,190.66,260.75,199.29,83.23,114.56,819.85,17.88,271.36,167.0,126.98,75.47,119.91,142.65,159.59,259.7,25.91,883.06,66.31,49.9,124.75,57.1,87.05,69.45,50.06,2697.75,2789.84,459.61,322.5,16.53,451.84,7.12,32.37,316.91,277.51,209.14,219.18,1528.1,4906.94,615.83,121.35,4861.0,1413.95,70.04,88.94,23.75,272.75,241.42,119.19,318.27,189.8,24.28,3067.9,265.43,95.94,488.82,152.9,397.82,248.98,23.7,17.06,858.76,983.82,547.76,102.79,397.81,908.69,264.48,107.3,186.3,120.57,172.78,71.21,648.1,235.2,106.94,609.97,815.29,1068.46,153.96,1546.55,624.41,449.18,195.97,1392.78,732.9,162.24,936.4,124.68,1255.17,712.85,1593.55,256.28,306.29,241.46,26.38,216.03,69.41,248.81,674.9,919.8,12.87,216.35,891.51,702.2,121.2,195.5,142.0,39.17,3.04,1673.95,1215.65,1045.4,1726.94,438.11,1465.79,702.71,248.11,279.88,820.17,527.3,1406.58,162.0,63.86,103.12,1411.76,168.91,570.34,38.83,90.42,499.57,125.67,998.84,1105.79,566.2,944.58,131.05,346.0,704.36,1014.4,879.73,838.7,135.98,161.52,82.6,58.53
2022-01-26,108.19,131.38,17.5,32.1,25.03,113.61,7.74,15.25,6.58,13.43,11.76,25.7,932.88,223.73,79.59,308.68,6.92,66.42,383.25,820.61,175.85,758.08,7.88,551.93,70.8,236.89,175.0,62.27,471.21,31.07,70.47,2520.19,2539.28,43.68,219.84,30.79,180.84,1125.26,320.66,2064.15,380.16,761.67,11550.94,405.79,1837.53,135.67,154.4,1702.74,118.94,509.16,2033.78,209.19,846.1,1105.74,279.4,374.53,369.7,797.57,115.34,1249.76,275.84,402.11,723.6,447.33,2657.16,160.66,51.04,6.72,9.14,8.7,30.32,57.63,14.58,16.97,31.34,12.39,48.67,1061.5,117.39,28.02,36.75,253.64,10.7,11.73,11.83,53.2,86.24,17.03,10.34,21.25,67.03,14.93,20.76,12.34,21.93,4.21,7.51,17.44,184.53,11.3,17.37,5.05,5.06,15.77,8.41,53.09,2.66,73.16,13.52,11.48,423.19,7.76,17.0,7.87,22.26,9.97,33.04,7.88,5.72,6.89,46.35,7.59,120.46,244.96,163.59,246.89,156.86,581.09,336.39,137.88,326.91,187.51,276.99,204.57,192.77,269.24,201.88,80.67,116.48,828.13,18.0,273.36,165.5,130.05,76.5,125.75,137.56,159.26,256.67,25.98,881.06,67.81,52.08,123.82,57.58,81.96,72.73,50.31,2667.64,2780.92,460.88,320.55,16.6,456.15,7.2,32.27,319.39,283.2,213.94,219.9,1533.0,4927.89,655.98,122.48,4885.85,1449.43,70.4,92.94,23.89,265.19,239.61,122.05,323.26,192.47,24.38,3035.84,269.45,97.09,491.48,152.04,397.92,245.68,26.07,16.99,854.89,991.56,555.63,101.73,406.1,898.2,251.6,107.82,189.02,123.72,179.91,71.37,634.98,233.43,111.23,612.29,834.09,1064.57,155.73,1553.28,629.42,447.82,201.46,1448.47,720.74,164.02,954.04,124.03,1261.92,703.62,1580.47,251.28,304.67,250.64,26.54,216.45,68.77,248.48,669.59,960.07,13.01,214.93,903.2,671.3,120.49,199.47,145.88,39.2,3.07,1695.29,1200.41,1083.08,1778.95,439.67,1439.52,688.67,249.34,291.49,842.47,533.56,1322.28,161.44,62.16,103.61,1441.47,173.51,587.5,39.71,93.23,491.24,123.57,995.36,1107.69,588.1,964.63,120.54,338.63,735.32,1023.4,885.11,847.54,136.88,162.91,83.03,59.21
2022-01-27,107.16,128.97,16.91,31.24,24.94,113.08,7.75,15.21,6.52,13.39,11.82,124.34,885.42,222.84,78.69,310.26,6.75,65.44,379.91,806.71,174.08,727.87,7.85,540.46,68.99,234.76,168.84,62.99,465.87,29.84,69.59,2461.35,2555.08,42.93,216.22,29.92,181.69,1082.67,313.76,2021.01,367.65,741.16,11607.22,380.12,1849.99,130.01,151.49,1620.36,117.75,502.89,2002.46,207.94,824.53,1090.1,258.9,363.67,361.1,793.17,113.93,1253.29,270.09,382.49,689.22,446.57,2611.1,155.96,50.71,6.77,8.85,8.68,30.34,57.58,14.15,16.89,30.85,12.39,49.36,1021.92,115.89,27.32,37.06,244.66,10.79,11.54,11.71,53.24,86.14,17.01,10.3,20.73,66.11,14.99,20.64,11.8,21.56,4.15,7.43,17.06,179.61,11.38,17.29,5.05,5.05,15.81,8.37,51.07,2.65,72.1,13.4,11.2,415.89,7.76,16.59,7.65,21.97,9.97,32.64,7.84,5.72,6.79,44.46,7.6,115.76,237.74,160.8,244.54,153.97,561.21,332.6,135.58,324.73,183.38,263.11,198.43,184.92,259.26,198.11,79.11,114.36,809.97,17.01,269.17,163.76,129.6,74.1,122.88,137.76,156.39,247.77,24.03,856.06,65.97,51.49,120.56,55.23,76.31,68.78,49.03,2614.95,2752.18,445.99,317.28,16.05,449.45,7.02,31.37,313.05,276.59,207.61,216.3,1502.62,4856.78,635.35,119.42,4723.83,1463.94,68.26,91.1,23.52,263.37,233.86,118.78,317.11,190.36,23.66,2999.06,262.03,94.0,481.73,144.66,389.18,238.24,27.7,17.16,833.38,957.42,534.42,101.38,402.05,877.54,231.77,105.63,182.92,120.46,176.7,71.54,641.28,229.72,108.95,588.15,812.89,1032.82,154.18,1515.95,614.13,442.35,196.03,1378.27,701.17,154.38,936.04,119.6,1238.88,728.77,1524.88,246.15,291.93,242.42,25.94,213.16,65.04,242.93,662.79,938.99,12.79,219.63,884.2,663.6,122.09,199.54,141.8,38.07,3.05,1631.78,1161.79,1035.0,1731.81,441.15,1293.75,680.95,237.45,282.15,722.91,505.25,1285.83,157.28,61.28,99.18,1397.77,162.34,562.09,39.46,93.67,475.69,121.85,984.8,1076.89,575.59,935.64,121.61,331.01,714.39,1008.78,859.13,840.84,130.14,165.65,84.6,57.29
2022-01-28,106.82,130.61,16.91,30.33,24.88,113.08,7.58,14.97,6.46,13.33,11.99,126.43,862.84,216.78,78.83,311.06,6.75,65.03,368.2,792.37,173.11,697.48,7.9,532.82,68.39,231.58,167.59,60.17,457.18,29.39,69.83,2453.11,2512.94,42.75,223.36,29.85,183.27,1033.97,309.92,1990.84,355.32,719.8,11168.25,383.84,1812.62,128.13,149.51,1573.35,116.85,502.89,1946.07,206.38,803.22,1074.46,251.49,366.15,356.74,782.17,114.21,1204.71,266.75,362.61,700.08,438.24,2608.07,153.81,49.91,6.9,8.79,8.52,30.22,57.58,13.72,16.75,30.51,12.46,48.67,962.54,115.85,27.4,36.12,243.35,11.01,11.37,11.69,51.63,84.78,16.96,10.05,20.26,67.26,14.66,20.49,11.87,21.1,4.16,7.4,17.01,178.17,11.02,16.71,5.14,5.04,15.53,8.15,49.13,2.64,70.81,12.72,11.23,421.61,7.47,16.37,7.59,21.52,9.92,32.15,7.73,5.72,6.81,43.63,7.55,120.77,230.98,160.98,248.25,148.99,563.45,321.09,132.18,313.77,190.1,254.81,200.81,180.14,253.85,195.75,78.38,113.96,768.75,17.01,261.47,159.06,129.59,71.85,118.71,137.19,158.8,244.19,23.4,890.56,64.17,49.38,120.68,54.8,75.33,66.85,49.22,2544.2,2741.28,447.12,316.3,16.15,448.97,6.97,30.4,306.98,275.05,213.94,217.74,1496.15,4691.8,610.15,119.1,4763.41,1505.18,67.53,88.48,23.66,257.9,232.49,115.74,312.13,192.81,24.05,2929.39,272.23,92.62,479.51,143.35,403.88,236.09,25.67,17.14,812.12,955.66,541.63,100.55,387.7,872.68,233.48,102.62,178.82,119.35,177.93,69.81,665.01,225.01,111.03,571.24,805.69,1034.33,154.85,1543.49,597.03,456.25,196.69,1326.79,704.48,153.1,922.18,115.93,1218.63,726.74,1536.98,249.8,286.96,227.95,26.06,207.84,63.85,240.08,643.35,964.18,12.66,220.28,867.5,655.16,126.45,202.81,138.0,37.81,3.04,1597.12,1163.21,1042.68,1707.43,430.39,1325.84,679.69,232.51,273.39,742.28,497.44,1253.69,157.6,59.75,96.86,1389.91,154.54,542.2,41.14,92.98,466.87,121.37,964.4,1049.48,593.2,888.28,118.8,328.28,683.18,996.4,842.57,800.0,130.82,168.75,88.45,57.14
2022-02-07,107.76,134.58,17.95,31.89,25.29,113.79,7.84,15.28,6.6,13.61,12.03,129.59,885.81,225.09,81.73,315.17,6.84,65.6,376.5,830.17,174.65,766.0,7.9,527.73,70.23,236.22,167.96,63.81,462.51,30.68,71.65,2464.29,2570.13,43.12,227.87,30.54,185.06,1054.56,324.51,1977.82,378.32,743.14,11061.1,384.63,1804.72,129.87,158.39,1582.4,116.18,507.59,1970.09,211.07,806.38,1105.43,259.04,367.22,355.1,815.17,116.04,1175.18,268.98,368.11,684.31,441.65,2649.89,153.71,50.73,6.97,8.88,8.8,31.34,58.15,14.14,17.45,30.71,12.61,49.44,1005.29,117.61,27.7,37.09,249.69,11.1,11.71,11.74,53.1,88.44,17.16,10.74,20.61,68.42,15.17,20.71,12.0,21.86,4.21,7.56,17.15,181.47,11.92,18.13,5.28,5.1,16.11,8.61,49.58,2.8,71.29,12.63,11.25,430.11,7.93,17.1,7.74,22.05,10.06,33.44,7.96,5.76,6.93,44.15,7.69,119.99,234.19,160.18,247.55,151.3,556.38,324.13,134.5,338.88,183.31,245.06,203.07,188.53,257.99,195.44,79.19,113.18,794.71,17.67,253.46,160.85,130.53,72.56,120.03,134.88,156.28,243.65,24.11,869.6,65.85,51.19,120.79,55.52,77.03,67.53,49.97,2628.5,2798.76,438.13,312.06,16.5,458.54,7.12,31.9,312.6,279.51,217.93,222.78,1504.06,4654.34,643.89,120.71,4799.32,1421.73,71.47,91.37,24.03,252.4,233.69,114.68,330.11,194.31,24.34,2891.08,269.3,100.47,488.71,141.83,408.51,213.46,25.93,17.62,826.13,974.67,550.93,101.38,398.53,852.47,234.85,106.36,181.16,123.66,181.15,72.91,652.03,223.2,111.86,581.44,810.49,1003.66,154.85,1568.89,619.04,451.7,200.32,1322.11,671.64,155.67,894.28,116.97,1218.09,681.69,1531.75,261.81,285.99,245.55,26.42,214.56,63.49,245.0,663.27,975.15,12.73,210.31,880.35,660.88,127.5,202.95,138.74,38.41,3.11,1614.71,1157.54,989.56,1754.03,449.79,1331.22,708.33,244.53,274.49,735.16,515.8,1270.6,155.08,59.14,86.71,1397.19,153.71,551.38,42.01,91.43,466.5,124.57,963.8,1124.81,580.04,924.01,121.74,333.57,673.44,992.96,853.39,823.04,123.98,169.44,89.1,57.48
2022-02-08,108.87,139.13,18.21,32.52,25.5,115.03,7.94,15.68,6.78,13.71,12.24,130.01,905.33,226.49,82.01,312.64,7.1,67.32,375.03,839.73,175.62,767.84,8.15,516.3,71.86,239.8,169.86,66.13,466.86,31.33,71.69,2498.42,2604.5,43.54,225.31,31.01,184.53,1021.16,337.33,1929.45,368.2,725.6,10898.12,390.51,1797.13,131.99,157.79,1626.83,113.75,519.35,1942.59,216.7,792.96,1084.89,254.72,369.7,358.61,828.37,119.21,1124.31,274.36,359.69,677.59,459.44,2643.22,153.84,52.18,7.09,9.06,8.9,31.32,61.3,14.25,17.98,31.02,12.94,49.89,986.59,119.25,28.0,38.54,244.53,11.58,11.92,11.87,53.24,89.63,17.35,10.75,21.04,69.22,15.87,21.02,12.21,21.69,4.29,7.6,17.4,173.1,12.44,18.4,5.39,5.17,16.07,8.66,47.24,2.81,69.86,12.8,11.47,429.25,8.2,17.25,7.85,22.66,10.28,32.34,8.25,5.81,7.01,45.14,7.77,123.16,231.0,155.8,222.99,149.07,558.06,293.34,132.83,322.31,176.8,237.41,191.71,182.38,242.93,201.5,78.05,112.4,778.96,17.79,234.68,158.49,127.47,69.44,115.19,132.43,149.8,241.59,24.11,814.07,59.24,50.19,121.9,55.65,75.9,60.31,50.4,2694.74,2795.78,442.48,313.36,16.75,470.98,7.24,32.08,311.1,283.04,212.61,226.38,1543.22,4531.66,614.21,121.19,4824.17,1422.95,73.52,95.29,24.26,245.18,239.1,115.83,330.47,191.47,24.57,2813.08,270.07,101.21,492.15,144.86,418.27,219.13,25.87,17.53,822.99,994.38,537.48,100.9,402.71,789.9,237.35,107.61,179.59,122.61,175.83,72.22,633.65,222.88,113.03,590.86,816.49,978.6,156.39,1592.45,603.78,443.15,203.29,1214.1,650.97,155.88,900.22,108.95,1149.42,665.35,1425.47,267.62,284.05,238.12,26.82,214.35,64.22,253.4,627.16,983.2,12.94,212.29,822.59,620.22,127.01,192.31,124.97,37.71,3.2,1531.05,1183.05,994.12,1749.15,465.91,1319.59,714.37,238.75,265.98,697.77,484.74,1192.77,153.6,59.39,87.57,1256.1,148.84,527.73,42.25,91.65,479.48,126.19,931.04,1084.88,541.46,886.69,113.57,323.11,619.72,936.26,834.11,824.12,120.12,168.63,87.08,57.14
2022-02-09,108.79,142.7,18.34,33.84,25.44,114.85,7.97,15.68,6.87,13.66,12.33,129.73,903.03,226.14,82.01,309.32,7.32,67.48,396.84,840.6,176.19,797.31,8.11,548.6,73.19,242.06,171.11,68.57,469.14,32.62,72.21,2515.48,2626.82,44.27,227.25,31.86,180.95,1020.61,340.88,1950.68,370.5,741.02,11218.79,393.64,1828.12,133.35,158.09,1639.77,115.74,517.78,1977.4,221.7,804.01,1080.59,254.93,376.3,366.72,843.77,118.22,1186.82,273.99,363.25,690.0,465.13,2720.79,157.92,52.38,7.13,9.09,8.81,31.0,67.43,14.3,17.85,31.03,12.83,49.08,977.25,122.65,27.99,38.02,226.91,11.76,11.69,11.93,52.73,89.28,17.3,10.6,20.94,69.22,15.83,20.99,12.28,22.43,4.41,7.61,17.52,169.82,12.44,18.27,5.37,5.16,15.92,8.61,47.15,2.81,69.59,12.74,11.75,433.69,8.15,17.9,7.86,22.62,10.24,31.47,8.41,5.8,7.01,45.44,7.75,127.95,234.46,155.85,219.86,154.14,559.91,300.89,140.9,326.31,180.89,232.84,192.76,186.65,244.02,195.35,78.92,114.0,791.64,18.33,232.83,164.68,125.92,68.77,117.99,131.36,152.07,229.8,24.18,822.26,61.13,50.8,123.28,56.37,75.91,60.77,51.1,2699.25,2758.13,456.1,307.16,16.9,472.42,7.22,32.85,319.69,283.81,220.73,226.38,1568.26,4648.9,658.59,123.12,4832.46,1433.53,76.01,95.42,24.4,252.22,244.5,115.37,329.94,194.14,24.81,2896.08,287.38,100.47,495.81,149.67,422.59,223.58,26.95,17.77,861.66,994.38,535.51,102.67,402.12,805.94,235.99,108.75,184.78,121.33,176.28,70.94,664.79,230.31,113.17,605.84,828.89,982.49,158.59,1562.16,642.42,437.43,199.18,1198.33,680.49,158.45,913.54,108.44,1183.08,669.75,1444.44,266.54,287.61,246.33,26.9,217.08,66.5,251.67,628.11,1034.27,12.97,224.08,817.9,605.18,127.65,192.63,122.0,37.27,3.22,1563.15,1206.79,992.6,1778.41,488.27,1343.28,728.41,243.23,271.47,697.31,496.92,1204.41,154.0,61.3,89.73,1231.56,147.71,521.68,43.32,93.31,491.61,127.55,927.56,1127.39,547.8,909.86,112.48,320.51,631.28,911.26,853.23,828.49,120.08,168.41,87.01,58.36
2022-02-10,109.22,147.55,18.28,33.74,25.53,115.03,8.03,15.78,6.93,13.76,12.69,129.82,903.79,226.49,82.08,316.12,7.25,68.05,407.09,831.47,175.74,804.31,8.39,552.62,73.34,241.53,171.48,70.95,464.89,32.81,71.22,2489.59,2669.71,44.31,237.22,32.82,183.79,995.0,357.75,1954.76,366.64,753.04,11089.46,394.43,1748.83,133.45,162.62,1598.79,113.66,524.05,1973.92,223.42,781.12,1060.04,259.54,376.8,367.1,843.77,121.6,1182.08,274.36,357.49,683.02,469.29,2725.63,158.51,53.16,7.15,9.05,8.94,31.77,66.0,14.44,18.18,30.97,13.02,49.77,940.41,122.63,28.0,39.18,215.29,11.99,12.02,11.99,53.23,90.51,17.38,10.7,21.0,69.68,16.12,21.11,12.19,22.01,4.32,7.66,17.54,169.55,12.86,18.37,5.55,5.18,15.97,8.65,44.48,2.93,66.19,12.81,11.8,456.49,8.34,18.54,7.9,22.73,10.28,30.42,8.43,5.83,7.01,45.52,7.78,127.01,228.04,155.9,203.71,151.4,559.24,301.71,140.93,329.81,175.57,232.58,180.57,184.27,228.73,189.29,78.82,108.76,801.35,18.87,222.62,161.94,121.79,75.13,116.68,133.72,149.96,214.78,23.18,785.96,57.28,50.56,119.28,57.21,72.73,57.45,51.2,2718.82,2792.81,449.64,323.16,16.93,470.98,7.22,32.82,308.66,283.96,226.99,227.46,1561.21,4633.18,662.09,122.4,4847.19,1423.91,75.43,94.44,24.35,248.15,244.42,114.68,331.09,189.8,24.94,2855.27,300.67,102.65,500.69,147.76,418.58,223.66,27.0,17.85,867.46,991.91,518.23,107.86,401.07,800.31,234.39,109.69,177.63,119.29,180.0,71.54,644.17,232.25,112.34,612.55,825.29,955.27,158.37,1586.94,645.11,447.95,194.53,1203.24,681.26,158.52,913.72,97.68,1192.98,661.71,1440.52,273.83,290.96,241.27,26.54,222.4,67.95,260.24,611.25,1084.65,13.02,221.43,773.7,556.4,128.7,199.96,119.72,36.6,3.25,1470.79,1209.98,980.52,1749.69,506.63,1334.66,736.69,230.95,266.91,658.76,495.81,1113.75,152.04,62.59,87.57,1247.86,145.44,514.95,44.3,92.93,490.02,126.15,927.68,1162.45,518.7,858.0,109.32,314.0,601.8,876.66,854.62,800.81,116.07,160.61,85.89,58.21
2022-02-11,109.65,146.65,18.02,33.63,25.53,115.38,8.01,15.74,6.86,13.84,12.42,131.49,888.87,230.57,81.25,311.85,7.24,67.56,376.82,813.66,175.51,800.45,8.27,533.2,72.4,242.32,168.62,73.93,447.79,32.68,72.13,2471.35,2708.34,43.37,235.72,32.47,182.74,962.16,356.36,1895.91,360.38,725.32,10959.85,388.15,1664.37,132.67,164.12,1512.53,114.26,521.7,1918.58,222.49,774.28,1048.69,254.55,368.21,357.24,832.77,119.21,1236.83,274.54,352.57,677.34,464.75,2714.73,153.34,53.09,6.95,8.99,9.12,32.16,66.61,14.37,18.64,31.02,12.99,50.79,894.37,120.15,27.93,39.69,219.2,11.96,11.95,11.91,55.62,91.61,17.43,10.58,20.98,68.76,16.27,21.16,12.19,21.25,4.31,7.62,17.43,164.68,12.56,18.5,5.44,5.18,16.61,8.93,41.74,2.84,65.38,12.68,11.75,459.35,8.35,18.32,7.87,22.75,10.32,29.95,8.37,5.83,6.95,45.24,7.8,126.57,219.34,155.78,197.14,153.19,554.07,295.29,138.55,297.12,182.05,228.16,182.85,184.32,221.83,192.27,79.42,111.0,780.83,18.87,216.3,155.44,117.25,72.08,114.56,132.01,144.38,215.49,22.19,814.06,55.45,49.06,112.16,56.57,69.2,56.78,51.46,2735.38,2825.51,445.99,315.0,16.73,474.81,7.24,32.12,310.5,278.74,230.92,224.94,1536.74,4689.19,690.79,119.82,4953.97,1419.11,77.07,93.59,24.35,247.74,237.21,115.79,343.74,192.69,24.75,2872.35,295.57,101.73,490.27,143.41,400.39,218.67,25.48,17.76,860.69,967.98,514.73,106.09,390.83,796.46,230.29,108.65,174.82,118.24,175.5,72.94,631.94,227.09,108.26,620.3,808.09,906.02,158.59,1628.86,641.45,436.07,194.41,1168.56,660.26,155.52,895.9,98.16,1210.17,683.98,1353.54,274.77,285.34,231.34,25.82,218.48,67.22,263.6,594.25,1068.88,13.01,227.8,768.53,528.44,128.51,197.52,116.1,35.74,3.25,1445.35,1167.81,967.24,1727.48,490.71,1349.95,703.0,222.24,261.96,630.25,469.55,1077.77,146.36,61.99,85.57,1200.89,147.64,502.52,43.65,91.56,481.44,119.36,922.04,1151.35,490.59,823.64,106.05,301.5,588.79,897.42,857.99,761.26,117.31,152.46,83.77,58.04
