Date,600000.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600023.SS,600025.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600039.SS,600048.SS,600050.SS,600061.SS,600085.SS,600089.SS,600104.SS,600111.SS,600115.SS,600132.SS,600150.SS,600176.SS,600183.SS,600188.SS,600196.SS,600219.SS,600233.SS,600276.SS,600309.SS,600332.SS,600346.SS,600362.SS,600372.SS,600406.SS,600426.SS,600436.SS,600438.SS,600460.SS,600489.SS,600515.SS,600519.SS,600547.SS,600570.SS,600584.SS,600585.SS,600588.SS,600600.SS,600606.SS,600660.SS,600674.SS,600690.SS,600732.SS,600741.SS,600745.SS,600754.SS,600760.SS,600795.SS,600803.SS,600809.SS,600837.SS,600845.SS,600875.SS,600886.SS,600887.SS,600893.SS,600900.SS,600905.SS,600918.SS,600919.SS,600926.SS,600938.SS,600941.SS,600958.SS,600989.SS,600999.SS,601006.SS,601009.SS,601012.SS,601021.SS,601059.SS,601066.SS,601088.SS,601100.SS,601111.SS,601117.SS,601138.SS,601155.SS,601166.SS,601169.SS,601186.SS,601211.SS,601225.SS,601229.SS,601236.SS,601238.SS,601288.SS,601318.SS,601319.SS,601328.SS,601336.SS,601360.SS,601377.SS,601390.SS,601398.SS,601600.SS,601601.SS,601607.SS,601615.SS,601618.SS,601628.SS,601633.SS,601658.SS,601668.SS,601669.SS,601688.SS,601689.SS,601698.SS,601699.SS,601728.SS,601766.SS,601788.SS,601799.SS,601800.SS,601808.SS,601816.SS,601818.SS,601838.SS,601857.SS,601865.SS,601868.SS,601872.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601916.SS,601919.SS,601939.SS,601985.SS,601988.SS,601989.SS,601995.SS,601998.SS,603019.SS,603195.SS,603259.SS,603260.SS,603288.SS,603290.SS,603369.SS,603392.SS,603486.SS,603501.SS,603659.SS,603799.SS,603806.SS,603833.SS,603899.SS,603986.SS,603993.SS,605117.SS,605499.SS,688008.SS,688012.SS,688036.SS,688041.SS,688065.SS,688111.SS,688126.SS,688187.SS,688223.SS,688256.SS,688271.SS,688303.SS,688363.SS,688396.SS,688561.SS,688599.SS,688981.SS,000001.SZ,000002.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000301.SZ,000333.SZ,000338.SZ,000408.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000617.SZ,000625.SZ,000651.SZ,000661.SZ,000708.SZ,000725.SZ,000733.SZ,000768.SZ,000776.SZ,000786.SZ,000792.SZ,000800.SZ,000858.SZ,000876.SZ,000877.SZ,000895.SZ,000938.SZ,000963.SZ,000977.SZ,000983.SZ,000999.SZ,001289.SZ,001979.SZ,002001.SZ,002007.SZ,002027.SZ,002049.SZ,002050.SZ,002074.SZ,002129.SZ,002142.SZ,002179.SZ,002180.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002410.SZ,002415.SZ,002459.SZ,002460.SZ,002466.SZ,002475.SZ,002493.SZ,002555.SZ,002594.SZ,002601.SZ,002603.SZ,002648.SZ,002709.SZ,002714.SZ,002736.SZ,002812.SZ,002821.SZ,002841.SZ,002916.SZ,002920.SZ,002938.SZ,003816.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300142.SZ,300223.SZ,300274.SZ,300308.SZ,300316.SZ,300347.SZ,300408.SZ,300413.SZ,300433.SZ,300450.SZ,300454.SZ,300496.SZ,300498.SZ,300628.SZ,300661.SZ,300750.SZ,300751.SZ,300759.SZ,300760.SZ,300763.SZ,300782.SZ,300896.SZ,300919.SZ,300957.SZ,300979.SZ,300999.SZ,301269.SZ
2023-01-03,5.76,55.26,1.93,7.04,3.94,2.63,4.8,4.69,2.96,5.98,3.37,7.51,17.72,14.58,29.85,6.19,14.36,4.44,5.72,43.11,13.85,13.63,25.37,5.41,112.7,22.43,12.54,12.48,13.0,34.56,2.58,18.77,37.68,86.68,27.07,14.33,14.71,15.97,18.88,23.66,275.94,34.96,33.11,7.34,4.9,1550.65,18.7,41.34,22.87,23.72,24.84,96.82,3.0,29.05,11.02,21.8,26.42,14.7,53.69,56.2,41.67,3.68,12.44,262.09,8.25,29.99,21.35,9.61,25.86,43.31,17.33,5.62,6.29,5.27,11.07,11.24,56.19,8.39,10.77,11.77,5.27,8.33,41.46,60.09,,23.04,18.93,58.83,10.45,7.45,7.21,20.2,13.42,3.06,6.96,11.59,12.89,4.03,6.97,10.77,1.96,38.04,4.71,3.29,24.98,6.34,5.28,4.97,3.08,4.08,19.65,16.26,25.54,3.0,34.27,27.7,3.66,4.42,6.61,10.34,39.44,11.67,11.86,3.51,4.41,14.01,122.76,7.35,15.87,4.58,2.38,11.67,3.41,32.5,2.22,4.82,25.39,9.53,8.1,209.9,7.23,9.1,6.22,2.11,5.6,4.05,5.37,2.22,3.49,37.77,3.59,21.62,41.26,76.55,81.14,61.28,232.47,45.78,90.38,70.34,76.35,34.54,54.02,34.09,110.21,50.52,101.49,3.85,60.81,91.86,61.41,66.28,46.16,41.46,61.83,280.18,17.79,52.53,14.58,37.1,179.94,44.18,129.21,52.86,69.92,65.29,41.54,11.56,17.56,24.23,5.29,3.22,4.36,3.8,12.93,38.76,8.52,21.23,4.44,46.03,202.93,245.55,5.28,11.3,24.18,167.77,14.76,3.25,116.74,25.23,13.91,22.19,23.1,7.59,158.85,12.68,8.19,20.4,20.09,43.32,22.16,9.2,25.52,18.26,12.08,16.24,21.7,5.39,133.04,19.57,29.17,30.08,29.01,43.48,53.53,10.93,33.97,9.45,16.57,6.6,30.3,142.61,57.97,54.23,168.14,44.21,30.84,43.28,68.81,77.01,30.73,11.56,15.04,84.09,16.57,28.81,13.9,43.07,43.98,7.51,128.27,140.68,57.64,51.41,107.93,24.76,2.35,85.84,22.9,60.84,15.8,57.68,68.29,39.8,70.69,79.28,17.98,62.29,100.37,29.44,31.0,9.35,39.94,124.78,102.56,18.18,37.1,100.61,196.38,257.54,44.13,289.16,180.71,113.31,386.74,45.65,143.76,49.83,42.53,92.9
2023-01-04,5.84,55.44,1.94,6.9,4.0,2.66,4.83,4.74,2.96,5.98,3.38,7.78,17.97,14.83,30.92,6.2,14.96,4.53,5.72,43.44,13.51,13.63,25.1,5.46,113.43,22.53,12.48,12.53,12.37,34.66,2.56,18.66,38.01,86.73,27.06,14.39,14.43,15.98,18.08,24.08,273.46,33.74,32.87,7.27,4.87,1545.65,18.79,42.2,22.99,24.15,24.82,97.15,3.15,28.61,10.9,22.29,25.64,14.25,53.9,55.43,41.19,3.68,12.01,262.25,8.27,29.82,21.35,9.56,25.74,43.37,17.25,5.6,6.29,5.48,11.3,11.05,57.61,8.44,10.62,11.81,5.28,8.6,40.08,61.24,,22.98,18.65,59.52,10.66,7.41,7.25,22.22,13.72,3.1,7.0,11.6,12.47,4.1,6.97,10.65,1.99,39.42,4.75,3.35,26.09,6.4,5.31,4.99,3.13,3.99,20.44,16.17,25.22,3.01,35.3,27.24,3.76,4.53,6.58,10.35,37.73,11.71,11.26,3.54,4.44,14.06,123.87,7.31,15.89,4.57,2.45,11.83,3.39,31.9,2.21,4.72,24.63,9.51,8.13,210.91,6.88,8.87,6.22,2.14,5.55,4.1,5.35,2.26,3.5,37.59,3.7,21.77,40.86,77.46,78.3,60.7,228.28,46.87,88.83,70.93,76.75,33.8,53.43,33.0,112.56,50.84,98.7,3.79,58.94,91.75,62.06,65.44,46.32,40.49,60.74,277.82,17.73,51.26,14.22,37.21,183.18,43.98,128.58,52.73,70.3,63.71,41.92,12.11,18.4,24.74,5.59,3.28,4.41,3.81,12.74,40.63,8.64,20.6,4.55,46.27,204.07,245.66,5.21,11.19,24.99,168.62,14.96,3.31,114.18,25.12,13.93,24.04,22.97,7.62,159.27,12.63,8.41,20.34,22.13,43.77,22.41,8.45,25.79,18.46,12.81,16.1,20.94,5.5,133.33,19.35,28.4,29.11,30.28,43.89,52.76,10.81,33.75,9.45,16.08,6.36,32.06,143.18,57.83,54.08,165.18,43.93,30.47,42.64,66.31,74.7,27.58,11.54,15.73,83.63,16.57,27.71,14.07,41.56,44.0,7.55,123.68,143.07,57.84,51.34,104.98,23.2,2.34,82.45,23.04,62.17,15.87,60.08,64.98,39.2,69.45,76.87,18.25,60.12,103.67,28.46,30.81,9.26,38.99,122.28,100.63,18.02,35.63,98.21,193.25,249.49,45.91,296.25,171.5,111.56,380.54,44.89,144.93,49.89,42.36,91.59
2023-01-05,5.88,57.35,1.93,6.99,4.0,2.67,4.83,4.85,2.99,5.97,3.36,7.88,18.26,15.12,30.77,6.19,15.3,4.58,5.78,42.19,13.64,13.69,25.43,5.51,118.0,22.61,12.52,12.5,12.35,35.5,2.56,18.88,38.79,87.18,27.03,14.54,14.43,16.05,18.3,23.54,281.96,34.79,32.14,7.17,4.98,1621.64,18.59,41.53,23.45,24.39,24.47,99.64,3.11,29.03,10.96,23.14,26.0,14.66,54.31,56.35,41.5,3.68,12.15,272.31,8.37,29.73,21.59,9.57,26.7,43.67,17.19,5.61,6.34,5.5,11.35,11.04,58.23,8.68,10.76,11.97,5.27,8.6,40.5,61.48,,23.45,18.52,60.52,11.07,7.42,7.39,22.35,13.74,3.07,6.98,11.75,12.57,4.09,7.06,10.89,1.99,39.82,4.73,3.36,26.81,6.38,5.39,5.02,3.1,4.02,20.73,16.38,25.42,3.02,35.5,27.69,3.74,4.52,6.6,10.51,39.5,11.73,11.51,3.52,4.44,14.45,124.04,7.37,16.19,4.57,2.44,11.69,3.38,32.45,2.22,4.73,25.89,9.64,8.24,221.7,6.81,8.96,6.27,2.14,5.55,4.1,5.32,2.26,3.5,37.95,3.65,21.9,41.56,82.83,79.48,63.17,229.51,49.25,95.69,74.41,78.36,34.56,56.8,34.02,111.24,51.07,100.95,3.82,61.35,94.2,63.95,65.97,46.49,40.91,62.09,272.04,17.85,51.65,14.75,37.11,180.88,44.23,132.54,53.01,70.52,64.55,41.87,12.27,18.66,24.74,5.57,3.27,4.43,3.84,13.02,41.79,8.95,20.87,4.58,46.69,217.66,272.02,5.25,11.45,25.88,182.46,15.54,3.32,113.84,25.27,14.38,24.59,23.26,7.63,169.65,12.72,8.46,20.52,24.37,45.33,22.4,8.46,25.59,18.2,12.91,16.2,21.22,5.97,133.8,19.63,29.34,29.59,29.9,43.42,51.81,10.83,34.02,9.57,17.77,6.38,32.58,151.22,58.71,56.67,166.66,43.94,30.9,42.58,67.93,77.44,28.61,11.82,16.69,85.62,16.67,27.98,14.21,43.24,44.25,7.63,136.24,144.6,57.93,51.87,115.86,23.78,2.33,86.25,23.5,64.9,16.72,63.73,64.93,40.07,69.89,78.06,18.24,60.38,110.97,28.94,32.55,9.36,39.04,124.78,105.86,17.65,36.4,98.89,206.31,256.53,47.87,297.95,175.52,113.53,398.31,47.73,147.72,50.3,43.3,91.35
2023-01-06,5.87,56.01,1.93,6.96,3.98,2.66,4.77,4.99,2.99,6.01,3.35,7.64,18.23,15.28,30.65,6.1,15.07,4.5,5.75,39.98,13.87,13.69,25.98,5.38,115.54,22.17,12.6,12.42,12.59,35.09,2.57,18.34,38.55,87.96,26.47,14.68,14.55,16.12,18.42,23.3,280.06,36.74,32.74,7.15,4.83,1624.41,18.41,41.65,23.43,24.59,24.21,97.95,3.07,29.55,11.03,23.07,28.64,14.83,54.14,54.96,41.39,3.68,13.22,273.75,8.36,29.45,21.25,9.57,26.66,43.5,17.31,5.75,6.32,5.52,11.32,11.08,57.7,8.83,10.9,12.02,5.23,8.61,42.1,60.21,,23.47,18.54,61.11,10.62,7.61,7.28,22.49,13.75,3.05,6.89,11.75,13.17,4.08,6.99,10.86,1.98,40.63,4.68,3.36,26.98,6.33,5.4,4.95,3.11,4.04,20.56,16.39,25.64,3.0,34.6,27.92,3.73,4.45,6.66,10.45,42.29,11.67,11.72,3.46,4.42,14.33,128.13,7.23,15.75,4.55,2.42,11.65,3.37,35.79,2.22,4.85,28.11,9.63,8.16,220.47,6.85,9.0,6.27,2.1,5.58,4.09,5.34,2.27,3.49,38.21,3.65,21.81,41.79,82.43,86.33,62.62,236.72,50.7,95.54,72.97,80.43,35.16,57.58,37.49,114.66,50.65,101.17,3.84,66.06,94.23,62.87,66.0,45.04,41.81,61.31,274.73,17.93,53.23,16.12,37.01,175.61,45.03,130.19,53.16,68.25,69.37,41.68,12.41,18.55,24.3,5.44,3.29,4.42,3.83,14.34,40.89,8.9,21.2,4.57,46.45,217.64,273.55,5.23,11.47,25.78,182.44,15.67,3.42,112.13,25.29,14.41,24.45,23.35,7.58,171.11,12.64,8.49,20.35,23.18,44.57,22.35,8.65,24.36,18.87,12.78,16.61,20.66,5.46,125.61,19.83,29.84,31.01,29.43,42.64,51.79,10.92,33.54,9.48,17.42,6.15,32.95,152.12,58.49,56.06,166.67,44.46,30.3,45.65,69.46,79.9,28.06,12.17,16.3,86.0,16.98,27.68,15.01,43.56,44.03,7.62,141.98,142.37,56.67,51.72,119.43,23.76,2.33,88.22,23.12,65.39,16.72,64.0,65.4,39.8,70.51,82.5,18.06,62.88,108.01,28.79,32.4,9.14,38.84,128.99,106.57,17.76,36.14,97.62,211.39,267.23,47.17,295.9,181.8,114.99,396.44,48.21,142.14,51.39,43.35,90.11
2023-01-09,5.87,57.54,1.95,6.62,4.01,2.65,4.77,4.98,3.02,5.9,3.35,7.79,18.47,15.73,31.07,6.17,14.78,4.49,5.85,40.24,13.86,13.7,26.25,5.48,116.5,21.92,12.85,12.29,12.67,35.16,2.63,18.53,38.79,87.39,26.62,14.85,15.49,15.8,19.48,23.08,283.54,36.33,33.06,7.34,4.86,1661.84,19.17,41.97,23.47,24.45,24.29,98.02,3.04,29.25,10.96,22.99,28.79,15.1,55.22,55.19,40.28,3.53,13.01,276.23,8.48,29.18,21.0,9.47,26.76,42.07,17.2,5.69,6.38,5.48,11.36,11.26,57.58,9.54,11.19,12.14,5.2,8.63,41.7,60.86,,24.03,18.62,63.32,10.78,7.84,7.41,22.16,13.73,3.03,6.85,11.87,13.36,4.1,7.07,10.88,1.98,41.8,4.71,3.36,27.42,6.35,5.64,4.95,3.1,4.23,20.62,16.38,25.53,3.04,34.84,27.79,3.76,4.46,6.64,10.58,44.3,11.64,11.98,3.51,4.43,14.66,131.04,7.2,15.47,4.69,2.42,11.48,3.38,35.93,2.23,4.83,29.96,9.73,8.27,221.48,6.87,10.01,6.32,2.11,5.55,4.05,5.34,2.25,3.48,38.34,3.69,21.76,43.86,84.25,86.6,63.4,240.12,54.28,95.43,73.08,81.88,35.52,57.38,37.34,111.08,51.8,103.35,4.06,61.48,93.64,62.67,65.4,44.32,41.43,61.38,269.51,18.12,52.78,16.36,37.17,174.77,44.58,131.58,53.29,70.26,70.57,41.53,12.59,18.11,23.94,5.37,3.29,4.49,3.85,14.6,40.99,9.12,21.47,4.69,46.55,221.53,278.1,5.21,11.46,25.77,187.31,15.66,3.45,110.28,24.3,15.03,24.26,23.3,7.61,176.53,12.78,8.46,20.38,23.12,45.85,22.38,8.84,24.81,19.07,12.96,16.38,20.8,5.65,124.71,20.38,30.21,31.06,29.63,41.74,52.06,10.94,33.64,9.57,17.52,6.2,32.69,162.35,58.89,55.75,167.47,44.38,29.62,45.44,70.18,80.67,28.3,11.93,16.83,85.06,17.7,28.08,15.22,44.78,45.23,7.73,144.94,143.47,56.67,51.9,118.17,24.15,2.32,86.2,23.12,67.43,17.3,64.2,66.33,39.62,70.48,82.78,17.9,62.35,107.81,30.65,31.66,9.13,41.95,134.34,104.79,18.32,36.83,98.13,211.36,272.12,47.13,296.44,178.0,118.76,409.17,47.96,143.27,54.43,44.24,89.22
2023-01-10,5.81,57.01,1.91,6.51,3.94,2.62,4.68,4.92,2.95,5.9,3.34,7.84,18.26,15.66,30.52,6.04,14.84,4.49,5.87,42.0,13.78,13.71,26.11,5.4,117.25,21.53,12.87,12.31,12.63,34.76,2.63,18.68,38.62,85.18,26.7,14.59,15.56,15.67,19.78,23.32,283.7,36.22,33.46,7.57,4.8,1675.09,19.11,42.42,24.55,24.36,24.06,98.54,3.01,29.87,10.99,23.18,27.68,15.05,55.66,55.36,39.71,3.53,13.47,280.25,8.46,29.23,20.67,9.49,27.67,41.34,17.05,5.65,6.35,5.37,11.15,11.19,57.3,9.61,11.17,12.13,5.18,8.42,42.0,60.87,,23.77,18.36,63.32,10.63,7.75,7.3,22.28,13.43,3.0,6.8,11.86,13.21,4.05,7.06,11.08,1.97,40.1,4.64,3.34,26.58,6.4,5.82,4.87,3.07,4.31,19.89,16.54,25.38,2.98,33.97,28.84,3.75,4.36,6.54,10.56,45.12,11.47,11.78,3.47,4.41,14.46,130.08,7.14,15.43,4.64,2.39,11.29,3.36,35.53,2.21,4.75,29.18,9.67,8.32,227.78,6.72,9.98,6.28,2.1,5.51,4.02,5.26,2.24,3.45,37.89,3.64,21.66,43.55,84.39,85.53,63.33,247.4,54.23,96.36,73.69,84.35,36.26,58.96,37.34,114.12,51.58,104.67,4.05,64.41,96.73,62.28,66.44,45.17,41.65,60.52,268.61,18.11,51.73,16.33,37.34,179.92,44.03,132.91,53.33,68.9,70.3,41.56,12.23,18.13,23.79,5.37,3.3,4.46,3.84,14.26,40.38,8.98,21.47,4.81,46.43,222.07,277.86,5.14,12.32,25.8,192.85,15.46,3.47,110.41,24.02,15.0,24.17,23.09,7.75,175.89,12.67,8.31,20.32,22.59,46.67,22.33,8.68,24.66,18.72,13.14,16.24,21.4,5.61,122.86,21.12,30.74,32.33,29.31,41.62,53.38,10.85,33.72,9.5,17.44,6.28,32.88,162.28,59.62,55.55,168.29,43.59,29.89,45.58,71.28,81.58,28.86,11.45,16.97,86.13,17.39,27.74,14.69,45.8,44.83,7.69,147.08,143.97,57.2,52.31,118.07,24.46,2.3,86.38,24.0,67.93,17.24,67.24,66.18,39.7,71.28,83.8,17.94,63.81,106.74,30.46,31.68,9.2,41.8,135.98,106.74,18.03,36.83,97.62,219.92,271.13,47.96,305.89,177.7,126.0,418.65,48.13,143.66,54.7,44.36,89.39
2023-01-11,5.83,56.17,1.91,6.44,3.95,2.63,4.66,4.97,2.92,5.91,3.38,7.62,18.16,15.5,31.19,5.99,15.23,4.47,5.85,43.07,13.81,13.65,26.13,5.36,116.5,21.61,12.94,12.36,13.94,34.35,2.65,19.19,37.69,84.75,26.34,14.4,15.77,15.71,19.55,23.72,282.86,35.81,32.97,7.48,4.66,1665.59,18.99,41.42,25.6,24.56,23.52,97.6,3.01,29.73,10.92,23.51,26.57,14.86,54.73,54.43,39.69,3.52,14.66,280.25,8.41,28.96,20.9,9.47,27.61,40.84,17.24,5.6,6.28,5.45,11.12,11.25,58.53,9.71,11.19,12.1,5.23,8.46,41.83,59.7,,23.24,19.74,64.27,10.48,7.75,7.26,22.36,13.63,3.01,6.77,11.78,13.84,4.04,6.96,10.81,1.97,41.59,4.69,3.38,27.32,6.27,5.82,4.86,3.08,4.33,20.81,16.42,25.45,2.98,34.56,28.23,3.83,4.36,6.48,10.47,44.37,11.29,13.09,3.51,4.47,14.25,128.94,7.12,15.46,4.54,2.39,11.36,3.37,35.55,2.21,4.93,28.94,9.54,8.27,224.4,7.21,10.06,6.24,2.09,5.47,4.06,5.25,2.25,3.45,37.57,3.65,21.38,43.65,84.42,83.87,62.29,242.51,53.98,95.6,72.23,82.36,35.5,58.62,36.08,117.28,51.92,105.39,4.09,60.56,95.52,62.55,66.36,44.91,40.93,59.26,263.8,17.83,50.53,15.65,36.83,175.16,44.0,132.7,52.3,65.9,68.9,41.18,12.46,18.32,24.59,5.4,3.28,4.49,3.83,14.38,41.38,8.93,21.27,4.8,46.27,220.07,275.81,5.11,12.02,26.11,189.51,15.43,3.48,109.4,23.84,14.22,24.21,22.95,7.58,174.75,12.75,8.27,20.0,22.88,46.04,22.03,9.19,24.25,18.33,13.85,16.22,21.01,5.48,121.58,21.77,30.31,31.61,30.5,40.57,52.97,10.79,32.8,9.34,17.04,6.12,33.32,160.49,58.62,55.11,167.1,42.69,29.44,44.18,69.96,79.94,28.57,11.41,16.51,86.93,17.32,27.96,14.55,45.27,44.98,7.68,148.88,144.85,57.1,51.7,115.45,24.4,2.3,81.35,23.86,67.8,17.17,67.67,63.96,39.2,71.0,83.83,17.73,63.6,106.96,30.33,30.99,9.07,40.59,125.49,103.51,18.27,36.55,95.06,217.62,265.66,48.9,302.52,173.12,122.84,417.55,47.41,139.82,55.16,43.92,89.83
2023-01-12,5.8,56.1,1.9,6.37,3.9,2.6,4.65,5.02,2.93,5.88,3.41,7.71,18.28,15.53,31.32,6.08,14.84,4.62,5.93,43.05,13.88,13.6,26.12,5.38,112.98,21.6,12.9,12.27,13.73,33.9,2.65,19.4,37.03,85.48,26.38,14.3,15.7,15.82,20.03,24.09,285.36,35.91,32.83,7.42,4.67,1654.64,18.79,41.52,25.73,24.06,23.62,95.58,2.95,30.15,11.2,23.17,26.63,14.97,54.98,54.4,39.6,3.53,14.86,283.55,8.48,29.48,21.24,9.71,27.39,40.97,17.1,5.64,6.32,5.51,11.15,11.51,60.19,10.13,11.13,12.19,5.22,8.59,42.82,60.59,,23.46,19.72,63.87,10.57,7.69,7.22,21.68,13.7,2.99,6.68,11.84,13.87,4.03,7.03,10.8,1.98,41.8,4.68,3.38,27.13,6.3,6.0,4.8,3.07,4.33,21.11,16.32,25.47,2.98,34.69,28.52,3.86,4.32,6.51,10.5,44.56,11.48,13.53,3.56,4.42,14.56,129.24,7.03,15.66,4.58,2.4,11.16,3.44,34.96,2.2,5.07,29.43,9.61,8.33,220.82,7.09,9.99,6.26,2.08,5.38,4.03,5.26,2.25,3.45,38.92,3.68,21.44,43.02,85.78,83.68,62.37,245.26,53.25,94.56,71.94,82.61,35.69,61.08,36.2,118.2,51.02,104.62,4.14,59.44,93.28,62.25,65.84,43.94,40.15,58.76,267.05,17.67,52.68,15.7,36.4,171.2,44.05,126.16,51.62,65.9,69.43,40.82,12.46,17.93,24.9,5.35,3.29,4.45,3.84,14.16,41.65,9.0,21.3,4.77,46.58,219.73,275.6,5.18,12.09,25.8,188.21,15.48,3.53,106.96,23.89,14.38,23.9,23.55,7.56,174.04,12.62,8.16,19.86,23.01,45.72,22.13,9.15,24.09,18.17,13.49,16.23,20.8,5.51,119.16,21.79,30.35,32.04,30.46,40.59,53.76,10.85,32.91,9.35,17.44,6.03,33.12,160.48,57.54,54.56,164.66,43.61,29.21,45.06,71.03,80.91,28.67,10.75,16.49,89.7,17.51,28.13,14.6,46.27,44.79,7.77,155.1,145.28,56.85,51.74,117.66,24.42,2.29,83.22,23.91,69.14,17.33,67.6,65.07,38.05,69.67,82.71,17.84,64.97,108.22,30.31,30.61,9.01,42.09,128.28,103.51,18.42,36.55,95.4,220.75,267.32,49.97,299.6,171.5,123.6,410.93,50.32,135.14,59.01,43.36,88.17
2023-01-13,5.87,57.01,1.91,6.28,3.95,2.64,4.68,5.07,2.92,5.9,3.42,7.87,18.57,15.8,31.93,6.03,14.77,4.57,6.0,43.7,13.81,13.74,26.28,5.56,119.86,21.48,13.14,12.38,13.72,34.91,2.69,20.05,38.51,87.61,26.82,14.67,15.73,15.97,20.03,24.39,289.76,35.88,33.04,7.51,4.76,1707.64,18.81,41.65,25.71,24.93,23.34,100.87,2.97,29.53,11.12,23.82,26.12,15.1,55.13,56.22,39.75,3.51,14.47,292.81,8.6,29.69,20.85,9.66,27.75,41.25,17.35,5.62,6.43,5.54,11.32,11.52,59.69,10.24,11.14,12.41,5.33,8.64,42.83,61.74,,25.01,19.9,64.35,10.77,7.71,7.33,21.95,13.88,3.02,6.76,12.02,13.94,4.1,7.15,10.85,2.0,43.24,4.77,3.42,28.76,6.32,6.07,4.85,3.11,4.41,21.68,16.67,25.1,2.99,35.62,28.01,3.89,4.38,6.45,10.65,44.32,11.5,13.58,3.6,4.46,14.89,128.74,7.08,16.22,4.67,2.43,11.13,3.49,34.11,2.21,5.07,29.24,9.85,8.47,224.3,7.11,10.12,6.39,2.1,5.45,4.06,5.27,2.29,3.46,39.06,3.71,21.51,44.42,85.86,83.16,65.13,242.6,54.59,97.14,79.39,83.23,36.96,60.88,36.02,123.89,52.79,106.72,4.1,57.9,98.95,60.32,66.44,44.54,40.06,59.23,264.75,17.8,51.04,15.93,36.64,173.22,43.84,128.72,52.19,66.61,69.69,41.3,12.74,18.11,24.73,5.45,3.29,4.58,3.89,14.05,42.83,9.18,21.59,4.93,48.17,227.37,277.35,5.35,12.19,26.13,193.91,15.5,3.56,105.58,23.96,15.17,25.86,23.45,7.57,179.23,12.75,8.29,20.5,23.32,47.12,22.17,9.11,24.79,18.01,13.47,16.39,21.27,5.74,116.92,22.55,31.12,31.76,30.77,40.38,52.1,10.75,32.86,9.48,17.23,6.19,34.9,168.16,60.52,56.83,165.78,43.76,30.19,45.61,71.44,81.29,28.45,10.96,16.54,90.12,17.66,27.98,14.44,47.45,45.94,7.84,149.39,146.58,57.0,52.1,117.19,24.68,2.31,82.37,25.38,69.93,17.87,68.41,67.29,39.08,69.68,82.66,17.63,64.5,114.44,29.91,31.1,9.08,41.84,129.26,102.36,19.16,37.49,95.49,224.08,262.54,49.77,308.62,169.9,124.35,425.63,49.76,135.26,60.52,45.13,87.5
2023-01-16,5.86,62.01,1.93,6.19,3.93,2.66,4.72,5.21,2.92,5.93,3.44,7.7,19.36,15.8,32.74,6.14,14.9,4.53,6.12,44.71,13.97,13.92,26.61,5.48,120.4,22.71,13.14,12.68,13.78,35.88,2.7,19.82,42.37,89.74,27.16,15.4,15.65,16.22,20.28,24.56,304.42,37.06,33.86,7.5,4.86,1733.54,19.03,43.44,25.94,25.33,23.82,101.44,3.02,30.9,11.17,24.65,26.34,15.17,56.78,55.43,40.22,3.47,14.17,298.15,8.87,29.61,20.42,9.56,28.56,42.16,17.39,5.64,6.7,5.46,11.17,11.51,58.05,10.21,11.46,12.85,5.32,8.45,43.43,59.9,,25.61,19.54,63.61,10.63,7.77,7.4,21.57,13.88,3.02,6.84,12.37,13.83,4.13,7.38,10.93,1.97,42.98,4.71,3.39,28.22,6.45,6.32,4.95,3.11,4.46,21.96,16.87,25.19,3.02,35.0,28.24,3.82,4.39,6.49,11.15,43.0,12.04,13.33,3.51,4.48,15.42,126.81,7.35,16.3,4.68,2.41,11.01,3.51,34.52,2.23,5.13,31.04,10.12,8.67,228.6,7.03,10.08,6.53,2.12,5.52,4.04,5.28,2.27,3.51,39.48,3.67,22.15,44.52,93.04,85.74,67.44,243.26,56.42,99.9,86.52,90.11,35.73,61.03,36.72,127.16,52.78,113.31,4.1,57.97,100.65,60.32,69.47,48.44,41.05,64.28,275.23,18.24,53.2,15.23,37.78,185.12,45.05,133.21,54.42,70.35,68.39,41.92,12.87,18.03,25.1,5.4,3.41,4.67,3.97,14.49,44.58,9.22,21.66,4.99,48.68,235.07,283.1,5.31,12.11,27.16,204.36,15.72,3.67,107.52,24.31,16.47,25.66,23.99,7.7,187.17,13.0,8.53,20.91,23.45,46.54,22.72,9.21,24.49,18.62,13.63,16.63,21.35,5.79,118.41,23.17,30.54,32.2,31.0,40.23,51.03,10.8,34.78,10.14,17.72,6.2,35.28,171.76,61.3,57.54,172.36,44.67,31.22,45.62,72.23,82.87,28.99,11.72,16.34,88.53,17.7,27.71,14.75,45.31,46.54,8.06,149.68,161.83,57.96,52.87,118.53,24.94,2.32,81.7,25.26,74.16,18.51,69.68,65.54,40.64,75.03,83.56,17.91,64.99,119.56,30.95,31.26,9.62,42.1,135.01,103.8,20.1,37.12,101.34,228.04,270.03,53.12,319.68,168.01,134.06,436.29,49.81,143.26,60.54,45.84,89.4
