Date,600000.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600023.SS,600025.SS,600026.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600039.SS,600048.SS,600050.SS,600061.SS,600066.SS,600085.SS,600089.SS,600104.SS,600111.SS,600115.SS,600150.SS,600160.SS,600161.SS,600176.SS,600183.SS,600188.SS,600196.SS,600219.SS,600233.SS,600276.SS,600309.SS,600332.SS,600346.SS,600362.SS,600372.SS,600377.SS,600406.SS,600415.SS,600426.SS,600436.SS,600438.SS,600460.SS,600482.SS,600489.SS,600515.SS,600519.SS,600547.SS,600570.SS,600584.SS,600585.SS,600588.SS,600600.SS,600660.SS,600674.SS,600690.SS,600741.SS,600745.SS,600760.SS,600795.SS,600803.SS,600809.SS,600837.SS,600845.SS,600875.SS,600886.SS,600887.SS,600893.SS,600900.SS,600905.SS,600918.SS,600919.SS,600926.SS,600938.SS,600941.SS,600958.SS,600989.SS,600999.SS,601006.SS,601009.SS,601012.SS,601021.SS,601059.SS,601066.SS,601088.SS,601100.SS,601111.SS,601117.SS,601127.SS,601136.SS,601138.SS,601166.SS,601169.SS,601186.SS,601211.SS,601225.SS,601229.SS,601236.SS,601238.SS,601728.SS,601766.SS,601788.SS,601799.SS,601800.SS,601808.SS,601816.SS,601818.SS,601838.SS,601857.SS,601865.SS,601868.SS,601872.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601916.SS,601919.SS,601939.SS,601985.SS,601988.SS,601989.SS,601995.SS,601998.SS,603019.SS,603195.SS,603259.SS,603260.SS,603288.SS,603296.SS,603369.SS,603392.SS,603501.SS,603659.SS,603799.SS,603806.SS,603833.SS,603986.SS,603993.SS,605117.SS,605499.SS,688008.SS,688009.SS,688012.SS,688036.SS,688041.SS,688082.SS,688111.SS,688126.SS,688169.SS,688187.SS,688223.SS,688256.SS,688271.SS,688303.SS,688396.SS,688472.SS,688506.SS,688599.SS,688981.SS,000001.SZ,000002.SZ,000063.SZ,000100.SZ,000157.SZ,000166.SZ,000301.SZ,000333.SZ,000338.SZ,000408.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000617.SZ,000625.SZ,000630.SZ,000651.SZ,000661.SZ,000708.SZ,000725.SZ,000768.SZ,000776.SZ,000786.SZ,000792.SZ,000800.SZ,000807.SZ,000858.SZ,000876.SZ,000895.SZ,000938.SZ,000963.SZ,000975.SZ,000977.SZ,000983.SZ,000999.SZ,001289.SZ,001965.SZ,001979.SZ,002001.SZ,002007.SZ,002027.SZ,002028.SZ,002049.SZ,002050.SZ,002074.SZ,002129.SZ,002142.SZ,002179.SZ,002180.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002415.SZ,002422.SZ,002459.SZ,002460.SZ,002463.SZ,002466.SZ,002475.SZ,002493.SZ,002555.SZ,002594.SZ,002601.SZ,002648.SZ,002709.SZ,002714.SZ,002736.SZ,002812.SZ,002916.SZ,002920.SZ,002938.SZ,003816.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300274.SZ,300308.SZ,300316.SZ,300347.SZ,300394.SZ,300408.SZ,300413.SZ,300418.SZ,300433.SZ,300442.SZ,300450.SZ,300498.SZ,300502.SZ,300628.SZ,300661.SZ,300750.SZ,300759.SZ,300760.SZ,300782.SZ,300832.SZ,300896.SZ,300979.SZ,300999.SZ,301269.SZ
2024-01-02,97.55,88.13,11.25,31.89,27.19,118.51,7.22,14.5,8.55,9.7,20.19,9.74,17.05,9.62,110.19,641.88,145.45,87.18,228.17,8.09,60.38,535.78,476.43,838.9,148.93,378.49,5.41,97.08,160.03,434.43,159.3,163.12,88.14,292.23,21.59,55.97,2679.06,2247.57,44.23,140.16,28.5,39.26,23.12,970.01,279.21,298.28,1346.73,273.17,322.92,50.71,120.77,12.08,10530.13,469.3,1154.38,143.02,110.51,824.98,96.38,1679.81,282.38,649.41,778.8,96.19,425.96,1178.12,117.35,996.75,236.12,506.53,43.85,585.5,2014.21,120.31,55.85,4.51,6.98,9.8,23.36,23.75,106.92,10.49,16.23,26.45,14.09,43.03,437.35,102.69,17.67,24.64,51.05,180.88,8.36,7.85,74.01,17.39,15.83,72.4,18.64,10.1,18.71,27.0,19.95,8.05,15.63,5.88,7.21,18.94,139.36,9.95,17.69,5.04,4.99,14.09,11.0,26.56,2.14,9.22,38.0,11.05,13.06,174.29,12.31,21.14,8.17,3.29,19.58,11.32,8.68,7.23,7.08,37.97,9.07,156.92,151.8,170.9,77.56,306.24,78.51,126.15,222.06,140.29,85.55,78.02,106.73,103.83,508.4,17.83,204.62,187.36,58.82,5.13,146.25,141.41,72.4,102.17,305.76,17.26,553.5,37.16,8.82,134.9,139.85,33.36,44.19,12.64,142.0,28.83,52.96,1624.88,1895.37,393.2,14.23,458.75,6.74,18.57,252.52,260.26,194.94,230.34,1243.97,3967.2,666.26,41.99,190.49,112.98,4680.22,1266.4,51.05,20.38,199.85,89.27,255.66,113.39,23.49,65.16,2158.06,168.21,484.03,129.32,450.86,108.95,229.18,92.43,98.66,20.25,11.74,13.31,617.83,850.08,89.58,923.45,379.83,344.59,88.82,80.06,38.31,544.3,104.56,595.76,794.86,472.19,176.17,615.02,451.3,291.98,125.52,1130.0,704.56,193.37,52.25,553.42,61.71,472.87,1130.2,149.42,242.61,195.0,171.44,174.29,343.59,756.67,10.91,192.48,125.62,125.2,24.87,3.53,707.64,940.66,1314.12,1093.93,370.81,1388.7,559.15,505.49,378.6,663.58,415.11,125.32,43.55,145.95,77.67,46.04,510.14,41.8,399.04,542.4,645.99,286.07,65.07,310.76,696.42,153.49,530.42,56.49,33.1,105.15
2024-01-03,97.9,88.06,11.32,32.75,27.4,118.51,7.31,14.65,8.71,9.77,20.52,9.97,17.2,9.62,110.7,636.91,146.19,87.86,227.85,8.14,60.54,545.94,476.84,847.94,149.39,377.21,5.39,98.44,160.49,435.93,158.9,160.4,90.0,293.32,21.85,55.73,2664.94,2244.56,44.73,140.33,28.49,39.07,23.5,982.03,278.87,298.87,1339.56,275.1,319.95,50.76,120.42,12.08,10580.72,466.55,1117.26,135.53,110.87,819.8,96.3,1691.3,284.72,648.62,776.65,94.69,422.58,1197.91,117.28,993.65,236.31,499.06,43.98,588.53,2001.48,119.44,55.99,4.56,6.99,9.82,23.3,23.92,106.09,10.47,16.39,26.52,14.13,43.11,441.01,104.19,17.63,24.58,51.65,183.06,8.32,7.92,73.55,17.24,15.51,71.91,18.71,10.15,18.8,27.15,20.02,8.09,15.53,5.9,7.23,19.01,135.86,10.05,17.76,5.04,5.02,14.13,11.14,26.76,2.15,9.58,37.88,11.02,13.24,173.95,12.46,21.2,8.15,3.31,19.66,11.39,8.95,7.27,7.1,37.94,9.17,154.21,152.53,169.96,77.59,304.98,75.45,126.85,215.66,134.8,85.34,78.31,108.36,103.77,486.89,17.71,205.78,190.0,57.76,5.14,145.64,144.31,72.71,101.71,269.33,17.28,560.49,37.1,8.77,127.96,143.13,33.72,44.21,12.59,138.99,28.92,52.48,1623.37,1893.39,389.41,14.21,460.66,6.75,18.67,252.11,262.26,196.41,231.42,1248.2,3921.48,646.49,42.44,185.78,111.42,4659.04,1258.36,51.55,20.29,197.1,89.13,256.64,113.5,23.39,63.45,2142.52,167.29,484.26,127.28,451.68,110.2,223.27,95.15,98.88,20.32,11.78,13.28,617.25,854.65,90.53,924.8,369.74,324.76,88.82,79.44,37.93,531.48,99.35,572.26,787.26,457.07,179.48,616.55,450.12,283.43,124.29,1130.84,691.78,191.51,51.82,554.55,60.59,472.02,1087.37,150.09,246.61,195.57,172.42,177.15,345.36,749.31,10.97,192.52,122.89,120.24,24.5,3.6,708.84,931.08,1311.72,1086.9,365.71,1362.86,557.66,480.0,378.26,651.23,406.83,121.72,44.43,141.05,76.59,45.91,509.38,41.33,387.11,537.7,614.7,284.22,64.42,307.09,675.69,151.86,529.56,55.32,33.1,103.55
2024-01-04,97.72,86.94,11.19,32.98,27.49,118.51,7.32,14.67,8.73,9.76,20.5,10.0,17.17,9.42,109.87,631.55,146.34,87.76,223.74,8.07,59.56,538.57,478.87,845.12,148.93,369.47,5.29,97.08,161.78,426.91,156.64,158.42,91.83,293.12,21.72,55.54,2639.05,2234.77,44.71,140.25,28.57,38.81,23.77,981.23,277.13,298.28,1315.79,269.95,313.44,50.26,120.07,11.91,10440.03,467.53,1067.5,131.17,110.54,803.84,94.79,1694.43,283.79,649.67,772.66,94.02,415.43,1193.51,117.98,978.26,234.45,499.06,43.98,586.26,1996.03,118.1,56.06,4.52,6.92,9.82,23.18,24.16,107.38,10.51,16.13,26.32,14.19,43.11,433.12,103.53,17.43,24.32,52.1,177.56,8.09,7.85,70.18,17.28,15.1,71.72,18.79,10.11,18.73,27.68,20.09,7.95,15.37,5.85,7.2,18.92,134.75,9.99,17.78,4.96,5.03,14.02,11.29,26.98,2.14,9.76,37.62,10.87,13.11,170.29,12.69,21.17,8.05,3.33,19.87,11.44,8.97,7.37,7.08,37.51,9.24,156.25,151.21,167.74,76.01,295.79,74.99,123.18,215.09,133.77,84.09,76.08,109.21,102.49,460.77,17.56,201.72,187.46,57.09,5.09,145.1,141.47,74.94,100.58,274.08,16.77,535.01,36.56,8.63,127.6,146.01,33.2,43.68,12.44,136.82,28.47,51.88,1609.82,1873.57,383.93,13.99,460.18,6.7,18.52,255.11,263.94,201.6,228.54,1243.16,3808.67,630.45,42.06,180.55,111.73,4672.85,1265.44,51.44,20.06,192.72,88.81,259.23,112.11,23.29,62.55,2106.99,165.43,484.81,125.24,433.8,110.86,218.36,95.22,97.61,19.89,11.79,13.13,614.94,849.73,89.82,925.97,358.91,329.66,87.1,77.01,37.21,532.16,98.63,551.87,775.66,448.87,180.36,604.92,438.36,279.55,122.67,1111.05,683.14,188.69,50.65,541.45,60.24,457.96,1081.81,149.82,243.48,195.42,171.93,175.61,335.98,747.42,10.84,187.11,120.07,117.1,23.95,3.62,686.3,913.13,1298.92,1067.4,360.07,1349.94,541.4,475.51,364.45,632.41,402.96,121.6,43.62,137.44,75.41,45.39,502.86,41.05,395.83,529.8,585.56,275.94,63.49,303.1,666.82,149.66,513.07,55.3,32.52,102.61
2024-01-05,98.24,86.43,11.12,32.8,27.78,119.4,7.34,14.7,8.75,9.7,20.18,10.0,17.05,9.36,108.89,628.49,148.21,87.86,224.05,8.02,59.24,535.01,469.92,841.73,148.48,364.13,5.26,96.23,164.64,422.13,155.05,156.44,92.25,289.17,21.53,55.14,2530.77,2235.78,44.32,139.27,28.37,37.58,23.9,973.61,273.32,296.01,1313.03,267.19,307.08,49.62,118.33,11.81,10408.29,466.55,1061.97,129.48,110.93,785.73,94.09,1701.74,281.44,665.72,777.57,91.58,402.71,1191.31,118.62,968.43,233.34,497.44,42.94,586.26,2005.12,114.06,55.96,4.49,6.9,9.95,23.89,24.01,106.44,10.39,16.0,26.3,14.18,43.4,425.42,104.13,17.05,24.1,52.12,176.78,8.01,7.83,70.8,17.08,14.93,72.33,18.88,10.17,18.73,27.77,20.19,7.83,15.33,5.85,7.17,18.77,133.6,10.08,17.7,4.91,5.07,14.32,11.35,26.28,2.14,9.76,37.38,10.79,13.02,167.13,12.76,21.11,7.99,3.35,19.79,11.42,8.93,7.35,7.0,37.1,9.53,149.55,149.78,165.27,74.15,289.41,74.3,122.53,230.86,133.08,81.49,74.83,106.05,103.41,451.99,17.77,197.84,185.45,56.86,5.08,144.4,139.91,71.77,99.17,272.28,16.8,544.75,35.84,8.51,125.1,139.93,33.05,43.42,12.21,128.35,27.6,50.58,1633.91,1879.52,378.45,14.12,458.27,6.74,18.33,256.42,264.41,199.87,227.1,1233.89,3770.4,633.86,42.25,176.37,111.11,4767.67,1217.38,51.03,20.01,186.63,88.85,265.28,111.55,23.06,62.74,2092.0,162.65,485.59,121.75,410.77,109.34,210.61,95.02,95.82,19.81,11.68,13.03,613.2,834.59,90.17,927.81,354.54,329.09,86.67,74.95,37.93,514.62,97.31,542.06,755.66,451.24,179.92,592.68,436.05,279.25,122.64,1101.13,680.44,183.11,49.32,557.32,57.79,460.84,1081.81,149.69,238.83,195.08,169.69,176.6,326.18,738.51,10.8,184.05,119.33,116.19,23.4,3.61,684.42,892.18,1267.72,1053.36,351.07,1340.25,525.13,457.5,352.01,625.33,389.24,120.76,42.17,132.65,74.27,44.52,496.72,41.11,372.29,519.72,587.71,275.4,63.0,300.98,662.73,145.86,504.14,55.05,32.01,100.96
2024-01-08,97.47,85.13,10.99,33.06,27.75,118.51,7.33,14.67,8.68,9.61,20.46,10.09,16.97,9.24,107.18,622.36,147.59,87.57,222.31,7.92,58.25,568.81,467.15,843.42,147.22,357.13,5.18,96.02,165.1,411.87,152.93,153.22,90.96,285.81,21.33,53.64,2481.35,2196.4,43.91,137.95,28.41,37.02,23.82,962.79,268.11,289.6,1295.93,266.82,300.29,48.0,116.13,11.45,10299.28,456.36,1029.58,125.51,110.78,754.24,92.47,1713.23,281.13,659.93,775.73,89.7,388.6,1178.12,118.69,961.06,231.48,489.56,42.63,585.12,2006.94,112.16,55.71,4.43,6.78,9.95,23.55,24.0,106.58,10.21,16.0,25.81,14.2,43.11,426.0,102.41,16.86,23.65,52.32,174.17,7.88,7.7,68.05,16.86,14.71,71.98,18.88,10.0,18.52,27.9,20.12,7.65,15.09,5.86,7.13,18.38,131.24,9.79,17.62,4.82,5.06,14.3,11.33,25.81,2.12,9.8,36.95,10.59,12.76,163.89,12.72,20.85,7.85,3.34,19.72,11.43,8.93,7.33,6.94,34.96,9.4,143.94,147.51,163.75,74.65,286.15,74.39,120.73,249.76,128.56,79.98,72.82,104.97,99.59,440.52,17.92,207.49,182.54,55.8,4.98,137.93,139.79,68.45,96.24,262.73,15.98,523.76,34.85,8.46,122.09,138.3,32.58,41.45,12.35,125.26,27.6,49.5,1615.84,1862.67,362.31,14.29,455.88,6.59,18.2,254.17,261.79,200.4,225.3,1223.42,3711.17,636.61,41.35,175.32,110.8,4760.31,1198.33,50.56,20.43,180.63,88.07,261.9,109.71,22.79,62.13,2048.42,155.39,484.92,117.73,399.15,107.5,206.47,94.31,95.28,19.36,11.65,12.87,603.35,821.57,91.35,926.3,343.2,318.49,84.91,73.82,37.12,499.5,94.69,530.05,750.06,442.82,173.31,587.48,430.4,270.94,122.82,1063.92,666.94,181.37,50.01,566.02,56.22,457.88,1043.55,146.85,235.81,191.8,167.94,172.87,317.75,715.03,10.62,179.36,116.24,113.86,22.86,3.65,678.62,901.16,1310.92,1036.97,347.47,1314.41,526.43,451.92,343.77,611.78,387.08,113.84,41.12,136.34,71.79,43.41,486.56,40.55,366.03,506.62,562.13,273.78,61.27,296.39,636.49,147.0,525.24,55.05,31.36,99.94
2024-01-09,97.64,86.38,10.99,33.32,27.75,119.22,7.4,14.65,8.7,9.48,19.83,10.04,16.99,9.56,107.36,620.83,147.74,87.28,223.26,7.72,58.66,572.63,465.12,851.9,147.79,360.44,5.26,94.93,160.49,417.48,153.59,155.49,92.88,284.92,21.72,54.11,2486.64,2163.54,43.82,138.39,28.89,36.68,23.97,959.18,269.5,290.88,1267.8,272.34,301.7,48.87,114.74,11.59,10282.45,457.54,1028.4,124.89,110.78,734.83,92.8,1696.17,278.63,665.72,781.25,90.06,389.1,1178.12,119.53,950.28,230.0,484.71,42.48,582.85,2016.63,111.6,55.61,4.44,6.79,10.0,23.65,23.93,106.05,10.04,15.95,25.8,14.22,43.4,438.12,106.45,16.49,23.44,52.72,180.07,8.07,7.73,66.72,16.67,14.82,71.91,18.93,10.03,18.37,28.06,20.26,7.6,15.14,5.8,7.18,18.28,133.06,9.82,17.75,4.88,5.05,14.49,11.32,25.88,2.11,9.51,36.99,10.64,12.71,173.53,12.86,21.05,7.85,3.34,19.4,11.43,9.0,7.33,6.86,34.62,9.43,142.33,146.43,163.6,74.86,286.89,74.23,120.65,234.56,129.49,81.45,73.32,107.8,100.41,441.01,18.01,206.26,176.0,57.75,5.03,136.56,137.96,69.21,94.37,258.7,16.1,530.72,35.56,8.57,119.02,140.99,33.27,41.56,12.83,128.24,28.23,48.45,1620.36,1868.62,367.5,14.29,457.31,6.56,18.13,254.81,263.64,201.27,225.3,1226.44,3703.92,629.86,41.54,175.53,113.29,4814.62,1204.01,50.56,19.97,179.08,87.89,262.61,109.83,22.9,62.36,2044.39,158.01,483.92,118.39,395.25,107.1,206.62,94.96,96.8,19.49,11.81,13.0,615.51,816.29,90.17,921.27,344.34,320.88,85.25,76.76,37.78,481.15,94.91,531.99,737.26,441.74,175.51,592.07,431.51,271.5,124.8,1072.81,657.4,179.27,51.11,573.7,58.88,471.09,1047.8,146.72,233.65,195.26,168.36,170.89,320.74,707.84,10.64,180.24,116.44,115.74,22.71,3.69,678.62,899.36,1239.64,1039.32,344.89,1335.73,537.19,463.35,347.2,620.53,394.82,114.16,40.4,137.91,72.87,43.08,489.25,40.52,377.31,516.7,558.35,271.44,61.06,299.05,637.32,146.44,553.7,56.4,31.25,99.67
2024-01-10,97.3,86.43,11.06,33.4,27.69,118.51,7.44,14.53,8.76,9.44,19.6,10.13,16.85,9.56,107.36,621.6,147.27,86.99,222.47,7.59,58.58,588.64,450.06,853.03,147.79,361.36,5.24,95.15,158.09,417.21,153.33,152.92,91.56,285.61,21.46,54.86,2504.29,2180.59,43.86,138.83,28.58,36.29,24.05,951.17,276.79,291.67,1241.98,275.1,300.43,49.03,113.58,11.55,10285.27,461.07,1016.55,124.06,110.69,722.75,93.73,1721.58,278.16,667.83,780.64,88.63,385.62,1178.12,119.95,959.29,228.89,482.49,42.68,582.09,2032.39,110.39,55.26,4.43,6.81,9.99,23.67,23.57,104.72,10.06,15.97,25.73,14.18,43.4,437.93,105.85,16.31,23.2,52.52,183.9,8.02,7.64,69.16,16.48,14.54,71.68,18.93,10.0,18.25,28.05,20.21,7.6,15.14,5.7,7.16,18.17,131.25,9.76,17.64,4.89,5.04,14.5,11.27,27.72,2.1,9.5,37.23,10.55,12.55,176.49,12.78,20.82,7.75,3.31,18.93,11.35,8.98,7.26,6.84,34.56,9.43,138.06,146.58,164.12,75.0,288.45,70.73,121.98,220.78,127.56,81.85,73.69,111.14,100.51,434.86,17.83,226.37,179.71,56.14,5.03,137.14,137.0,68.03,95.77,253.43,16.12,542.99,35.45,8.6,118.45,137.05,33.27,41.08,13.35,127.67,28.68,47.47,1606.81,1854.74,367.92,14.1,456.83,6.55,18.3,255.0,262.56,201.33,225.66,1218.38,3718.22,629.49,41.03,171.35,111.73,4831.19,1201.04,50.1,19.69,177.19,87.52,265.46,110.1,22.79,61.27,2058.13,158.17,487.58,117.47,398.53,106.44,206.77,94.37,94.62,19.31,11.69,13.0,616.38,807.14,89.23,926.14,340.99,316.78,84.67,78.25,37.83,470.9,93.6,522.18,730.86,427.7,170.66,589.93,431.17,270.94,125.04,1066.82,643.0,180.17,51.72,568.54,57.47,473.04,1039.95,146.45,227.82,192.69,168.57,168.26,326.05,674.94,10.63,180.0,115.55,118.48,22.23,3.69,679.99,922.7,1208.44,1029.95,326.23,1281.47,559.41,457.37,353.98,623.89,384.65,113.6,39.33,132.65,71.63,42.2,493.46,40.22,369.57,511.32,550.78,274.96,60.19,294.86,627.63,143.65,583.38,55.52,31.86,99.55
2024-01-11,96.95,86.94,11.12,32.85,27.49,117.81,7.46,14.43,8.66,9.31,19.76,9.91,16.62,9.65,108.01,631.55,148.56,86.79,223.1,7.64,58.91,594.48,445.59,851.33,148.71,365.6,5.28,96.47,157.36,406.27,154.26,154.83,90.45,287.88,21.4,54.94,2503.12,2142.47,43.85,136.1,28.57,36.76,23.85,929.93,281.29,286.35,1263.82,278.69,304.96,50.97,112.42,11.49,10313.8,451.66,1029.58,125.95,110.45,718.44,96.86,1724.36,273.15,667.3,789.84,90.32,392.97,1160.52,122.34,958.34,230.0,481.88,42.74,573.38,2034.21,110.57,54.98,4.46,6.85,10.03,23.87,23.37,103.55,10.2,15.65,25.74,14.11,43.28,440.43,105.51,16.79,23.24,51.92,183.87,8.09,7.65,69.21,16.64,14.78,71.85,18.84,9.99,18.27,27.8,20.21,7.68,15.37,5.62,7.15,18.3,135.29,9.67,17.49,4.87,5.03,14.51,11.09,28.06,2.11,9.64,37.47,10.61,12.73,177.23,12.63,20.61,7.86,3.31,18.86,11.26,8.88,7.2,6.96,34.36,9.35,142.14,145.44,173.84,75.81,288.75,71.31,122.3,217.62,128.82,84.13,75.54,111.57,101.23,441.89,17.83,238.52,177.36,58.18,5.04,137.7,141.85,68.84,96.64,259.03,16.13,563.36,36.4,8.8,120.39,136.7,33.59,41.44,13.95,126.7,29.09,47.6,1618.86,1856.72,372.56,14.26,457.31,6.56,18.31,254.17,263.64,202.0,225.3,1218.78,3743.4,634.2,41.03,175.01,111.42,4823.83,1161.37,49.28,19.88,179.6,88.07,265.46,111.83,23.02,60.8,2069.51,160.95,484.37,122.01,404.6,104.99,215.14,92.95,94.16,19.3,11.58,12.93,610.88,802.57,89.58,916.07,349.04,315.53,88.96,80.16,38.22,469.55,96.14,540.51,748.46,436.99,169.78,599.11,431.44,269.53,126.27,1093.96,652.18,179.75,51.56,589.33,57.53,510.13,1042.57,144.69,233.33,199.18,169.2,168.37,343.32,678.19,10.73,190.14,116.28,118.6,23.03,3.68,715.84,922.1,1256.12,1044.78,322.57,1268.77,568.87,472.74,353.46,640.32,397.16,111.24,40.15,141.56,73.35,43.5,508.23,40.92,382.08,516.36,552.41,282.45,63.04,297.49,634.58,143.82,592.54,55.54,32.09,101.32
2024-01-12,96.7,87.13,11.12,33.06,27.6,118.16,7.53,14.39,8.75,9.43,20.51,9.97,16.64,9.78,107.64,625.04,149.18,87.47,223.58,7.61,58.66,586.1,440.54,860.93,148.36,361.55,5.34,96.56,156.8,407.77,154.39,152.41,90.81,284.32,21.4,55.1,2480.76,2126.41,43.33,133.1,28.54,36.57,24.1,924.72,277.48,286.84,1244.63,285.68,299.86,50.26,112.65,11.36,10294.04,455.58,1020.5,124.6,110.63,680.48,96.64,1725.76,277.53,667.04,794.75,86.56,392.37,1167.12,123.68,952.26,228.14,475.62,43.09,581.33,2043.3,108.86,55.59,4.5,6.81,10.09,24.02,23.44,103.49,10.11,15.93,25.42,14.17,43.64,435.62,108.33,16.62,22.84,52.29,184.05,8.18,7.66,67.26,16.43,14.49,71.94,18.96,10.02,18.31,28.15,20.28,7.59,15.32,5.62,7.24,18.12,141.86,9.7,17.69,4.9,5.06,14.69,11.09,28.09,2.11,9.75,37.64,10.5,12.46,174.71,12.76,20.7,7.71,3.34,19.11,11.32,8.97,7.25,7.05,33.86,9.43,137.98,143.78,174.0,76.16,286.38,68.45,119.5,211.12,128.67,85.38,74.66,117.43,101.31,434.97,17.92,229.95,176.9,56.79,5.11,134.86,141.46,65.45,96.37,259.66,15.85,572.78,37.18,8.82,117.15,132.0,34.06,40.86,13.91,125.8,29.09,45.83,1621.87,1850.78,364.55,14.18,456.83,6.56,18.67,254.17,268.86,204.6,227.1,1216.76,3697.48,639.43,40.9,173.02,112.05,4826.59,1087.88,49.47,19.69,179.25,87.93,267.24,111.83,22.88,61.84,2057.44,161.41,487.8,119.84,408.4,106.24,210.76,93.21,94.11,19.3,11.67,12.9,607.69,788.84,87.7,944.42,342.58,312.33,88.67,79.13,38.22,473.33,97.77,532.37,754.86,419.27,166.7,599.72,424.15,277.03,124.47,1091.16,644.44,177.05,51.41,576.22,56.73,495.98,1019.68,141.32,227.39,198.27,168.15,168.92,343.18,691.73,10.7,187.42,114.19,115.95,22.66,3.76,706.11,908.34,1232.12,1027.61,317.59,1250.9,575.29,459.91,352.86,628.81,383.39,111.32,39.25,135.79,71.84,42.72,503.05,41.43,368.09,508.8,536.62,282.11,62.17,294.29,632.19,145.44,571.98,57.27,32.07,97.56
2024-01-15,96.78,89.33,11.12,33.48,27.72,118.16,7.58,14.35,8.86,9.53,21.87,10.19,16.72,9.84,107.45,623.51,150.07,87.57,221.68,7.69,58.58,590.42,445.34,860.93,148.36,356.39,5.35,95.96,154.41,407.09,154.39,159.6,91.23,280.96,21.4,55.06,2504.88,2100.58,43.41,130.45,28.59,35.53,24.22,931.13,279.91,282.2,1241.48,282.64,304.25,50.31,113.35,11.49,10276.82,454.6,1013.0,126.58,111.44,674.01,95.48,1712.88,278.78,672.04,795.05,87.11,374.09,1167.12,125.86,919.58,227.4,473.29,42.94,576.03,2040.87,107.18,55.54,4.48,6.79,10.17,24.24,23.74,104.84,10.14,15.81,25.36,14.19,44.05,430.43,108.69,16.55,22.92,52.71,183.9,8.34,7.68,67.63,16.57,14.35,72.07,19.06,10.04,18.36,28.61,20.38,7.56,15.28,5.74,7.31,18.17,139.26,9.72,17.91,4.94,5.07,14.81,11.19,27.97,2.12,10.04,37.9,10.43,12.55,177.59,12.95,20.58,7.71,3.38,19.51,11.35,8.96,7.27,7.04,33.71,9.5,131.47,144.57,175.95,74.08,284.67,69.37,118.25,210.63,127.43,84.09,72.44,115.63,102.07,434.7,17.98,230.23,180.11,55.6,5.11,137.49,140.58,66.04,96.85,242.91,15.95,578.43,37.17,8.78,120.8,131.97,33.9,41.95,14.2,128.5,28.59,45.67,1624.88,1851.77,365.54,14.26,460.18,6.51,18.55,257.47,270.86,199.74,228.18,1226.84,3672.7,632.91,41.09,175.32,112.05,4846.84,1067.17,49.36,19.69,172.56,87.79,280.69,110.55,22.9,61.04,2056.47,159.09,491.57,119.84,398.02,106.37,210.53,93.98,95.84,19.15,11.69,12.99,612.33,782.5,87.34,954.48,339.35,312.79,88.39,77.58,38.43,465.77,96.95,528.37,755.26,426.83,165.6,589.01,419.55,270.27,124.44,1091.11,645.7,177.11,49.83,562.62,57.37,491.16,1022.3,140.64,228.68,197.01,166.75,167.6,333.94,680.08,10.68,184.05,113.02,111.72,22.67,3.74,691.6,901.16,1228.28,1018.25,308.41,1233.67,570.43,465.9,348.06,623.65,387.21,110.88,38.55,136.53,72.76,41.99,493.08,40.59,389.82,506.11,536.99,276.84,61.78,295.79,639.71,144.77,579.94,56.15,31.41,98.64
