Date,600000.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600023.SS,600025.SS,600026.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600039.SS,600048.SS,600050.SS,600061.SS,600066.SS,600085.SS,600089.SS,600104.SS,600111.SS,600115.SS,600150.SS,600160.SS,600161.SS,600176.SS,600183.SS,600188.SS,600196.SS,600219.SS,600233.SS,600276.SS,600309.SS,600346.SS,600362.SS,600372.SS,600377.SS,600406.SS,600415.SS,600426.SS,600436.SS,600438.SS,600460.SS,600482.SS,600489.SS,600515.SS,600519.SS,600522.SS,600547.SS,600570.SS,600584.SS,600585.SS,600588.SS,600600.SS,600660.SS,600674.SS,600690.SS,600741.SS,600760.SS,600795.SS,600803.SS,600809.SS,600845.SS,600875.SS,600886.SS,600887.SS,600893.SS,600900.SS,600905.SS,600918.SS,600919.SS,600926.SS,600930.SS,600938.SS,600941.SS,600958.SS,600989.SS,600999.SS,601006.SS,601009.SS,601012.SS,601018.SS,601021.SS,601058.SS,601059.SS,601066.SS,601077.SS,601088.SS,601100.SS,601111.SS,601117.SS,601127.SS,601136.SS,601138.SS,601166.SS,601169.SS,601186.SS,601211.SS,601225.SS,601229.SS,601236.SS,601238.SS,601288.SS,601298.SS,601318.SS,601319.SS,601328.SS,601336.SS,601360.SS,601377.SS,601390.SS,601398.SS,601456.SS,601600.SS,601601.SS,601607.SS,601618.SS,601628.SS,601633.SS,601658.SS,601668.SS,601669.SS,601688.SS,601689.SS,601698.SS,601728.SS,601766.SS,601788.SS,601800.SS,601808.SS,601816.SS,601818.SS,601825.SS,601838.SS,601857.SS,601868.SS,601872.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601916.SS,601919.SS,601939.SS,601985.SS,601988.SS,601995.SS,601998.SS,603019.SS,603195.SS,603259.SS,603260.SS,603288.SS,603296.SS,603369.SS,603392.SS,603501.SS,603799.SS,603893.SS,603986.SS,603993.SS,605117.SS,605499.SS,688008.SS,688009.SS,688012.SS,688036.SS,688041.SS,688047.SS,688082.SS,688111.SS,688126.SS,688169.SS,688187.SS,688223.SS,688256.SS,688271.SS,688303.SS,688396.SS,688472.SS,688506.SS,688981.SS,000001.SZ,000002.SZ,000063.SZ,000100.SZ,000157.SZ,000166.SZ,000301.SZ,000333.SZ,000338.SZ,000408.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000617.SZ,000625.SZ,000630.SZ,000651.SZ,000661.SZ,000708.SZ,000725.SZ,000768.SZ,000776.SZ,000786.SZ,000792.SZ,000807.SZ,000858.SZ,000876.SZ,000895.SZ,000938.SZ,000963.SZ,000975.SZ,000977.SZ,000983.SZ,000999.SZ,001391.SZ,001965.SZ,001979.SZ,002001.SZ,002027.SZ,002028.SZ,002049.SZ,002050.SZ,002074.SZ,002142.SZ,002179.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002384.SZ,002415.SZ,002422.SZ,002459.SZ,002460.SZ,002463.SZ,002466.SZ,002475.SZ,002493.SZ,002594.SZ,002600.SZ,002601.SZ,002625.SZ,002648.SZ,002709.SZ,002714.SZ,002736.SZ,002916.SZ,002920.SZ,002938.SZ,003816.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300251.SZ,300274.SZ,300308.SZ,300316.SZ,300347.SZ,300394.SZ,300408.SZ,300413.SZ,300418.SZ,300433.SZ,300442.SZ,300476.SZ,300498.SZ,300502.SZ,300628.SZ,300661.SZ,300750.SZ,300759.SZ,300760.SZ,300782.SZ,300803.SZ,300832.SZ,300866.SZ,300896.SZ,300979.SZ,300999.SZ,301236.SZ,301269.SZ,302132.SZ
2025-01-02,9.3,32.54,1.81,5.89,7.25,3.76,5.79,6.52,5.14,8.85,10.75,5.05,6.22,6.34,26.47,14.92,34.49,6.72,8.48,4.79,6.89,22.31,38.55,11.75,18.94,20.33,3.89,34.32,23.15,19.97,10.36,21.67,13.05,24.1,3.39,13.15,44.55,67.74,14.12,18.55,11.72,14.14,23.17,12.48,15.62,205.84,22.09,24.66,23.39,11.91,3.63,1408.42,13.13,22.65,26.12,37.98,21.79,10.17,75.15,56.55,16.28,26.98,16.38,47.52,4.08,18.89,171.92,26.97,14.6,15.62,26.96,40.12,27.26,4.18,6.25,8.64,13.42,,27.13,108.0,9.78,15.43,17.27,6.24,9.73,15.43,3.47,54.55,13.37,14.2,24.16,5.3,38.32,50.01,7.72,7.56,126.46,20.74,19.74,16.79,5.42,8.49,16.99,20.93,8.25,7.67,8.92,4.71,8.65,46.41,6.95,6.83,44.64,9.64,5.82,5.84,6.18,12.25,6.94,30.06,19.84,3.1,38.51,24.46,5.04,5.28,4.96,16.29,46.68,19.55,6.75,7.64,17.09,9.52,14.51,5.87,3.44,7.67,14.98,8.05,2.18,5.71,21.36,11.46,13.57,62.95,11.51,14.3,7.8,2.56,13.0,7.8,9.81,4.9,32.29,6.23,67.23,45.64,49.8,54.31,42.85,48.72,42.51,67.3,99.86,27.42,101.58,101.9,6.04,38.98,184.57,65.34,5.85,120.97,89.82,138.67,126.0,97.68,264.51,18.41,156.61,45.16,7.01,432.3,125.89,24.07,45.71,12.09,192.5,89.96,10.47,7.11,37.31,4.81,6.5,4.98,8.0,67.63,12.82,24.78,7.33,54.26,113.74,159.91,6.44,12.51,2.98,42.35,94.47,10.11,4.13,26.3,14.94,30.66,16.25,12.85,126.09,8.76,23.62,25.87,31.68,15.16,48.49,7.56,31.87,8.54,12.94,9.8,19.88,6.31,71.59,60.3,22.19,20.2,21.61,36.24,46.1,14.39,24.46,,75.16,45.4,37.76,277.27,29.72,27.75,28.39,13.43,33.77,37.65,32.39,38.85,8.57,89.04,7.76,16.58,42.99,17.63,18.4,35.69,9.77,89.88,103.24,33.6,3.77,43.92,12.38,185.25,23.83,25.24,55.39,8.94,69.22,120.21,29.75,54.59,44.68,36.2,25.34,37.17,20.07,49.53,39.59,15.5,56.95,34.4,59.22,245.11,24.77,241.66,84.68,61.55,63.79,89.52,170.58,73.37,31.36,55.11,111.2,66.22
2025-01-03,9.23,32.33,1.78,5.91,7.16,3.75,5.79,6.48,5.11,8.84,11.03,4.99,6.23,6.33,25.99,14.75,34.64,6.67,8.34,4.69,6.74,22.63,37.99,11.62,17.92,20.17,3.85,33.48,22.43,19.64,10.24,21.02,13.1,23.84,3.35,13.44,43.96,68.11,14.08,18.76,11.38,13.97,22.81,11.78,15.5,202.28,21.29,23.96,23.19,11.94,3.52,1395.42,13.09,23.62,25.06,36.11,21.87,10.02,73.54,55.48,16.15,26.38,16.13,45.54,4.07,18.83,171.94,26.23,14.25,15.35,26.7,39.03,27.06,4.18,6.15,8.52,13.32,,27.34,107.08,9.53,15.37,16.94,6.32,9.65,15.0,3.46,54.85,13.25,13.78,23.53,5.15,37.8,48.5,7.69,7.41,122.9,19.97,19.58,16.79,5.31,8.38,16.79,21.34,8.06,7.38,8.52,4.66,8.54,46.0,6.71,6.73,43.52,9.11,5.7,5.77,6.09,11.55,7.04,29.42,19.72,3.07,38.01,24.45,5.01,5.24,4.91,16.01,45.09,18.67,6.65,7.51,16.74,9.4,14.92,5.8,3.42,7.48,14.62,8.13,2.15,5.78,20.82,11.17,13.17,61.08,11.55,14.69,7.57,2.55,12.93,7.68,9.68,4.88,31.25,6.24,64.1,45.09,49.11,53.38,42.08,46.63,42.4,70.68,97.78,26.75,98.29,102.01,6.23,39.99,183.77,64.93,5.77,121.4,86.99,135.2,123.61,96.86,259.53,18.45,160.77,43.53,6.93,415.77,126.63,23.45,46.02,11.72,190.56,88.31,10.42,7.0,35.03,4.74,6.52,4.89,8.26,67.0,12.81,24.67,7.32,54.14,112.43,161.58,6.3,12.29,3.01,41.75,92.39,10.18,4.09,25.1,14.72,30.94,16.34,13.65,124.5,8.61,23.76,24.5,31.42,15.48,45.68,7.51,31.81,7.39,12.84,9.6,19.96,6.19,69.7,58.92,21.32,19.73,21.58,35.59,44.27,13.92,24.51,,75.66,44.69,38.13,276.3,28.22,26.98,28.12,13.07,32.75,38.0,31.63,38.87,8.62,88.92,7.57,16.58,40.43,17.66,17.73,35.42,9.52,87.6,99.54,33.07,3.71,42.81,12.15,177.7,22.7,24.77,55.03,8.42,67.14,121.11,28.84,52.64,43.33,35.59,24.54,35.47,19.71,47.49,38.08,15.36,58.24,33.93,58.35,243.96,23.98,237.47,82.21,60.52,64.58,87.28,166.72,71.53,30.89,51.89,107.71,62.64
2025-01-06,9.32,32.33,1.8,5.89,7.17,3.77,5.75,6.51,5.05,8.82,11.1,4.94,6.22,6.19,26.08,14.73,35.03,6.83,8.34,4.63,6.75,24.01,37.89,11.63,17.78,20.66,3.83,32.83,23.96,19.55,10.43,20.85,13.12,24.33,3.43,13.5,44.61,68.28,14.2,19.01,11.26,14.22,22.74,11.63,15.4,205.58,21.14,24.05,22.71,11.79,3.49,1360.42,13.13,23.54,24.86,35.41,22.02,9.95,71.05,55.61,15.93,26.46,16.1,44.95,4.07,18.54,168.14,26.31,14.31,15.09,26.44,38.07,26.95,4.17,6.16,8.56,13.46,,26.9,104.15,9.54,15.55,16.82,6.26,9.8,15.17,3.49,54.31,13.51,13.98,23.59,5.16,37.54,48.77,7.58,7.42,121.92,19.78,19.7,17.08,5.37,8.36,16.77,20.97,8.03,7.69,8.37,4.7,8.48,46.04,6.72,6.71,43.02,9.13,5.69,5.77,6.13,11.32,6.92,29.48,19.92,3.06,37.87,24.45,5.07,5.2,4.91,16.05,45.52,18.62,6.64,7.38,16.64,9.36,14.96,5.76,3.43,7.64,14.75,8.19,2.16,5.85,20.82,11.21,13.05,60.79,11.48,14.61,7.61,2.55,12.92,7.69,9.61,4.92,31.23,6.24,63.79,45.16,49.64,52.89,41.34,47.96,40.98,69.69,97.42,27.26,96.87,98.45,6.27,42.4,187.85,63.32,5.66,121.52,83.47,134.16,122.0,96.85,255.5,19.02,167.25,42.96,6.92,434.89,124.58,23.48,46.09,11.63,193.03,86.94,10.48,6.98,34.18,4.75,6.57,4.9,8.43,67.69,13.0,25.4,7.21,54.28,107.99,157.46,6.39,12.25,3.03,42.03,93.42,10.29,4.07,24.82,14.99,29.87,16.62,13.8,119.93,8.62,23.47,24.47,31.29,15.48,45.71,7.66,32.35,7.29,12.84,9.64,19.79,6.12,69.12,58.39,21.41,19.96,22.3,35.01,44.2,13.85,23.93,,74.56,45.28,38.39,277.19,29.01,26.47,27.81,13.06,33.55,38.89,32.33,38.63,8.7,89.1,7.33,16.71,39.62,17.57,17.37,35.59,9.56,86.97,98.58,32.7,3.6,43.36,12.06,174.75,22.38,25.57,54.85,8.18,68.97,123.59,28.52,52.02,44.13,35.47,24.26,35.54,19.55,46.38,38.35,15.61,58.76,33.65,57.44,243.08,24.26,239.31,80.82,58.54,63.88,90.55,166.62,71.51,30.41,51.71,104.78,60.99
2025-01-07,9.44,32.24,1.83,5.86,7.18,3.81,5.65,6.33,4.96,8.73,11.0,4.78,6.19,6.2,26.18,14.67,34.88,6.8,8.47,4.67,6.79,24.12,37.94,11.65,18.5,21.31,3.8,33.15,24.47,19.3,10.46,21.84,12.98,23.95,3.52,13.48,43.64,67.5,14.28,19.21,11.32,14.17,22.7,11.76,15.34,204.99,21.12,24.91,23.27,12.09,3.51,1360.62,13.16,23.91,25.3,37.12,22.24,10.1,71.99,56.08,15.73,27.29,16.11,45.6,4.02,17.93,167.88,26.93,14.45,14.79,26.28,38.39,26.76,4.19,6.19,8.65,13.55,,26.99,104.23,9.58,15.45,16.93,6.2,9.8,15.24,3.47,54.4,13.97,14.01,23.97,5.22,36.83,49.12,7.62,7.41,127.18,19.91,20.28,17.3,5.45,8.38,16.91,20.44,8.01,7.67,8.47,4.77,8.56,45.87,6.71,6.76,42.98,9.3,5.72,5.76,6.22,11.44,6.94,29.44,19.58,3.07,37.64,24.3,5.11,5.2,4.9,16.23,46.73,18.99,6.64,7.33,16.94,9.37,15.05,5.72,3.44,7.64,15.05,8.12,2.17,5.81,20.51,11.29,13.17,60.72,11.14,15.14,7.68,2.57,12.73,7.86,9.64,4.99,31.37,6.24,65.83,45.81,49.12,52.02,40.64,49.93,41.35,67.72,101.2,27.52,106.68,104.11,6.5,42.82,193.22,65.82,5.58,123.28,85.36,147.19,126.57,98.0,259.09,18.93,166.53,42.32,6.79,480.87,120.32,22.95,45.62,11.71,187.9,90.6,10.55,7.05,34.81,4.93,6.46,4.95,8.6,68.24,13.04,25.47,7.08,53.79,108.74,157.1,6.46,12.39,3.08,41.66,92.72,10.15,4.32,25.27,15.09,29.55,16.68,14.19,119.95,8.66,23.56,25.27,30.14,15.88,48.38,7.62,31.91,6.96,12.79,9.67,20.09,6.12,68.65,59.85,21.91,20.45,22.59,35.7,45.01,13.97,24.95,6.79,74.73,44.97,38.92,287.84,31.1,26.56,26.79,13.15,34.45,41.29,33.04,40.1,8.63,90.02,7.58,16.71,40.79,18.0,17.69,35.78,9.59,92.81,99.56,35.47,3.58,44.4,12.19,180.57,22.85,25.34,55.73,8.38,68.97,126.45,28.87,51.44,47.39,36.18,24.44,36.56,21.0,47.89,43.29,15.68,60.28,35.23,57.82,235.78,24.36,235.11,82.89,59.9,62.41,96.93,167.69,71.36,30.73,52.25,107.9,64.43
2025-01-08,9.47,32.11,1.8,5.86,7.18,3.79,5.72,6.32,5.02,8.79,12.05,4.8,6.24,6.13,26.0,14.72,35.26,6.95,8.4,4.68,6.7,24.9,36.77,11.53,17.8,20.88,3.78,33.77,23.53,19.25,10.48,22.47,12.82,23.91,3.41,13.37,43.15,66.22,14.26,18.81,11.14,14.44,22.55,11.86,15.06,203.28,21.15,24.64,23.28,12.0,3.5,1362.92,12.95,23.98,25.07,36.71,22.19,9.87,71.85,57.37,16.05,28.1,15.84,44.26,4.04,17.93,165.51,26.24,14.3,15.28,26.55,37.54,27.06,4.2,6.11,8.75,13.66,,27.36,104.88,9.51,15.57,16.72,6.22,9.83,15.09,3.46,54.8,14.1,13.84,23.68,5.39,36.61,48.99,7.53,7.32,125.7,19.59,19.66,17.51,5.46,8.27,16.89,20.35,8.14,7.53,8.32,4.81,8.88,46.0,6.74,6.82,43.59,9.25,5.69,5.71,6.29,11.23,6.81,29.76,19.48,3.05,37.76,24.09,5.12,5.14,4.86,15.98,46.93,18.9,6.8,7.32,17.29,9.3,14.89,5.75,3.45,7.71,15.31,8.33,2.18,6.15,20.53,11.19,13.02,60.04,11.23,14.97,7.62,2.59,12.68,8.05,9.85,5.05,31.04,6.3,64.72,45.88,48.65,51.35,40.43,49.04,40.9,69.35,99.91,27.26,117.47,113.56,6.41,43.73,201.08,66.23,5.6,122.39,84.29,149.48,124.7,97.08,255.63,18.82,171.34,43.71,6.74,486.24,118.9,22.82,45.93,11.81,189.04,88.82,10.54,6.96,34.26,4.81,6.44,4.93,8.58,69.89,14.01,25.23,7.06,53.78,108.3,159.16,6.41,12.21,3.02,43.25,91.71,10.07,4.21,25.08,14.93,29.34,16.2,14.07,118.8,8.54,23.92,24.64,29.78,15.76,47.83,7.57,32.2,7.67,13.17,9.59,20.46,6.16,71.1,58.89,22.15,20.24,23.4,35.17,44.89,13.64,24.55,6.65,73.98,45.24,38.56,284.58,30.73,26.24,26.34,13.45,33.69,41.11,32.13,38.79,8.5,88.4,7.43,16.22,41.76,17.98,17.38,35.35,9.56,94.58,101.23,35.48,3.62,43.33,11.96,179.08,22.4,25.17,55.88,8.4,70.1,122.32,28.38,50.08,46.87,36.1,24.99,36.21,20.63,48.32,44.41,15.58,58.76,36.59,57.09,231.67,24.19,233.09,80.21,59.44,62.5,99.57,166.79,74.94,30.42,51.46,108.15,63.98
2025-01-09,9.36,31.9,1.79,5.74,7.06,3.75,5.6,6.2,4.91,8.65,11.35,4.69,6.07,6.2,25.91,14.52,34.98,6.89,8.44,4.63,6.65,24.41,36.85,11.48,17.32,21.0,3.74,33.18,24.37,19.27,10.38,24.38,12.67,23.66,3.43,13.19,42.68,65.73,14.18,18.92,11.2,14.17,22.66,11.86,14.96,202.28,20.9,24.63,22.7,12.06,3.48,1364.42,12.8,23.77,25.12,37.44,22.34,10.13,71.11,57.18,15.79,28.25,15.51,46.69,3.97,17.51,167.05,26.31,14.22,14.95,26.36,38.73,26.85,4.16,6.08,8.78,13.56,,26.83,103.05,9.42,15.45,16.59,6.05,9.77,14.98,3.39,55.16,13.86,13.69,23.52,5.39,35.3,50.28,7.58,7.23,126.88,19.6,19.57,17.48,5.39,8.18,16.75,19.91,8.06,7.49,8.33,4.77,8.46,45.51,6.62,6.7,43.24,9.64,5.65,5.65,6.24,11.18,6.96,29.67,19.31,3.02,37.19,24.23,5.04,5.06,4.85,16.0,50.37,19.26,6.71,7.22,17.07,9.15,14.3,5.62,3.39,7.61,15.31,8.1,2.16,5.89,20.09,11.15,13.01,59.26,10.85,15.04,7.55,2.56,12.1,7.97,9.53,4.99,30.86,6.22,65.02,45.26,49.35,51.1,40.06,48.78,40.77,68.83,99.24,27.32,127.48,121.81,6.4,42.61,203.0,65.71,5.51,121.72,85.15,147.79,122.81,95.75,260.29,18.84,167.31,42.9,6.64,477.04,117.29,22.29,45.42,11.7,192.7,91.32,10.44,6.95,37.75,4.76,6.36,4.84,8.44,71.04,13.94,27.0,6.93,53.41,108.62,162.57,6.37,12.21,3.02,43.51,91.0,9.96,4.2,26.43,14.8,29.17,16.25,14.15,119.68,8.49,23.44,25.6,30.87,15.67,48.84,7.45,32.33,8.45,12.95,9.75,20.29,5.98,71.0,59.57,24.43,20.23,23.1,36.06,45.21,13.6,24.56,6.76,73.97,44.11,38.48,284.15,30.73,26.28,26.54,13.28,33.83,41.91,32.07,38.65,8.48,88.47,7.54,16.09,41.2,18.1,17.82,35.4,9.49,93.46,101.26,36.03,3.51,42.94,11.96,178.34,22.33,24.96,56.29,8.3,69.93,119.61,28.23,49.83,46.38,36.96,25.07,36.23,21.19,49.59,48.71,15.27,57.6,35.93,56.62,233.66,24.2,230.09,78.23,59.6,59.9,100.41,165.3,73.33,30.07,51.92,108.08,67.04
2025-01-10,9.3,31.6,1.77,5.56,6.98,3.72,5.53,6.15,4.85,8.55,11.53,4.55,5.95,6.11,25.48,14.59,34.96,6.67,8.27,4.55,6.52,24.1,35.73,11.36,17.54,20.98,3.69,32.25,24.26,18.83,10.52,23.63,12.4,23.3,3.38,12.8,42.27,63.92,14.03,18.78,11.06,14.15,22.4,11.85,14.68,201.18,20.05,24.18,22.21,11.99,3.45,1356.42,12.56,23.69,24.6,39.83,22.17,9.71,69.67,56.1,15.57,27.19,15.31,46.35,3.88,17.65,165.33,25.84,13.99,14.71,25.93,38.41,26.93,4.09,5.97,8.75,13.43,,26.5,102.3,9.25,15.44,16.43,5.88,9.84,14.46,3.36,53.45,13.82,13.34,23.21,5.33,34.91,51.13,7.43,7.07,126.09,18.98,18.78,17.45,5.35,8.07,16.62,19.96,8.06,7.63,8.25,4.73,8.34,44.65,6.53,6.7,42.35,9.37,5.57,5.55,6.2,11.12,7.02,28.97,19.15,2.97,36.35,23.8,5.0,4.96,4.75,15.84,51.99,18.79,6.62,7.15,16.6,9.0,14.04,5.57,3.39,7.55,15.15,8.03,2.14,5.81,19.88,10.98,12.77,58.23,10.93,15.27,7.42,2.52,12.11,7.86,9.09,4.98,30.46,6.2,60.94,44.68,50.1,50.42,39.78,47.7,39.67,67.88,99.83,26.88,125.8,119.41,6.42,40.43,207.28,63.61,5.43,119.77,84.7,146.29,123.0,94.97,253.36,18.35,159.11,42.13,6.37,488.91,118.85,21.6,44.09,10.98,179.6,93.18,10.34,6.69,37.09,4.63,6.23,4.79,8.26,68.68,13.4,,6.93,52.83,106.03,157.61,6.2,11.95,3.02,42.41,89.21,9.74,4.09,26.29,14.63,28.92,15.9,14.52,117.7,8.33,23.1,24.54,31.12,15.84,46.66,7.3,31.5,7.78,12.94,9.64,20.07,5.87,70.64,58.1,26.05,19.92,23.01,36.3,44.6,13.35,24.19,6.58,72.2,45.2,37.87,282.64,29.84,25.95,26.31,12.5,32.84,41.0,31.0,37.8,8.32,87.35,7.42,15.89,40.27,17.86,17.47,34.3,9.35,93.5,99.71,35.05,3.42,41.92,11.71,173.11,21.72,24.22,59.08,8.12,68.46,111.23,27.23,48.65,44.04,36.56,24.79,34.95,21.99,47.99,46.49,14.99,54.29,34.34,55.52,232.33,23.77,224.81,75.61,58.2,59.55,98.6,161.39,70.44,29.66,52.14,106.76,64.91
2025-01-13,9.17,31.63,1.79,5.6,6.93,3.68,5.4,6.11,4.8,8.51,12.14,4.63,5.87,6.03,25.53,14.46,35.05,6.67,8.43,4.51,6.54,23.26,36.03,11.34,16.18,21.15,3.72,31.91,23.81,18.9,10.4,22.86,12.4,23.16,3.4,12.81,42.41,64.71,14.02,19.17,11.09,13.85,22.15,11.85,15.19,201.78,20.18,24.34,22.25,12.45,3.49,1364.4,12.24,24.04,24.98,38.65,22.25,9.9,69.95,55.8,15.25,25.98,15.02,46.13,3.88,17.61,167.5,26.25,13.72,14.38,25.85,38.6,26.87,4.07,6.01,8.7,13.24,,27.08,101.4,9.32,15.61,16.41,5.87,9.68,14.63,3.35,52.05,13.67,13.39,23.36,5.16,34.62,50.44,7.28,7.02,129.92,19.12,18.75,17.16,5.26,8.07,16.5,19.92,7.99,7.59,8.36,4.66,8.23,44.29,6.46,6.57,42.19,9.29,5.6,5.55,6.13,11.17,7.17,28.39,19.12,2.98,36.12,23.96,4.91,4.95,4.72,15.83,52.09,18.88,6.47,7.08,16.64,8.97,14.32,5.53,3.32,7.41,14.87,8.15,2.14,6.14,19.66,11.02,12.92,58.42,10.85,15.52,7.48,2.49,12.16,7.7,8.97,4.88,30.47,6.08,60.17,44.0,49.91,50.7,40.06,46.52,40.07,68.47,99.03,27.53,119.8,116.76,6.4,39.87,199.62,62.32,5.52,119.67,85.11,142.99,122.19,95.33,252.85,18.57,156.39,41.68,6.4,481.54,123.39,21.86,44.29,11.19,187.04,95.02,10.24,6.76,38.38,4.67,6.11,4.84,8.31,66.61,13.2,,6.87,52.36,108.98,159.3,6.28,11.94,3.08,40.91,89.98,9.93,4.05,25.83,14.71,28.94,16.09,14.8,118.3,8.42,22.7,23.87,30.83,16.16,46.43,7.28,31.45,7.22,12.73,9.9,20.05,5.88,68.3,57.44,25.35,20.16,22.53,35.92,44.93,13.54,23.4,6.54,72.5,45.21,38.07,281.76,29.37,25.82,26.77,12.47,34.04,39.63,32.29,37.5,8.53,87.34,7.42,16.07,40.42,18.1,17.66,34.35,9.39,91.2,101.23,33.45,3.4,42.07,11.96,174.77,21.96,24.49,57.44,8.31,68.98,108.9,27.94,49.24,43.12,35.67,24.71,35.09,21.4,49.23,44.44,15.1,55.33,33.6,56.67,233.24,24.01,225.26,76.92,60.04,58.62,99.54,163.58,69.8,30.15,52.44,107.81,63.7
2025-01-14,9.33,32.44,1.84,5.74,7.03,3.77,5.52,6.18,4.96,8.63,12.67,4.71,5.92,6.43,26.72,14.95,35.83,6.75,8.57,4.62,6.75,24.18,36.86,11.68,16.96,21.92,3.94,32.8,24.39,19.17,10.98,23.65,12.69,23.69,3.48,13.14,43.89,65.83,14.22,19.39,11.37,13.87,22.65,12.26,15.28,205.94,20.71,25.37,23.25,12.55,3.68,1392.92,12.74,24.01,26.36,40.35,22.36,10.26,71.42,57.34,15.42,26.17,15.47,47.48,3.96,17.8,174.8,27.07,14.29,14.57,26.05,38.92,26.9,4.14,6.18,8.64,13.37,,27.16,101.34,9.66,15.79,16.91,5.93,9.75,15.11,3.42,53.07,14.2,13.83,24.16,5.26,35.05,53.0,7.79,7.16,136.63,19.89,19.6,17.48,5.4,8.24,16.97,19.98,8.12,7.86,8.8,4.68,8.36,45.06,6.67,6.66,43.8,9.97,5.77,5.67,6.14,11.52,7.28,29.07,19.31,3.05,37.09,25.13,4.92,5.03,4.82,16.36,56.99,19.86,6.53,7.21,17.31,9.19,14.97,5.6,3.38,7.51,15.1,8.18,2.19,6.34,20.15,11.45,13.33,60.12,11.02,15.53,7.72,2.55,12.46,7.73,9.16,4.96,31.62,6.15,63.62,44.79,51.74,52.11,40.77,49.58,41.19,69.46,104.03,28.66,123.96,128.55,6.51,41.27,183.36,65.84,5.6,126.04,89.77,143.64,126.56,98.54,273.85,19.35,161.04,43.07,6.54,464.77,125.62,22.34,46.17,11.32,193.32,98.77,10.42,6.91,40.88,4.83,6.58,4.96,8.42,66.93,13.87,,7.2,53.61,113.17,165.66,6.48,12.37,3.11,41.65,91.97,10.02,4.21,26.79,15.1,29.43,16.49,14.82,122.12,8.61,22.91,25.29,31.68,15.94,50.25,7.4,32.1,7.61,12.95,10.03,20.05,5.97,70.25,59.36,27.95,20.78,23.32,36.73,46.81,14.08,24.83,6.78,74.25,46.9,39.18,288.34,30.86,26.51,27.2,12.82,34.7,40.74,32.99,39.25,8.75,90.78,8.05,16.38,41.68,18.92,18.16,35.14,9.69,94.91,105.56,35.01,3.47,43.35,12.33,201.29,23.7,25.31,60.89,8.64,71.19,112.45,29.0,50.18,44.8,36.17,25.91,37.1,25.65,53.83,46.32,15.47,57.06,35.19,58.26,242.53,24.95,229.81,80.48,65.23,59.9,100.43,170.17,69.55,30.76,55.5,112.84,66.66
2025-01-15,9.38,32.57,1.82,5.77,7.07,3.78,5.51,6.28,4.99,8.57,12.56,4.69,5.92,6.36,26.39,14.55,36.62,6.75,8.53,4.59,6.78,24.01,36.47,11.67,16.21,21.73,3.9,31.87,24.28,18.96,10.97,23.15,12.64,23.6,3.48,12.93,43.48,65.2,14.03,19.16,11.27,14.19,22.19,12.38,15.43,203.69,21.54,25.17,23.24,12.38,3.72,1391.69,12.69,23.62,26.0,39.74,22.62,10.09,70.27,56.66,15.47,25.65,15.42,46.7,3.93,17.8,174.19,26.99,14.13,14.62,25.86,38.38,26.86,4.1,6.14,8.82,13.48,,26.97,101.39,9.61,15.57,16.86,5.98,9.87,15.26,3.41,52.95,13.97,13.65,23.91,5.36,34.94,52.67,7.61,7.08,135.72,19.59,19.17,17.67,5.41,8.18,16.87,19.71,8.15,7.76,8.54,4.7,8.42,44.81,6.55,6.71,43.35,9.92,5.78,5.64,6.16,11.26,7.14,28.92,19.15,3.05,36.84,24.71,4.94,5.07,4.8,16.25,55.24,19.44,6.52,7.15,17.1,9.1,15.08,5.56,3.4,7.57,15.02,8.14,2.19,6.47,19.98,11.29,13.17,59.54,11.0,14.9,7.66,2.56,12.48,7.73,9.26,4.98,31.21,6.2,63.77,45.84,50.02,51.95,40.24,47.96,41.49,68.26,101.84,28.46,133.47,131.77,6.36,40.7,175.79,65.61,5.56,124.66,87.11,146.79,124.74,99.05,272.75,18.97,159.28,42.25,6.61,466.08,122.79,23.12,45.67,11.08,188.58,99.55,10.52,6.86,40.3,4.72,6.64,5.02,8.29,66.13,13.83,,7.08,53.71,111.9,165.15,6.44,12.2,3.07,42.1,91.37,10.09,4.15,26.33,15.02,28.84,16.49,14.92,121.87,8.59,22.81,25.06,31.52,15.77,50.77,7.42,32.15,7.22,12.8,9.9,20.36,5.91,69.72,58.44,28.57,20.71,23.5,35.6,46.29,13.87,24.35,6.68,73.85,47.0,39.28,281.64,29.95,26.25,26.61,13.38,34.57,37.68,33.03,38.71,8.76,90.24,7.99,16.4,41.26,19.15,17.86,34.47,9.63,91.83,101.96,34.95,3.46,42.07,12.16,192.77,23.16,24.99,59.8,8.55,70.56,108.64,29.1,49.79,42.78,36.04,26.0,36.75,22.84,51.6,45.99,15.25,56.05,34.27,58.02,237.2,24.6,228.81,79.64,62.47,58.06,100.89,167.95,69.66,30.68,53.63,109.5,65.56
