2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS,600000.SS
600004.SS,600004.SS,600005.SS,600008.SS,600008.SS,600005.SS,600005.SS,600008.SS,600004.SS,600004.SS,600004.SS,600009.SS,600009.SS,600009.SS,600009.SS,600009.SS
600005.SS,600005.SS,600009.SS,600009.SS,600009.SS,600008.SS,600008.SS,600009.SS,600009.SS,600009.SS,600009.SS,600010.SS,600010.SS,600010.SS,600010.SS,600010.SS
600006.SS,600008.SS,600010.SS,600010.SS,600010.SS,600009.SS,600009.SS,600010.SS,600010.SS,600010.SS,600010.SS,600011.SS,600011.SS,600011.SS,600011.SS,600011.SS
600008.SS,600009.SS,600011.SS,600011.SS,600011.SS,600010.SS,600010.SS,600011.SS,600011.SS,600011.SS,600011.SS,600015.SS,600015.SS,600015.SS,600015.SS,600015.SS
600009.SS,600010.SS,600015.SS,600015.SS,600015.SS,600011.SS,600015.SS,600015.SS,600015.SS,600015.SS,600015.SS,600016.SS,600016.SS,600016.SS,600016.SS,600016.SS
600010.SS,600015.SS,600016.SS,600016.SS,600016.SS,600015.SS,600016.SS,600016.SS,600016.SS,600016.SS,600016.SS,600018.SS,600018.SS,600018.SS,600018.SS,600018.SS
600011.SS,600016.SS,600019.SS,600018.SS,600018.SS,600016.SS,600018.SS,600018.SS,600018.SS,600018.SS,600018.SS,600019.SS,600019.SS,600019.SS,600019.SS,600019.SS
600015.SS,600018.SS,600022.SS,600019.SS,600019.SS,600018.SS,600019.SS,600019.SS,600019.SS,600019.SS,600019.SS,600025.SS,600025.SS,600023.SS,600023.SS,600023.SS
600016.SS,600019.SS,600028.SS,600027.SS,600023.SS,600019.SS,600021.SS,600021.SS,600023.SS,600023.SS,600025.SS,600028.SS,600028.SS,600025.SS,600025.SS,600025.SS
600017.SS,600026.SS,600029.SS,600028.SS,600027.SS,600021.SS,600023.SS,600023.SS,600025.SS,600025.SS,600027.SS,600029.SS,600029.SS,600028.SS,600026.SS,600026.SS
600018.SS,600028.SS,600030.SS,600029.SS,600028.SS,600023.SS,600028.SS,600028.SS,600027.SS,600027.SS,600028.SS,600030.SS,600030.SS,600029.SS,600027.SS,600027.SS
600019.SS,600029.SS,600031.SS,600030.SS,600029.SS,600027.SS,600029.SS,600029.SS,600028.SS,600028.SS,600029.SS,600031.SS,600031.SS,600030.SS,600028.SS,600028.SS
600022.SS,600030.SS,600036.SS,600031.SS,600030.SS,600028.SS,600030.SS,600030.SS,600029.SS,600029.SS,600030.SS,600036.SS,600036.SS,600031.SS,600029.SS,600029.SS
