Date,600000.SS,600004.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600023.SS,600025.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600038.SS,600048.SS,600050.SS,600061.SS,600066.SS,600068.SS,600085.SS,600089.SS,600100.SS,600104.SS,600109.SS,600111.SS,600115.SS,600118.SS,600153.SS,600157.SS,600170.SS,600176.SS,600177.SS,600188.SS,600196.SS,600208.SS,600219.SS,600221.SS,600233.SS,600271.SS,600276.SS,600297.SS,600309.SS,600332.SS,600339.SS,600340.SS,600346.SS,600352.SS,600362.SS,600369.SS,600372.SS,600383.SS,600390.SS,600398.SS,600406.SS,600415.SS,600436.SS,600438.SS,600482.SS,600487.SS,600489.SS,600498.SS,600516.SS,600518.SS,600519.SS,600522.SS,600535.SS,600547.SS,600566.SS,600570.SS,600583.SS,600585.SS,600588.SS,600606.SS,600637.SS,600660.SS,600674.SS,600688.SS,600690.SS,600703.SS,600704.SS,600705.SS,600739.SS,600741.SS,600760.SS,600795.SS,600809.SS,600816.SS,600837.SS,600867.SS,600886.SS,600887.SS,600893.SS,600900.SS,600909.SS,600919.SS,600926.SS,600958.SS,600977.SS,600998.SS,600999.SS,601006.SS,601009.SS,601012.SS,601018.SS,601021.SS,601066.SS,601088.SS,601108.SS,601111.SS,601117.SS,601138.SS,601155.SS,601166.SS,601169.SS,601186.SS,601198.SS,601211.SS,601212.SS,601216.SS,601225.SS,601228.SS,601229.SS,601238.SS,601288.SS,601318.SS,601328.SS,601333.SS,601336.SS,601360.SS,601377.SS,601390.SS,601398.SS,601555.SS,601600.SS,601601.SS,601607.SS,601611.SS,601618.SS,601628.SS,601633.SS,601668.SS,601669.SS,601688.SS,601727.SS,601766.SS,601788.SS,601800.SS,601808.SS,601818.SS,601828.SS,601838.SS,601857.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601919.SS,601933.SS,601939.SS,601985.SS,601988.SS,601989.SS,601991.SS,601992.SS,601997.SS,601998.SS,603156.SS,603160.SS,603259.SS,603260.SS,603288.SS,603799.SS,603833.SS,603858.SS,603986.SS,603993.SS,000001.SZ,000002.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000408.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000553.SZ,000568.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000661.SZ,000671.SZ,000703.SZ,000709.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000938.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001965.SZ,001979.SZ,002001.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002032.SZ,002044.SZ,002050.SZ,002065.SZ,002081.SZ,002085.SZ,002120.SZ,002142.SZ,002146.SZ,002153.SZ,002179.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002294.SZ,002304.SZ,002310.SZ,002311.SZ,002352.SZ,002411.SZ,002415.SZ,002422.SZ,002450.SZ,002456.SZ,002460.SZ,002466.SZ,002468.SZ,002475.SZ,002493.SZ,002508.SZ,002555.SZ,002558.SZ,002572.SZ,002594.SZ,002601.SZ,002602.SZ,002624.SZ,002625.SZ,002673.SZ,002714.SZ,002736.SZ,002773.SZ,002797.SZ,002925.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300033.SZ,300059.SZ,300070.SZ,300072.SZ,300122.SZ,300124.SZ,300136.SZ,300142.SZ,300144.SZ,300251.SZ,300296.SZ,300408.SZ,300433.SZ
2018-01-02,9.31,13.97,41.38,2.47,4.89,6.63,5.07,5.41,5.75,4.01,3.89,2.23,3.38,11.25,13.76,6.38,16.14,44.47,10.53,5.6,7.8,14.68,7.79,28.32,5.03,9.72,25.73,9.04,13.81,7.94,24.83,6.25,3.36,2.86,10.45,2.94,1.02,40.65,5.03,2.25,3.17,15.03,20.01,29.14,7.87,37.94,32.14,5.59,22.05,5.58,9.35,16.65,4.08,13.03,10.53,8.76,6.1,7.45,4.42,53.63,7.29,24.24,27.61,8.48,27.43,12.83,20.77,419.05,12.42,22.44,15.03,27.71,14.36,5.54,18.58,8.99,5.77,11.04,19.04,7.53,5.7,14.54,24.42,5.1,4.97,16.73,21.35,16.04,2.27,22.94,10.58,11.53,17.06,5.12,23.12,25.64,8.5,5.68,3.43,4.58,11.48,14.48,6.03,11.96,5.39,3.67,9.44,4.5,35.66,,7.33,14.64,11.53,5.58,,22.97,8.95,4.49,9.4,13.32,14.57,6.77,4.71,-0.39,5.74,4.21,16.06,1.98,53.06,3.26,5.14,60.24,49.97,5.89,7.05,3.64,7.36,8.09,32.34,20.32,9.92,4.29,25.48,9.49,4.54,6.44,14.72,6.64,11.22,12.1,11.14,9.21,2.46,,,5.66,21.56,15.6,8.62,34.56,3.52,2.57,6.69,-2.25,9.65,4.6,6.03,2.07,5.99,3.69,5.06,7.13,3.64,,94.43,,36.32,19.74,31.39,72.37,24.51,163.12,5.83,10.59,26.7,33.33,7.51,2.83,2.14,4.82,35.93,5.05,10.11,10.57,9.39,5.86,49.98,3.53,42.72,56.09,16.44,39.16,5.35,7.82,2.4,26.86,78.67,7.61,11.72,3.45,5.13,8.36,16.15,13.96,6.45,19.36,14.07,23.28,9.5,50.42,7.19,14.35,4.36,25.6,5.85,5.64,25.88,4.53,11.04,16.12,11.53,11.44,48.0,12.24,9.61,21.32,14.77,9.35,7.86,15.09,15.93,19.92,13.29,8.65,10.58,14.34,15.99,39.42,20.09,15.84,19.49,12.24,39.2,86.77,20.15,18.13,45.81,26.42,32.18,19.67,22.12,20.71,30.71,38.5,24.16,9.33,6.03,43.16,14.54,35.09,31.66,18.99,8.71,11.16,19.12,28.07,11.71,7.19,8.39,42.83,9.51,,21.76,4.62,9.8,19.01,22.27,3.98,17.05,27.5,16.31,16.99,48.98,18.48,9.37,10.06,12.84,17.2,16.94
2018-01-03,9.25,13.97,41.03,2.48,4.94,6.65,5.12,5.51,5.72,4.03,3.82,2.22,3.48,11.79,13.91,6.37,16.49,45.01,10.35,5.86,7.89,15.86,7.85,28.45,5.12,9.84,25.49,9.17,13.77,8.39,24.99,6.2,3.36,2.87,10.6,2.94,1.19,40.89,5.13,2.27,3.22,15.32,20.23,29.21,7.93,37.94,32.14,5.55,23.53,5.83,9.35,16.39,4.12,13.26,10.44,8.89,6.02,7.6,4.41,53.79,7.36,24.49,29.04,8.49,28.61,13.11,20.07,431.06,12.91,22.7,15.06,29.35,14.51,5.52,18.3,9.09,6.0,11.13,18.69,7.54,5.87,14.28,25.1,5.12,5.03,16.71,20.96,15.73,2.28,23.18,10.67,11.75,17.17,5.24,23.78,26.08,8.85,5.93,3.49,4.63,11.72,14.46,6.01,12.18,5.55,3.71,9.9,4.56,36.7,,6.83,14.75,12.57,5.56,,22.95,8.91,4.57,9.44,13.5,15.02,6.78,4.71,-0.36,5.81,4.3,16.36,2.01,51.44,3.28,5.18,57.62,55.03,5.98,7.1,3.62,7.41,8.09,31.09,20.69,10.07,4.29,25.27,9.58,4.55,6.49,15.18,6.7,11.16,12.25,11.3,9.16,2.49,,,5.68,22.3,15.8,8.89,37.19,3.5,2.59,6.89,-2.15,9.79,4.56,6.04,2.09,6.08,3.76,5.62,7.18,3.69,,96.19,,35.7,19.72,34.01,72.39,25.16,163.12,5.94,10.22,26.47,34.29,7.56,2.9,2.12,4.81,35.35,4.97,10.08,10.9,9.44,5.96,51.28,3.5,43.0,55.59,16.21,39.78,5.45,7.97,2.38,27.36,79.76,7.67,12.14,3.65,5.17,8.43,16.3,14.15,6.55,19.99,14.18,23.83,9.55,50.74,7.26,14.47,4.31,25.65,6.06,5.59,27.21,4.52,11.12,16.56,11.8,11.85,49.42,12.27,9.37,21.71,14.41,9.57,7.98,14.92,15.61,19.65,13.19,8.7,10.65,13.97,15.81,40.37,21.2,16.22,19.38,12.44,39.11,86.02,20.91,18.09,45.91,26.49,32.69,20.2,22.59,21.28,32.03,41.3,24.07,9.76,5.87,43.01,14.71,34.96,32.7,19.08,9.08,10.95,18.92,28.07,11.94,7.13,8.48,43.1,9.62,,21.14,4.58,9.72,19.21,22.83,4.06,17.83,28.27,16.77,16.89,51.77,18.67,9.49,10.3,13.42,17.42,18.34
2018-01-04,9.25,13.79,41.08,2.47,4.91,6.67,5.09,6.18,5.73,4.01,3.9,2.27,3.91,11.26,13.97,6.34,16.17,45.79,10.42,5.84,7.84,15.48,7.79,28.37,5.12,9.78,25.59,9.11,13.95,8.23,24.91,6.3,3.36,2.9,10.45,2.94,1.11,41.79,4.99,2.26,3.19,15.64,20.2,29.98,8.01,37.94,32.14,5.79,23.36,5.95,9.43,16.91,4.1,13.31,10.53,8.83,6.04,7.52,4.42,55.81,7.67,24.32,29.16,8.45,28.57,14.57,20.04,452.27,12.83,22.7,15.03,29.36,14.42,5.82,18.72,8.99,6.09,11.28,18.77,7.54,6.15,14.59,25.13,5.27,5.03,16.75,20.92,16.73,2.29,24.78,10.63,11.71,17.3,5.21,24.59,25.94,8.71,5.96,3.54,4.78,11.64,14.38,6.04,12.17,5.52,3.72,10.08,4.64,36.57,,6.61,14.55,12.11,5.7,,23.34,8.9,4.61,9.45,13.44,14.94,6.7,4.71,-0.11,5.82,4.42,16.19,2.0,51.65,3.27,5.18,56.15,60.59,5.97,7.05,3.53,7.38,8.09,30.21,21.06,10.28,4.27,25.06,9.57,4.52,6.54,15.13,6.75,11.11,12.28,11.12,10.23,2.48,,,5.96,22.33,15.56,8.84,36.98,3.6,2.65,6.84,-2.09,9.84,4.42,6.06,2.09,6.04,3.74,5.61,7.35,3.71,,96.35,,36.57,20.87,35.11,74.44,24.97,163.12,6.12,10.14,27.26,34.5,7.65,2.87,2.1,4.77,36.84,5.02,9.93,10.87,9.56,5.92,51.49,3.5,43.69,56.7,16.33,42.13,5.41,7.98,2.4,28.29,78.51,7.87,12.97,3.58,5.12,8.39,16.29,14.07,6.53,20.37,14.28,23.59,9.6,52.83,7.29,15.05,4.35,25.5,5.93,5.84,27.04,4.61,10.56,16.64,11.69,11.9,49.38,12.33,9.26,21.96,14.71,9.63,7.91,15.08,15.66,19.87,13.19,8.7,10.42,13.99,15.73,41.0,21.35,16.1,19.36,12.68,38.94,91.77,20.42,17.91,48.39,26.44,33.55,20.78,22.63,21.3,32.06,42.05,24.09,9.9,6.08,42.65,14.36,34.93,32.4,18.73,9.09,11.04,18.36,17.22,11.84,7.12,8.43,43.98,9.57,,21.29,4.48,9.91,19.08,22.69,3.99,17.56,28.28,16.93,16.53,51.97,18.98,9.54,10.18,13.53,18.14,18.44
2018-01-05,9.28,13.74,41.13,2.47,4.93,6.68,5.14,5.81,5.66,4.04,3.77,2.28,4.07,11.02,14.15,6.49,16.62,44.65,11.2,5.89,7.91,14.89,8.13,28.98,5.02,9.73,25.88,9.17,13.63,8.15,24.96,6.43,3.36,2.93,10.53,3.05,0.96,39.8,5.22,2.23,3.19,15.34,20.25,29.87,7.95,37.94,32.14,5.73,24.14,5.85,9.66,16.26,4.12,13.34,11.43,8.87,6.06,7.33,4.5,55.83,7.46,24.35,28.7,8.5,28.17,14.59,19.86,453.56,12.51,22.65,15.23,29.38,14.52,5.81,19.27,9.09,6.6,11.24,18.51,7.58,6.06,14.53,25.21,5.29,5.13,16.84,20.42,16.4,2.29,24.45,10.55,11.71,17.51,5.22,24.6,25.41,8.87,5.96,3.53,4.74,11.64,14.59,5.99,12.18,5.67,3.7,10.08,4.6,36.26,,7.18,14.4,11.92,5.77,,24.6,8.91,4.6,9.62,13.44,14.96,6.72,4.71,-0.15,5.87,4.46,16.09,2.0,51.36,3.26,5.19,54.72,54.82,5.96,7.17,3.54,7.39,8.09,29.95,20.92,10.33,4.31,24.73,9.65,4.74,6.57,15.27,6.7,11.15,12.29,11.48,10.4,2.5,,,6.0,21.7,15.52,8.92,36.68,3.65,2.59,6.83,-2.01,9.7,4.49,6.06,2.07,6.05,3.74,5.65,7.35,3.76,,93.35,,35.69,20.39,35.6,74.52,25.01,163.12,6.05,10.19,28.9,33.64,8.13,2.84,2.16,4.79,37.51,4.89,10.53,11.78,9.44,5.92,51.63,3.56,42.83,55.79,16.41,41.43,5.43,7.91,2.37,29.59,76.86,7.95,26.01,3.56,4.98,8.4,16.19,14.13,6.51,20.13,14.67,23.51,9.14,52.52,7.42,14.91,4.31,25.03,5.83,6.0,27.03,4.42,10.43,17.38,12.16,11.7,49.42,12.14,9.37,21.72,15.19,9.49,7.87,14.84,15.44,19.32,12.99,8.93,10.44,13.61,15.43,40.34,20.91,15.82,19.37,12.2,38.44,93.75,20.02,17.65,47.66,26.48,32.83,21.21,22.8,20.61,31.09,41.54,23.79,9.7,6.04,41.84,13.86,34.8,32.72,18.5,8.85,11.42,18.19,16.08,11.84,7.4,8.5,43.08,9.76,,22.85,4.81,9.99,19.19,23.65,4.0,17.4,28.93,17.21,16.15,50.62,19.68,9.51,10.29,13.51,19.28,18.1
2018-01-08,9.27,13.67,40.01,2.51,4.95,6.71,5.24,5.83,6.08,4.09,3.73,2.27,4.06,11.45,14.72,6.78,15.99,43.84,11.53,5.99,7.97,14.73,8.15,29.28,5.18,9.6,26.37,9.28,14.09,8.32,25.02,6.59,3.36,2.92,10.63,3.08,1.74,39.91,5.3,2.29,3.23,15.44,19.72,30.29,7.8,37.94,24.1,5.68,26.38,6.61,9.61,16.93,4.17,13.37,12.17,8.76,6.3,7.23,4.61,57.18,7.2,23.98,28.07,8.57,27.6,14.71,20.0,467.33,12.46,22.57,15.44,30.05,14.46,5.76,20.59,8.78,7.28,11.4,18.94,7.69,6.15,15.38,24.16,5.32,5.15,16.94,21.6,16.46,2.33,23.67,10.52,11.97,17.36,5.26,24.73,25.15,8.84,6.04,3.55,4.74,11.76,14.58,5.92,12.74,6.03,3.76,9.8,4.62,36.54,,8.6,14.57,12.24,5.88,,25.5,8.93,4.54,9.61,13.45,15.3,6.8,4.71,0.4,5.78,4.44,16.14,1.99,50.48,3.29,5.35,53.05,52.76,6.04,7.15,3.53,7.43,8.09,29.28,20.92,10.48,4.15,24.64,10.04,4.76,6.63,16.5,6.65,10.76,12.48,11.5,10.28,2.51,,,5.94,21.27,15.63,9.05,37.98,3.81,2.81,6.96,-1.98,9.77,4.4,6.05,2.1,6.03,3.79,5.67,7.42,3.86,,95.59,,39.22,20.15,36.97,76.32,25.03,163.12,6.19,9.85,30.13,33.17,8.1,2.8,2.25,4.84,37.21,5.34,10.61,11.92,9.4,5.94,51.66,3.69,42.03,57.09,16.68,41.83,5.56,7.88,2.44,29.54,76.91,8.07,26.01,3.61,4.98,8.47,16.05,14.62,6.59,20.47,15.08,23.4,9.06,52.04,7.55,14.52,4.47,24.7,5.86,6.34,27.57,4.75,10.35,18.02,12.08,11.63,48.25,12.09,9.14,21.2,15.15,9.47,7.75,15.32,15.09,18.96,12.62,9.21,9.94,13.56,15.41,39.88,20.47,15.35,19.4,12.44,37.08,97.09,19.85,17.39,46.96,26.5,33.85,22.33,22.49,20.06,31.28,42.26,23.85,9.54,6.32,43.13,14.05,34.61,33.17,18.78,9.58,11.53,17.85,14.79,12.02,8.66,8.66,42.18,9.76,,23.06,5.19,10.39,19.18,24.23,4.04,17.34,29.04,17.13,15.81,48.34,19.7,9.43,10.12,13.08,19.0,17.55
2018-01-09,9.29,14.19,40.74,2.52,4.9,6.71,5.21,5.71,5.89,4.09,3.67,2.25,4.01,11.68,14.64,6.65,16.29,43.54,11.61,5.95,7.87,14.46,8.07,29.33,5.08,9.99,26.4,9.18,14.3,8.41,24.98,6.54,3.36,2.94,10.17,3.09,1.58,41.23,5.09,2.29,3.23,15.27,19.96,31.82,7.97,37.94,24.24,5.7,26.52,6.42,9.55,17.1,4.13,13.53,12.54,9.17,6.26,7.25,4.53,60.18,7.03,23.96,28.49,8.34,27.89,15.41,20.39,497.72,12.63,23.22,15.19,29.99,14.25,5.74,20.0,8.65,7.33,11.32,18.79,7.24,6.04,15.77,24.8,5.3,5.14,16.82,20.97,17.13,2.3,24.96,10.73,11.94,18.04,5.03,25.76,25.69,8.99,5.93,3.54,4.72,11.62,14.45,5.95,12.49,6.12,3.94,9.68,4.55,35.15,,8.31,14.3,12.19,5.69,,26.66,8.89,4.55,9.54,13.31,15.14,6.69,4.71,0.3,5.74,4.41,15.78,1.96,52.34,3.26,5.23,53.82,51.93,6.01,7.09,3.55,7.36,8.09,29.36,21.54,10.41,4.03,25.24,10.04,4.71,6.6,16.39,6.62,10.67,12.38,11.45,10.18,2.48,,,5.92,21.23,15.36,8.84,38.15,3.84,2.77,6.88,-2.1,10.01,4.37,6.04,2.05,6.11,3.75,5.53,7.42,3.8,,94.96,,38.75,21.04,36.45,77.06,25.19,163.12,6.13,9.97,29.98,33.95,8.11,2.94,2.22,4.8,39.03,5.28,10.47,12.1,9.27,5.93,53.13,3.57,41.02,58.81,16.28,43.68,5.54,8.03,2.4,31.11,78.89,8.04,26.01,3.58,5.41,8.38,16.14,14.49,6.6,20.22,14.81,23.45,9.07,55.94,7.54,14.25,4.39,24.89,5.88,6.26,27.57,4.75,10.19,18.05,11.73,11.73,51.32,12.18,9.08,21.24,15.87,10.06,7.76,15.38,14.91,19.89,12.58,9.24,10.0,13.21,15.53,40.06,20.9,15.46,19.36,12.64,37.49,101.92,19.77,18.22,47.23,26.69,33.95,22.99,22.34,20.26,31.1,41.98,23.86,9.81,6.19,44.05,14.31,34.24,32.87,18.85,9.64,11.33,17.99,14.79,11.92,8.75,8.63,42.84,9.55,,23.11,5.15,10.08,19.26,23.74,3.98,17.15,28.5,18.89,15.77,49.54,20.25,9.33,9.95,13.31,19.16,18.02
2018-01-10,9.61,14.02,40.78,2.49,4.82,6.87,5.32,5.66,5.84,4.08,3.51,2.19,4.16,11.33,14.79,6.65,17.05,43.27,11.77,5.84,7.79,14.1,8.05,29.15,4.94,9.91,27.83,9.1,14.2,8.09,24.62,6.39,3.36,2.9,10.16,3.04,1.59,40.64,4.97,2.25,3.25,15.11,20.51,31.91,7.9,37.94,23.63,5.78,27.59,5.99,9.51,16.77,4.12,13.28,12.79,8.84,5.98,7.13,4.45,60.53,7.09,23.57,27.71,8.18,27.46,14.54,20.47,500.91,12.7,23.09,14.87,29.74,15.35,6.01,20.33,8.92,7.34,11.21,19.15,7.19,6.11,16.3,24.31,5.26,5.07,16.76,21.17,18.16,2.28,24.91,10.63,11.97,18.09,5.09,25.79,25.26,9.03,5.92,3.57,4.71,11.45,14.12,5.8,12.44,6.13,3.99,9.86,4.58,33.86,,8.43,14.68,11.82,5.73,,26.92,9.89,4.61,9.55,13.0,15.0,6.65,4.71,0.23,5.71,4.44,15.84,2.04,52.19,3.3,5.14,52.69,50.51,5.95,7.12,3.62,7.26,8.09,29.17,21.19,10.28,4.05,25.11,9.52,4.83,6.54,16.61,6.58,10.71,12.28,11.46,10.51,2.51,,,6.16,20.16,15.41,8.76,37.89,3.79,2.78,6.82,-2.08,10.09,4.59,6.04,2.12,6.03,3.72,5.46,7.5,3.92,,95.39,,39.2,21.71,36.18,77.14,24.64,163.12,6.1,10.36,29.81,33.52,7.98,2.9,2.21,4.77,40.11,5.33,10.39,11.82,9.18,5.88,52.97,3.56,42.58,57.58,16.36,44.31,5.53,7.92,2.35,32.76,77.62,8.06,26.01,3.53,5.49,8.21,15.98,14.63,6.58,19.67,15.21,23.43,8.98,58.74,7.48,15.48,4.39,24.77,5.75,6.32,27.85,4.62,9.56,17.64,11.77,11.8,51.92,12.41,9.19,20.48,15.68,9.75,8.09,14.76,14.39,19.31,12.87,9.4,10.28,13.02,15.23,39.28,20.71,15.22,19.33,12.04,36.95,109.67,19.4,17.59,46.63,26.65,34.67,22.7,21.63,19.93,30.12,40.41,24.42,9.45,5.98,45.02,14.04,34.9,32.03,18.93,9.97,11.39,17.52,14.37,11.68,8.69,8.61,41.42,9.61,,23.05,5.24,10.22,18.94,23.97,3.98,16.99,28.57,19.75,15.62,46.47,20.39,9.22,9.81,13.02,19.38,18.34
2018-01-11,9.53,13.86,40.42,2.46,4.82,6.81,5.31,5.63,5.62,4.1,3.52,2.21,4.09,11.14,14.5,6.28,17.44,43.42,11.69,5.89,7.85,13.78,8.02,29.32,4.96,10.2,27.79,9.09,14.1,8.16,24.74,6.59,3.36,2.9,9.78,3.03,1.22,40.73,5.13,2.25,3.25,15.05,20.83,31.63,7.89,37.94,23.48,5.62,28.04,6.05,9.65,16.48,4.13,13.3,12.59,8.74,6.01,7.31,4.52,60.87,6.78,23.82,27.79,8.3,28.21,14.43,20.51,490.01,12.76,23.66,15.04,31.05,16.29,5.91,17.86,9.36,7.13,11.4,18.94,7.17,5.98,16.51,24.5,5.25,5.17,16.96,20.64,17.87,2.26,24.78,10.57,11.8,17.7,5.05,25.4,25.11,9.18,5.94,3.59,4.63,11.49,14.22,5.74,12.4,6.04,4.14,9.48,4.58,33.49,,7.8,14.71,11.66,5.86,,28.89,9.74,4.61,9.56,13.0,15.01,6.7,4.71,-0.04,5.71,4.43,15.84,2.12,53.12,3.33,5.08,52.96,51.92,5.96,7.11,3.67,7.28,8.09,29.55,20.9,10.16,4.0,25.28,9.46,4.8,6.66,16.35,6.62,10.7,12.24,11.37,10.18,2.53,,,6.17,19.96,15.26,8.64,37.4,3.7,2.68,6.79,-2.14,10.07,4.68,6.03,2.18,6.05,3.76,5.37,7.42,4.04,,94.99,,39.87,21.4,36.99,74.87,24.67,163.12,6.66,10.29,29.29,34.02,8.02,2.87,2.17,4.77,39.17,5.15,10.36,12.11,9.3,5.99,52.48,3.38,42.36,55.51,16.12,43.52,5.47,7.95,2.36,32.51,81.65,8.17,26.01,3.55,5.49,8.22,16.13,14.42,6.51,18.36,16.3,23.45,9.02,57.8,7.49,14.86,4.31,25.58,5.68,6.21,27.52,4.44,9.47,17.34,11.44,11.66,52.75,12.81,9.0,20.24,15.91,9.84,8.51,14.65,14.77,19.41,13.09,9.28,10.53,12.98,14.97,43.31,21.3,15.54,19.35,12.2,37.42,106.57,19.54,17.42,46.78,26.64,34.95,22.12,21.73,19.94,30.39,40.22,24.17,9.48,5.99,43.59,14.36,36.75,32.28,18.84,9.6,11.31,17.86,14.47,11.76,8.53,8.64,42.01,10.0,,22.76,5.24,10.16,19.17,25.32,4.08,17.1,28.1,19.58,15.24,44.64,20.35,9.21,9.69,13.14,19.36,17.86
2018-01-12,9.5,14.12,40.92,2.47,4.89,6.88,5.31,5.67,5.88,4.17,3.37,2.2,4.16,11.09,14.54,6.24,18.03,41.35,11.61,5.79,7.78,14.28,7.87,29.03,4.92,10.07,27.87,9.06,13.83,8.08,24.32,6.66,3.36,2.87,9.85,3.02,1.28,42.37,5.24,2.23,3.25,14.96,20.33,31.78,7.69,37.94,24.18,5.71,27.85,6.25,9.33,16.21,4.15,13.06,12.63,8.59,6.02,6.97,4.52,62.13,6.94,23.67,27.6,8.49,27.78,14.94,20.55,503.62,12.47,23.66,15.55,31.04,15.53,5.93,18.18,9.72,6.93,11.23,18.54,7.11,6.05,17.05,24.01,5.27,5.1,16.9,20.84,15.88,2.29,25.06,10.48,11.68,17.66,4.99,25.99,25.01,9.14,5.9,3.57,4.59,11.46,14.01,5.66,12.36,6.01,4.22,9.66,4.56,33.79,,7.88,14.99,11.71,5.8,,28.74,9.64,4.6,9.44,12.73,14.99,6.59,4.71,0.05,5.74,4.42,15.87,2.14,54.88,3.35,5.05,54.22,49.61,5.95,7.03,3.71,7.27,8.09,30.77,21.13,9.95,3.94,25.38,9.48,4.74,6.6,16.46,6.56,10.62,12.18,11.25,10.29,2.54,,,6.16,20.14,15.25,8.5,37.44,3.73,2.6,6.74,-2.2,9.86,4.7,5.99,2.18,6.07,3.77,5.44,7.44,4.17,,92.93,,37.47,21.68,35.89,77.91,24.36,163.12,6.53,10.44,29.69,33.42,8.14,2.91,2.14,4.77,40.35,5.08,10.49,11.67,9.31,5.99,52.96,3.39,43.16,55.97,16.67,44.4,5.5,7.96,2.35,35.01,83.81,8.2,26.01,3.57,5.47,8.11,15.92,14.48,6.46,18.36,15.99,23.14,8.95,61.21,7.47,15.09,4.37,25.08,5.77,7.19,27.57,4.48,9.27,17.52,13.07,11.39,52.21,12.67,9.17,20.58,15.99,9.67,8.32,14.41,14.8,18.79,13.3,9.35,10.4,12.98,15.04,42.25,21.11,15.2,19.36,11.62,39.09,107.75,19.24,17.55,46.7,26.49,35.87,22.27,21.53,19.53,30.09,39.56,23.78,9.44,6.12,45.96,14.27,35.29,31.86,19.4,9.44,11.41,18.15,14.11,11.65,8.6,8.6,40.92,9.79,,22.41,5.28,9.94,18.78,24.29,4.05,16.51,27.78,19.78,15.29,43.47,20.18,9.16,9.49,12.85,19.39,17.35
2018-01-15,9.61,14.57,42.63,2.41,4.76,6.92,5.36,5.7,5.61,4.1,3.12,2.11,4.3,11.17,14.65,6.11,18.46,38.9,12.51,5.57,7.64,13.95,7.61,28.33,4.73,9.97,27.46,8.68,13.01,8.15,23.6,6.35,3.36,2.85,9.97,2.97,0.7,41.85,4.97,2.14,3.25,14.9,19.66,31.73,7.75,37.94,24.65,5.73,28.24,5.98,9.58,16.44,4.02,12.7,12.65,8.26,6.23,6.51,4.35,61.04,6.57,22.81,27.72,8.47,26.77,13.45,20.34,500.57,11.74,23.45,15.76,30.17,14.92,6.1,17.99,9.35,6.94,11.0,17.64,7.0,6.2,17.6,22.25,5.21,4.96,16.99,20.39,14.1,2.25,26.49,10.34,11.49,17.77,4.88,25.56,23.53,9.23,5.64,3.58,4.61,11.24,13.73,5.61,12.11,5.91,4.31,9.07,4.5,33.21,,7.04,14.57,11.79,5.61,,28.84,9.71,4.66,9.24,12.08,14.7,6.29,4.71,-0.35,5.6,4.51,15.57,2.25,58.12,3.46,4.76,57.19,46.45,5.87,6.94,3.89,7.13,8.09,32.88,21.41,9.68,3.82,26.43,9.36,4.77,6.46,16.11,6.33,10.3,11.97,10.94,10.91,2.59,,,6.22,19.35,14.44,8.22,39.25,3.59,2.67,6.58,-2.46,9.66,4.88,5.89,2.27,5.9,3.61,5.3,7.62,4.29,,89.12,,37.7,22.05,33.61,81.79,23.54,163.12,6.4,11.09,31.23,34.01,8.28,2.94,2.08,4.7,40.71,5.0,10.62,10.7,9.03,5.74,52.25,3.41,41.91,56.3,16.68,46.16,5.37,8.07,2.3,36.31,83.96,8.2,26.01,3.44,5.67,7.78,15.31,14.41,6.3,18.6,15.53,22.18,8.63,61.59,7.47,16.15,4.18,23.23,5.63,7.19,26.82,4.12,8.63,17.64,13.05,11.22,51.79,12.92,9.28,22.19,16.16,9.14,8.7,14.45,14.51,17.98,13.9,9.84,9.99,12.23,14.39,42.38,20.33,14.86,19.31,11.53,38.45,105.78,18.42,17.18,45.45,26.23,35.64,22.18,21.59,18.93,26.77,36.44,23.49,9.06,5.88,46.64,13.35,33.68,31.84,18.76,8.79,11.32,17.54,14.24,11.16,8.15,8.41,38.72,9.3,13.95,22.17,5.16,10.48,18.2,22.69,3.85,16.14,27.74,19.28,14.86,43.82,19.74,8.96,9.12,12.42,17.92,16.93
