Date,600000.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600025.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600048.SS,600050.SS,600061.SS,600079.SS,600085.SS,600104.SS,600109.SS,600111.SS,600115.SS,600132.SS,600143.SS,600150.SS,600161.SS,600176.SS,600183.SS,600196.SS,600276.SS,600309.SS,600332.SS,600346.SS,600352.SS,600362.SS,600383.SS,600406.SS,600426.SS,600436.SS,600438.SS,600489.SS,600519.SS,600547.SS,600570.SS,600584.SS,600585.SS,600588.SS,600600.SS,600606.SS,600655.SS,600660.SS,600690.SS,600741.SS,600745.SS,600760.SS,600763.SS,600795.SS,600809.SS,600837.SS,600845.SS,600848.SS,600872.SS,600886.SS,600887.SS,600893.SS,600900.SS,600905.SS,600918.SS,600919.SS,600926.SS,600958.SS,600989.SS,600999.SS,601006.SS,601009.SS,601012.SS,601021.SS,601066.SS,601088.SS,601100.SS,601108.SS,601111.SS,601138.SS,601155.SS,601162.SS,601166.SS,601169.SS,601186.SS,601211.SS,601216.SS,601225.SS,601229.SS,601231.SS,601236.SS,601238.SS,601288.SS,601318.SS,601319.SS,601328.SS,601336.SS,601360.SS,601377.SS,601390.SS,601398.SS,601600.SS,601601.SS,601607.SS,601618.SS,601628.SS,601633.SS,601658.SS,601668.SS,601669.SS,601688.SS,601696.SS,601698.SS,601728.SS,601766.SS,601788.SS,601799.SS,601800.SS,601808.SS,601816.SS,601818.SS,601838.SS,601857.SS,601865.SS,601868.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601916.SS,601919.SS,601933.SS,601939.SS,601966.SS,601985.SS,601988.SS,601989.SS,601990.SS,601995.SS,601998.SS,603019.SS,603087.SS,603160.SS,603195.SS,603233.SS,603259.SS,603260.SS,603288.SS,603338.SS,603369.SS,603392.SS,603486.SS,603501.SS,603517.SS,603658.SS,603659.SS,603799.SS,603806.SS,603833.SS,603882.SS,603899.SS,603939.SS,603986.SS,603993.SS,605499.SS,688008.SS,688009.SS,688012.SS,688036.SS,688111.SS,688126.SS,688169.SS,688363.SS,688396.SS,688561.SS,688599.SS,688981.SS,000001.SZ,000002.SZ,000063.SZ,000066.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000301.SZ,000333.SZ,000338.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000651.SZ,000661.SZ,000703.SZ,000708.SZ,000725.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000800.SZ,000858.SZ,000876.SZ,000895.SZ,000938.SZ,000963.SZ,000977.SZ,001979.SZ,002001.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002032.SZ,002044.SZ,002049.SZ,002050.SZ,002064.SZ,002120.SZ,002129.SZ,002142.SZ,002157.SZ,002179.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002410.SZ,002414.SZ,002415.SZ,002459.SZ,002460.SZ,002466.SZ,002475.SZ,002493.SZ,002555.SZ,002568.SZ,002594.SZ,002600.SZ,002601.SZ,002602.SZ,002607.SZ,002624.SZ,002709.SZ,002714.SZ,002736.SZ,002791.SZ,002812.SZ,002821.SZ,002841.SZ,002916.SZ,002938.SZ,003816.SZ,300003.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300142.SZ,300144.SZ,300274.SZ,300316.SZ,300347.SZ,300408.SZ,300413.SZ,300433.SZ,300450.SZ,300498.SZ,300529.SZ,300558.SZ,300595.SZ,300601.SZ,300628.SZ,300676.SZ,300677.SZ,300750.SZ,300759.SZ,300760.SZ,300782.SZ,300866.SZ,300888.SZ,300896.SZ,300999.SZ
2021-01-04,7.33,76.5,1.16,3.45,4.3,3.96,3.82,4.11,3.38,2.24,5.9,24.23,32.53,32.67,12.92,3.62,8.4,30.5,21.5,21.48,15.79,12.53,4.62,108.29,16.5,17.73,27.78,15.77,24.21,50.97,91.58,84.6,24.93,25.3,11.52,17.99,11.39,12.87,19.18,269.93,36.74,7.6,1754.77,23.28,57.65,41.73,43.79,45.35,92.28,4.74,8.38,42.75,26.62,25.28,99.71,41.97,190.59,1.51,251.19,12.07,25.56,15.48,65.38,7.06,40.74,64.55,13.8,,17.67,2.67,11.09,9.91,9.81,21.17,4.13,5.02,50.19,55.34,40.19,4.56,108.76,10.38,7.4,10.95,31.54,6.07,13.46,3.01,6.46,14.51,3.36,1.67,5.1,17.42,15.01,12.15,1.79,71.41,5.64,2.35,48.53,15.23,7.22,4.22,3.22,3.29,31.78,16.33,2.43,34.11,36.06,3.23,3.38,3.24,15.64,28.23,19.05,,4.2,17.11,190.16,5.89,12.2,5.27,2.82,5.24,2.07,42.61,,37.42,14.38,10.84,285.55,2.37,8.29,10.95,2.86,2.77,7.05,3.98,37.03,3.95,1.81,4.25,11.66,73.74,3.14,33.26,135.81,153.78,64.93,41.48,108.3,29.34,112.21,98.88,54.7,76.56,84.64,168.65,80.04,95.77,29.4,64.44,26.62,117.93,124.66,87.12,38.39,138.7,5.65,,79.27,4.98,106.94,101.89,414.94,33.62,249.47,150.01,61.85,133.18,22.65,58.26,15.98,24.89,32.13,20.56,6.4,6.07,8.46,4.89,8.77,82.65,13.58,4.53,76.78,218.62,258.06,10.56,48.9,463.66,12.03,19.28,5.42,38.01,14.09,7.5,37.43,10.21,273.09,24.62,39.12,20.17,23.47,26.57,11.02,20.16,39.55,42.34,7.65,8.17,61.26,11.55,99.8,25.38,9.38,15.12,20.9,29.43,18.04,44.02,14.44,40.61,17.71,35.56,7.2,35.75,226.48,64.62,86.42,140.09,56.49,16.86,44.65,21.08,76.99,37.65,53.06,17.61,27.39,56.36,66.1,11.54,27.48,7.02,34.2,27.41,31.88,55.83,11.55,146.8,152.61,205.88,109.3,79.57,43.68,2.28,25.02,91.67,30.45,78.66,18.29,93.41,61.47,38.04,16.88,52.3,30.19,164.5,35.08,71.83,29.01,52.78,17.95,68.57,101.91,57.48,102.51,44.22,125.79,87.38,203.92,52.65,405.69,212.23,116.38,115.21,267.05,123.42
2021-01-05,7.32,76.31,1.15,3.35,4.35,3.93,3.82,3.96,3.27,2.23,5.85,24.19,34.28,31.68,12.73,3.58,8.45,29.96,22.84,20.64,17.09,12.64,4.61,117.82,16.95,17.7,28.05,15.4,24.92,50.6,93.27,88.1,26.54,28.15,12.04,17.6,11.27,13.12,20.84,286.33,37.59,7.64,1817.22,23.84,59.54,43.49,43.32,46.24,97.8,4.74,9.36,42.8,28.39,24.8,106.62,43.75,201.79,1.46,259.77,11.99,25.42,15.39,69.25,6.98,44.31,66.56,13.79,,17.19,2.65,10.57,9.91,10.47,20.94,4.19,4.99,52.62,55.4,40.07,4.22,113.28,10.32,7.39,11.1,32.65,6.15,12.67,3.01,6.43,14.6,3.31,1.59,5.14,18.29,14.83,11.42,1.79,70.5,5.58,2.36,46.94,14.93,7.23,4.28,3.18,3.31,31.33,16.42,2.44,33.77,36.24,3.23,3.35,3.24,15.68,27.25,19.81,,4.27,17.73,193.2,5.87,11.66,5.24,2.79,4.85,2.06,42.82,,36.65,14.33,11.02,286.32,2.27,8.46,10.12,2.85,3.09,7.08,3.93,37.18,3.86,1.81,4.21,11.69,71.69,3.14,33.28,142.11,158.08,68.85,43.23,112.36,29.58,112.65,103.77,60.69,80.78,84.54,185.69,83.34,96.77,30.85,65.36,26.91,117.61,124.01,89.86,39.13,146.04,5.49,,82.11,5.03,106.59,104.34,402.45,34.58,241.65,148.58,63.99,139.0,21.66,58.77,15.55,25.02,32.31,20.51,6.42,6.26,8.99,4.87,9.36,85.18,14.02,4.63,85.71,236.07,270.39,10.17,51.26,467.2,12.43,19.7,5.66,37.05,14.01,7.51,37.53,9.81,295.02,26.43,43.92,20.67,23.38,27.08,11.03,22.55,41.98,42.81,7.58,8.0,59.64,12.11,101.8,25.94,9.46,15.69,21.27,29.93,18.68,42.99,14.27,41.9,19.75,37.3,7.18,37.88,243.2,67.49,89.44,143.87,56.12,17.83,49.63,20.68,82.11,37.45,55.24,18.55,28.95,55.13,70.48,11.97,30.37,7.05,34.44,28.15,32.96,61.89,11.57,148.8,163.06,209.94,110.81,88.18,48.07,2.25,26.01,93.38,30.83,79.53,18.42,91.12,61.86,37.77,16.59,51.31,30.71,168.87,34.43,68.15,32.58,53.53,18.38,70.3,101.5,63.65,96.28,46.79,126.26,90.29,202.75,54.64,407.83,227.87,113.22,118.58,272.91,121.28
2021-01-06,7.46,76.5,1.15,3.38,4.36,3.95,3.79,3.97,3.38,2.32,5.75,24.61,34.69,33.65,12.86,3.68,8.32,30.16,22.52,20.9,16.5,12.59,4.61,118.44,17.06,17.98,28.22,15.5,24.0,51.81,93.68,88.9,26.06,29.04,12.14,17.68,11.41,12.64,21.5,284.4,37.49,7.52,1857.77,23.47,56.01,41.59,47.39,45.93,98.75,4.79,10.44,42.7,28.26,25.62,106.22,45.44,210.93,1.47,266.45,12.0,24.3,15.22,69.78,7.23,43.94,67.76,14.11,,16.92,2.66,11.05,9.82,11.15,21.86,4.23,5.05,53.71,53.56,42.11,4.52,117.69,10.25,7.35,11.02,32.11,6.02,13.54,3.02,6.79,14.59,3.2,1.67,5.14,18.0,15.0,11.55,1.79,71.97,5.66,2.38,47.2,15.9,7.18,4.44,3.18,3.24,31.6,16.54,2.48,35.27,35.57,3.26,3.42,3.31,15.86,26.74,19.11,,4.81,17.08,189.84,6.1,12.7,5.32,2.85,5.05,2.13,42.53,,37.17,14.1,10.91,281.3,2.26,8.75,9.7,2.85,3.06,7.08,3.99,37.05,4.01,1.82,4.31,11.56,71.2,3.14,33.12,153.63,150.23,67.62,44.67,113.82,32.4,115.77,101.56,61.33,88.98,83.38,193.8,84.13,105.15,31.61,65.9,26.37,119.26,128.18,87.44,38.93,142.34,5.87,,86.01,5.14,103.93,101.96,392.9,33.91,247.63,147.22,61.8,136.2,21.21,60.55,16.94,25.86,31.43,20.16,6.32,6.16,8.97,4.82,10.34,84.6,13.84,4.56,85.06,240.07,263.9,10.22,50.07,499.81,12.51,20.14,5.64,37.6,13.96,7.39,38.16,9.72,303.34,25.7,43.84,20.26,25.2,26.44,11.04,22.34,43.35,43.06,7.58,8.53,61.41,12.26,101.31,25.54,10.51,15.32,20.71,31.32,18.47,42.71,14.85,41.35,19.94,36.5,7.28,40.77,236.1,68.24,88.51,139.62,55.09,17.88,50.27,19.39,83.79,40.56,54.55,19.02,28.62,54.75,69.28,11.57,30.97,6.85,33.56,27.5,31.39,63.82,11.7,147.67,160.41,209.57,107.69,86.56,45.77,2.3,25.62,93.08,31.94,79.13,18.81,98.67,61.34,38.4,16.27,53.71,29.99,163.48,34.04,68.44,33.09,52.13,18.12,69.85,101.1,61.86,99.61,45.73,135.63,101.68,205.4,54.44,421.61,229.62,117.12,127.22,268.53,127.08
2021-01-07,7.45,74.86,1.15,3.35,4.33,3.96,3.77,4.38,3.32,2.33,5.65,24.73,38.12,35.4,12.69,3.57,8.34,28.86,22.2,21.16,16.5,13.03,4.53,119.81,17.28,18.13,27.85,17.26,24.32,50.24,94.75,97.47,25.64,29.86,12.43,19.42,11.06,13.16,22.36,289.86,39.15,7.56,1897.77,23.75,53.25,41.35,46.44,43.41,99.41,4.71,11.62,42.75,29.29,26.55,108.36,47.33,215.89,1.47,286.94,11.97,23.17,14.84,71.58,7.25,45.07,74.6,14.13,,17.14,2.63,11.12,10.1,11.42,21.83,4.2,5.05,57.05,53.92,42.65,4.83,128.22,10.28,7.2,10.88,31.79,6.0,13.91,3.01,6.6,14.65,3.11,2.13,5.12,17.64,14.75,11.44,1.8,72.49,5.59,2.38,47.45,15.43,7.41,4.35,3.21,3.51,32.7,16.12,2.59,35.62,39.33,3.26,3.39,3.29,15.91,28.25,18.81,,5.06,17.48,205.21,6.01,13.25,5.23,2.87,4.88,2.13,43.63,,37.57,14.17,10.99,304.3,2.69,9.43,9.54,2.83,3.45,7.0,4.04,37.48,4.02,1.83,4.3,11.56,71.84,3.14,32.44,154.6,147.21,67.19,42.21,115.66,32.28,120.41,105.29,60.45,85.36,92.13,197.77,85.88,113.58,30.95,70.97,28.49,119.71,135.38,89.73,38.93,140.08,6.48,,82.21,5.03,99.36,95.74,393.65,32.56,251.8,140.15,60.88,132.98,22.08,59.23,17.28,25.9,30.47,19.46,6.22,6.22,9.76,4.84,10.99,88.46,14.21,4.68,91.01,242.77,263.9,11.08,50.7,494.27,12.33,22.14,5.67,38.96,13.98,7.59,40.4,9.8,305.04,25.7,43.14,19.74,25.61,25.82,11.1,23.6,45.17,45.46,7.43,8.77,64.49,11.92,105.27,25.6,11.26,14.58,22.83,31.58,18.65,44.06,15.53,42.05,20.46,37.82,7.12,43.17,235.5,69.62,88.21,138.45,54.94,18.98,53.14,19.88,87.47,45.05,57.49,19.59,26.94,55.44,72.19,11.62,32.01,6.67,33.8,26.33,32.27,65.16,11.69,147.3,162.11,213.33,108.47,92.11,46.8,2.26,24.84,97.28,34.64,81.31,19.73,97.69,64.45,37.79,15.89,60.04,32.55,168.18,34.94,67.54,33.29,53.34,17.87,75.61,101.53,63.63,100.03,46.32,133.5,100.01,208.99,54.6,427.8,224.07,118.86,122.0,276.09,138.41
2021-01-08,7.47,74.99,1.15,3.42,4.34,3.97,3.92,4.58,3.28,2.4,5.71,25.0,38.1,36.1,12.82,3.59,8.36,29.81,22.43,23.48,15.94,12.89,4.59,119.68,18.71,17.63,30.69,16.91,25.5,50.37,93.26,99.48,25.81,29.22,12.22,21.45,11.17,13.52,22.55,286.54,37.19,7.37,1847.77,23.37,53.99,41.23,47.96,42.75,96.3,4.76,12.92,43.28,29.61,28.0,105.51,46.79,216.89,1.47,278.59,12.04,23.22,15.14,70.88,7.22,42.65,73.48,14.24,,16.76,2.63,11.42,9.84,11.37,21.72,4.22,4.98,55.44,53.12,41.88,5.2,122.91,10.33,7.3,11.39,32.07,5.9,14.13,3.02,6.64,14.58,3.25,2.32,5.14,18.2,14.81,11.81,1.8,72.33,5.52,2.38,47.13,17.01,7.18,4.4,3.21,3.44,32.43,16.26,2.53,35.31,40.45,3.34,3.43,3.26,16.02,26.96,18.61,,4.81,17.14,197.39,5.97,13.52,5.21,2.85,4.84,2.17,41.76,,35.7,14.0,10.89,284.3,2.69,9.6,9.26,2.82,4.2,7.12,4.07,37.59,4.02,1.83,4.22,11.53,70.07,3.15,34.41,164.61,153.17,73.06,42.27,115.88,33.82,120.22,104.93,56.75,87.96,95.04,195.28,87.33,105.97,28.26,70.44,27.23,115.61,137.99,90.94,38.96,141.52,6.52,,89.22,5.05,100.47,92.96,394.54,32.33,245.29,135.76,62.26,128.21,21.98,61.59,17.23,26.45,31.7,19.52,6.25,6.33,10.1,4.87,11.39,86.65,14.26,4.6,88.21,233.24,250.17,11.49,50.7,501.36,12.29,22.39,5.93,37.36,14.34,7.46,40.74,10.12,292.04,24.52,42.91,21.76,25.29,28.48,11.36,22.51,48.09,45.86,7.61,9.05,67.09,11.95,99.02,24.84,11.5,14.91,23.77,31.86,17.36,42.16,15.37,42.35,21.06,38.06,7.17,41.77,221.97,66.72,87.53,136.02,55.25,19.24,52.19,18.45,85.81,49.99,59.0,19.36,29.31,54.77,73.01,11.65,33.02,7.03,34.7,27.74,32.99,64.31,11.76,147.19,149.61,203.97,107.09,94.72,45.56,2.27,26.41,95.54,33.97,80.69,19.27,99.16,64.41,38.55,16.3,57.34,32.25,162.68,34.77,69.35,32.43,53.3,17.67,75.93,105.24,63.21,103.28,43.86,138.3,105.78,204.14,50.65,421.71,217.78,120.12,121.95,275.25,144.28
2021-01-11,7.33,72.42,1.14,3.3,4.26,3.91,3.8,4.31,3.23,2.27,5.64,24.32,39.61,37.92,12.67,3.68,8.11,28.31,21.89,24.36,15.9,13.37,4.49,116.2,19.97,17.66,31.49,16.93,25.54,48.13,91.66,99.15,25.16,29.98,11.92,19.71,10.91,12.92,22.97,284.13,34.41,6.85,1857.5,22.5,52.65,42.72,48.02,43.54,94.3,4.69,12.51,48.43,29.28,28.26,111.55,43.11,208.79,1.42,262.02,11.76,22.32,14.8,68.27,7.02,42.02,68.81,14.0,,15.98,2.62,11.94,9.54,11.77,21.22,4.17,4.98,53.27,51.11,40.71,4.63,120.14,9.94,6.86,11.51,33.05,5.7,14.32,2.95,6.46,14.18,3.03,2.04,5.42,18.52,14.51,11.76,1.81,70.26,5.43,2.36,46.46,17.25,7.05,4.32,3.2,3.11,32.69,15.94,2.49,34.03,44.07,3.42,3.34,3.17,15.74,25.93,18.61,,5.06,16.44,198.82,5.8,13.3,5.14,2.87,4.86,2.1,38.93,,34.87,13.68,10.63,291.7,2.39,8.92,9.19,2.79,4.62,7.09,4.18,39.16,3.85,1.81,4.19,11.16,66.9,3.16,34.11,155.69,154.71,70.39,41.82,116.95,34.26,115.99,107.0,55.44,88.7,100.83,202.86,87.63,102.62,25.33,63.9,25.88,114.59,143.21,89.82,38.2,142.68,5.88,,89.04,4.96,105.23,95.64,399.0,32.27,264.21,154.41,64.31,120.42,20.48,62.7,17.76,26.89,32.73,19.89,6.14,6.65,9.67,4.72,12.57,84.64,14.74,4.56,85.12,224.67,230.57,11.34,48.45,480.82,12.52,22.05,5.89,38.15,13.96,7.26,42.92,9.83,276.24,23.53,41.36,22.93,24.27,29.44,11.34,22.22,47.65,45.46,7.46,9.47,66.79,11.88,101.07,23.98,11.3,14.67,22.82,32.32,16.5,39.9,14.36,42.18,20.34,40.22,6.93,42.37,207.74,63.99,87.89,145.55,55.39,17.9,53.85,18.21,87.65,48.21,59.99,19.57,30.6,54.92,75.46,11.91,32.03,6.88,33.13,27.0,29.53,58.83,11.33,162.04,134.41,211.36,106.81,95.88,44.76,2.22,26.28,87.93,32.21,77.81,18.77,96.26,61.27,36.73,15.77,54.32,31.99,162.56,32.57,76.95,35.11,51.29,16.92,72.13,107.54,64.65,96.77,43.4,145.77,123.12,196.09,53.33,425.01,219.9,122.11,121.71,271.75,127.89
2021-01-12,7.42,72.73,1.13,3.31,4.25,3.95,3.8,4.37,3.16,2.36,5.74,26.72,43.43,39.2,12.8,3.74,8.46,28.15,21.83,24.09,16.71,13.63,4.55,116.69,20.21,18.4,31.25,17.92,25.33,49.01,94.0,103.49,25.31,31.86,12.38,19.96,10.87,13.29,23.32,289.95,35.5,6.92,1918.67,22.61,54.81,43.42,48.45,44.73,94.28,4.69,12.23,48.02,31.81,28.62,112.28,45.57,212.01,1.42,269.14,12.5,22.56,14.85,69.0,7.01,43.05,74.06,14.06,,16.75,2.61,12.14,9.9,11.92,23.59,4.2,5.04,55.21,51.77,43.37,4.79,127.13,10.27,7.09,11.72,33.23,5.94,14.66,2.96,6.56,14.94,2.98,2.26,5.47,18.35,14.94,11.6,1.81,74.05,5.59,2.37,48.65,16.97,7.5,4.4,3.23,3.15,33.68,16.19,2.7,37.09,46.72,3.39,3.41,3.27,17.14,27.64,19.21,,5.23,17.25,195.52,5.91,13.53,5.09,2.91,4.82,2.19,39.11,,35.36,14.2,11.24,312.4,2.69,9.15,9.45,2.78,4.37,7.18,4.22,39.89,3.89,1.82,4.41,11.59,72.5,3.16,34.31,170.21,153.78,76.3,46.31,119.0,33.9,118.47,109.2,57.35,97.69,98.31,212.46,90.84,111.76,25.03,66.78,25.9,120.86,138.83,93.37,42.25,144.07,6.0,,90.29,4.99,105.16,92.87,401.44,31.82,265.53,154.94,68.01,114.55,20.69,63.84,18.38,26.81,33.12,19.99,6.2,7.36,10.06,4.92,13.87,87.74,15.13,4.86,89.09,240.07,233.35,10.83,49.66,494.43,12.75,21.86,6.46,39.31,14.88,7.59,45.76,9.8,285.04,23.89,42.22,23.07,24.6,29.67,11.21,23.48,50.67,46.83,7.44,9.42,68.95,12.0,101.34,24.69,11.48,14.59,25.15,33.31,16.99,39.7,14.98,43.62,20.87,41.02,7.11,46.98,208.92,64.69,88.49,150.12,57.18,18.83,56.1,18.8,95.98,53.47,59.36,20.05,29.73,54.78,76.17,12.26,33.84,6.81,35.28,25.09,29.37,59.71,11.8,168.7,126.79,209.42,107.35,96.28,44.55,2.24,26.94,91.51,32.41,85.86,21.75,96.67,62.67,36.52,15.28,58.54,34.69,161.18,35.15,78.7,35.46,54.96,17.17,74.12,111.47,63.42,97.9,46.33,145.99,124.99,202.29,56.42,431.81,222.46,132.03,130.24,293.26,129.08
2021-01-13,7.48,76.6,1.12,3.45,4.25,3.95,3.89,4.52,3.2,2.43,5.76,25.77,41.93,38.9,13.08,3.92,8.28,26.46,21.31,22.98,16.44,14.41,4.6,112.7,20.31,18.66,30.35,17.81,26.47,48.13,92.72,104.17,25.09,31.79,12.58,19.16,10.85,13.34,22.86,302.45,34.44,6.87,1921.77,22.45,51.51,45.57,48.81,43.36,90.3,4.69,12.81,48.41,31.74,28.45,114.89,44.5,208.65,1.46,267.88,12.12,21.74,15.13,68.33,7.24,41.97,77.16,14.32,,15.91,2.62,12.41,9.52,11.95,24.22,4.31,5.02,54.31,51.45,41.69,5.38,126.14,9.87,7.15,12.33,33.31,5.77,14.91,2.99,6.83,14.6,2.91,2.14,5.42,17.68,14.41,11.41,1.82,73.77,5.5,2.38,47.06,17.35,7.43,4.61,3.27,3.16,32.63,16.22,2.9,36.35,47.76,3.45,3.56,3.41,16.78,26.29,19.01,,5.86,17.5,179.68,6.13,15.0,5.16,2.91,4.59,2.24,37.72,,34.58,13.4,11.02,293.29,2.77,8.93,8.88,2.86,5.56,7.42,4.31,40.64,4.25,1.84,4.54,11.21,69.16,3.16,34.97,169.41,156.37,78.44,50.94,112.94,36.0,119.49,104.75,55.01,100.07,104.84,210.44,88.83,110.75,24.91,60.01,24.69,112.61,135.18,90.08,46.71,150.49,5.56,,92.72,5.1,111.85,93.35,388.95,32.39,290.85,163.65,68.67,113.68,19.53,62.66,18.08,27.01,34.52,18.96,6.26,7.94,10.89,4.8,12.87,86.98,16.48,4.92,88.02,243.97,228.1,10.53,50.92,478.2,12.78,21.25,6.52,38.36,14.45,7.32,44.36,10.13,280.37,23.47,44.14,23.9,23.9,30.07,11.04,22.59,49.97,45.67,7.5,9.26,67.58,12.04,102.67,23.96,11.28,15.04,25.4,32.39,16.96,38.87,14.94,45.7,21.34,41.83,7.04,47.82,195.2,63.18,86.24,162.65,57.39,19.13,54.76,18.85,87.56,55.15,61.1,20.32,28.92,53.64,76.94,12.37,34.59,6.72,35.95,24.49,29.61,58.46,11.23,177.0,134.06,204.94,104.43,97.38,45.06,2.33,26.52,88.12,31.99,84.07,22.14,96.59,57.67,35.02,15.38,59.47,34.85,159.18,36.43,82.85,37.69,53.09,17.01,71.62,118.56,64.15,94.65,44.84,146.37,132.78,193.31,56.91,405.22,217.12,132.73,124.66,288.8,119.18
2021-01-14,7.51,72.28,1.13,3.47,4.26,3.95,4.12,4.86,3.21,2.44,5.72,25.12,39.03,38.55,13.1,3.96,8.13,26.86,21.62,23.05,15.76,14.38,4.61,108.95,20.85,18.19,28.92,17.09,26.67,47.1,90.73,100.13,25.31,31.27,12.24,18.41,10.92,13.34,21.44,283.15,33.0,6.9,1891.77,21.89,51.95,45.16,47.7,47.24,86.77,4.85,11.39,46.23,30.46,26.95,120.91,39.94,207.41,1.45,262.31,11.94,22.72,15.27,68.38,7.26,40.33,69.37,14.08,,15.59,2.65,12.24,9.43,11.34,22.38,4.3,4.95,50.64,49.34,40.77,5.19,117.19,9.91,7.12,12.82,33.56,5.73,15.16,3.01,7.1,14.32,2.95,2.24,5.47,18.08,14.37,10.57,1.84,71.5,5.55,2.39,46.99,17.09,7.21,4.98,3.29,3.07,32.93,16.41,2.89,36.62,42.78,3.57,3.61,3.46,16.56,25.33,19.1,,6.55,16.64,182.61,6.32,14.72,5.22,2.9,4.51,2.21,36.18,,34.12,13.11,10.62,273.85,2.58,8.68,8.67,2.84,4.25,7.38,4.28,39.35,4.41,1.85,4.44,11.04,66.38,3.21,35.1,152.99,161.41,71.19,48.43,112.33,35.49,120.64,102.84,54.45,90.28,103.14,206.92,88.13,107.52,23.83,59.74,24.73,111.29,133.09,87.98,45.53,153.56,5.39,,96.7,5.37,120.74,101.18,396.14,36.82,290.28,154.78,68.82,115.4,19.75,64.14,17.55,27.1,33.71,18.78,6.36,7.81,9.68,4.75,12.29,83.24,16.45,4.76,85.01,235.75,217.9,9.56,49.12,454.72,12.25,23.53,6.52,34.46,14.44,7.17,44.41,9.94,264.44,23.31,44.6,23.54,23.77,30.69,11.29,22.91,48.63,45.07,7.5,9.03,66.83,13.25,92.25,23.79,10.85,15.38,23.64,32.2,16.49,37.13,13.95,43.95,21.01,41.72,7.06,44.47,190.5,61.48,84.13,159.22,55.89,18.02,52.09,18.66,84.53,49.98,58.81,19.9,26.98,51.86,71.83,12.18,34.54,6.73,34.15,23.37,28.12,55.16,11.07,178.82,130.64,197.07,103.81,94.62,45.61,2.35,26.47,87.28,31.9,81.11,20.79,91.08,58.26,35.5,15.45,59.9,35.49,159.08,37.59,82.73,38.19,52.34,17.08,71.61,119.54,63.22,91.15,48.9,151.51,133.58,184.42,54.73,397.8,217.12,135.5,115.82,278.47,116.57
2021-01-15,7.56,70.95,1.13,3.41,4.32,4.0,3.97,4.37,3.26,2.45,5.68,25.1,39.17,40.64,13.15,3.92,8.28,28.55,21.62,23.63,15.68,12.92,4.58,112.64,19.43,17.84,27.99,17.32,25.18,48.1,90.44,98.18,25.24,32.35,12.38,18.46,10.9,12.99,21.54,274.14,33.59,6.98,1839.77,21.99,51.84,44.2,47.09,42.48,82.93,4.79,10.93,44.52,29.92,26.76,114.3,40.75,211.33,1.42,249.74,11.95,22.06,15.17,66.11,7.2,40.03,66.16,14.1,,15.71,2.75,12.62,9.46,11.77,22.22,4.34,5.23,51.34,54.47,40.77,5.3,116.96,9.77,7.08,12.4,33.82,5.73,16.52,3.05,6.81,14.32,2.87,2.8,5.58,16.97,13.53,11.71,1.86,73.13,5.64,2.42,47.96,16.82,7.22,4.74,3.36,3.06,34.51,16.27,2.91,37.69,41.46,3.99,3.5,3.37,16.45,25.39,18.28,,6.06,16.7,176.59,6.13,14.58,5.23,3.01,5.15,2.16,36.13,,35.08,13.17,10.47,273.31,2.66,8.81,8.65,2.87,3.52,7.26,4.42,39.4,4.2,1.87,4.38,11.1,66.94,3.25,33.52,152.98,154.14,67.19,48.78,110.25,34.97,114.59,99.46,53.85,85.37,113.87,210.09,85.36,113.61,24.87,61.98,24.71,114.26,133.84,91.34,43.19,150.26,5.48,,97.62,5.21,116.92,104.03,409.9,34.84,290.85,152.12,70.06,115.99,19.86,61.6,18.38,27.06,32.9,18.22,6.3,8.01,10.03,4.74,11.02,83.33,16.2,4.91,82.54,221.27,214.4,9.66,49.4,464.19,12.28,23.02,6.3,33.56,14.62,7.12,44.64,10.01,262.74,22.67,42.62,22.53,23.95,29.17,11.31,22.55,47.03,45.57,7.51,9.28,65.51,13.81,89.72,23.76,11.17,15.47,22.94,32.57,16.43,37.4,13.8,43.44,21.01,40.93,7.03,44.55,187.0,60.92,83.84,156.47,56.66,17.54,53.75,18.87,91.19,55.41,56.39,20.29,27.25,50.72,72.24,11.67,35.65,6.72,33.3,23.2,31.09,53.96,11.2,174.2,136.85,196.97,95.74,95.23,44.22,2.34,25.77,90.18,32.04,79.64,20.51,93.87,57.23,34.78,15.27,56.55,34.09,159.88,37.32,80.08,35.9,52.96,17.05,71.7,119.9,63.0,93.09,48.48,143.8,125.07,190.84,54.42,413.79,221.98,130.22,120.71,272.11,118.3
