Date,600000.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600018.SS,600019.SS,600023.SS,600025.SS,600026.SS,600027.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600039.SS,600048.SS,600050.SS,600061.SS,600066.SS,600085.SS,600089.SS,600104.SS,600111.SS,600115.SS,600150.SS,600160.SS,600161.SS,600176.SS,600183.SS,600188.SS,600196.SS,600219.SS,600233.SS,600276.SS,600309.SS,600332.SS,600346.SS,600362.SS,600372.SS,600377.SS,600406.SS,600415.SS,600426.SS,600436.SS,600438.SS,600460.SS,600482.SS,600489.SS,600515.SS,600519.SS,600547.SS,600570.SS,600584.SS,600585.SS,600588.SS,600600.SS,600660.SS,600674.SS,600690.SS,600741.SS,600745.SS,600760.SS,600795.SS,600803.SS,600809.SS,600837.SS,600845.SS,600875.SS,600886.SS,600887.SS,600893.SS,600900.SS,600905.SS,600918.SS,600919.SS,600926.SS,600938.SS,600941.SS,600958.SS,600989.SS,600999.SS,601006.SS,601009.SS,601012.SS,601021.SS,601059.SS,601066.SS,601088.SS,601100.SS,601111.SS,601117.SS,601127.SS,601136.SS,601138.SS,601166.SS,601169.SS,601186.SS,601211.SS,601225.SS,601229.SS,601236.SS,601238.SS,601288.SS,601318.SS,601319.SS,601328.SS,601336.SS,601360.SS,601377.SS,601390.SS,601398.SS,601600.SS,601601.SS,601607.SS,601618.SS,601628.SS,601633.SS,601658.SS,601668.SS,601669.SS,601688.SS,601689.SS,601698.SS,601699.SS,601728.SS,601766.SS,601788.SS,601799.SS,601800.SS,601808.SS,601816.SS,601818.SS,601838.SS,601857.SS,601865.SS,601868.SS,601872.SS,601877.SS,601878.SS,601881.SS,601888.SS,601898.SS,601899.SS,601901.SS,601916.SS,601919.SS,601939.SS,601985.SS,601988.SS,601989.SS,601995.SS,601998.SS,603019.SS,603195.SS,603259.SS,603260.SS,603288.SS,603296.SS,603369.SS,603392.SS,603501.SS,603659.SS,603799.SS,603806.SS,603833.SS,603986.SS,603993.SS,605117.SS,605499.SS,688008.SS,688009.SS,688012.SS,688036.SS,688041.SS,688082.SS,688111.SS,688126.SS,688169.SS,688187.SS,688223.SS,688256.SS,688271.SS,688303.SS,688396.SS,688472.SS,688506.SS,688599.SS,688981.SS,000001.SZ,000002.SZ,000063.SZ,000100.SZ,000157.SZ,000166.SZ,000301.SZ,000333.SZ,000338.SZ,000408.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000617.SZ,000625.SZ,000630.SZ,000651.SZ,000661.SZ,000708.SZ,000725.SZ,000768.SZ,000776.SZ,000786.SZ,000792.SZ,000800.SZ,000807.SZ,000858.SZ,000876.SZ,000895.SZ,000938.SZ,000963.SZ,000975.SZ,000977.SZ,000983.SZ,000999.SZ,001289.SZ,001965.SZ,001979.SZ,002001.SZ,002007.SZ,002027.SZ,002028.SZ,002049.SZ,002050.SZ,002074.SZ,002129.SZ,002142.SZ,002179.SZ,002180.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002415.SZ,002422.SZ,002459.SZ,002460.SZ,002463.SZ,002466.SZ,002475.SZ,002493.SZ,002555.SZ,002594.SZ,002601.SZ,002648.SZ,002709.SZ,002714.SZ,002736.SZ,002812.SZ,002916.SZ,002920.SZ,002938.SZ,003816.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300274.SZ,300308.SZ,300316.SZ,300347.SZ,300394.SZ,300408.SZ,300413.SZ,300418.SZ,300433.SZ,300442.SZ,300450.SZ,300498.SZ,300502.SZ,300628.SZ,300661.SZ,300750.SZ,300759.SZ,300760.SZ,300782.SZ,300832.SZ,300896.SZ,300979.SZ,300999.SZ,301269.SZ
2024-01-02,5.45,31.19,1.45,7.13,4.81,3.16,4.56,5.31,4.31,8.26,11.63,4.74,4.93,5.75,18.38,12.69,21.59,6.56,8.82,3.92,6.3,7.87,52.6,13.06,12.97,19.02,3.85,29.35,15.3,25.42,8.91,15.64,13.7,24.27,2.26,11.25,43.87,71.55,26.42,11.8,15.79,12.82,9.0,20.38,6.24,19.79,231.32,23.75,22.29,17.62,9.34,3.69,1550.67,22.27,27.75,29.18,19.84,17.4,65.4,32.48,14.36,18.78,14.57,41.31,41.14,3.77,13.81,211.36,9.19,37.95,13.84,12.5,22.47,36.81,20.92,4.23,6.67,5.14,8.02,17.89,87.17,8.08,13.44,12.26,6.41,5.83,22.03,48.33,17.47,22.33,25.85,52.97,7.37,5.9,70.94,16.85,12.65,11.66,3.63,6.93,13.54,17.74,4.52,7.12,8.57,2.94,32.76,4.35,4.7,27.15,8.31,5.53,5.2,3.87,5.23,20.57,15.65,2.95,26.05,23.55,3.58,3.93,4.5,12.63,46.72,17.08,20.54,4.75,4.73,14.63,123.84,6.83,14.1,4.62,2.43,8.47,5.97,25.14,2.03,5.24,19.73,10.0,10.93,77.2,8.91,11.31,7.67,2.08,7.07,5.36,7.13,3.3,4.13,36.86,4.23,38.22,41.56,66.25,50.47,34.34,37.98,43.81,76.93,101.95,19.73,30.1,16.2,59.75,88.89,4.6,24.06,99.18,56.74,4.05,97.38,88.41,71.84,100.52,300.4,17.22,138.42,33.49,8.49,89.53,139.07,28.74,43.46,12.33,142.0,27.21,52.96,7.29,10.15,24.3,4.05,5.81,4.22,9.46,43.89,12.51,22.4,5.06,42.24,160.16,209.44,5.07,15.44,3.03,25.71,138.24,12.46,3.73,22.05,13.3,22.32,15.74,8.22,11.0,120.43,9.34,23.0,18.56,38.15,13.72,32.25,9.19,27.94,19.38,9.1,8.44,15.1,20.22,5.14,51.05,64.87,27.36,20.7,14.91,17.02,37.05,22.08,44.8,16.42,20.01,7.49,15.63,95.46,41.65,35.9,175.88,31.02,27.16,19.44,40.57,20.52,54.07,33.32,9.98,16.53,61.84,15.39,13.58,23.47,38.77,7.37,53.34,49.83,119.92,19.67,2.93,39.37,14.75,103.07,13.6,58.75,60.89,57.8,77.25,41.46,52.04,31.07,28.25,24.31,36.52,11.82,23.24,24.25,19.28,23.45,24.21,65.89,138.14,27.67,280.07,132.67,74.67,197.16,47.59,32.38,104.55
2024-01-03,5.49,31.16,1.46,7.46,4.88,3.16,4.65,5.44,4.43,8.33,11.89,4.92,5.02,5.75,18.49,12.56,21.78,6.63,8.8,3.95,6.32,8.27,52.65,13.22,13.05,18.95,3.84,29.8,15.35,25.51,8.88,15.27,14.17,24.38,2.3,11.19,43.63,71.43,26.81,11.82,15.78,12.75,9.29,20.68,6.23,19.84,230.02,23.96,22.08,17.64,9.31,3.69,1559.66,22.13,26.81,27.63,19.96,17.28,65.33,32.81,14.51,18.75,14.5,40.68,40.8,3.86,13.8,210.64,9.2,37.34,13.89,12.58,22.26,36.53,21.0,4.28,6.68,5.16,7.99,18.06,86.34,8.07,13.6,12.3,6.45,5.85,22.22,49.08,17.43,22.27,26.45,53.67,7.33,5.97,70.48,16.7,12.33,11.51,3.66,6.98,13.63,17.89,4.55,7.15,8.5,3.0,32.69,4.41,4.77,27.47,8.19,5.54,5.27,3.92,5.21,20.89,15.82,2.97,26.17,23.05,3.62,3.97,4.56,12.8,46.12,16.88,20.72,4.77,4.75,14.7,120.34,6.93,14.17,4.62,2.46,8.51,6.11,25.34,2.04,5.51,19.64,9.97,11.11,77.03,9.06,11.35,7.65,2.1,7.13,5.43,7.4,3.34,4.14,36.83,4.31,37.53,41.8,65.85,50.49,34.17,36.41,44.09,74.68,97.88,19.68,30.22,16.47,59.71,84.97,4.56,24.23,100.74,55.68,4.06,96.97,90.48,72.15,100.06,263.97,17.24,140.24,33.43,8.44,84.87,142.35,29.1,43.48,12.28,138.99,27.3,52.48,7.28,10.13,24.03,4.04,5.85,4.23,9.52,43.78,12.64,22.62,5.09,42.45,157.89,202.38,5.14,14.99,2.98,25.48,137.32,12.64,3.71,21.73,13.27,22.43,15.76,8.17,10.64,119.31,9.28,23.02,18.25,38.23,13.91,31.48,9.61,28.02,19.45,9.14,8.41,15.08,20.35,5.22,51.13,63.09,25.62,20.7,14.79,16.8,36.1,20.93,42.98,16.23,19.31,7.64,15.68,95.11,40.26,35.49,176.01,30.31,26.85,19.27,40.66,20.1,53.97,32.01,10.03,16.9,62.03,15.53,13.84,23.6,38.34,7.43,53.35,48.58,114.96,19.3,3.0,39.44,14.59,102.86,13.51,57.9,59.69,57.63,73.22,41.42,51.01,30.4,27.35,24.83,35.27,11.62,23.17,24.21,19.01,22.71,23.93,62.65,137.11,27.38,276.4,128.67,73.81,196.82,46.42,32.38,102.95
2024-01-04,5.47,30.68,1.44,7.55,4.91,3.16,4.66,5.45,4.45,8.32,11.87,4.94,5.0,5.62,18.31,12.42,21.82,6.62,8.54,3.91,6.2,7.98,52.9,13.17,12.97,18.53,3.76,29.35,15.49,24.96,8.71,15.0,14.64,24.36,2.28,11.14,43.19,71.04,26.79,11.81,15.84,12.66,9.49,20.66,6.18,19.79,225.71,23.4,21.62,17.45,9.28,3.64,1534.66,22.18,25.55,26.73,19.85,16.91,64.05,32.9,14.45,18.79,14.37,40.4,40.08,3.84,13.9,207.07,9.1,37.34,13.89,12.52,22.17,36.1,21.04,4.24,6.61,5.16,7.93,18.3,87.63,8.1,13.34,12.18,6.51,5.85,21.81,48.75,17.23,22.01,26.9,51.9,7.1,5.9,67.11,16.74,11.92,11.45,3.69,6.94,13.56,18.42,4.58,7.04,8.39,3.05,32.19,4.38,4.82,26.9,7.97,5.49,5.24,3.97,5.18,20.93,15.81,2.93,24.91,22.74,3.65,3.93,4.52,12.74,45.57,16.57,20.87,4.72,4.72,14.61,119.23,6.87,14.19,4.54,2.47,8.4,6.26,25.56,2.03,5.65,19.44,9.82,10.98,75.2,9.29,11.33,7.55,2.11,7.29,5.48,7.42,3.43,4.13,36.4,4.37,38.05,41.36,64.91,49.36,32.93,36.18,42.62,74.48,97.12,19.37,29.28,16.61,58.79,80.21,4.51,23.65,99.24,55.01,4.01,96.61,88.45,74.38,98.93,268.72,16.73,133.61,32.89,8.3,84.63,145.23,28.58,42.95,12.13,136.82,26.85,51.88,7.19,9.93,23.64,3.96,5.84,4.19,9.43,44.58,12.75,23.4,5.01,42.2,152.29,196.65,5.08,14.49,2.99,25.63,138.13,12.6,3.66,21.22,13.2,22.72,15.51,8.12,10.45,116.75,9.16,23.07,17.94,36.49,14.01,30.84,9.62,27.58,19.02,9.15,8.26,15.0,20.21,5.16,51.2,61.18,26.05,20.34,14.32,16.38,36.15,20.77,41.4,15.94,18.93,7.68,15.3,91.61,39.63,34.95,172.88,29.83,26.38,18.81,39.62,19.97,52.31,31.84,10.01,16.61,61.98,15.46,13.7,22.91,38.23,7.3,51.76,47.29,111.82,18.75,3.02,38.12,14.29,101.71,13.26,56.96,59.09,55.83,72.51,39.81,49.44,30.08,27.32,24.35,34.35,11.4,22.88,23.87,18.85,23.25,23.46,59.62,132.51,26.97,272.41,126.96,72.65,190.27,46.4,31.8,102.01
2024-01-05,5.53,30.46,1.43,7.48,5.01,3.21,4.68,5.48,4.46,8.26,11.62,4.94,4.93,5.58,18.1,12.34,22.3,6.63,8.56,3.88,6.16,7.84,51.8,13.11,12.89,18.24,3.74,29.07,15.8,24.67,8.59,14.73,14.75,23.96,2.25,11.04,41.35,71.08,26.49,11.7,15.68,12.22,9.59,20.47,6.07,19.62,225.21,23.1,21.17,17.21,9.13,3.61,1529.02,22.13,25.41,26.38,19.98,16.49,63.45,33.11,14.3,19.4,14.53,39.37,38.8,3.83,13.99,204.79,9.04,37.2,13.48,12.52,22.32,34.8,20.98,4.21,6.59,5.26,8.29,18.15,86.69,8.0,13.21,12.17,6.5,5.92,21.41,49.05,16.85,21.79,26.92,51.65,7.02,5.88,67.73,16.54,11.75,11.64,3.73,7.0,13.56,18.51,4.62,6.95,8.36,3.01,32.26,4.4,4.83,26.83,7.7,5.44,5.3,3.95,5.14,20.98,15.52,2.94,24.86,22.54,3.72,3.96,4.5,12.72,44.59,16.05,21.0,4.72,4.69,14.46,118.08,6.96,14.11,4.49,2.51,8.7,6.32,24.86,2.03,5.65,19.25,9.74,10.89,73.62,9.36,11.29,7.49,2.13,7.23,5.46,7.38,3.41,4.08,35.99,4.61,36.34,40.88,63.86,48.03,32.07,35.83,42.36,80.03,96.61,18.73,28.75,16.08,59.45,78.61,4.58,23.08,98.05,54.78,4.0,96.14,87.34,71.21,97.52,266.92,16.76,136.14,32.17,8.18,82.95,139.15,28.43,42.69,11.9,128.35,25.98,50.58,7.35,9.99,23.25,4.01,5.8,4.22,9.32,44.93,12.78,23.14,4.97,41.74,150.39,197.87,5.11,14.09,2.97,26.66,132.63,12.45,3.65,20.51,13.21,23.4,15.41,8.01,10.49,115.67,8.98,23.14,17.41,34.25,13.78,29.83,9.59,26.95,18.94,9.04,8.16,14.94,19.78,5.19,51.31,60.41,26.0,20.25,13.92,16.8,34.85,20.48,40.64,15.44,19.04,7.66,14.9,90.92,39.58,34.94,171.3,29.68,25.45,18.29,40.88,19.05,52.65,31.84,10.0,16.18,61.87,15.14,13.79,22.19,37.71,7.26,50.86,46.95,110.91,18.2,3.01,38.01,13.94,98.93,13.08,55.46,58.64,54.04,69.65,38.36,48.85,28.97,27.11,23.5,33.13,11.19,22.4,23.55,18.88,21.79,22.86,59.85,132.21,26.75,270.29,126.17,70.65,186.72,46.15,31.29,100.36
2024-01-08,5.44,29.9,1.41,7.58,5.0,3.16,4.67,5.45,4.41,8.17,11.84,5.01,4.88,5.5,17.73,12.18,22.14,6.6,8.45,3.82,6.04,9.17,51.46,13.14,12.67,17.86,3.68,29.0,15.85,24.04,8.43,14.29,14.42,23.62,2.22,10.66,40.51,69.51,26.18,11.55,15.71,12.02,9.53,20.2,5.92,19.12,222.11,23.06,20.69,16.6,8.94,3.5,1509.65,21.61,24.59,25.56,19.93,15.76,62.08,33.44,14.28,19.18,14.47,38.58,37.38,3.77,14.0,203.08,8.94,36.55,13.36,12.49,22.35,34.19,20.84,4.15,6.47,5.26,8.12,18.14,86.83,7.86,13.21,11.88,6.52,5.85,21.44,48.19,16.66,21.34,27.12,50.81,6.89,5.75,64.98,16.32,11.53,11.53,3.73,6.83,13.35,18.64,4.59,6.81,8.19,3.0,31.74,4.28,4.81,26.12,7.49,5.35,5.2,3.96,5.14,20.65,15.4,2.88,24.3,21.9,3.69,3.91,4.43,12.42,42.77,15.63,20.9,4.73,4.65,14.07,115.72,6.67,14.03,4.4,2.5,8.68,6.3,24.39,2.01,5.68,18.92,9.54,10.63,72.0,9.32,11.12,7.35,2.12,7.18,5.47,7.38,3.39,4.04,33.85,4.5,34.91,40.13,63.21,48.39,31.63,35.87,41.64,86.68,93.26,18.36,27.9,15.9,56.72,76.52,4.63,24.48,96.33,53.72,3.9,91.8,87.25,67.89,94.59,257.37,15.94,130.68,31.18,8.13,80.93,137.52,27.96,40.72,12.04,125.26,25.98,49.5,7.23,9.82,22.1,4.07,5.75,4.11,9.24,44.33,12.61,23.22,4.92,41.22,147.45,198.85,4.97,13.99,2.96,26.58,130.45,12.28,3.74,19.81,13.04,23.02,15.08,7.88,10.36,112.53,8.51,23.08,16.8,33.12,13.5,29.29,9.48,26.76,18.49,9.01,8.0,14.6,19.41,5.29,51.22,58.41,25.07,19.88,13.7,16.33,33.73,19.9,39.71,15.3,18.65,7.36,14.73,89.24,38.23,35.0,165.42,28.93,25.16,18.56,41.57,18.46,52.3,30.67,9.79,15.9,60.78,14.89,13.45,21.57,36.34,7.08,49.48,45.54,108.58,17.66,3.05,37.67,14.09,102.79,12.87,54.86,57.44,54.18,68.77,37.4,47.72,28.8,25.38,22.88,34.07,10.73,21.78,23.02,18.56,21.41,22.08,57.19,131.31,25.98,265.7,121.11,71.25,195.1,46.15,30.64,99.34
2024-01-09,5.46,30.44,1.41,7.68,5.0,3.2,4.74,5.44,4.42,8.04,11.35,4.97,4.89,5.71,17.77,12.14,22.18,6.57,8.51,3.7,6.09,9.32,51.21,13.29,12.77,18.04,3.74,28.64,15.35,24.38,8.48,14.6,14.91,23.53,2.28,10.78,40.6,68.2,26.11,11.6,16.11,11.9,9.64,20.11,5.96,19.22,217.01,23.66,20.79,16.93,8.82,3.54,1506.66,21.67,24.56,25.43,19.93,15.31,62.36,32.95,14.12,19.4,14.65,38.73,37.43,3.77,14.12,200.58,8.86,36.15,13.3,12.43,22.51,34.01,20.78,4.16,6.48,5.3,8.17,18.07,86.3,7.72,13.16,11.87,6.54,5.92,22.07,50.21,16.29,21.13,27.52,52.71,7.08,5.78,63.65,16.13,11.64,11.51,3.75,6.86,13.2,18.8,4.65,6.77,8.22,3.0,31.67,4.32,4.8,25.8,7.51,5.27,5.26,3.96,5.12,20.42,15.33,2.9,24.42,22.14,3.65,3.96,4.4,12.37,41.9,15.26,21.08,4.67,4.7,13.97,117.54,6.7,14.16,4.46,2.49,8.87,6.29,24.46,2.0,5.46,18.95,9.59,10.58,76.82,9.46,11.25,7.35,2.12,6.93,5.47,7.45,3.39,3.99,33.51,4.53,34.5,39.77,63.15,48.54,31.73,35.79,41.61,81.33,93.95,18.72,28.11,16.38,57.31,76.61,4.66,24.3,92.46,55.67,3.95,90.88,85.94,68.65,92.72,253.34,16.06,132.49,31.89,8.24,78.87,140.21,28.65,40.83,12.52,128.24,26.61,48.45,7.26,9.88,22.47,4.07,5.78,4.09,9.2,44.5,12.73,23.35,4.92,41.37,147.09,196.44,5.0,14.01,3.04,27.17,131.1,12.28,3.64,19.63,13.0,23.1,15.1,7.93,10.41,112.24,8.68,22.99,16.9,32.74,13.44,29.31,9.58,27.29,18.62,9.17,8.13,15.02,19.26,5.19,50.92,58.61,25.28,19.95,14.27,16.71,32.37,19.95,39.86,14.98,18.6,7.46,14.88,89.57,38.32,35.66,166.82,28.4,24.81,18.99,42.18,19.46,53.86,30.8,9.78,15.7,61.93,14.95,13.27,21.79,35.92,7.1,49.74,45.63,110.46,17.51,3.09,37.67,14.06,96.42,12.9,54.43,58.43,55.37,70.58,37.8,48.45,29.42,25.46,22.46,34.47,10.93,21.6,23.16,18.54,22.1,22.68,56.8,130.01,25.89,268.36,121.27,70.96,206.41,47.5,30.53,99.07
2024-01-10,5.42,30.46,1.42,7.71,4.98,3.16,4.78,5.34,4.47,8.0,11.17,5.04,4.81,5.71,17.77,12.16,22.06,6.54,8.46,3.62,6.08,9.95,49.36,13.31,12.77,18.09,3.72,28.71,15.09,24.37,8.46,14.25,14.57,23.6,2.24,10.97,40.9,68.88,26.14,11.65,15.85,11.76,9.7,19.91,6.17,19.28,212.33,23.96,20.7,16.99,8.72,3.53,1507.16,21.85,24.26,25.26,19.9,15.03,63.15,33.68,14.09,19.48,14.63,38.13,37.08,3.77,14.18,202.67,8.8,35.97,13.38,12.41,22.77,33.62,20.58,4.15,6.5,5.29,8.18,17.71,84.97,7.74,13.18,11.83,6.5,5.92,22.06,49.91,16.11,20.89,27.32,53.94,7.03,5.69,66.09,15.94,11.36,11.44,3.75,6.83,13.08,18.79,4.63,6.77,8.22,2.99,31.11,4.28,4.76,25.23,7.45,5.25,5.2,3.93,5.09,19.48,15.2,2.89,23.86,22.03,3.64,3.94,4.35,12.41,42.18,14.93,20.91,4.57,4.68,13.86,115.73,6.64,14.05,4.47,2.48,8.88,6.24,26.3,1.99,5.45,19.14,9.5,10.42,78.3,9.38,11.1,7.25,2.1,6.57,5.39,7.43,3.33,3.98,33.45,4.53,33.41,39.82,63.37,48.64,31.94,34.0,42.14,76.48,92.52,18.82,28.27,16.93,57.38,75.49,4.6,27.21,94.65,54.06,3.95,91.27,85.26,67.47,94.12,248.07,16.08,135.69,31.78,8.27,78.49,136.27,28.65,40.35,13.04,127.67,27.06,47.47,7.17,9.74,22.5,4.0,5.77,4.08,9.3,44.55,12.66,23.36,4.93,40.97,147.8,196.31,4.92,13.61,2.99,27.35,130.76,12.11,3.58,19.41,12.92,23.42,15.15,7.88,10.18,113.23,8.69,23.32,16.76,33.06,13.34,29.33,9.49,26.53,18.44,9.05,8.13,15.05,19.0,5.11,51.21,58.02,24.92,19.83,14.56,16.74,31.61,19.66,39.1,14.82,17.95,7.24,14.81,89.47,38.23,35.74,165.88,27.6,24.96,19.23,41.77,18.93,54.09,30.56,9.76,15.16,61.07,14.98,13.03,22.18,34.0,7.09,49.67,45.22,113.2,17.03,3.09,37.75,14.45,93.64,12.78,51.32,55.91,57.83,69.63,38.59,48.73,28.6,25.32,21.83,33.13,10.7,21.11,23.38,18.37,21.63,22.36,56.02,131.97,25.5,264.17,119.4,69.49,218.21,46.62,31.14,98.95
2024-01-11,5.38,30.68,1.43,7.5,4.91,3.12,4.8,5.26,4.39,7.87,11.3,4.87,4.67,5.77,17.91,12.42,22.39,6.52,8.5,3.65,6.12,10.18,48.81,13.28,12.93,18.32,3.75,29.15,15.01,23.7,8.53,14.51,14.29,23.83,2.23,10.99,40.88,67.36,26.13,11.34,15.84,11.93,9.55,19.38,6.3,18.86,216.29,24.35,21.02,17.72,8.62,3.51,1512.23,21.37,24.59,25.65,19.82,14.93,65.8,33.76,13.77,19.46,14.93,38.84,37.82,3.69,14.52,202.45,8.86,35.92,13.4,12.18,22.8,33.68,20.42,4.18,6.54,5.32,8.28,17.51,83.8,7.85,12.86,11.84,6.43,5.89,22.19,49.74,16.59,20.93,26.72,53.93,7.1,5.7,66.14,16.1,11.6,11.49,3.71,6.82,13.1,18.54,4.63,6.83,8.39,2.93,31.72,4.3,4.67,25.19,7.61,5.29,5.13,3.86,5.04,19.24,15.05,2.89,23.92,22.4,3.61,3.93,4.37,12.54,42.7,15.19,20.41,4.49,4.67,13.99,119.77,6.55,13.9,4.45,2.47,8.89,6.06,26.64,2.0,5.56,19.32,9.56,10.6,78.67,9.23,10.96,7.36,2.1,6.52,5.31,7.33,3.27,4.05,33.25,4.46,34.45,39.44,67.5,49.22,31.98,34.3,42.27,75.37,93.45,19.38,29.05,17.0,57.89,76.77,4.6,28.97,93.26,56.1,3.96,91.65,88.72,68.28,94.99,253.67,16.09,140.99,32.73,8.47,79.79,135.92,28.97,40.71,13.64,126.7,27.47,47.6,7.25,9.76,22.83,4.06,5.78,4.09,9.31,44.33,12.73,23.46,4.92,40.99,149.05,197.99,4.92,13.96,2.98,27.27,126.22,11.81,3.62,19.69,13.04,23.42,15.46,7.99,10.08,114.05,8.87,23.03,17.45,33.65,13.12,30.42,9.27,26.37,18.43,8.94,8.06,14.86,18.87,5.14,50.61,59.44,24.81,20.73,14.93,16.97,31.51,20.22,40.52,15.26,18.38,7.2,15.11,89.55,38.0,36.15,170.17,28.11,24.89,19.17,43.42,18.95,58.47,30.64,9.63,15.67,63.24,15.07,13.04,23.45,34.19,7.19,52.65,45.55,113.32,17.83,3.08,39.85,14.44,97.89,12.97,50.71,55.32,58.87,72.07,38.53,50.1,29.61,24.73,22.31,35.4,11.02,21.83,24.15,18.77,22.4,22.66,56.18,136.13,26.77,266.8,120.74,69.58,221.85,46.64,31.37,100.72
2024-01-12,5.35,30.76,1.43,7.58,4.95,3.14,4.87,5.22,4.46,7.99,11.88,4.92,4.68,5.86,17.83,12.25,22.55,6.59,8.53,3.63,6.09,9.85,48.19,13.45,12.87,18.1,3.8,29.18,14.95,23.79,8.54,14.18,14.38,23.47,2.23,11.03,40.5,66.72,25.73,11.0,15.82,11.86,9.74,19.25,6.19,18.9,212.81,25.11,20.66,17.45,8.64,3.47,1508.72,21.57,24.36,25.37,19.88,14.05,65.62,33.8,14.05,19.45,15.09,37.26,37.76,3.72,14.71,201.04,8.76,35.4,13.54,12.39,22.95,33.13,20.77,4.22,6.5,5.37,8.36,17.58,83.74,7.78,13.14,11.65,6.49,5.98,21.94,51.15,16.42,20.53,27.09,53.99,7.19,5.71,64.19,15.89,11.31,11.52,3.76,6.85,13.14,18.89,4.66,6.76,8.35,2.98,31.32,4.26,4.73,24.54,7.38,5.2,5.25,3.89,5.1,18.69,15.07,2.9,23.78,22.31,3.6,3.94,4.38,12.51,42.75,15.65,20.41,4.49,4.76,13.81,126.34,6.58,14.1,4.48,2.5,9.07,6.06,26.67,2.0,5.64,19.45,9.45,10.33,77.41,9.36,11.02,7.21,2.12,6.71,5.36,7.42,3.32,4.11,32.75,4.53,33.39,38.89,67.57,49.47,31.66,32.84,41.15,73.08,93.34,19.69,28.68,17.98,57.95,75.51,4.63,27.73,92.99,54.71,4.03,89.74,88.44,64.89,94.72,254.3,15.81,143.44,33.51,8.49,77.62,131.22,29.44,40.13,13.6,125.8,27.47,45.83,7.27,9.7,22.26,4.03,5.77,4.09,9.52,44.33,13.07,23.85,4.97,40.89,146.77,199.86,4.9,13.77,3.0,27.3,117.81,11.88,3.58,19.65,13.01,23.62,15.46,7.92,10.3,113.18,8.9,23.34,17.12,34.02,13.31,29.85,9.31,26.35,18.43,9.03,8.03,14.75,18.48,4.98,52.3,58.3,24.53,20.67,14.73,16.97,31.79,20.58,39.89,15.42,17.56,7.06,15.13,87.38,39.22,35.55,169.73,27.68,24.44,19.11,42.38,18.65,56.8,29.94,9.38,15.12,62.93,14.92,13.09,23.44,34.98,7.16,51.85,44.6,110.67,17.46,3.16,39.28,14.21,95.75,12.75,49.88,54.49,59.58,70.03,38.46,49.14,28.5,24.75,21.78,33.93,10.74,21.4,23.88,19.07,21.53,22.21,54.55,135.94,26.38,263.6,120.28,70.43,213.68,48.37,31.35,96.96
2024-01-15,5.36,31.71,1.43,7.74,4.99,3.14,4.92,5.19,4.55,8.09,12.93,5.09,4.73,5.9,17.79,12.21,22.78,6.6,8.41,3.68,6.08,10.02,48.78,13.45,12.87,17.82,3.81,28.98,14.69,23.75,8.54,15.16,14.49,23.13,2.23,11.02,40.91,65.69,25.79,10.7,15.86,11.49,9.83,19.41,6.26,18.54,212.24,24.78,20.97,17.47,8.7,3.51,1505.66,21.52,24.17,25.78,20.15,13.9,64.63,33.43,14.13,19.64,15.1,37.49,35.92,3.72,15.02,193.46,8.72,35.21,13.48,12.25,22.91,32.59,20.74,4.2,6.48,5.43,8.47,17.88,85.09,7.8,13.02,11.61,6.51,6.08,21.67,51.33,16.35,20.61,27.51,53.94,7.35,5.73,64.56,16.03,11.17,11.56,3.8,6.87,13.19,19.35,4.7,6.74,8.32,2.99,31.46,4.3,4.75,24.47,7.34,5.12,5.31,3.94,5.09,18.8,15.01,2.92,23.93,22.27,3.64,3.98,4.39,12.44,42.04,14.99,20.51,4.61,4.83,13.86,123.74,6.6,14.32,4.52,2.51,9.19,6.16,26.55,2.01,5.86,19.65,9.38,10.42,78.85,9.55,10.94,7.21,2.15,7.02,5.39,7.41,3.34,4.1,32.6,4.59,31.73,39.15,68.4,47.98,31.43,33.31,40.65,72.91,92.42,19.37,27.74,17.68,58.49,75.46,4.65,27.77,94.89,53.52,4.03,91.5,87.81,65.48,95.2,237.55,15.91,144.91,33.5,8.45,80.07,131.19,29.28,41.22,13.89,128.5,26.97,45.67,7.29,9.71,22.33,4.06,5.84,4.05,9.45,45.21,13.2,23.12,5.0,41.39,145.54,197.53,4.93,13.99,3.0,27.52,115.44,11.84,3.58,18.87,12.98,25.13,15.23,7.93,10.13,113.11,8.75,23.68,17.12,33.01,13.33,29.82,9.43,26.96,18.28,9.05,8.12,14.91,18.3,4.95,52.9,57.73,24.57,20.61,14.43,17.09,31.23,20.4,39.58,15.43,17.91,7.01,14.78,86.01,38.12,35.54,169.72,27.75,24.45,18.49,41.3,18.89,56.23,30.02,9.33,15.24,62.51,14.72,12.97,22.76,34.3,7.14,50.86,44.06,106.44,17.47,3.14,38.43,14.09,95.41,12.63,48.35,53.69,59.04,70.98,37.9,48.71,28.81,24.64,21.37,34.12,10.91,20.99,23.36,18.58,22.88,22.05,54.58,133.01,26.21,265.1,121.73,70.08,216.84,47.25,30.69,98.04
