2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAF.L,AAF.L,AAF.L,AAF.L
ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,AAL.L,AAL.L,AAL.L,AAL.L
ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ABDN.L,ABF.L,ABF.L,ABF.L
ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ABF.L,ADM.L,ADM.L,ADM.L
AV.L,ASHM.L,AV.L,AV.L,AV.L,AV.L,AV.L,AV.L,AUTO.L,AUTO.L,AUTO.L,AUTO.L,ADM.L,ANTO.L,ALW.L,ALW.L
AZN.L,AV.L,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L,AV.L,AV.L,AV.L,AV.L,ANTO.L,AUTO.L,ANTO.L,ANTO.L
BA.L,AZN.L,BA.L,BA.L,BA.L,BA.L,BA.L,BA.L,AZN.L,AZN.L,AZN.L,AZN.L,AUTO.L,AV.L,AUTO.L,AUTO.L
BARC.L,BA.L,BAB.L,BAB.L,BAB.L,BAB.L,BAB.L,BARC.L,BA.L,BA.L,BA.L,BA.L,AV.L,AZN.L,AV.L,AV.L
BATS.L,BARC.L,BARC.L,BARC.L,BARC.L,BARC.L,BARC.L,BATS.L,BARC.L,BARC.L,BARC.L,BARC.L,AZN.L,BA.L,AZN.L,AZN.L
BLND.L,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L,BKG.L,BATS.L,BATS.L,BATS.L,BATS.L,BA.L,BARC.L,BA.L,BA.L
BNZL.L,BLND.L,BLND.L,BLND.L,BLND.L,BKG.L,BLND.L,BLND.L,BKG.L,BKG.L,BKG.L,BKG.L,BARC.L,BATS.L,BARC.L,BARC.L
