2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
000020,000020,000050,000050,000070,000030,000030,000030,000030,000070,000070,000070,000070,000080,000080,000080
000050,000050,000070,000070,000080,000070,000050,000050,000050,000080,000080,000080,000080,000100,000100,000100
000070,000070,000080,000080,000100,000080,000070,000070,000070,000100,000100,000100,000100,000150,000120,000120
000100,000100,000100,000100,000120,000100,000080,000080,000080,000120,000120,000120,000120,000210,000150,000150
000120,000120,000120,000120,000140,000120,000100,000100,000100,000150,000150,000150,000150,000240,000210,000210
000140,000140,000140,000140,000150,000140,000120,000120,000120,000210,000210,000210,000210,000270,000240,000240
000150,000150,000150,000150,000210,000150,000140,000140,000150,000240,000240,000240,000240,000660,000270,000270
000210,000210,000210,000210,000240,000210,000150,000150,000210,000270,000270,000270,000270,000670,000660,000660
000230,000230,000240,000240,000270,000240,000210,000210,000240,000640,000640,000660,000660,000720,000670,000720
000240,000240,000270,000270,000430,000270,000230,000230,000270,000660,000660,000670,000670,000810,000720,000810
000270,000270,000480,000430,000640,000430,000240,000240,000640,000670,000670,000720,000720,000880,000810,000880
000480,000480,000640,000480,000660,000480,000270,000270,000660,000720,000720,000810,000810,000990,000880,001040
000640,000640,000660,000640,000670,000640,000480,000640,000670,000810,000810,000880,000880,001040,000990,001120
000660,000660,000670,000660,000700,000660,000640,000660,000720,000880,000880,000990,000990,001120,001040,001430
000670,000670,000700,000670,000720,000670,000660,000670,000810,000990,000990,001040,001040,001230,001120,001440
000700,000700,000720,000700,000810,000720,000670,000720,000880,001040,001040,001060,001120,001440,001430,001450
000720,000720,000810,000720,000880,000810,000720,000810,000990,001060,001060,001120,001230,001450,001440,001570
000810,000810,000880,000810,000990,000880,000810,000880,001040,001120,001120,001230,001440,001680,001450,001680
000880,000880,000990,000880,001040,000990,000880,000990,001120,001230,001230,001450,001450,001740,001570,001740
000990,000990,001040,000990,001120,001040,001040,001040,001230,001430,001430,001680,001680,001800,001680,001800
