2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L,AAF.L,AAF.L,AAF.L,AAF.L
ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,ABF.L,AAL.L,AAL.L,AAL.L,AAL.L
ABG.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ADM.L,ABDN.L,ABF.L,ABF.L,ABF.L
ADM.L,AGK.L,ADN.L,ADN.L,ADN.L,ADN.L,AHT.L,AHT.L,AHT.L,AHT.L,AHT.L,AHT.L,ABF.L,ADM.L,ADM.L,ADM.L
AGK.L,AMEC.L,AGK.L,AGK.L,AGK.L,AHT.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ANTO.L,ADM.L,AHT.L,AHT.L,AHT.L
AMEC.L,ANTO.L,AMEC.L,AHT.L,AHT.L,ANTO.L,AV.L,AV.L,AUTO.L,AUTO.L,AUTO.L,AUTO.L,AHT.L,ANTO.L,ALW.L,ALW.L
ANTO.L,ARM.L,ANTO.L,AMEC.L,ANTO.L,ARM.L,AZN.L,AZN.L,AV.L,AV.L,AV.L,AV.L,ANTO.L,AUTO.L,ANTO.L,ANTO.L
ARM.L,ASHM.L,ARM.L,ANTO.L,ARM.L,AV.L,BA.L,BA.L,AZN.L,AVV.L,AVST.L,AVST.L,AUTO.L,AV.L,AUTO.L,AUTO.L
ATST.L,AV.L,AV.L,ARM.L,AV.L,AZN.L,BAB.L,BARC.L,BA.L,AZN.L,AVV.L,AVV.L,AV.L,AZN.L,AV.L,AV.L
AU.L,AZN.L,AZN.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BARC.L,BA.L,AZN.L,AZN.L,AVV.L,BA.L,AZN.L,AZN.L
AV.L,BA.L,BA.L,AZN.L,BA.L,BAB.L,BATS.L,BDEV.L,BATS.L,BARC.L,BA.L,BA.L,AZN.L,BARC.L,BA.L,BA.L
