2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332
1334,1334,1334,1334,1333,1333,1333,1333,1333,1333,1333,1333,1605,1605,1605,1605
1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1721,1721,1721,1721
1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1801,1801,1801,1801
1801,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801,1802,1802,1802,1802
1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1803,1803,1803,1803
1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1808,1808,1808,1808
1812,1812,1812,1812,1808,1808,1808,1808,1808,1808,1808,1808,1812,1812,1812,1812
1925,1925,1925,1925,1812,1812,1812,1812,1812,1812,1812,1812,1925,1925,1925,1925
1928,1928,1928,1928,1925,1925,1925,1925,1925,1925,1925,1925,1928,1928,1928,1928
1963,1963,1963,1963,1928,1928,1928,1928,1928,1928,1928,1928,1963,1963,1963,1963
2002,2002,2002,2002,1963,1963,1963,1963,1963,1963,1963,1963,2002,2002,2002,2002
2269,2269,2269,2269,2002,2002,2002,2002,2002,2002,2002,2002,2269,2269,2269,2269
2282,2282,2282,2282,2269,2269,2269,2269,2269,2269,2269,2269,2282,2282,2282,2282
2501,2501,2501,2501,2282,2282,2282,2282,2282,2282,2282,2282,2413,2413,2413,2413
2502,2502,2502,2502,2432,2432,2432,2432,2432,2413,2413,2413,2432,2432,2432,2432
2503,2503,2503,2503,2501,2501,2501,2501,2501,2432,2432,2432,2501,2501,2501,2501
2531,2531,2531,2531,2502,2502,2502,2502,2502,2501,2501,2501,2502,2502,2502,2502
2768,2768,2768,2768,2503,2503,2503,2503,2503,2502,2502,2502,2503,2503,2503,2503
2801,2801,2801,2801,2531,2531,2531,2531,2531,2503,2503,2503,2531,2531,2768,2768
2802,2802,2802,2802,2768,2768,2768,2768,2768,2531,2531,2531,2768,2768,2801,2801
