2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AA,AA,AA,AA,AA,AA,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAPL,AAPL
AAPL,AAPL,AAPL,AAPL,AAPL,AAL,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAPL,ABBV,ABBV
ABT,ABT,ABT,ABBV,ABBV,AAP,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,ABBV,ABNB,ABNB
ACE,ACE,ACE,ABT,ABT,AAPL,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABNB,ABT,ABT
ADBE,ACN,ACN,ACE,ACE,ABBV,ABT,ABT,ABMD,ABMD,ABMD,ABMD,ABT,ABT,ACGL,ACGL
ADI,ADBE,ADBE,ACN,ACN,ABT,ACN,ACN,ABT,ABT,ABT,ABT,ACGL,ACGL,ACN,ACN
ADM,ADI,ADI,ADBE,ADBE,ACE,ADBE,ADBE,ACN,ACN,ACN,ACN,ACN,ACN,ADBE,ADBE
ADP,ADM,ADM,ADI,ADI,ACN,ADI,ADI,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADI,ADI
ADSK,ADP,ADP,ADM,ADM,ADBE,ADM,ADM,ADI,ADI,ADI,ADI,ADI,ADI,ADM,ADM
AEE,ADSK,ADSK,ADP,ADP,ADI,ADP,ADP,ADM,ADM,ADM,ADM,ADM,ADM,ADP,ADP
AEP,AEE,ADT,ADS,ADS,ADM,ADS,ADS,ADP,ADP,ADP,ADP,ADP,ADP,ADSK,ADSK
AES,AEP,AEE,ADSK,ADSK,ADP,ADSK,ADSK,ADS,ADS,ADSK,ADSK,ADSK,ADSK,AEE,AEE
AET,AES,AEP,ADT,ADT,ADS,AEE,AEE,ADSK,ADSK,AEE,AEE,AEE,AEE,AEP,AEP
AFL,AET,AES,AEE,AEE,ADSK,AEP,AEP,AEE,AEE,AEP,AEP,AEP,AEP,AES,AES
AGN,AFL,AET,AEP,AEP,ADT,AES,AES,AEP,AEP,AES,AES,AES,AES,AFL,AFL
